source,target,ood_category,target_frequency,selection_method,selected_layer,q9_loss,l12_loss,raw_gain,relative_gain_pct,relative_ci,relative_ci_lo,relative_ci_hi,relative_ci_excludes_zero,mase,cluster_count,window_count,preprocessing_notes
monash_electricity_hourly,sg_carpark,pretraining_ood,H (agg 15min),oracle,2,3.266316,3.439528,0.173212,5.0359,"[+2.222, +7.742]",2.2217,7.7425,True,1.496592,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
monash_electricity_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,3,3.272129,3.439528,0.167399,4.8669,"[+2.176, +7.493]",2.1763,7.4932,True,1.519258,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
monash_electricity_hourly,coastal_ts,pretraining_ood,H,oracle,1,6.318181,7.478067,1.159886,15.5105,"[+11.109, +19.743]",11.109,19.7427,True,2.712912,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
monash_electricity_hourly,coastal_ts,pretraining_ood,H,source_selected,3,7.198838,7.478067,0.27923,3.734,"[-1.498, +8.684]",-1.4976,8.6837,False,3.558473,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
monash_electricity_hourly,boom_hourly,pretraining_ood,H,oracle,0,5.771767,6.610125,0.838358,12.6829,"[+9.804, +15.464]",9.8044,15.4637,True,199.78692,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
monash_electricity_hourly,boom_hourly,pretraining_ood,H,source_selected,3,8.322901,6.610125,-1.712776,-25.9114,"[-30.843, -21.369]",-30.8433,-21.3694,True,213.678246,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
uber_tlc_hourly,sg_carpark,pretraining_ood,H (agg 15min),oracle,3,5.408817,5.697464,0.288647,5.0662,"[+3.138, +6.924]",3.1377,6.9241,True,2.652759,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
uber_tlc_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,3,5.408817,5.697464,0.288647,5.0662,"[+3.138, +6.924]",3.1377,6.9241,True,2.652759,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
uber_tlc_hourly,coastal_ts,pretraining_ood,H,oracle,0,8.109318,10.197253,2.087935,20.4755,"[+17.679, +23.121]",17.6787,23.1213,True,3.917971,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
uber_tlc_hourly,coastal_ts,pretraining_ood,H,source_selected,3,8.889701,10.197253,1.307551,12.8226,"[+9.361, +16.154]",9.361,16.1543,True,4.008546,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
uber_tlc_hourly,boom_hourly,pretraining_ood,H,oracle,0,5.92017,7.081379,1.161209,16.3981,"[+14.069, +18.744]",14.0693,18.7439,True,200.624566,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
uber_tlc_hourly,boom_hourly,pretraining_ood,H,source_selected,3,7.322822,7.081379,-0.241443,-3.4095,"[-6.352, -0.573]",-6.352,-0.5728,True,201.956589,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
m4_hourly,sg_carpark,pretraining_ood,H (agg 15min),oracle,3,3.645498,3.665907,0.020409,0.5567,"[-2.631, +3.516]",-2.6311,3.5158,False,1.716531,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
m4_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,1,3.661793,3.665907,0.004114,0.1122,"[-3.080, +3.081]",-3.0796,3.0805,False,1.740094,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
m4_hourly,coastal_ts,pretraining_ood,H,oracle,12,6.806197,6.806197,0.0,0.0,"[+0.000, +0.000]",0.0,0.0,False,3.286931,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
m4_hourly,coastal_ts,pretraining_ood,H,source_selected,1,9.619728,6.806197,-2.813531,-41.3378,"[-52.407, -31.293]",-52.407,-31.2929,True,7.825044,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
m4_hourly,boom_hourly,pretraining_ood,H,oracle,12,8.591443,8.591443,0.0,0.0,"[+0.000, +0.000]",0.0,0.0,False,214.76029,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
m4_hourly,boom_hourly,pretraining_ood,H,source_selected,1,10.632002,8.591443,-2.040559,-23.7511,"[-27.395, -19.993]",-27.395,-19.9931,True,306.856499,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
wind_farms_hourly,sg_carpark,pretraining_ood,H (agg 15min),oracle,3,3.650547,3.927037,0.27649,7.0407,"[+4.593, +9.316]",4.5932,9.3163,True,1.603055,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
wind_farms_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,3,3.650547,3.927037,0.27649,7.0407,"[+4.593, +9.316]",4.5932,9.3163,True,1.603055,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
wind_farms_hourly,coastal_ts,pretraining_ood,H,oracle,1,4.811052,5.371238,0.560186,10.4294,"[+7.295, +13.451]",7.2952,13.4509,True,1.953928,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
wind_farms_hourly,coastal_ts,pretraining_ood,H,source_selected,3,5.112488,5.371238,0.25875,4.8173,"[+1.106, +8.429]",1.1063,8.4294,True,2.117953,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
wind_farms_hourly,boom_hourly,pretraining_ood,H,oracle,0,4.00207,4.178003,0.175934,4.2109,"[+1.452, +6.776]",1.4517,6.7764,True,198.400052,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
wind_farms_hourly,boom_hourly,pretraining_ood,H,source_selected,3,4.561543,4.178003,-0.38354,-9.18,"[-12.204, -6.119]",-12.2043,-6.119,True,198.601778,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
