source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
monash_electricity_hourly,monash_electricity_hourly,source_val_selected,3,native_chronos2,mase,1.671266,0.823018,-0.848249,-1.231402,-0.632511,False,-1.030657,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,source_val_selected,3,seasonal_naive,mase,1.671266,1.194593,-0.476673,-0.858208,-0.25858,False,-0.399026,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,source_val_selected,3,last_value,mase,1.671266,4.378633,2.707367,2.19004,3.128593,True,0.618313,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,3,native_chronos2,mase,1.671266,0.823018,-0.848249,-1.231402,-0.632511,False,-1.030657,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,3,seasonal_naive,mase,1.671266,1.194593,-0.476673,-0.858208,-0.25858,False,-0.399026,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,3,last_value,mase,1.671266,4.378633,2.707367,2.19004,3.128593,True,0.618313,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,1.670189,0.823018,-0.847172,-0.91836,-0.783376,False,-1.029348,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,1.670189,1.194593,-0.475596,-0.55377,-0.400419,False,-0.398124,286,650,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,1.670189,4.378633,2.708444,2.439857,2.99698,True,0.618559,286,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,source_val_selected,3,native_chronos2,mase,2.24194,0.690195,-1.551745,-2.472487,-0.923509,False,-2.248269,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,source_val_selected,3,seasonal_naive,mase,2.24194,1.144082,-1.097858,-2.028208,-0.462483,False,-0.959598,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,source_val_selected,3,last_value,mase,2.24194,1.448756,-0.793184,-1.724786,-0.142758,False,-0.547493,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,best_layer,1,native_chronos2,mase,1.520275,0.690195,-0.83008,-1.061697,-0.66595,False,-1.202674,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,best_layer,1,seasonal_naive,mase,1.520275,1.144082,-0.376193,-0.609535,-0.203766,False,-0.328817,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,best_layer,1,last_value,mase,1.520275,1.448756,-0.071519,-0.331888,0.13819,False,-0.049366,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,final_layer,12,native_chronos2,mase,2.000395,0.690195,-1.3102,-1.567755,-1.112026,False,-1.898304,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,final_layer,12,seasonal_naive,mase,2.000395,1.144082,-0.856314,-1.122959,-0.651988,False,-0.748473,245,650,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,final_layer,12,last_value,mase,2.000395,1.448756,-0.551639,-0.842742,-0.316572,False,-0.380768,245,650,0,9,512,64
monash_electricity_hourly,m4_hourly,source_val_selected,3,native_chronos2,mase,6.055092,0.96565,-5.089441,-6.180734,-4.086847,False,-5.27048,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,source_val_selected,3,seasonal_naive,mase,6.055092,1.598819,-4.456273,-5.627943,-3.399962,False,-2.787229,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,source_val_selected,3,last_value,mase,6.055092,21.042695,14.987603,11.462915,18.938627,True,0.712247,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,best_layer,3,native_chronos2,mase,6.055092,0.96565,-5.089441,-6.180734,-4.086847,False,-5.27048,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,best_layer,3,seasonal_naive,mase,6.055092,1.598819,-4.456273,-5.627943,-3.399962,False,-2.787229,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,best_layer,3,last_value,mase,6.055092,21.042695,14.987603,11.462915,18.938627,True,0.712247,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,final_layer,12,native_chronos2,mase,8.816505,0.96565,-7.850855,-9.642145,-6.234524,False,-8.130121,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,final_layer,12,seasonal_naive,mase,8.816505,1.598819,-7.217687,-9.099209,-5.534143,False,-4.514388,124,650,0,9,512,64
monash_electricity_hourly,m4_hourly,final_layer,12,last_value,mase,8.816505,21.042695,12.226189,9.303373,15.514907,True,0.581018,124,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,source_val_selected,3,native_chronos2,mase,8.691026,1.149311,-7.541715,-10.68098,-4.976438,False,-6.561941,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,source_val_selected,3,seasonal_naive,mase,8.691026,1.321993,-7.369033,-10.53047,-4.802708,False,-5.574183,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,source_val_selected,3,last_value,mase,8.691026,2.042901,-6.648125,-9.838757,-4.054634,False,-3.254257,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,best_layer,0,native_chronos2,mase,3.566641,1.149311,-2.417329,-2.740982,-2.120289,False,-2.103285,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,best_layer,0,seasonal_naive,mase,3.566641,1.321993,-2.244647,-2.577658,-1.942077,False,-1.697927,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,best_layer,0,last_value,mase,3.566641,2.042901,-1.52374,-1.920401,-1.15583,False,-0.745871,261,650,0,9,512,64
