source_dataset,target_dataset,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_best_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
m4_hourly,m4_hourly,0,False,q9,0,-0.42202369699111353,-0.5922166932871918,-0.2677069386441067,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,1,0.1544049273087429,0.06395864537088433,0.24213330104822128,True,True,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,2,0.046777795186409676,-0.019503336310024887,0.11510250784420424,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,3,0.041829322943320646,-0.027446766040802616,0.10971941541922306,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,4,-0.09682729831108672,-0.14812507426601682,-0.04341694199491415,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,5,-0.08406159171691296,-0.13294243610098994,-0.03176924021518984,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,6,-0.18943631538977979,-0.23726322879538037,-0.13739772300785336,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,7,-0.13528676610726587,-0.18069009666963765,-0.08965169608366903,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,8,-0.07443686705369235,-0.12484740516935451,-0.01847279366357403,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,9,-0.0682366876418774,-0.11903630978586377,-0.021209687106476856,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,10,-0.06463903592183051,-0.11545272047182525,-0.01818297071122418,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,11,-0.002110578005130481,-0.06264386336553089,0.05231847503175671,False,False,False,124,650,5000
m4_hourly,m4_hourly,0,False,q9,12,0.0,0.0,0.0,False,False,True,124,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,0,-2.2755581696216876,-2.52294553199775,-2.0423178361698664,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,1,-0.24170919528374313,-0.39810040693221194,-0.10372968188453059,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,2,-0.3494304293852588,-0.5094225637235656,-0.1992526182374956,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,3,0.008334050728724396,-0.13494962259102583,0.14200632687697734,False,True,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,4,-0.22093120043094316,-0.3481910076925976,-0.09883916539027264,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,5,-0.12978845706352793,-0.24806677568863567,-0.011802966242748677,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,6,-0.17214898512913646,-0.2816945257347472,-0.06729072153941237,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,7,-0.12391961482854974,-0.23790852556001985,-0.011390956201266986,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,8,-0.24587555426817698,-0.35639978958734303,-0.1362830192243367,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,9,-0.21651901703614485,-0.32662535924636427,-0.11327816504139084,False,False,False,286,650,5000
m4_hourly,monash_electricity_hourly,0,True,q9,10,-0.08433569009487485,-0.1945895458528079,0.020606637457098367,False,False,False,286,650,5000
