source_dataset,target_dataset,id_or_ood,best_layer,best_layer_q9_loss,last_layer_q9_loss,delta_vs_last,relative_gain_pct,relative_ci_lo,relative_ci_hi,relative_ci_excludes_zero,split_mode
m4_hourly,m4_hourly,ID,1,1.806134,1.960539,0.154405,7.8756,3.2002,12.5226,True,cross_series
m4_hourly,monash_electricity_hourly,OOD,3,3.932367,3.940701,0.008334,0.2115,-3.4077,3.6734,False,within_series
m4_hourly,uber_tlc_hourly,OOD,6,6.645633,6.905816,0.260184,3.7676,1.2784,6.2176,True,within_series
m4_hourly,wind_farms_hourly,OOD,10,8.541733,8.656091,0.114357,1.3211,-1.1129,3.7844,False,within_series
monash_electricity_hourly,m4_hourly,OOD,3,2.483827,3.287614,0.803787,24.449,20.8502,27.8774,True,cross_series
monash_electricity_hourly,monash_electricity_hourly,ID,3,2.516198,2.656594,0.140397,5.2848,0.9594,8.722,True,within_series
monash_electricity_hourly,uber_tlc_hourly,OOD,1,5.363816,6.787095,1.423278,20.9704,19.2692,22.5622,True,within_series
monash_electricity_hourly,wind_farms_hourly,OOD,0,5.974628,7.027924,1.053296,14.9873,11.4001,18.3609,True,within_series
uber_tlc_hourly,m4_hourly,OOD,0,5.678869,6.659952,0.981083,14.7311,10.9614,17.9409,True,cross_series
uber_tlc_hourly,monash_electricity_hourly,OOD,3,5.339934,5.479974,0.14004,2.5555,0.4175,4.6351,True,within_series
uber_tlc_hourly,uber_tlc_hourly,ID,3,4.177713,4.509777,0.332064,7.3632,6.0675,8.6417,True,within_series
uber_tlc_hourly,wind_farms_hourly,OOD,0,6.534313,8.276421,1.742108,21.049,18.6316,23.4194,True,within_series
wind_farms_hourly,m4_hourly,OOD,3,3.850397,4.712568,0.862171,18.2951,16.4355,20.06,True,cross_series
wind_farms_hourly,monash_electricity_hourly,OOD,3,3.749253,4.484079,0.734827,16.3875,13.2303,19.5223,True,within_series
wind_farms_hourly,uber_tlc_hourly,OOD,0,4.672293,5.273924,0.601631,11.4076,9.8655,12.8514,True,within_series
wind_farms_hourly,wind_farms_hourly,ID,3,4.191241,4.375845,0.184604,4.2187,2.266,6.1288,True,within_series
