source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
monash_electricity_hourly,monash_electricity_hourly,source_val_selected,3,native_chronos2,mase,1.482971,0.836189,-0.646781,-0.791937,-0.536186,False,-0.773487,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,source_val_selected,3,seasonal_naive,mase,1.482971,1.265484,-0.217487,-0.371813,-0.094529,False,-0.171861,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,source_val_selected,3,last_value,mase,1.482971,2.996198,1.513228,1.287771,1.716667,True,0.505049,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,2,native_chronos2,mase,1.438343,0.836189,-0.602154,-0.693983,-0.527126,False,-0.720117,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,2,seasonal_naive,mase,1.438343,1.265484,-0.17286,-0.273328,-0.083421,False,-0.136596,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,2,last_value,mase,1.438343,2.996198,1.557855,1.366613,1.73215,True,0.519944,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,1.517968,0.836189,-0.681779,-0.800589,-0.592265,False,-0.81534,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,1.517968,1.265484,-0.252484,-0.382636,-0.144086,False,-0.199516,262,262,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,1.517968,2.996198,1.47823,1.281099,1.653748,True,0.493369,262,262,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,source_val_selected,3,native_chronos2,mase,3.149356,0.806006,-2.34335,-3.274204,-1.582401,False,-2.90736,262,262,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,source_val_selected,3,seasonal_naive,mase,3.149356,1.25337,-1.895987,-2.834088,-1.124717,False,-1.512712,262,262,0,9,512,64
