dataset,tolerance,l_start_first_crossing,l_start_sustained,is_primary
monash_electricity_hourly,0.02,1,12,False
monash_electricity_hourly,0.05,1,12,True
monash_electricity_hourly,0.08,1,12,False
monash_electricity_hourly,0.1,1,12,False
uber_tlc_hourly,0.02,1,1,False
uber_tlc_hourly,0.05,1,1,True
uber_tlc_hourly,0.08,1,1,False
uber_tlc_hourly,0.1,1,1,False
m4_hourly,0.02,1,12,False
m4_hourly,0.05,1,10,True
m4_hourly,0.08,1,9,False
m4_hourly,0.1,1,1,False
wind_farms_hourly,0.02,1,9,False
wind_farms_hourly,0.05,1,1,True
wind_farms_hourly,0.08,0,0,False
wind_farms_hourly,0.1,0,0,False
