analysis,stage,target,short,pt_status,ft_status,quantile_set,l_start,l_start_label,b2_fresh_loss,b4_frozen_boom_loss,b4_minus_b2,b4_minus_b2_ci_lo,b4_minus_b2_ci_hi,b4_minus_b2_sig,n_series,interpretation
B5_b2_vs_b4,stage0_pretrained,monash_electricity_hourly,Electricity,PT-ID,FT-OOD,q9,5,L5,2.269428,3.241601,0.971113,0.900812,1.042926,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage0_pretrained,uber_tlc_hourly,Uber,PT-ID,FT-OOD,q9,5,L5,3.40166,4.091796,0.690443,0.606964,0.772796,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage0_pretrained,m4_hourly,M4,PT-ID,FT-OOD,q9,5,L5,2.027021,3.049898,1.022049,0.939512,1.108626,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage0_pretrained,wind_farms_hourly,WindFarms,PT-ID,FT-OOD,q9,5,L5,2.747676,3.129614,0.381181,0.282211,0.481954,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage0_pretrained,sg_carpark,SG-Carpark,PT-OOD,FT-OOD,q9,5,L5,1.801004,3.53686,1.737751,1.640343,1.836902,True,354,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage0_pretrained,coastal_ts,Coastal-TS,PT-OOD,FT-OOD,q9,5,L5,3.842545,3.952995,0.113746,-0.141807,0.365796,False,24,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage1_ft_early,monash_electricity_hourly,Electricity,PT-ID,FT-OOD,q9,13,L12+LN,2.124498,2.753008,0.628263,0.568964,0.686388,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage1_ft_early,uber_tlc_hourly,Uber,PT-ID,FT-OOD,q9,13,L12+LN,3.297373,3.809301,0.511907,0.444234,0.58066,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage1_ft_early,m4_hourly,M4,PT-ID,FT-OOD,q9,13,L12+LN,2.138003,2.492254,0.354851,0.295714,0.412824,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage1_ft_early,wind_farms_hourly,WindFarms,PT-ID,FT-OOD,q9,13,L12+LN,2.967104,3.118669,0.151226,0.046013,0.255283,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage1_ft_early,sg_carpark,SG-Carpark,PT-OOD,FT-OOD,q9,13,L12+LN,1.819266,2.34263,0.523841,0.472207,0.573505,True,354,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage1_ft_early,coastal_ts,Coastal-TS,PT-OOD,FT-OOD,q9,13,L12+LN,3.648337,3.880452,0.23739,-0.012653,0.493646,False,24,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage2_ft_late,monash_electricity_hourly,Electricity,PT-ID,FT-OOD,q9,13,L12+LN,2.118421,2.798696,0.680017,0.620523,0.738653,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage2_ft_late,uber_tlc_hourly,Uber,PT-ID,FT-OOD,q9,13,L12+LN,3.296284,3.881761,0.585597,0.508968,0.660705,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage2_ft_late,m4_hourly,M4,PT-ID,FT-OOD,q9,13,L12+LN,2.137243,2.601025,0.464428,0.402867,0.52576,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage2_ft_late,wind_farms_hourly,WindFarms,PT-ID,FT-OOD,q9,13,L12+LN,2.908274,3.118067,0.209052,0.121381,0.296404,True,262,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage2_ft_late,sg_carpark,SG-Carpark,PT-OOD,FT-OOD,q9,13,L12+LN,1.774585,2.387445,0.613437,0.560717,0.663123,True,354,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
B5_b2_vs_b4,stage2_ft_late,coastal_ts,Coastal-TS,PT-OOD,FT-OOD,q9,13,L12+LN,3.645382,3.904056,0.264682,0.011065,0.551528,True,24,b4_minus_b2 > 0 & sig: info recoverable by a fresh probe but the BOOM readout does not transfer
