model,dataset,display_name,q9_complete,q1_complete,comparable,mismatches
chronos2,m4_hourly,M4,True,True,True,
chronos2,monash_electricity_hourly,Electricity,True,True,True,
chronos2,uber_tlc_hourly,Uber TLC,True,True,True,
chronos2,wind_farms_hourly,Wind Farms,True,True,True,
chronos2,sg_carpark,SG Carpark,True,True,True,
chronos2,coastal_ts,Coastal T-S,True,True,True,
chronos2,boom_hourly,BOOM,True,True,True,
chronos2,LOOP_SEATTLE_5T,Loop Seattle,True,True,True,
chronos2,electricity_15min,Electricity 15min,True,True,True,
chronos2,SZ_TAXI_15T,SZ Taxi,True,True,True,
chronos2,monash_london_smart_meters,London Smart Meters,True,True,True,
chronos2,m5,M5,True,True,True,
chronos2,wiki_daily_100k,Wiki Daily,True,True,True,
chronos2,monash_traffic,Traffic,True,True,True,
timesfm3,m4_hourly,M4,False,True,False,one of the two cells is not complete
timesfm3,monash_electricity_hourly,Electricity,True,True,True,
timesfm3,uber_tlc_hourly,Uber TLC,True,True,True,
timesfm3,wind_farms_hourly,Wind Farms,True,True,True,
timesfm3,sg_carpark,SG Carpark,True,True,True,
timesfm3,coastal_ts,Coastal T-S,True,True,True,
timesfm3,boom_hourly,BOOM,True,True,True,
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,True,True,True,
timesfm3,electricity_15min,Electricity 15min,True,True,True,
timesfm3,SZ_TAXI_15T,SZ Taxi,True,True,True,
timesfm3,monash_london_smart_meters,London Smart Meters,True,True,True,
timesfm3,m5,M5,True,True,True,
timesfm3,wiki_daily_100k,Wiki Daily,True,True,True,
timesfm3,monash_traffic,Traffic,True,True,True,
tirex,m4_hourly,M4,True,True,True,
tirex,monash_electricity_hourly,Electricity,True,True,True,
tirex,uber_tlc_hourly,Uber TLC,True,True,True,
tirex,wind_farms_hourly,Wind Farms,True,True,True,
tirex,sg_carpark,SG Carpark,True,True,True,
tirex,coastal_ts,Coastal T-S,True,True,True,
tirex,boom_hourly,BOOM,True,True,True,
tirex,LOOP_SEATTLE_5T,Loop Seattle,True,True,True,
tirex,electricity_15min,Electricity 15min,True,True,True,
tirex,SZ_TAXI_15T,SZ Taxi,True,True,True,
tirex,monash_london_smart_meters,London Smart Meters,True,True,True,
tirex,m5,M5,True,True,True,
tirex,wiki_daily_100k,Wiki Daily,True,True,True,
tirex,monash_traffic,Traffic,True,True,True,
