model,dataset,checked,max_abs_cka_diff,max_abs_erank_diff,missing,n_erank_points
chronos2,m4_hourly,8,0.0,0.0,,28
chronos2,monash_electricity_hourly,8,0.0,0.0,,28
chronos2,uber_tlc_hourly,8,0.0,0.0,,28
chronos2,wind_farms_hourly,8,0.0,0.0,,28
chronos2,sg_carpark,8,0.0,0.0,,28
chronos2,coastal_ts,8,0.0,0.0,,28
chronos2,boom_hourly,8,0.0,0.0,,28
chronos2,LOOP_SEATTLE_5T,8,0.0,0.0,,28
chronos2,electricity_15min,8,0.0,0.0,,28
chronos2,SZ_TAXI_15T,8,0.0,0.0,,28
chronos2,monash_london_smart_meters,8,0.0,0.0,,28
chronos2,m5,8,0.0,0.0,,28
chronos2,wiki_daily_100k,8,0.0,0.0,,28
chronos2,monash_traffic,8,0.0,0.0,,28
timesfm3,monash_electricity_hourly,4,0.0,0.0,,42
timesfm3,uber_tlc_hourly,4,0.0,0.0,,42
timesfm3,wind_farms_hourly,4,0.0,0.0,,42
timesfm3,sg_carpark,4,0.0,0.0,,42
timesfm3,coastal_ts,4,0.0,0.0,,42
timesfm3,boom_hourly,4,0.0,0.0,,42
timesfm3,LOOP_SEATTLE_5T,4,0.0,0.0,,42
timesfm3,electricity_15min,4,0.0,0.0,,42
timesfm3,SZ_TAXI_15T,4,0.0,0.0,,42
timesfm3,monash_london_smart_meters,4,0.0,0.0,,42
timesfm3,m5,4,0.0,0.0,,42
timesfm3,wiki_daily_100k,4,0.0,0.0,,42
timesfm3,monash_traffic,4,0.0,0.0,,42
tirex,m4_hourly,16,0.0,0.0,,54
tirex,monash_electricity_hourly,16,0.0,0.0,,54
tirex,uber_tlc_hourly,16,0.0,0.0,,54
tirex,wind_farms_hourly,16,0.0,0.0,,54
tirex,sg_carpark,16,0.0,0.0,,54
tirex,coastal_ts,16,0.0,0.0,,54
tirex,boom_hourly,16,0.0,0.0,,54
tirex,LOOP_SEATTLE_5T,16,0.0,0.0,,54
tirex,electricity_15min,16,0.0,0.0,,54
tirex,SZ_TAXI_15T,16,0.0,0.0,,54
tirex,monash_london_smart_meters,16,0.0,0.0,,54
tirex,m5,16,0.0,0.0,,54
tirex,wiki_daily_100k,16,0.0,0.0,,54
tirex,monash_traffic,16,0.0,0.0,,54
