model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,SZ_TAXI_15T,SZ Taxi,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.23826646586743797,0.23859952906003365,0.25558068660589367,0.1,False,False,110736,0.25558068660589367,0.2438254146860578,0.26930606866685247,-0.017100828055005818,-0.028513726292369063,-0.008812887442465408,0.853120250344569,0.7932115925311387,0.9242417641769325,-0.06473544993067293,-0.10648974569652718,-0.03610514520711386,2.9474458264797314,2.719492482981735,3.1819070966247383,-0.17959991714042678,-0.23347353187249473,-0.12559112417473772,1.9176166602930345,1.7275355071706342,2.1299013310355717,-0.08971631107075151,-0.12357064387342932,-0.05755762893126085,0.853120250344569,2.9474458264797314,1.9176166602930345
chronos2,SZ_TAXI_15T,SZ Taxi,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.2153422476528707,0.23452815217658496,0.25068474732912505,3.0,True,False,110736,0.25068474732912505,0.24081954637733408,0.26202556098787444,-0.012204888778237194,-0.019273681832381945,-0.006448090435841547,0.8328516515809602,0.7769799299614112,0.9000885529761251,-0.04446685116706417,-0.07847938853685665,-0.02035802533808188,2.8722791273538832,2.65589519265903,3.094797283355794,-0.10443321801457861,-0.1478636958026241,-0.05940582668836,1.8950083077261746,1.7065402641185732,2.1102701052441986,-0.06710795850389162,-0.09300981221022925,-0.040410234133484234,0.8328516515809602,2.8722791273538832,1.8950083077261746
chronos2,SZ_TAXI_15T,SZ Taxi,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,True,False,False,0.20556376160121118,0.22924751048095715,0.24546379338090235,3.0,True,False,110736,0.24546379338090235,0.23646782114863013,0.25550502927448504,-0.006983934830014499,-0.011360615606491393,-0.002818449085148489,0.8151299855250398,0.7654789884513573,0.8730416648112383,-0.026745185111143766,-0.046855703361788376,-0.010820179151475854,2.8162531918805818,2.6103936924625137,3.0308333492371022,-0.04840728254127713,-0.08410986439539733,-0.011079692125742885,1.8558566802165612,1.669054407738902,2.0679100293576935,-0.0279563309942783,-0.04872705834721832,-0.007216259574142141,0.8151299855250398,2.8162531918805818,1.8558566802165612
chronos2,SZ_TAXI_15T,SZ Taxi,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.1993616201501965,0.22668774483295587,0.24297379988890427,3.0,True,False,110736,0.24297379988890427,0.23392868326642574,0.2531056551835858,-0.004493941338016422,-0.008324989794681867,-0.0009322788291730152,0.8121827407315194,0.7606272517901925,0.8719441808896442,-0.02379794031762339,-0.045508249547663665,-0.008666544819313511,2.810289108428298,2.600918734877945,3.0305668501205467,-0.0424431990889933,-0.07017152897530748,-0.015409543403915307,1.8401496042130392,1.654348907867156,2.0517630955353097,-0.012249254990756242,-0.027469909518022965,0.0021737214792932665,0.8121827407315194,2.810289108428298,1.8401496042130392
chronos2,SZ_TAXI_15T,SZ Taxi,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.1963090407829117,0.22617551655723497,0.24052437084416547,3.0,True,False,110736,0.24052437084416547,0.23188555048515974,0.2502604431269738,-0.0020445122932776227,-0.005302735167340585,0.0012875592312178422,0.8017595271371397,0.752207173372425,0.8588085380349081,-0.01337472672324369,-0.03176372977016217,0.00031867187613204227,2.7813612409840776,2.573143280508386,2.99783392265356,-0.013515331644772921,-0.04260112297225992,0.0164304072067165,1.832250419049544,1.6457489095263462,2.046059377007011,-0.00435006982726116,-0.019658210554798376,0.011239794942816003,0.8017595271371397,2.7813612409840776,1.832250419049544
chronos2,SZ_TAXI_15T,SZ Taxi,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.1942718712615659,0.22774274355899066,0.24314396866621116,3.0,True,False,110736,0.24314396866621116,0.23419924365738645,0.25345273577870847,-0.0046641101153233055,-0.008121855825615597,-0.0014769383861372848,0.8073687917466702,0.7574824516641715,0.8655771079511287,-0.018983991332774175,-0.03834503380174471,-0.005034021964107148,2.8030008519552014,2.592467317884264,3.023690522228256,-0.0351549426158968,-0.0618706385214854,-0.008907191503867323,1.8502454907367893,1.6626865900989056,2.0648656120838256,-0.022345141514506395,-0.037706612360614164,-0.007427947920396052,0.8073687917466702,2.8030008519552014,1.8502454907367893
chronos2,SZ_TAXI_15T,SZ Taxi,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.1917419255052398,0.2273015398054551,0.24269161908290324,3.0,True,False,110736,0.24269161908290324,0.2336563874847996,0.2530717615491878,-0.004211760532015385,-0.007284912303424411,-0.0013575182941097574,0.8051596587182707,0.7559236361338432,0.8630130172188432,-0.01677485830437464,-0.03426573928022667,-0.003959142908846908,2.7966932205192485,2.5875013980219475,3.016605263285326,-0.02884731117994388,-0.05257303634315673,-0.00441521068069609,1.8446095662157054,1.6563399193135384,2.058996518918787,-0.016709216993422427,-0.030824656934050704,-0.002772948610887538,0.8051596587182707,2.7966932205192485,1.8446095662157054
chronos2,SZ_TAXI_15T,SZ Taxi,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.18997282247290206,0.22770955838645116,0.24318544366038763,3.0,True,False,110736,0.24318544366038763,0.23418050499585197,0.2534897078712208,-0.0047055851094997825,-0.007670299870033667,-0.0019609402984571756,0.8045717704378647,0.7543693930062216,0.8624019024776346,-0.016186970023968628,-0.03547680430651669,-0.002327075430022113,2.803086964741775,2.589836409610565,3.0246312995567552,-0.035241055402470245,-0.06081819680171676,-0.009353398539131698,1.8529984663782701,1.664872533701396,2.0683904230682284,-0.0250981171559872,-0.03993461203173962,-0.01040896150930256,0.8045717704378647,2.803086964741775,1.8529984663782701
chronos2,SZ_TAXI_15T,SZ Taxi,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.18942827725224465,0.23033072216770586,0.24549759179353714,3.0,True,False,110736,0.24549759179353714,0.23575877347149146,0.25675026866344686,-0.007017733242649288,-0.0114473184952751,-0.0036238597502979944,0.8143655983948056,0.7605329372049495,0.8777936949501365,-0.025980797980909576,-0.05170856537865493,-0.00939256325009524,2.813719676050469,2.6038675330831915,3.0337784108078587,-0.045873766711164166,-0.07276132087027547,-0.020145644578957678,1.8626041262853483,1.6725471447934535,2.078731875994903,-0.03470377706306538,-0.05075917619704235,-0.020032049975511182,0.8143655983948056,2.813719676050469,1.8626041262853483
chronos2,SZ_TAXI_15T,SZ Taxi,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.18874098640870587,0.23184394320616356,0.24491285222272077,3.0,True,False,110736,0.24491285222272077,0.23552390304632867,0.25560390185922954,-0.006432993671832921,-0.010734453833160474,-0.002850394550328827,0.8122652104584097,0.7605232549570409,0.8728340602318194,-0.02388041004451369,-0.04467167156402866,-0.009181583820072718,2.8162109411608824,2.6022569782438065,3.0390538417311608,-0.04836503182157781,-0.07460008691780938,-0.02310014410215455,1.858446947309722,1.6691947969144099,2.073908205873272,-0.030546598087439092,-0.046658250539989274,-0.015965493189660267,0.8122652104584097,2.8162109411608824,1.858446947309722
