model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,boom_hourly,BOOM,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.23123270903889043,0.1976747909971213,0.2005699989149126,0.0001,False,False,110736,0.2005699989149126,0.18885673441960987,0.21358593209294108,-0.06006121810125764,-0.0703777632128847,-0.05070671787864323,2.0234053859740073,1.5735143739718624,2.6745757531369936,-0.5560328124260301,-0.6600336826048191,-0.4685575779572835,0.7003406552473084,0.49682610539055655,0.991101682107215,-0.23270880492383528,-0.3422847281803574,-0.15697409268558288,6.316710530567212,5.27149525651691,7.304901984823035,-2.2540457895575106,-3.1990406647970766,-1.3544979196396902,2.0234053859740073,0.7003406552473084,6.316710530567212
chronos2,boom_hourly,BOOM,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,True,False,False,0.16659302294649814,0.12625445422353382,0.13970608172654095,3.0,True,False,110736,0.13970608172654095,0.12937100457743148,0.15033701283641496,0.0008026990871140005,-0.0034840479774642576,0.005144874189880344,1.3561232617311212,0.9537046449778341,1.9815253337225944,0.11124931181685604,0.0666676440739466,0.1585600280046105,0.42352144969559025,0.30123813483578527,0.5876028114837186,0.04411040062788285,0.017543688849497106,0.0792066423871798,4.060535696384094,3.3571390312627365,4.964928432444419,0.002129044625607257,-0.19150610685366795,0.2417300937555889,1.3561232617311212,0.42352144969559025,4.060535696384094
chronos2,boom_hourly,BOOM,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.1607931059741093,0.12267160904988395,0.13779926937768014,3.0,True,False,110736,0.13779926937768014,0.12699401394863966,0.1488310229480477,0.0027095114359748096,-0.0015758353335477732,0.007127718159160705,1.330112100599621,0.9298206373392248,1.9616420378464714,0.1372604729483562,0.08241638132977741,0.19796140476361823,0.4180663303162264,0.3024752716156556,0.5698175856520996,0.04956552000724668,0.015979060833992347,0.10160826824543598,3.9196459914280113,3.2057795972730347,4.873231198210975,0.14301874958169014,-0.012284793638709799,0.35333061023578666,1.330112100599621,0.4180663303162264,3.9196459914280113
chronos2,boom_hourly,BOOM,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.15454754655061015,0.11882553173828933,0.1328971419525517,3.0,True,False,110736,0.1328971419525517,0.12217356167486369,0.14380258530546713,0.007611638861103248,0.0035188709596161273,0.01187241987777757,1.2159591548305857,0.8178864818771004,1.8420500146186054,0.25141341871739153,0.1842776867696413,0.32428090739874665,0.38279490443260633,0.26983491772108104,0.5322173745478185,0.08483694589086677,0.046123555531991774,0.14089724328411757,3.7897512618137865,3.08325590822922,4.7323171214553055,0.2729134791959149,0.1005614173368312,0.5123457164217556,1.2159591548305857,0.38279490443260633,3.7897512618137865
chronos2,boom_hourly,BOOM,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.15034223382910405,0.11728436424065444,0.13282700197108216,3.0,True,False,110736,0.13282700197108216,0.12188637366644658,0.1438326893415102,0.0076817788425727895,0.0033754803649397092,0.012180388409323397,1.2120436937451817,0.811953760380686,1.8366599024684918,0.2553288798027955,0.18962643071507707,0.32482422447678067,0.38507099173080944,0.2691621100149846,0.5410817396431089,0.08256085859266366,0.04700782646420626,0.1301324054811821,3.772782021426039,3.080927440555076,4.678292272507597,0.2898827195836624,0.07866176982234506,0.5848622267481461,1.2120436937451817,0.38507099173080944,3.772782021426039
chronos2,boom_hourly,BOOM,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.14678113123768116,0.11501233262341407,0.12948696116922098,3.0,True,False,110736,0.12948696116922098,0.1188790885058079,0.14030583896568982,0.011021819644433967,0.007145653491297824,0.015198565203838554,1.1792609021291052,0.7862681833611688,1.8005933383990762,0.28811167141887206,0.21779988277153747,0.3654862215701518,0.373435585759672,0.26346429448553843,0.5204385194699029,0.09419626456380109,0.052477310737241094,0.15374600838448307,3.64588774064125,2.962658898051161,4.555659650859227,0.4167770003684512,0.21441799963474312,0.7160350819067128,1.1792609021291052,0.373435585759672,3.64588774064125
chronos2,boom_hourly,BOOM,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.14481708326562703,0.11637166342408643,0.13170768460521928,3.0,True,False,110736,0.13170768460521928,0.12092838447519952,0.14259041778895856,0.008801096208435666,0.004620364435296006,0.013168274823544619,1.1909244774279808,0.8014420408440535,1.8145324055012786,0.27644809611999643,0.20020083912407266,0.3639785761611459,0.3794501432562263,0.2749733790325815,0.5159798687451863,0.08818170706724682,0.03994242454344826,0.16569233085247187,3.6732651053747514,2.929505566633783,4.687538173008258,0.38939963563495006,0.20788533810261822,0.5867473249587934,1.1909244774279808,0.3794501432562263,3.6732651053747514
chronos2,boom_hourly,BOOM,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.14365962812866764,0.11879116685082347,0.132563424280892,3.0,True,False,110736,0.132563424280892,0.12207611667855227,0.14324828795549369,0.00794535653276296,0.003938807970923133,0.012305124558371582,1.1897007522096097,0.7992991943487414,1.811536184589493,0.27767182133836754,0.19993658324731411,0.3664932746729048,0.3721584704617185,0.2717581841849218,0.5064722353020471,0.09547337986175458,0.04310288980772349,0.1747651975705368,3.6626363489279883,2.935271520412753,4.649785080060812,0.40002839208171315,0.1969766994922582,0.6337690881074471,1.1897007522096097,0.3721584704617185,3.6626363489279883
chronos2,boom_hourly,BOOM,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.14226330708648202,0.1188774451581856,0.13374187089608044,3.0,True,False,110736,0.13374187089608044,0.12312681451374087,0.14450751110295748,0.006766909917574504,0.0026576822644657364,0.011224771607903994,1.2127938087410604,0.8196208880008152,1.8414067101560971,0.2545787648069169,0.17414846076714466,0.3514389702200988,0.3761826431383598,0.2799998073784375,0.5049603307691144,0.09144920718511329,0.03535902057265969,0.18701134121244117,3.6725576670140194,2.8780698881415203,4.737988274348802,0.390107073995682,0.18707549569478193,0.5817714214754229,1.2127938087410604,0.3761826431383598,3.6725576670140194
chronos2,boom_hourly,BOOM,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.14219210531637394,0.11868619959338406,0.1319376549362547,3.0,True,False,110736,0.1319376549362547,0.12169035585626098,0.14229995916968496,0.008571125877400249,0.004853414261903052,0.012619927223103561,1.1902209757607463,0.8031862374147101,1.814013169875086,0.277151597787231,0.19288996005612175,0.38202236580712706,0.36600125646455745,0.2754942402845979,0.488859459581856,0.10163059385891565,0.03920204927964969,0.2102985898455554,3.603484658847148,2.766840285784222,4.702815028130816,0.45918008216255357,0.2151308859805159,0.6880008274352126,1.1902209757607463,0.36600125646455745,3.603484658847148
