model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,monash_traffic,Traffic,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.2352411701174258,0.19786798601387112,0.2063782860645811,1e-05,False,True,110736,0.2063782860645811,0.20127985753289615,0.21157602459647273,-0.11689033235586782,-0.12332156912907105,-0.11065344407102307,1.8171895919887535,1.731943378250947,1.90543579133785,-1.0369416113999064,-1.1128850013266323,-0.9637590429672657,0.027727679085383195,0.02617825986258085,0.029415145085610883,-0.01471593008741369,-0.015642772554828915,-0.013826933679681264,4.355033487521789,4.121340788136094,4.61576279140929,-2.172472626844571,-2.290687322696374,-2.056026590324935,1.8171895919887535,0.027727679085383195,4.355033487521789
chronos2,monash_traffic,Traffic,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.17483901162464785,0.1637674947162621,0.16622112822214155,0.001,False,False,110736,0.16622112822214155,0.15920479125449905,0.17367055650501875,-0.07673317451342826,-0.08215102076864593,-0.07184183583203847,1.6106684887125797,1.4241817982519913,1.8824363743575252,-0.8304205081237327,-1.0860131044044785,-0.6722944124681827,0.0242983098617202,0.022096127304248217,0.02688875030500486,-0.011286560863750694,-0.012973919936446488,-0.009882635658635133,3.838561557811503,3.4983279471452993,4.227825290132794,-1.656000697134285,-1.8616395243363535,-1.4839792742146554,1.6106684887125797,0.0242983098617202,3.838561557811503
chronos2,monash_traffic,Traffic,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.12264244145095092,0.10738049928127354,0.11617331448515864,3.0,True,False,110736,0.11617331448515864,0.11257556014914662,0.11987626126164015,-0.026685360776445344,-0.029314386793447816,-0.023994121573623697,0.9581875959465664,0.9202002400779209,0.9966316226896387,-0.1779396153577194,-0.2002432581837755,-0.15543990219047876,0.01572643301111316,0.014580266559193155,0.016956190365448504,-0.0027146840131436548,-0.003151584859415298,-0.002283280742165111,2.701191017521926,2.5108236307024425,2.9087276640543394,-0.5186301568447078,-0.5792728800788673,-0.4544876978414003,0.9581875959465664,0.01572643301111316,2.701191017521926
chronos2,monash_traffic,Traffic,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.08721308523743618,0.1105459475505898,0.09171297227722087,3.0,True,False,110736,0.09171297227722087,0.08763199089990772,0.09577596577645087,-0.0022250185685075835,-0.004088720138973855,-0.0002843157253192646,0.7421143812184778,0.7072240570305293,0.7776690000325155,0.0381335993703692,0.019189670108900048,0.057730790460101315,0.012763888195507897,0.011673240400507816,0.013916868692209523,0.00024786080246160837,-0.00010414776721640872,0.0006176344525959676,2.214769784611102,2.0332279369062585,2.41088254924457,-0.03220892393388386,-0.08886229023309931,0.029382247747666755,0.7421143812184778,0.012763888195507897,2.214769784611102
chronos2,monash_traffic,Traffic,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.08286079237641102,0.11115863472792029,0.09069821842811035,3.0,True,False,110736,0.09069821842811035,0.08635554889053505,0.09501322917782395,-0.0012102647193970584,-0.002897420747006546,0.0006034279985083201,0.7385110850616188,0.70274808745956,0.7756981739540098,0.04173689552722826,0.022013515371098465,0.06288894776261163,0.012660172585774477,0.011601743407725268,0.01378196073605747,0.0003515764121950291,1.0512719792517411e-05,0.0007286989255017016,2.2024994176054595,2.019418811517708,2.401467199946669,-0.019938556928241535,-0.07419955824214167,0.040893165189529096,0.7385110850616188,0.012660172585774477,2.2024994176054595
chronos2,monash_traffic,Traffic,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.0788761438932831,0.10965678668829776,0.09176561661519622,3.0,True,False,110736,0.09176561661519622,0.08736437734799417,0.09611768874318431,-0.00227766290648293,-0.003970468496079099,-0.0004238079334005021,0.7935216807107466,0.7559126371302763,0.8335298515645614,-0.013273700121899545,-0.031806759886000596,0.007048772560639023,0.013608205626215075,0.012497975850770629,0.014807995084790679,-0.0005964566282455688,-0.0009291882874235802,-0.000240565588969087,2.2194885183172035,2.032797732926982,2.4238968603460838,-0.03692765763998551,-0.09229703891166863,0.024470232989038162,0.7935216807107466,0.013608205626215075,2.2194885183172035
chronos2,monash_traffic,Traffic,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.07735943258439365,0.10721316408963148,0.09309845441909692,3.0,True,False,110736,0.09309845441909692,0.08855946540107368,0.09759041559953555,-0.0036105007103836295,-0.005328903561955643,-0.001741124932007244,0.7855570523486195,0.7456191320685637,0.826781154283464,-0.005309071759772466,-0.025442837119012737,0.016843051558044116,0.013571658276479142,0.012415999293449234,0.014811261945667016,-0.0005599092785096363,-0.0009008592968419321,-0.00020850240098937623,2.2558641419172836,2.065323389374999,2.4640015218575044,-0.07330328124006558,-0.12760371988532948,-0.013928233340843412,0.7855570523486195,0.013571658276479142,2.2558641419172836
chronos2,monash_traffic,Traffic,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.07601793995728366,0.10063444978010108,0.09164751187421893,1.0,False,False,110736,0.09164751187421893,0.08720075338545703,0.09597988678604534,-0.002159558165505643,-0.0037717275474334314,-0.00038493280334554535,0.792002638767764,0.7551115630940808,0.8308906960213577,-0.011754658178916966,-0.03199604092249509,0.010595157423083158,0.013649653232420067,0.01250529726311587,0.014882019970382224,-0.0006379042344505613,-0.0009974243452025697,-0.00026262585416435833,2.220445921718689,2.030215849749044,2.427385447910016,-0.03788506104147116,-0.089956071590793,0.02016119513514849,0.792002638767764,0.013649653232420067,2.220445921718689
chronos2,monash_traffic,Traffic,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.07470831836452187,0.10090284578445304,0.09159875629853656,1.0,False,False,110736,0.09159875629853656,0.0871587443975945,0.09597637562564652,-0.0021108025898232685,-0.0037649470203705423,-0.00033852318621717885,0.7936630540184075,0.7577533414479155,0.8314661514295846,-0.013415073429560498,-0.03155018237131329,0.006277662252464754,0.013624168644704716,0.012484584305378351,0.014844236178745827,-0.00061241964673521,-0.0009476066665536731,-0.0002599630429094993,2.2226494231722285,2.0310828439663196,2.428148545223088,-0.04008856249501047,-0.09346182303144576,0.02032773637656756,0.7936630540184075,0.013624168644704716,2.2226494231722285
chronos2,monash_traffic,Traffic,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.07662111756470659,0.0984187183887449,0.08989918032902798,3.0,True,False,110736,0.08989918032902798,0.0855113964616712,0.09419670974522944,-0.00041122662031468915,-0.0020545008819806195,0.0013994441118859112,0.7245313269568674,0.689473938402243,0.7603684789637015,0.05571665363197964,0.03646158464634712,0.07710829673728979,0.01261230372782077,0.011515913046734202,0.01380791919109487,0.000399445270148735,9.526619607221855e-05,0.0007265088154942908,2.17599552899465,1.991932582784403,2.3772108435930632,0.006565331682567788,-0.04813286538791126,0.07141494985241026,0.7245313269568674,0.01261230372782077,2.17599552899465
