model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,n_depth_points,n_layers_at_wd_grid_max,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,tunnel_index,tunnel_relative_position
chronos2,m4_hourly,M4,complete,L3,0.25,L12,0.1064494425388238,0.11398147299658251,4.027941234058723,0.9289487357509286,47.613632678985596,2026-09-22T03:59:22+00:00,13,9,14,262,262,1394,262,0.06638680642847512,L12+LN,True,chronos2/m4_hourly,exact_dataset,pretraining_exposed,24,3,0.25
chronos2,monash_electricity_hourly,Electricity,complete,L9,0.75,L12,0.08402972304411517,0.11873669027997792,1.0241170355771543,0.836189238049318,86.97375226020813,2026-09-22T06:51:40+00:00,13,7,14,262,262,1394,262,0.09895731385362705,L12+LN,True,chronos2/monash_electricity_hourly,exact_dataset,pretraining_exposed,24,9,0.75
chronos2,uber_tlc_hourly,Uber TLC,complete,L3,0.25,L12,0.1641612615123505,0.18310382660791164,0.9948551817489393,0.8060061844402894,47.4949004650116,2026-09-22T06:52:30+00:00,13,11,14,262,262,1394,262,0.16527190507244752,L12+LN,True,chronos2/uber_tlc_hourly,source_family,pretraining_exposed,24,3,0.25
chronos2,wind_farms_hourly,Wind Farms,complete,L3,0.25,L12,0.16255264942541378,0.16874354203295616,4.9486216483924945,4.3542799551847065,47.32529067993164,2026-09-22T04:04:49+00:00,13,10,14,262,262,1394,262,0.13527465271037017,L12+LN,True,chronos2/wind_farms_hourly,exact_dataset,pretraining_exposed,24,3,0.25
chronos2,sg_carpark,SG Carpark,complete,L10,0.8333333333333334,L12,0.09991709136609304,0.10247694243187622,0.7893857164350062,0.5977898889598999,47.74784588813782,2026-09-22T04:07:56+00:00,13,8,14,354,354,1394,354,0.07320929818923486,L12+LN,True,chronos2/sg_carpark,exact_dataset,not_listed,24,10,0.8333333333333334
chronos2,coastal_ts,Coastal T-S,complete,L1,0.08333333333333333,L12,0.20716067993392548,0.20070386786634722,1.2564807859379343,1.1274563050077802,42.77869391441345,2026-09-22T04:10:58+00:00,13,12,14,48,24,1394,48,0.19243897823616862,L12+LN,True,chronos2/coastal_ts,exact_dataset,not_listed,24,1,0.08333333333333333
chronos2,boom_hourly,BOOM,complete,L1,0.08333333333333333,L12,0.12394166603095114,0.14050878081365495,1.4673725735479772,0.9436372748392822,47.436121702194214,2026-09-22T04:13:57+00:00,13,13,14,354,354,1394,354,0.1062024807498105,L12+LN,True,chronos2/boom_hourly,benchmark_exclusion,not_listed,24,1,0.08333333333333333
chronos2,LOOP_SEATTLE_5T,Loop Seattle,complete,L8,0.6666666666666666,L12,0.19003547662655815,0.1678360085792214,1.1306969861740759,1.2865068302940506,46.53716731071472,2026-09-22T04:17:04+00:00,13,9,14,262,262,1394,262,0.18841547164923816,L12+LN,True,chronos2/LOOP_SEATTLE_5T,benchmark_exclusion,explicitly_held_out,288,8,0.6666666666666666
chronos2,electricity_15min,Electricity 15min,complete,L10,0.8333333333333334,L12,0.10523015394351865,0.16506420983044245,1.5260235347126803,1.2667803585358441,47.171854734420776,2026-09-22T04:20:12+00:00,13,9,14,262,262,1394,262,0.1460116737404881,L12+LN,True,chronos2/electricity_15min,source_level,pretraining_exposed,96,10,0.8333333333333334
chronos2,SZ_TAXI_15T,SZ Taxi,complete,L2,0.16666666666666666,L12,0.2222192789404056,0.23847985855088785,0.788384800413896,0.7733281950337813,45.11882662773132,2026-09-22T04:23:15+00:00,13,13,14,156,156,1394,156,0.23294557592807671,L12+LN,True,chronos2/SZ_TAXI_15T,benchmark_exclusion,explicitly_held_out,96,2,0.16666666666666666
