model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,electricity_15min,Electricity 15min,headline,test,Emb,block_depth,True,0,262,1280,13.785948115182197,0.010770271964986092,0.05281972457924214,2.6236498208688395,0.3145929506155961,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L1,block_depth,True,1,262,1280,29.527659223747083,0.02306848376855241,0.1131327939607168,3.385327424877679,0.23633802415010025,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L2,block_depth,True,2,262,1280,34.81608888426581,0.027200069440832662,0.13339497656806823,3.5500796042020077,0.26778761893353986,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L3,block_depth,True,3,262,1280,38.85129376173716,0.030352573251357158,0.14885553165416537,3.659741377719591,0.26468717382519574,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L4,block_depth,True,4,262,1280,40.135658008093856,0.031355982818823326,0.15377646746396112,3.692265166318807,0.26151433142040076,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L5,block_depth,True,5,262,1280,37.57159369914516,0.029352807577457157,0.14395246628024966,3.626248278147075,0.2624658313700243,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L6,block_depth,True,6,262,1280,43.00972332443505,0.033601346347214886,0.1647882119710155,3.761426213955495,0.21261424632496037,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L7,block_depth,True,7,262,1280,41.44773856321997,0.0323810457525156,0.15880359602766272,3.724433321907668,0.20914943860426072,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L8,block_depth,True,8,262,1280,42.0895109430708,0.032882430424274064,0.161262494034754,3.7397985634009046,0.20003559968193424,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L9,block_depth,True,9,262,1280,43.532261896341716,0.03400957960651697,0.1667902754649108,3.773502315995579,0.18244924394655102,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L10,block_depth,True,10,262,1280,41.28146183752114,0.03225114206056339,0.15816652045027257,3.7204135332769392,0.19604200965056903,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L11,block_depth,True,11,262,1280,40.64097470903345,0.03175076149143238,0.15571254677790594,3.7047767869647377,0.18913273600257716,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L12,block_depth,True,12,262,1280,39.39419449383767,0.030776714448310677,0.15093561108750064,3.6736184575749835,0.20192855747961047,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L13,block_depth,True,13,262,1280,42.02834276726088,0.032834642786922566,0.1610281332078961,3.738344218481405,0.19729689540069495,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L14,block_depth,True,14,262,1280,45.2498419701989,0.03535143903921789,0.1733710420314134,3.812199177768542,0.19024144656345543,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L15,block_depth,True,15,262,1280,49.53554173624933,0.038699641981444786,0.18979134764846486,3.9026904267990123,0.1623320680608605,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L16,block_depth,True,16,262,1280,53.23378400766568,0.041588893755988815,0.20396085826691832,3.974693232534535,0.17511604150696877,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L17,block_depth,True,17,262,1280,54.990818236857145,0.042961576747544646,0.2106927901795293,4.0071662301481945,0.18089945792962017,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L18,block_depth,True,18,262,1280,53.48343147973976,0.04178393084354669,0.20491736199134006,3.979371913970019,0.1759527962634413,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L19,block_depth,True,19,262,1280,32.72989831138532,0.025570233055769782,0.12540190923902422,3.4882889816150553,0.23309170985994637,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,test,L20,block_depth,True,20,262,1280,13.515887973331816,0.010559287479165482,0.051785011392075926,2.603865880369323,0.41126452224000964,261,261.0,True
timesfm3,electricity_15min,Electricity 15min,headline,train,Emb,block_depth,True,0,1394,1280,17.974963632089263,0.014042940337569736,0.014042940337569736,2.8889798803555093,0.24562193183760958,1280,1280.0,True
timesfm3,electricity_15min,Electricity 15min,headline,train,L1,block_depth,True,1,1394,1280,38.465720413168725,0.030051344072788068,0.030051344072788068,3.649767465792283,0.18387391414211057,1280,1280.0,True
timesfm3,electricity_15min,Electricity 15min,headline,train,L2,block_depth,True,2,1394,1280,48.730621484918075,0.038070798035092245,0.038070798035092245,3.8863076104149266,0.20336585617680225,1280,1280.0,True
timesfm3,electricity_15min,Electricity 15min,headline,train,L3,block_depth,True,3,1394,1280,55.870950398167736,0.043649179998568544,0.043649179998568544,4.023044574211782,0.20214422853483685,1280,1280.0,True
timesfm3,electricity_15min,Electricity 15min,headline,train,L4,block_depth,True,4,1394,1280,59.195669092993384,0.04624661647890108,0.04624661647890108,4.080848382000891,0.18949913534889373,1280,1280.0,True
