model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,m4_hourly,M4,headline,test,Emb,block_depth,True,0,262,1280,8.182610866287236,0.0063926647392869036,0.03135099948769056,2.102011276496305,0.40783345333518317,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L1,block_depth,True,1,262,1280,14.417283997436417,0.0112635031229972,0.055238636005503515,2.6684277644244294,0.3196191101357633,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L2,block_depth,True,2,262,1280,16.518522266808365,0.012905095520944035,0.06328935734409336,2.804482312930117,0.33485227986171656,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L3,block_depth,True,3,262,1280,21.246663388176458,0.01659895577201286,0.08140484056772589,3.0561998660149716,0.26190991431060195,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L4,block_depth,True,4,262,1280,20.224787047038195,0.015800614880498588,0.07748960554420764,3.0069089336944725,0.3284771047413593,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L5,block_depth,True,5,262,1280,18.96325180459646,0.014815040472340984,0.07265613718236191,2.942502990802191,0.3784063150821378,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L6,block_depth,True,6,262,1280,21.79533989490211,0.017027609292892272,0.08350704940575521,3.0816961806548795,0.3231723789404804,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L7,block_depth,True,7,262,1280,23.18795109986664,0.018115586796770812,0.08884272452056184,3.143632794620107,0.3136522521300286,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L8,block_depth,True,8,262,1280,22.857198975320358,0.01785718669946903,0.08757547500122742,3.1292661213457653,0.3320891082048643,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L9,block_depth,True,9,262,1280,21.606766708093726,0.016880286490698223,0.08278454677430547,3.0730065391530728,0.36084462089205727,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L10,block_depth,True,10,262,1280,21.184528062617705,0.016550412548920083,0.08116677418627473,3.05327110687111,0.3742090505006083,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L11,block_depth,True,11,262,1280,15.743531096818394,0.012299633669389371,0.060320042516545574,2.756429556889902,0.4633378616809736,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L12,block_depth,True,12,262,1280,12.144206015369747,0.009487660949507615,0.046529524963102475,2.49685218488436,0.537420582939309,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L13,block_depth,True,13,262,1280,15.88589999886875,0.01241085937411621,0.060865517237045016,2.7654319232691047,0.4641035930564101,261,261.0,True
timesfm3,m4_hourly,M4,headline,test,L14,block_depth,True,14,262,1280,15.639630097704115,0.01221846101383134,0.059921954397333776,2.7498080837955383,0.4753396891670073,261,261.0,True
