model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,m5,M5,headline,test,Emb,block_depth,True,0,262,1280,22.881281105001676,0.01787600086328256,0.08766774369732443,3.1303191572955558,0.1700688244379154,261,261.0,True
timesfm3,m5,M5,headline,test,L1,block_depth,True,1,262,1280,31.796506780603238,0.02484102092234628,0.12182569647740704,3.4593564340856497,0.130300000750999,261,261.0,True
timesfm3,m5,M5,headline,test,L2,block_depth,True,2,262,1280,44.26976828513296,0.034585756472760125,0.16961597044112245,3.790302012601889,0.11991005560731355,261,261.0,True
timesfm3,m5,M5,headline,test,L3,block_depth,True,3,262,1280,56.46720877444004,0.04411500685503128,0.21634945890590054,4.033660093995614,0.12398837242573045,261,261.0,True
timesfm3,m5,M5,headline,test,L4,block_depth,True,4,262,1280,60.6067235286685,0.04734900275677227,0.2322096686922165,4.1044058362388105,0.14684000700544195,261,261.0,True
timesfm3,m5,M5,headline,test,L5,block_depth,True,5,262,1280,60.24136365168618,0.047063565352879824,0.23080982242025355,4.098359220215608,0.19089009128240944,261,261.0,True
timesfm3,m5,M5,headline,test,L6,block_depth,True,6,262,1280,53.6318976944917,0.041899920073821637,0.20548619806318658,3.9821439973117756,0.21881782384128515,261,261.0,True
timesfm3,m5,M5,headline,test,L7,block_depth,True,7,262,1280,45.33024302548731,0.03541425236366196,0.17367909205167553,3.813974426188934,0.23129307932624327,261,261.0,True
timesfm3,m5,M5,headline,test,L8,block_depth,True,8,262,1280,49.3693836926673,0.038569831009896326,0.18915472679182874,3.89933046875488,0.231266808899046,261,261.0,True
timesfm3,m5,M5,headline,test,L9,block_depth,True,9,262,1280,44.74236612955699,0.0349549735387164,0.17142669015155934,3.800920840885215,0.26394455767737035,261,261.0,True
timesfm3,m5,M5,headline,test,L10,block_depth,True,10,262,1280,38.73439557368086,0.03026124654193817,0.14840764587617186,3.6567279798232497,0.2860023381669265,261,261.0,True
timesfm3,m5,M5,headline,test,L11,block_depth,True,11,262,1280,36.469672555687744,0.02849193168413105,0.1397305461903745,3.596481026323681,0.3279082819178556,261,261.0,True
timesfm3,m5,M5,headline,test,L12,block_depth,True,12,262,1280,31.863774720196663,0.024893574000153643,0.1220834280467305,3.4614697758128194,0.3722119978628883,261,261.0,True
timesfm3,m5,M5,headline,test,L13,block_depth,True,13,262,1280,35.1525494937402,0.027462929291984534,0.13468409767716552,3.55969714745397,0.332692055443147,261,261.0,True
timesfm3,m5,M5,headline,test,L14,block_depth,True,14,262,1280,43.250923486038594,0.03378978397346765,0.16571235052122066,3.7670185854282807,0.2685990536786216,261,261.0,True
timesfm3,m5,M5,headline,test,L15,block_depth,True,15,262,1280,41.013107256657314,0.03204149004426353,0.15713834197952994,3.7138917048013718,0.2797268582730993,261,261.0,True
timesfm3,m5,M5,headline,test,L16,block_depth,True,16,262,1280,40.375730268219186,0.03154353927204624,0.15469628455256393,3.698228868517806,0.29428424742222564,261,261.0,True
timesfm3,m5,M5,headline,test,L17,block_depth,True,17,262,1280,48.42943841719091,0.0378354987634304,0.18555340389728317,3.880107860584762,0.19150237470776704,261,261.0,True
timesfm3,m5,M5,headline,test,L18,block_depth,True,18,262,1280,30.610950667309833,0.023914805208835807,0.11728333589007599,3.4213578098847144,0.3069442176882547,261,261.0,True
timesfm3,m5,M5,headline,test,L19,block_depth,True,19,262,1280,18.37577840571558,0.014356076879465296,0.07040528124795241,2.911033406417461,0.35215399689451266,261,261.0,True
timesfm3,m5,M5,headline,test,L20,block_depth,True,20,262,1280,22.06616431030059,0.017239190867422337,0.08454469084406356,3.094045408621484,0.3126176925517148,261,261.0,True
timesfm3,m5,M5,headline,train,Emb,block_depth,True,0,1394,1280,25.303421328668236,0.019768297913022058,0.019768297913022058,3.2309396169728144,0.1476160203319936,1280,1280.0,True
timesfm3,m5,M5,headline,train,L1,block_depth,True,1,1394,1280,36.82741833791916,0.028771420576499347,0.028771420576499347,3.6062426312832545,0.11287154211200374,1280,1280.0,True
timesfm3,m5,M5,headline,train,L2,block_depth,True,2,1394,1280,55.112216644922334,0.043056419253845575,0.043056419253845575,4.009371409276824,0.11861680953687694,1280,1280.0,True
timesfm3,m5,M5,headline,train,L3,block_depth,True,3,1394,1280,75.40952832654611,0.05891369400511415,0.05891369400511415,4.322933637408442,0.13700756719650128,1280,1280.0,True
timesfm3,m5,M5,headline,train,L4,block_depth,True,4,1394,1280,79.91789717203201,0.06243585716565001,0.06243585716565001,4.380999822332879,0.17781947288671276,1280,1280.0,True
timesfm3,m5,M5,headline,train,L5,block_depth,True,5,1394,1280,82.49468378955787,0.06444897171059208,0.06444897171059208,4.412733852349909,0.2130706524157867,1280,1280.0,True
timesfm3,m5,M5,headline,train,L6,block_depth,True,6,1394,1280,75.45205454469058,0.058946917613039516,0.058946917613039516,4.3234974153890455,0.233876094701366,1280,1280.0,True
timesfm3,m5,M5,headline,train,L7,block_depth,True,7,1394,1280,64.68946119706693,0.05053864156020854,0.05053864156020854,4.169598301022397,0.23914713522780986,1280,1280.0,True
timesfm3,m5,M5,headline,train,L8,block_depth,True,8,1394,1280,67.5043534554053,0.05273777613703538,0.05273777613703538,4.212192091434364,0.24395181713770997,1280,1280.0,True
timesfm3,m5,M5,headline,train,L9,block_depth,True,9,1394,1280,62.161486050617405,0.04856366097704485,0.04856366097704485,4.129735612636842,0.2665703921870068,1280,1280.0,True
timesfm3,m5,M5,headline,train,L10,block_depth,True,10,1394,1280,52.866251062232706,0.041301758642369304,0.041301758642369304,3.967765159131612,0.29256684892943396,1280,1280.0,True
timesfm3,m5,M5,headline,train,L11,block_depth,True,11,1394,1280,51.443024304693054,0.04018986273804145,0.04018986273804145,3.9404748710606388,0.3296923785516144,1280,1280.0,True
timesfm3,m5,M5,headline,train,L12,block_depth,True,12,1394,1280,45.039462390984674,0.035187079992956775,0.035187079992956775,3.8075390475031963,0.362639494500699,1280,1280.0,True
