model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,m5,M5,0,Emb,embedding,block_depth,True,0,0.0,0.0,True,False,False,0.2590748965740204,0.28751739859580994,0.3028434216976166,30.0,True,False,737856,0.3028434367125271,0.28716518861163437,0.3195959374422335,-0.009019337736695776,-0.012297219550237054,-0.006042375972224359,1.0974900366760936,0.9922314681702583,1.2220035525299742,-0.024049283293683388,-0.042348296260891136,-0.008823468945422193,1.056311628954928,0.8938391514256645,1.249420955334067,-0.003538809181500957,-0.023825713062672563,0.01876501341181124,5.455749602403013,4.861655449933192,6.216411671332449,-0.07520835995716091,-0.17028332971375998,0.002622102567682679,1.0974900366760936,1.056311628954928,5.455749602403013
timesfm3,m5,M5,1,L1,block,block_depth,True,1,0.05,0.05,False,False,False,0.24380484223365784,0.2808174788951874,0.2963075041770935,30.0,True,False,737856,0.2963074898588976,0.28045138348718635,0.3131413869442461,-0.002483390883066261,-0.005418536785407059,0.00010587121182269078,1.088545342440172,0.9840579681485634,1.2101575303454604,-0.015104589057761908,-0.03320814002005183,-0.0005913156019563398,1.0549269867053999,0.8927252252462872,1.2485658047395927,-0.0021541669319729007,-0.022652979602632,0.020260508373441836,5.372543583542604,4.811292569647101,6.106724444375476,0.007997658903247995,-0.06735638614982276,0.07948109164015807,1.088545342440172,1.0549269867053999,5.372543583542604
timesfm3,m5,M5,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.2334715574979782,0.2808746099472046,0.29694947600364685,30.0,True,False,737856,0.2969494889852882,0.28093984574150604,0.3135714644306688,-0.0031253900094568854,-0.0062369621248617585,-0.0004406484526418844,1.1020867773150897,0.9983024305508494,1.224893993876178,-0.028646023932679565,-0.046718391962186516,-0.014196272057729569,1.0622410557378394,0.8998422861504438,1.2567008853056385,-0.009468235964412486,-0.026743230414600333,0.007941358196703266,5.399558200917578,4.8517645647395975,6.121089576905299,-0.019016958471726575,-0.08775373267959008,0.0457966159648734,1.1020867773150897,1.0622410557378394,5.399558200917578
timesfm3,m5,M5,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.22622694075107574,0.28197479248046875,0.2978065013885498,30.0,True,False,737856,0.2978064922175107,0.2819300037300399,0.31433124014475017,-0.003982393241679372,-0.007169296523868908,-0.00112756792605209,1.103990974162362,0.999802787563403,1.226609672193525,-0.03055022077995173,-0.04995430387037492,-0.014246099335541176,1.056681332133634,0.8953858773053898,1.2497449699111622,-0.0039085123602069505,-0.01829199527714945,0.011728264380695776,5.395290444760159,4.829855687223131,6.12289458002863,-0.014749202314306764,-0.09117708851663434,0.056138396928831824,1.103990974162362,1.056681332133634,5.395290444760159
timesfm3,m5,M5,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.2240438014268875,0.28266075253486633,0.2981594204902649,30.0,True,False,737856,0.2981593927212116,0.28243764993869735,0.3146773052974142,-0.004335293745380275,-0.007209505205831797,-0.0017341112913492596,1.1015000412976996,0.9971931411186659,1.2247006477133549,-0.028059287915289444,-0.04501958341815803,-0.013931081338927098,1.060457237574436,0.8998581742690859,1.2551745566758323,-0.007684417801009147,-0.020275459936634783,0.005428314879641151,5.418554076804701,4.8646124758482365,6.145095094584017,-0.038012834358848835,-0.10790316875672515,0.030987274681881703,1.1015000412976996,1.060457237574436,5.418554076804701
timesfm3,m5,M5,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.2231428176164627,0.28389430046081543,0.2983337938785553,30.0,True,False,737856,0.2983337917884115,0.2828408337742062,0.31465156516842263,-0.004509692812580179,-0.007235555512873299,-0.001973473858301582,1.1018111757550137,0.9980748555512893,1.2255913379545453,-0.028370422372603565,-0.04531207662158187,-0.01439407335381164,1.0645223430880006,0.8997976761370247,1.2638079088632665,-0.011749523314573684,-0.024919314301696,0.0007691525040988941,5.441104203584261,4.893500492175699,6.171359779203912,-0.060562961138408866,-0.13137148540542848,0.014610056844046237,1.1018111757550137,1.0645223430880006,5.441104203584261
timesfm3,m5,M5,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.22277821600437164,0.28332093358039856,0.2978508770465851,30.0,True,False,737856,0.29785086479009565,0.28252710508012024,0.31403486390974916,-0.00402676581426431,-0.006395181191672825,-0.001771719128476453,1.097407276236268,0.9936071681925793,1.2207197749158611,-0.02396652285385792,-0.038965078945964744,-0.01126960905572832,1.0591825802557169,0.8975190388885839,1.2568457040871512,-0.006409760482289917,-0.018037849246356145,0.005030669620974588,5.432390366776296,4.889235658737435,6.1554532502632435,-0.05184912433044442,-0.11832958099323503,0.014322854785111904,1.097407276236268,1.0591825802557169,5.432390366776296
timesfm3,m5,M5,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.220703125,0.2838802635669708,0.2976246178150177,30.0,True,False,737856,0.29762460477650166,0.28201591665607717,0.3140895319299218,-0.0038005058006703174,-0.0063513849712623985,-0.0015289922561212467,1.0962406728243346,0.9923240220777383,1.2204949284552227,-0.022799919441924388,-0.03939892102877421,-0.009178526368309523,1.064004062819818,0.8983005365146302,1.2636244286871485,-0.011231243046391004,-0.031219541560264723,0.005180959476092359,5.451630512041056,4.903174571614401,6.162229348139867,-0.07108926959520456,-0.13275585314344424,-0.011502835372123025,1.0962406728243346,1.064004062819818,5.451630512041056
timesfm3,m5,M5,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.22131502628326416,0.28379306197166443,0.29698821902275085,30.0,True,False,737856,0.2969881944955533,0.28132240804417047,0.3135208842536534,-0.0031640955197219656,-0.0056820459564337665,-0.0009402549534126072,1.0902121779086205,0.9864463800954963,1.2128490655156283,-0.016771424526210277,-0.03234982076140464,-0.0044654639745454775,1.0655311273301438,0.8959528615775632,1.2717537366822735,-0.012758307556716808,-0.031729483018865995,0.0031272622488901047,5.449900703742801,4.9134897024147595,6.151582911725305,-0.06935946129694948,-0.1288406504174532,-0.004332341269612085,1.0902121779086205,1.0655311273301438,5.449900703742801
timesfm3,m5,M5,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.2214190810918808,0.283243328332901,0.2970724403858185,30.0,True,False,737856,0.2970724369875575,0.28143052292760207,0.3136405881341433,-0.0032483380117261373,-0.0056206345771446535,-0.0011013296638963473,1.0892571581284018,0.9861607540855187,1.2124750104129376,-0.015816404745991663,-0.030424097173843433,-0.004042511538446737,1.0612511136959355,0.8953842130053139,1.2617243344634737,-0.00847829392250854,-0.0219169457930181,0.0037086453893741176,5.45628206560628,4.926372987188282,6.155076507739885,-0.0757408231604284,-0.13754530280387606,-0.008997088626315434,1.0892571581284018,1.0612511136959355,5.45628206560628
timesfm3,m5,M5,10,L10,block,block_depth,True,10,0.5,0.5,False,False,False,0.22172969579696655,0.2834826111793518,0.2967492341995239,30.0,True,False,737856,0.2967492296637697,0.2810018871775793,0.3134060599204892,-0.002925130687938371,-0.005462811437243529,-0.0007530322849380717,1.0965111162225658,0.9933725704990629,1.219297893782121,-0.023070362840155623,-0.039092343462215094,-0.010468995800828891,1.0678014165927407,0.900346483487364,1.2725059737436824,-0.015028596819313789,-0.030480845123234755,-0.0008410158439353171,5.449705925298924,4.915655057645139,6.141732932749424,-0.06916468285307253,-0.12419252197421142,-0.012048114527307283,1.0965111162225658,1.0678014165927407,5.449705925298924
timesfm3,m5,M5,11,L11,block,block_depth,True,11,0.55,0.55,False,False,False,0.22107942402362823,0.28272193670272827,0.29602208733558655,30.0,True,False,737856,0.2960220882171438,0.28024207225197373,0.31258061011073013,-0.0021979892413124813,-0.004830365185803581,5.646271147691647e-05,1.093597371865143,0.9897879424919107,1.2174820610731096,-0.02015661848273287,-0.03778366752582284,-0.006834864111074761,1.076244647399997,0.900739623713006,1.2889977773936214,-0.023471827626569963,-0.05384521313261069,-0.0012346286147295452,5.462190408771093,4.938981223159056,6.130687029416258,-0.08164916632524122,-0.15019252658615048,-0.00596565553763056,1.093597371865143,1.076244647399997,5.462190408771093
timesfm3,m5,M5,12,L12,block,block_depth,True,12,0.6,0.6,False,False,False,0.2211279571056366,0.28295058012008667,0.2967795431613922,30.0,True,False,737856,0.29677954195280565,0.2811299774511397,0.3133071934583931,-0.0029554429769743096,-0.005543458557026547,-0.0007061760872602504,1.0928397399905752,0.9894484758710691,1.216454298836862,-0.01939898660816497,-0.03729482888977441,-0.005849296995924903,1.0735030589885033,0.9014361435556115,1.2859589239120714,-0.02073023921507633,-0.04431628539379252,-0.0020332245327985355,5.480710036494833,4.965317917770871,6.1483520725734495,-0.10016879404898127,-0.16461126163394574,-0.025433880246341176,1.0928397399905752,1.0735030589885033,5.480710036494833
timesfm3,m5,M5,13,L13,block,block_depth,True,13,0.65,0.65,False,False,False,0.22316071391105652,0.2815350592136383,0.2959767282009125,30.0,True,False,737856,0.29597675200295814,0.28033121611268924,0.3123579819949756,-0.002152653027126805,-0.004634316471042764,5.8769093797977095e-05,1.0938915279994372,0.9901727192108027,1.2177180300664192,-0.020450774617027045,-0.03682221299534856,-0.007733018778417795,1.0700097463606648,0.9003461977911537,1.2782926168994218,-0.017236926587237855,-0.03485567557378978,-0.001528254974951581,5.4507476859931865,4.926592503951934,6.130884268207325,-0.07020644354733463,-0.1308973834956933,0.0001285537231302415,1.0938915279994372,1.0700097463606648,5.4507476859931865
timesfm3,m5,M5,14,L14,block,block_depth,True,14,0.7,0.7,False,False,False,0.22292928397655487,0.28200554847717285,0.2961290776729584,30.0,True,False,737856,0.2961290799052888,0.2806141658241768,0.31255480643141414,-0.0023049809294574675,-0.004799760915410068,-1.585763161078173e-05,1.0913540684455618,0.9872160719855276,1.2146406398455944,-0.017913315063151636,-0.03388036002801831,-0.004720710289558449,1.0605061139731,0.896238217248816,1.2571590375582584,-0.0077332941996730575,-0.02264367031744684,0.006439086153584894,5.4462706716308285,4.922036261873792,6.132706938369234,-0.0657294291849766,-0.1268212798678992,0.005114322477977272,1.0913540684455618,1.0605061139731,5.4462706716308285
timesfm3,m5,M5,15,L15,block,block_depth,True,15,0.75,0.75,False,False,False,0.2238190770149231,0.28196465969085693,0.29599231481552124,30.0,True,False,737856,0.2959923220670405,0.28039585580509013,0.3124027939371139,-0.002168223091209176,-0.0045008194014316645,3.475331104154839e-05,1.0920720667389345,0.988352469488019,1.214620001196673,-0.01863131335652435,-0.033307803363499935,-0.006013721806482303,1.0623648533396686,0.8949659327655601,1.2636648649265032,-0.009592033566241609,-0.026726150946158978,0.0060665429918693465,5.446576021147326,4.923894230622053,6.131336196857212,-0.06603477870147412,-0.12645120984941072,0.005471134909800574,1.0920720667389345,1.0623648533396686,5.446576021147326
