model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,Emb,block_depth,True,0,262,1280,22.52303532640747,0.017596121348755836,0.08629515450730832,3.1145385777772514,0.13998542360793356,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L1,block_depth,True,1,262,1280,33.42727199704332,0.026115056247690095,0.1280738390691315,3.5093720936635373,0.1237635758639201,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L2,block_depth,True,2,262,1280,43.76073405219123,0.0341880734782744,0.16766564770954495,3.778736932474663,0.13796276876999206,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L3,block_depth,True,3,262,1280,54.30665569727927,0.042427074763499426,0.20807147776735352,3.99464679212238,0.13966949164935716,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L4,block_depth,True,4,262,1280,65.12814054027751,0.05088135979709181,0.24953310551830465,4.176356722178044,0.12795651694222018,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L5,block_depth,True,5,262,1280,69.93092268540427,0.05463353334797209,0.2679345696758784,4.247507936043205,0.12836437430570563,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L6,block_depth,True,6,262,1280,67.1513916040151,0.0524620246906368,0.25728502530273983,4.206949646567097,0.13674000361451058,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L7,block_depth,True,7,262,1280,66.89161767567066,0.052259076309117705,0.2562897228952899,4.203073662956149,0.1415220460242657,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L8,block_depth,True,8,262,1280,62.41423019680344,0.048761117341252685,0.23913498159694804,4.13379329740208,0.14693529111240372,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L9,block_depth,True,9,262,1280,59.050698421252676,0.04613335814160365,0.2262478866714662,4.078396370198365,0.1755312697463132,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L10,block_depth,True,10,262,1280,55.743957721341964,0.04354996696979841,0.21357838207410715,4.020769022786545,0.17996234111932652,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L11,block_depth,True,11,262,1280,58.376944556515376,0.04560698793477764,0.2236664542395225,4.066921026894896,0.1781547737553835,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L12,block_depth,True,12,262,1280,52.255177980696594,0.04082435779741921,0.20021140988772643,3.9561389860438547,0.19561365449190224,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L13,block_depth,True,13,262,1280,52.26842674180308,0.04083470839203366,0.2002621714245329,3.9563924935881576,0.20317453936328078,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L14,block_depth,True,14,262,1280,57.026256186820675,0.04455176264595365,0.2184914030146386,4.043511796631386,0.1803097611244871,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L15,block_depth,True,15,262,1280,59.429826967871286,0.04642955231864944,0.2277004864669398,4.084796237846,0.15346289414052797,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L16,block_depth,True,16,262,1280,60.89691027907687,0.047575711155528805,0.23332149532213362,4.109182439095108,0.1545548183028606,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L17,block_depth,True,17,262,1280,60.16300707475436,0.04700234927715184,0.23050960565039985,4.097057663012647,0.15314597192712906,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L18,block_depth,True,18,262,1280,59.8461088985646,0.0467547725770036,0.22929543639296782,4.09177641566431,0.12166892366918605,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L19,block_depth,True,19,262,1280,38.86238715215188,0.030361239962618657,0.14889803506571603,3.6600268716084305,0.18415475077406585,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,test,L20,block_depth,True,20,262,1280,36.514533372535944,0.028526979197293707,0.1399024267146971,3.597710355928006,0.20763462680068184,261,261.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,train,Emb,block_depth,True,0,1394,1280,28.36044265851932,0.02215659582696822,0.02215659582696822,3.3449953100935716,0.10122806029030641,1280,1280.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,train,L1,block_depth,True,1,1394,1280,43.45080113473977,0.03394593838651545,0.03394593838651545,3.771629289625191,0.08712745368037042,1280,1280.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,train,L2,block_depth,True,2,1394,1280,64.19449258742405,0.05015194733392504,0.05015194733392504,4.161917421773535,0.101958364075712,1280,1280.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,train,L3,block_depth,True,3,1394,1280,88.92736189747792,0.06947450148240462,0.06947450148240462,4.487819878038194,0.09601335235975324,1280,1280.0,True
timesfm3,monash_london_smart_meters,London Smart Meters,headline,train,L4,block_depth,True,4,1394,1280,109.39475293188929,0.08546465072803851,0.08546465072803851,4.694962926606297,0.09254632917199325,1280,1280.0,True
