model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.24113532900810242,0.23068931698799133,0.31709733605384827,10.0,False,False,737856,0.3170973009195264,0.30479897587801835,0.3298902430226813,-0.054025989168017874,-0.06057876540340823,-0.047718510666563525,1.1658821612901973,1.1105991891449283,1.224777609652335,-0.22418859065484953,-0.25395547097319143,-0.19610263097496317,7.663101494910397,6.160905508456901,9.307631910609564,-2.039836759387228,-2.553103756237085,-1.57487420457387,3.1728741418107607,3.0068962279097358,3.3417172341120014,-0.786359301866097,-0.8782895588660914,-0.6890212724442568,1.1658821612901973,7.663101494910397,3.1728741418107607
timesfm3,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.05,0.05,True,False,False,0.20403404533863068,0.21481013298034668,0.28897368907928467,10.0,False,False,737856,0.28897369596111866,0.27797619118764,0.3000695227579576,-0.025902384209610108,-0.029358464878990936,-0.022341432620749873,1.035585518067696,0.9925791935834288,1.0821157241808617,-0.0938919474323483,-0.11086852583524436,-0.07623366976923872,6.505540559520755,5.254993811545995,7.889689539744107,-0.8822758239975856,-1.1223804198441802,-0.6661673288608748,2.7392543760261083,2.6091375036093947,2.8733340712222364,-0.3527395360814447,-0.40079143082029933,-0.3001767201437426,1.035585518067696,6.505540559520755,2.7392543760261083
timesfm3,uber_tlc_hourly,Uber TLC,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.2010699063539505,0.2103758156299591,0.2875838875770569,30.0,True,False,737856,0.28758387732539925,0.2768505490257028,0.29876016490410245,-0.0245125655738907,-0.02792821275710149,-0.021058852386923916,1.0381638067842516,0.9955686748639802,1.0837397457268567,-0.09647023614890382,-0.11018062833609847,-0.08253864012403563,6.556029200062751,5.3043462912319495,7.933842231315604,-0.9327644645395816,-1.1634159063184637,-0.7205263637350324,2.743693397282675,2.620401781680595,2.871329335423818,-0.3571785573380115,-0.39541637970907095,-0.31482325405063905,1.0381638067842516,6.556029200062751,2.743693397282675
timesfm3,uber_tlc_hourly,Uber TLC,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.19294898211956024,0.2104935497045517,0.2824942469596863,30.0,True,False,737856,0.282494229641352,0.2719816586475478,0.2932126866977036,-0.01942291788984346,-0.022209685713493535,-0.01654043722478322,1.0105194760175171,0.969066170781466,1.0554440534512903,-0.06882590538216937,-0.0815544859145925,-0.055380086677168164,6.200875639497936,5.016543525666578,7.521725396283769,-0.577610903974767,-0.7563514862746318,-0.419043730557792,2.651526716722012,2.524617948386763,2.7838209639336116,-0.2650118767773484,-0.3063548590589636,-0.2206656193022008,1.0105194760175171,6.200875639497936,2.651526716722012
timesfm3,uber_tlc_hourly,Uber TLC,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.1918952316045761,0.21119870245456696,0.28212517499923706,30.0,True,False,737856,0.2821251840849642,0.27168400173132373,0.2927966804627528,-0.019053872333455624,-0.021707221096068725,-0.016258711055034913,1.0244213601633017,0.9806092142645167,1.0716783827718697,-0.0827277895279539,-0.09577100821111117,-0.06972847488290261,6.36445282312862,5.131450637652311,7.734066898126561,-0.7411880876054511,-0.9600842888027129,-0.5441692201296666,2.6946091900350466,2.558159108254769,2.8388034657324566,-0.308094350090383,-0.3546513855787734,-0.25919866530866453,1.0244213601633017,6.36445282312862,2.6946091900350466
timesfm3,uber_tlc_hourly,Uber TLC,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.1908281445503235,0.2104276418685913,0.27560505270957947,30.0,True,False,737856,0.2756050488136652,0.2655749900198989,0.2858667365421065,-0.012533737062156658,-0.014670993560811382,-0.010244543593064072,1.0025911953227669,0.9592068403543911,1.0496378290273745,-0.060897624687419105,-0.07290924901292324,-0.04910503444827725,6.139106411571192,4.953702116633875,7.46274289416602,-0.5158416760480229,-0.6950684392412871,-0.35712774486534254,2.5835916404848263,2.4536289867966086,2.7170571210240455,-0.19707680054016263,-0.2335593645535492,-0.1580984248956366,1.0025911953227669,6.139106411571192,2.5835916404848263
timesfm3,uber_tlc_hourly,Uber TLC,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.19376841187477112,0.21047033369541168,0.27810993790626526,30.0,True,False,737856,0.27810994626684044,0.2678990083590207,0.28851057802973923,-0.015038634515331883,-0.01748898859235338,-0.01250442120545185,1.011465324822061,0.9686420917147177,1.0580755244764857,-0.06977175418671333,-0.08155448350469853,-0.05799040977394255,6.224261180204977,5.016743199245719,7.570665060653564,-0.6009964446818081,-0.7994309527839747,-0.4297726870191128,2.626445951565792,2.491921800854925,2.767416183731522,-0.23993111162112823,-0.2848420815313863,-0.19395561136205872,1.011465324822061,6.224261180204977,2.626445951565792
timesfm3,uber_tlc_hourly,Uber TLC,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.19488568603992462,0.21031372249126434,0.27492961287498474,30.0,True,False,737856,0.27492957296319137,0.2648955214857515,0.2851775631237462,-0.011858261211682819,-0.014189555043823873,-0.009355441479808633,1.005239167054006,0.9620555859380222,1.052291341661149,-0.0635455964186582,-0.07594987007772372,-0.05157194469278899,6.13087630063221,4.951900165493698,7.437485553528984,-0.5076115651090403,-0.6765542832915666,-0.3603389255100475,2.593207012257898,2.4574126288956957,2.7341483513796363,-0.20669217231323422,-0.25045107007462014,-0.1619557749626195,1.005239167054006,6.13087630063221,2.593207012257898
timesfm3,uber_tlc_hourly,Uber TLC,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.19746549427509308,0.21047233045101166,0.2750397324562073,30.0,True,False,737856,0.2750397303660635,0.26497155633036984,0.2852757153094156,-0.011968418614554943,-0.01452381381274464,-0.009301222119309767,1.0035473932725896,0.9607752406790308,1.0506615396360366,-0.06185382263724182,-0.07384821835912536,-0.050205625117320574,6.200717853816203,4.994770003968528,7.5446381592022815,-0.5774531182930334,-0.7877465609989298,-0.39508671524397876,2.596914575465964,2.4559432634736083,2.7419099938718383,-0.21039973552130053,-0.26483557989139883,-0.15549390734933558,1.0035473932725896,6.200717853816203,2.596914575465964
timesfm3,uber_tlc_hourly,Uber TLC,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.19863931834697723,0.21292860805988312,0.27606311440467834,30.0,True,False,737856,0.2760631362018922,0.26589942517235365,0.2864184955124324,-0.01299182445038366,-0.015789235077926334,-0.010103480024121097,1.005677472717393,0.962119091017313,1.0527963374033968,-0.06398390208204519,-0.07625223335697029,-0.05109131125878876,6.227303689920595,5.017514960619729,7.580834179201842,-0.604038954397426,-0.8273792789157947,-0.41213584309888035,2.624331141645706,2.4831254549848016,2.769723001258367,-0.2378163017010424,-0.29682726481144234,-0.17701138516265344,1.005677472717393,6.227303689920595,2.624331141645706
