model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,Emb,block_depth,True,0,262,1280,22.56885375846075,0.017631916998797462,0.08647070405540518,3.1165708034724755,0.15388382067391979,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L1,block_depth,True,1,262,1280,30.280160219241388,0.023656375171282336,0.11601593953732332,3.41049271981157,0.1378780389345791,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L2,block_depth,True,2,262,1280,37.195073538604085,0.029058651202034443,0.14250986030116508,3.6161763207512867,0.16156798633490793,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L3,block_depth,True,3,262,1280,43.062136371453846,0.03364229404019832,0.16498902824311817,3.76264410453396,0.18635206226422696,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L4,block_depth,True,4,262,1280,47.362286457375525,0.03700178629482463,0.1814646990704043,3.857826267648897,0.18039564648814702,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L5,block_depth,True,5,262,1280,46.97417168127665,0.036698571625997385,0.17997766927692205,3.849597911962086,0.2008944948814268,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L6,block_depth,True,6,262,1280,41.230358195976656,0.032211217340606765,0.15797072105738183,3.7191748344321414,0.2607159137543439,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L7,block_depth,True,7,262,1280,39.671782795026786,0.030993580308614675,0.15199916779703748,3.6806401741523547,0.26475723706917753,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L8,block_depth,True,8,262,1280,39.583279231869476,0.030924436899898027,0.15166007368532367,3.678406787471883,0.2721937983635589,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L9,block_depth,True,9,262,1280,39.49359827560295,0.030854373652814803,0.15131646848890018,3.676138589800404,0.278929615486866,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L10,block_depth,True,10,262,1280,33.39736863651028,0.026091694247273655,0.12795926680655278,3.508477113541069,0.28984000860708226,261,261.0,True
timesfm3,wiki_daily_100k,Wiki Daily,headline,test,L11,block_depth,True,11,262,1280,36.674742900372166,0.028652142890915756,0.140516256323265,3.6020883137896726,0.30917335012876496,261,261.0,True
