model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,boom_hourly,BOOM,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,10.830522537231445,0.19950539394581723,0.24788792681811894,10.0,False,False,147744,0.24788792681811894,0.20195369425934798,0.3097234765414969,-0.03544870590906865,-0.04144413173448629,-0.029398469703198333,1.4019449305626235,0.9852187030946541,2.043095052640889,-0.22834704365637992,-0.29128776271088985,-0.17114009738240452,0.4788578284408377,0.32995995615537094,0.6887600072936205,-0.0910162767597068,-0.1208767095329398,-0.06504992549674186,4.74408605454741,3.9650488841798524,5.522789487605949,-0.9117318512661927,-1.3340331356171178,-0.6039037380260683,1.4019449305626235,0.4788578284408377,4.74408605454741
tirex,boom_hourly,BOOM,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,True,False,False,10.791666984558105,0.16442832033975988,0.2156359580592752,3.0,False,False,147744,0.2156359580592752,0.16850004621247344,0.2791937793145945,-0.003196737150224921,-0.008517248585220377,0.0028373756828733647,1.207317955455297,0.784966138324757,1.879848606866432,-0.03372006854905352,-0.09976819236984609,0.02930509048581792,0.3810260455708509,0.25790057252841814,0.5492517091419793,0.0068155061102799785,-0.03208185040571893,0.07003890088753523,3.6366152822668303,2.944606806123311,4.4865392557239865,0.1957389210143874,-0.21825409465834936,0.701292737858419,1.207317955455297,0.3810260455708509,3.6366152822668303
tirex,boom_hourly,BOOM,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,10.79352855682373,0.1664819815064554,0.2155847733177371,10.0,False,False,147744,0.2155847733177371,0.16901282129775058,0.27859931521678055,-0.0031455524086868025,-0.007932647864602646,0.002152813101808216,1.171313405976087,0.7678896021192819,1.802757776829869,0.0022844809301565405,-0.035355358677252514,0.0469187243056154,0.37751716869055996,0.25301571675302986,0.5489660623822811,0.010324382990570924,-0.020509801237745477,0.06063832148087162,3.6767962272855903,2.987012399429128,4.472962207199756,0.15555797599562737,-0.20553071330590714,0.601407210334547,1.171313405976087,0.37751716869055996,3.6767962272855903
tirex,boom_hourly,BOOM,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,10.791461944580078,0.16796187079895689,0.218015872110418,10.0,False,False,147744,0.218015872110418,0.1712591872433474,0.280973757938666,-0.005576651201367716,-0.010265451836226102,4.492326123948966e-06,1.1865620376403738,0.7852879878051002,1.813748588271027,-0.012964150734130264,-0.051067746966195544,0.035431821607687326,0.37901980637247223,0.2575477037319791,0.5462230123933243,0.008821745308658646,-0.02479737462263358,0.06436238059924229,3.6787749375713523,3.00723597591163,4.489454164996961,0.15357926570986535,-0.2505054740130089,0.6521642479731696,1.1865620376403738,0.37901980637247223,3.6787749375713523
tirex,boom_hourly,BOOM,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,10.788494110107422,0.1725489335755507,0.21905221589078,10.0,False,False,147744,0.21905221589078,0.17251696463826896,0.2820703781626876,-0.0066129949817297085,-0.011406926261945127,-0.0006932937551952827,1.1960498788744331,0.7950337086846216,1.8250362885738216,-0.02245199196818959,-0.062060944459812514,0.031186752188777082,0.37790642893579046,0.25928621919740147,0.5406656316871714,0.009935122745340419,-0.025377197486168464,0.07068847554218886,3.6750476842260773,3.0255198443201436,4.5064839992514925,0.15730651905514037,-0.29165361344349083,0.7172264738765078,1.1960498788744331,0.37790642893579046,3.6750476842260773
tirex,boom_hourly,BOOM,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,10.785825729370117,0.17277810996724555,0.2194850970859413,10.0,False,False,147744,0.2194850970859413,0.17330993602583764,0.28252316737944777,-0.007045876176891008,-0.011883896970226918,-0.0006297273319319725,1.206044547038716,0.8038606586314037,1.837469889939965,-0.03244666013247244,-0.07376663123457697,0.025497496113736046,0.3837998267198739,0.2668175833297577,0.5426997590649784,0.004041724961256987,-0.03540389536236764,0.0715523030206801,3.694309984834785,3.0296251093108943,4.559585736744193,0.13804421844643278,-0.37283182442516877,0.7697624470843559,1.206044547038716,0.3837998267198739,3.694309984834785
tirex,boom_hourly,BOOM,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,10.784529685974121,0.1758877900665847,0.22137349177846463,10.0,False,False,147744,0.22137349177846463,0.17495704708084212,0.284170453762504,-0.00893427086941434,-0.013759142584904053,-0.0025831528702529834,1.2165716444531618,0.8100465592828633,1.8567668912076714,-0.042973757546918234,-0.08470856082981609,0.011012343413193734,0.38819266063023783,0.2686177110690367,0.5508546751507029,-0.00035110894910694856,-0.038971908126612664,0.06354030288149198,3.745139371685848,3.0810351331939336,4.614477919452219,0.0872148315953698,-0.4341685211741401,0.7205847588655819,1.2165716444531618,0.38819266063023783,3.745139371685848
tirex,boom_hourly,BOOM,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,10.783820152282715,0.17912234505901567,0.22425794815065833,10.0,False,False,147744,0.22425794815065833,0.17788922845275473,0.2867255062183185,-0.01181872724160804,-0.016398987699415814,-0.00596109006717003,1.2319043113624477,0.8285247720047041,1.865710083070308,-0.05830642445620415,-0.09468586193161971,-0.012016733747416034,0.39742666654527925,0.2738884255934805,0.5678636599450162,-0.00958511486414837,-0.04381600888076197,0.04534119611331626,3.8402402572545755,3.1835029572436997,4.672617533143852,-0.007886053973357843,-0.48696544718771495,0.5482385999928263,1.2319043113624477,0.39742666654527925,3.8402402572545755
tirex,boom_hourly,BOOM,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,10.78297233581543,0.17547198375529152,0.22237489628737087,10.0,False,False,147744,0.22237489628737087,0.1759610484262118,0.2849160022611366,-0.009935675378320574,-0.014827239848305036,-0.0034961028367880976,1.2274859835614065,0.8286727433562433,1.8544369220214685,-0.05388809665516292,-0.09169806956892068,-0.001087909491339267,0.3981124624932844,0.2776110781034552,0.5621599963876067,-0.010270910812153533,-0.05143659660358792,0.05462041917654964,3.8468987404090234,3.1595969093139553,4.735206138606547,-0.014544537127805679,-0.6153461667945966,0.6383491264539912,1.2274859835614065,0.3981124624932844,3.8468987404090234
tirex,boom_hourly,BOOM,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,10.792953491210938,0.17307724784743989,0.21846224419709484,30.0,True,False,147744,0.21846224419709484,0.17238689968717616,0.2807910593362041,-0.006023023288044549,-0.009168795305488375,-0.0024304324960978023,1.2069979643893223,0.8021712631064344,1.8280513374371297,-0.033400077483078716,-0.06029108066955452,-0.0028518438809567986,0.4046610624578036,0.2704146234388184,0.5917541632835044,-0.016819510776672708,-0.04008405777322796,0.015641752099546935,3.899188195418191,3.1721999788946893,4.644724163870864,-0.06683399213697339,-0.3742940147205117,0.2537896448121945,1.2069979643893223,0.4046610624578036,3.899188195418191
tirex,boom_hourly,BOOM,10,L10,block,block_depth,True,10,0.8333333333333334,0.8333333333333334,False,False,False,10.781962394714355,0.17258382072977427,0.21623627884618643,10.0,False,False,147744,0.21623627884618643,0.1700781256552407,0.2787923120005624,-0.003797057937136139,-0.007032945806734086,0.0006173927438219174,1.18049899771773,0.7791348780422057,1.805908562633745,-0.006901110811486477,-0.03379907207856445,0.027936028689559668,0.3949830410182279,0.2654146436527012,0.574774618108592,-0.007141489337097018,-0.03632611848957315,0.03604396159447583,3.7633052944830148,3.072465069865904,4.552646726595568,0.06904890879820291,-0.2989239027405005,0.49932919453522046,1.18049899771773,0.3949830410182279,3.7633052944830148
tirex,boom_hourly,BOOM,11,L11,block,block_depth,True,11,0.9166666666666666,0.9166666666666666,False,False,False,10.78022575378418,0.16740071309446278,0.21262788574742733,10.0,False,False,147744,0.21262788574742733,0.16703781648407465,0.27494982040400406,-0.0001886648383770395,-0.0027634937316179395,0.0036332380018686255,1.1584946836688317,0.7550541484591138,1.7821790813205522,0.015103203237411877,-0.006610384997215779,0.04473015595966617,0.38456845212016005,0.25390909141604184,0.5689352887784965,0.003273099560970827,-0.018203132459015357,0.03734727758774109,3.6923193856962633,2.982222612900167,4.448280470047101,0.1400348175849544,-0.1546597991872833,0.49618665039421767,1.1584946836688317,0.38456845212016005,3.6923193856962633
tirex,boom_hourly,BOOM,12,L12,block,block_depth,True,12,1.0,1.0,False,True,False,10.784367561340332,0.16780934535429975,0.2124392209090503,10.0,False,False,147744,0.2124392209090503,0.16610491788619866,0.2756454726498269,0.0,0.0,0.0,1.1735978869062436,0.7612393833059969,1.7954915526173894,0.0,0.0,0.0,0.3878415516811309,0.24270478117804717,0.5991956613808077,0.0,0.0,0.0,3.8323542032812177,2.934722305532703,4.623696212967602,0.0,0.0,0.0,1.1735978869062436,0.3878415516811309,3.8323542032812177
tirex,boom_hourly,BOOM,13,L12+RMS,final_norm,head_input_diagnostic,False,12,,,False,False,True,10.76634693145752,0.1568050439585274,0.20172691528585418,10.0,False,False,147744,0.20172691528585418,0.15593171177049153,0.26384608425025036,0.010712305623196111,0.00541581389741542,0.019182104292578234,1.0697681401221109,0.6776193504702339,1.695577803897811,0.1038297467841327,0.05349790906589068,0.18883939003354844,0.32207538276470654,0.22628057848623195,0.4519324092906742,0.06576616891642434,0.012056329745182363,0.16744772205438185,3.107167626302573,2.4215856902927992,4.037670713396767,0.7251865769786447,0.14206722575954897,1.5161691613225443,1.0697681401221109,0.32207538276470654,3.107167626302573
