model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
tirex,electricity_15min,Electricity 15min,pos0,test,Emb,block_depth,True,0,262,512,5.028129223420673,0.009820564889493502,0.01926486292498342,1.6150479911576214,0.5873754627091092,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L1,block_depth,True,1,262,512,11.937820258193808,0.02331605519178478,0.04573877493560846,2.47971153335851,0.391871986376749,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L2,block_depth,True,2,262,512,14.581382019293407,0.028479261756432436,0.05586736405859543,2.6797455107915984,0.3538956290370434,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L3,block_depth,True,3,262,512,16.450263656994125,0.03212942120506665,0.06302783010342576,2.8003415048637352,0.3313997907911828,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L4,block_depth,True,4,262,512,18.645757661492407,0.03641749543260236,0.07143968452679084,2.9256186489806684,0.31645293657476836,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L5,block_depth,True,5,262,512,21.126180923143306,0.04126207211551427,0.08094322192775213,3.0505130733680534,0.30857648160299117,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L6,block_depth,True,6,262,512,23.44250112884202,0.04578613501726957,0.08981801198790046,3.1545506624652955,0.29492561485013724,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L7,block_depth,True,7,262,512,25.36761061806514,0.049546114488408476,0.09719391041404268,3.2334731877830634,0.28242369329008427,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L8,block_depth,True,8,262,512,23.453802806958304,0.04580820860734044,0.08986131343662186,3.1550326483527353,0.3229103725792832,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L9,block_depth,True,9,262,512,23.419476062466025,0.045741164184503955,0.08972979334278171,3.1535679865472543,0.33871150275785694,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L10,block_depth,True,10,262,512,24.41653282506103,0.04768854067394732,0.09354993419563613,3.1952604776465767,0.34431830280397635,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L11,block_depth,True,11,262,512,25.19457355637025,0.04920815147728565,0.09653093316616955,3.226628636264781,0.34600703280334394,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L12,block_depth,True,12,262,512,8.686620338155855,0.016966055347960654,0.03328207026113354,2.161783949724558,0.51630718764419,261,261.0,True
tirex,electricity_15min,Electricity 15min,pos0,test,L12+RMS,head_input_diagnostic,False,13,262,512,4.4501263153856065,0.008691652959737513,0.017050292396113435,1.4929324812552003,0.6739831483315384,261,261.0,False
tirex,electricity_15min,Electricity 15min,all_positions_from_L1,test,L1,block_depth,True,0,524,512,8.929768126593597,0.01744095337225312,0.01744095337225312,2.1893904288842836,0.43167607363165256,512,512.0,False
tirex,electricity_15min,Electricity 15min,all_positions_from_L1,test,L2,block_depth,True,1,524,512,11.693267158719008,0.022838412419373063,0.022838412419373063,2.4590132196453163,0.39176954036837036,512,512.0,False
tirex,electricity_15min,Electricity 15min,all_positions_from_L1,test,L3,block_depth,True,2,524,512,13.025398302994704,0.02544023106053653,0.02544023106053653,2.5669011670563058,0.3913952577604608,512,512.0,False
tirex,electricity_15min,Electricity 15min,all_positions_from_L1,test,L4,block_depth,True,3,524,512,14.779885814847038,0.02886696448212312,0.02886696448212312,2.693267189837103,0.3857718513229316,512,512.0,False
tirex,electricity_15min,Electricity 15min,all_positions_from_L1,test,L5,block_depth,True,4,524,512,17.802332788094244,0.03477018122674657,0.03477018122674657,2.879329504221929,0.3583176019747288,512,512.0,False
tirex,electricity_15min,Electricity 15min,all_positions_from_L1,test,L6,block_depth,True,5,524,512,20.88516652406877,0.040791340867321814,0.040791340867321814,3.0390391712986666,0.3320656056012705,512,512.0,False
