model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
tirex,m5,M5,pos0,test,Emb,block_depth,True,0,262,512,23.337619151377076,0.04558128740503335,0.08941616533094665,3.1500666144306866,0.1962044667923688,261,261.0,True
tirex,m5,M5,pos0,test,L1,block_depth,True,1,262,512,27.279078536740382,0.05327945026707106,0.10451754228636162,3.3061200544260476,0.19341422049784468,261,261.0,True
tirex,m5,M5,pos0,test,L2,block_depth,True,2,262,512,29.650367323034082,0.05791087367780094,0.11360293993499648,3.3894745140022096,0.20634905159075406,261,261.0,True
tirex,m5,M5,pos0,test,L3,block_depth,True,3,262,512,32.66564337322115,0.06380008471332256,0.1251557217364795,3.486323864202258,0.20253757091897737,261,261.0,True
tirex,m5,M5,pos0,test,L4,block_depth,True,4,262,512,34.904374494760255,0.06817260643507862,0.13373323561210826,3.552612165042923,0.19805972303196612,261,261.0,True
tirex,m5,M5,pos0,test,L5,block_depth,True,5,262,512,38.82489070798139,0.07582986466402615,0.14875437052866433,3.659061554039968,0.18646207130926695,261,261.0,True
tirex,m5,M5,pos0,test,L6,block_depth,True,6,262,512,41.47293107379453,0.08100181850350494,0.15890011905668402,3.725040951138352,0.1874729203632117,261,261.0,True
tirex,m5,M5,pos0,test,L7,block_depth,True,7,262,512,45.17632897524559,0.08823501752977654,0.17308938304691796,3.8105732544240105,0.1861144523118416,261,261.0,True
tirex,m5,M5,pos0,test,L8,block_depth,True,8,262,512,43.79878713645645,0.0855445061258915,0.16781144496726608,3.779606126050516,0.19978733993533093,261,261.0,True
tirex,m5,M5,pos0,test,L9,block_depth,True,9,262,512,39.76843800213104,0.07767273047291219,0.15236949426103846,3.6830735826658123,0.22996951274277277,261,261.0,True
tirex,m5,M5,pos0,test,L10,block_depth,True,10,262,512,33.00033540884265,0.0644537800953958,0.12643806670054655,3.496517725319151,0.2807384643836626,261,261.0,True
tirex,m5,M5,pos0,test,L11,block_depth,True,11,262,512,19.97144615900291,0.039006730779302556,0.07651895080077743,2.9943035613807782,0.37635246453685245,261,261.0,True
tirex,m5,M5,pos0,test,L12,block_depth,True,12,262,512,2.402934118042633,0.004693230699302018,0.009206644130431544,0.8766905398336031,0.8395884626749623,261,261.0,True
tirex,m5,M5,pos0,test,L12+RMS,head_input_diagnostic,False,13,262,512,4.28832859660523,0.00837564179024459,0.016430377764770996,1.4558970525034403,0.6622661443602411,261,261.0,False
tirex,m5,M5,all_positions_from_L1,test,L1,block_depth,True,0,524,512,14.790016053327237,0.02888675010415476,0.02888675010415476,2.6939523621397825,0.4210310320026036,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L2,block_depth,True,1,524,512,17.766725480250788,0.03470063570361482,0.03470063570361482,2.877327352831275,0.38338322983834844,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L3,block_depth,True,2,524,512,20.642100892899585,0.0403166033064445,0.0403166033064445,3.0273327228800566,0.353686228387751,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L4,block_depth,True,3,524,512,24.449743183418537,0.04775340465511433,0.04775340465511433,3.1966197121200532,0.3109041725732034,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L5,block_depth,True,4,524,512,29.678853703037014,0.05796651113874417,0.05796651113874417,3.3904347956880065,0.2767323832764585,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L6,block_depth,True,5,524,512,34.74889275749832,0.0678689311669889,0.0678689311669889,3.5481477084095885,0.24081439126888698,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L7,block_depth,True,6,524,512,41.51315225595037,0.08108037549990306,0.08108037549990306,3.7260102988576667,0.20368771272289077,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L8,block_depth,True,7,524,512,42.28284349277703,0.08258367869683014,0.08258367869683014,3.744381412590575,0.18885056408298123,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L9,block_depth,True,8,524,512,39.395373121295094,0.07694408812752948,0.07694408812752948,3.6736483759383707,0.21042292581081276,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L10,block_depth,True,9,524,512,34.56366266807494,0.06750715364858387,0.06750715364858387,3.542802918299394,0.25184274568466697,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L11,block_depth,True,10,524,512,20.828183418095378,0.040680045738467535,0.040680045738467535,3.036307041584874,0.3617778414497271,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L12,block_depth,True,11,524,512,2.3204557515664974,0.004532140139778315,0.004532140139778315,0.8417636110262284,0.8500118851164961,512,512.0,False
tirex,m5,M5,all_positions_from_L1,test,L12+RMS,head_input_diagnostic,False,12,524,512,4.402187101003081,0.008598021681646643,0.008598021681646643,1.4821014858364274,0.6591004078806115,512,512.0,False
tirex,m5,M5,pos0,train,Emb,block_depth,True,0,1394,512,24.565009164544325,0.047978533524500634,0.047978533524500634,3.2013230386937894,0.20542893297104511,512,512.0,True
tirex,m5,M5,pos0,train,L1,block_depth,True,1,1394,512,27.43159993380569,0.053577343620714236,0.053577343620714236,3.3116956311305956,0.226616521093957,512,512.0,True
tirex,m5,M5,pos0,train,L2,block_depth,True,2,1394,512,29.19766528820719,0.05702669001602967,0.05702669001602967,3.3740887501942787,0.24784200864104372,512,512.0,True
tirex,m5,M5,pos0,train,L3,block_depth,True,3,1394,512,33.209646152469794,0.06486259014154257,0.06486259014154257,3.502840380483045,0.23757861217594398,512,512.0,True
tirex,m5,M5,pos0,train,L4,block_depth,True,4,1394,512,37.28852645023839,0.07282915322312186,0.07282915322312186,3.618685677460326,0.2237932308339348,512,512.0,True
tirex,m5,M5,pos0,train,L5,block_depth,True,5,1394,512,43.04705306599752,0.0840762755195264,0.0840762755195264,3.7622937747791654,0.20847289227157773,512,512.0,True
tirex,m5,M5,pos0,train,L6,block_depth,True,6,1394,512,46.96882098831035,0.09173597849279365,0.09173597849279365,3.8494839983466043,0.20736540587979121,512,512.0,True
tirex,m5,M5,pos0,train,L7,block_depth,True,7,1394,512,52.65278408002956,0.10283746890630774,0.10283746890630774,3.963719116194846,0.20183948368300308,512,512.0,True
tirex,m5,M5,pos0,train,L8,block_depth,True,8,1394,512,51.99663749303544,0.10155593260358485,0.10155593260358485,3.9511790528951747,0.21125611348951825,512,512.0,True
tirex,m5,M5,pos0,train,L9,block_depth,True,9,1394,512,48.23154236230219,0.09420223117637147,0.09420223117637147,3.876013212883304,0.2349728936643878,512,512.0,True
tirex,m5,M5,pos0,train,L10,block_depth,True,10,1394,512,41.36508770436087,0.08079118692257982,0.08079118692257982,3.722437232895208,0.27160127860701233,512,512.0,True
tirex,m5,M5,pos0,train,L11,block_depth,True,11,1394,512,25.105921157993986,0.049035002261707004,0.049035002261707004,3.223103721025993,0.355075610606586,512,512.0,True
tirex,m5,M5,pos0,train,L12,block_depth,True,12,1394,512,2.423929406892104,0.00473423712283614,0.00473423712283614,0.8853899452137336,0.8431824622795472,512,512.0,True
tirex,m5,M5,pos0,train,L12+RMS,head_input_diagnostic,False,13,1394,512,5.868410615050003,0.011461739482519537,0.011461739482519537,1.7695838331308065,0.5843007134997268,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L1,block_depth,True,0,2788,512,14.908007606340945,0.029117202356134658,0.029117202356134658,2.7018984918356197,0.4225827612627758,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L2,block_depth,True,1,2788,512,17.94090047096973,0.035040821232362754,0.035040821232362754,2.887083048847573,0.377514303925079,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L3,block_depth,True,2,2788,512,20.990145494743146,0.04099637791942021,0.04099637791942021,3.0440530654303926,0.3476828832090775,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L4,block_depth,True,3,2788,512,25.494494807126987,0.049793935170169897,0.049793935170169897,3.238462538940209,0.30641627013788314,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L5,block_depth,True,4,2788,512,31.648904420695416,0.061814266446670735,0.061814266446670735,3.454703532531196,0.27305463303499233,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L6,block_depth,True,5,2788,512,37.62006473331434,0.07347668893225456,0.07347668893225456,3.62753754458683,0.23863280361045364,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L7,block_depth,True,6,2788,512,45.811017150857644,0.08947464287276884,0.08947464287276884,3.824524611338196,0.2048694383322016,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L8,block_depth,True,7,2788,512,47.24185458541376,0.09226924723713625,0.09226924723713625,3.855280249352242,0.19303388678337716,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L9,block_depth,True,8,2788,512,44.89913829449226,0.0876936294814302,0.0876936294814302,3.804418602904631,0.20833814116067395,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L10,block_depth,True,9,2788,512,40.656121190947395,0.07940648670106913,0.07940648670106913,3.7051494074605014,0.23696796793453043,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L11,block_depth,True,10,2788,512,24.877788009185036,0.04858942970543952,0.04858942970543952,3.213975357535334,0.3352775540122664,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L12,block_depth,True,11,2788,512,2.338209312920138,0.004566815064297144,0.004566815064297144,0.8493853855268536,0.8516551565983539,512,512.0,False
tirex,m5,M5,all_positions_from_L1,train,L12+RMS,head_input_diagnostic,False,12,2788,512,5.802274014657387,0.011332566434877709,0.011332566434877709,1.7582499122050828,0.5870058361367169,512,512.0,False
