model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
tirex,monash_traffic,Traffic,pos0,test,Emb,block_depth,True,0,262,512,7.379324196883422,0.014412742572037934,0.028273272784993954,1.998682062181369,0.46526778225641646,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L1,block_depth,True,1,262,512,11.869295666057814,0.02318221809776917,0.0454762286055855,2.473954869544942,0.36345816111484525,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L2,block_depth,True,2,262,512,13.382333893586997,0.026137370885912104,0.05127330993711493,2.59393547099742,0.33924627908075694,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L3,block_depth,True,3,262,512,15.390209008745394,0.030059001970205848,0.05896631804117009,2.7337315285737347,0.29108003700378043,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L4,block_depth,True,4,262,512,17.06251871007832,0.033325231855621716,0.06537363490451463,2.836884169505944,0.27642376373449007,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L5,block_depth,True,5,262,512,18.96885059605481,0.03704853632041955,0.07267758849063145,2.9427981914973635,0.2793522458141081,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L6,block_depth,True,6,262,512,21.506629864526232,0.0420051364541528,0.08240088070699705,3.068361253390576,0.27362924426845464,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L7,block_depth,True,7,262,512,22.675880030362315,0.044288828184301396,0.0868807663998556,3.121301805848411,0.27702803433997775,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L8,block_depth,True,8,262,512,23.707929410369637,0.0463045496296282,0.0908349785837917,3.165809566460793,0.2678975717462522,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L9,block_depth,True,9,262,512,22.87187485234797,0.044671630570992125,0.08763170441512631,3.1299079833518393,0.27723620520486975,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L10,block_depth,True,10,262,512,22.093505365099926,0.04315137766621079,0.08464944584329473,3.095283690451666,0.2758425663845448,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L11,block_depth,True,11,262,512,18.59095058407626,0.036310450359523946,0.07122969572443012,2.9226749345882976,0.3060836742151257,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L12,block_depth,True,12,262,512,2.6441182534463485,0.0051642934637623995,0.010130721277572217,0.9723376461959347,0.8330313355545603,260,261.0,True
tirex,monash_traffic,Traffic,pos0,test,L12+RMS,head_input_diagnostic,False,13,262,512,6.777782502088431,0.013237856449391466,0.025968515333672147,1.9136499838662895,0.4582954528860001,260,261.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L1,block_depth,True,0,524,512,4.776312633232055,0.009328735611781358,0.009328735611781358,1.5636688331673818,0.6548436793560932,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L2,block_depth,True,1,524,512,5.4759551141781255,0.010695224832379151,0.010695224832379151,1.7003667105661155,0.6327741052710869,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L3,block_depth,True,2,524,512,5.98650042671909,0.011692383645935722,0.011692383645935722,1.7895070054549875,0.6257693635492764,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L4,block_depth,True,3,524,512,6.760014806888308,0.013203153919703727,0.013203153919703727,1.9110250804205668,0.6087810768712104,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L5,block_depth,True,4,524,512,7.921333044426719,0.015471353602395935,0.015471353602395935,2.069559505353417,0.5804993040262822,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L6,block_depth,True,5,524,512,8.899534780947935,0.017381903869038935,0.017381903869038935,2.185999003568273,0.5673082076254079,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L7,block_depth,True,6,524,512,10.871840238311718,0.021234062965452574,0.021234062965452574,2.386175981957183,0.5184245238744069,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L8,block_depth,True,7,524,512,10.961768847941128,0.021409704781135016,0.021409704781135016,2.3944136597332095,0.5241564962201923,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L9,block_depth,True,8,524,512,10.783084849446078,0.021060712596574372,0.021060712596574372,2.3779786886852685,0.5273297451555928,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L10,block_depth,True,9,524,512,11.059498817414031,0.02160058362776178,0.02160058362776178,2.403289680186248,0.517166841511799,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L11,block_depth,True,10,524,512,10.576539110374716,0.020657302949950617,0.020657302949950617,2.3586382566943,0.5070295557303109,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L12,block_depth,True,11,524,512,3.6477917975582903,0.007124593354606036,0.007124593354606036,1.2941219975456077,0.7118953344564362,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,test,L12+RMS,head_input_diagnostic,False,12,524,512,4.173252773220574,0.008150884322696434,0.008150884322696434,1.4286957732761312,0.6484053886539429,512,512.0,False
tirex,monash_traffic,Traffic,pos0,train,Emb,block_depth,True,0,1394,512,7.642359098859048,0.014926482614959078,0.014926482614959078,2.0337063380880758,0.33825118396838905,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L1,block_depth,True,1,1394,512,11.745156285676321,0.022939758370461565,0.022939758370461565,2.463440924593338,0.3256812815889987,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L2,block_depth,True,2,1394,512,13.501775189975845,0.026370654667921573,0.026370654667921573,2.6028211723533676,0.33966845167560455,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L3,block_depth,True,3,1394,512,15.748754869406476,0.030759286854309523,0.030759286854309523,2.756761306235859,0.3202233826118628,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L4,block_depth,True,4,1394,512,19.1787141144474,0.037458426004780075,0.037458426004780075,2.9538010241654398,0.29753705769231753,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L5,block_depth,True,5,1394,512,22.60777584436081,0.044155812196017205,0.044155812196017205,3.118293911011597,0.2792978507586759,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L6,block_depth,True,6,1394,512,28.94644200618336,0.056536019543326876,0.056536019543326876,3.365447295125199,0.23868285337341694,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L7,block_depth,True,7,1394,512,33.54638678211745,0.06552028668382315,0.06552028668382315,3.5129291611088385,0.22035581919604028,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L8,block_depth,True,8,1394,512,31.87956390240997,0.06226477324689447,0.06226477324689447,3.4619651744812105,0.22148691930713638,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L9,block_depth,True,9,1394,512,35.311976401482355,0.06896870390914522,0.06896870390914522,3.564222181228089,0.20374009509295457,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L10,block_depth,True,10,1394,512,34.246758095688826,0.06688819940564224,0.06688819940564224,3.5335919060877763,0.21982283203461336,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L11,block_depth,True,11,1394,512,29.006537511437568,0.0566533935770265,0.0566533935770265,3.3675212360095093,0.23236821433098598,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L12,block_depth,True,12,1394,512,18.4755932225865,0.03608514301286426,0.03608514301286426,2.916450575795709,0.26127269185248564,512,512.0,True
tirex,monash_traffic,Traffic,pos0,train,L12+RMS,head_input_diagnostic,False,13,1394,512,7.116696771272289,0.013899798381391189,0.013899798381391189,1.9624436811529336,0.41172866993317025,512,512.0,False
tirex,monash_traffic,Traffic,all_positions_from_L1,train,L1,block_depth,True,0,2788,512,9.413367242488654,0.018385482895485653,0.018385482895485653,2.242130726197822,0.386693132370618,512,512.0,False
