model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
tirex,wiki_daily_100k,Wiki Daily,pos0,test,Emb,block_depth,True,0,262,512,16.884024537512055,0.03297661042482823,0.06468974918586994,2.8263678812188915,0.3010981595117805,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L1,block_depth,True,1,262,512,21.426058608811157,0.04184777072033429,0.08209217857782053,3.064607873242728,0.2817817756684695,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L2,block_depth,True,2,262,512,25.58209296981324,0.04996502533166648,0.09801568187667907,3.2418926133592163,0.2445775236351663,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L3,block_depth,True,3,262,512,28.224554794458548,0.05512608358292685,0.10814005668374922,3.340192336464328,0.2221874821249001,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L4,block_depth,True,4,262,512,31.355837565699876,0.06124187024550757,0.12013730868084244,3.4454004559871194,0.20225097205033712,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L5,block_depth,True,5,262,512,36.18654799529517,0.07067685155331088,0.13864577775975162,3.588687447430554,0.18319012779568267,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L6,block_depth,True,6,262,512,39.96322379901334,0.07805317148244793,0.1531157999962197,3.687959626177232,0.16805632150085897,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L7,block_depth,True,7,262,512,40.81694087708883,0.07972058765056413,0.15638674665551278,3.7090972128068596,0.1665008836843452,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L8,block_depth,True,8,262,512,41.39746916801292,0.08085443196877523,0.1586109929808924,3.723219747755263,0.17194910936527347,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L9,block_depth,True,9,262,512,41.51777424691754,0.08108940282601082,0.15907193198052696,3.72612163065093,0.18334268790019004,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L10,block_depth,True,10,262,512,38.61510198977245,0.07542012107377431,0.1479505823362929,3.653643443213452,0.1998286871158441,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L11,block_depth,True,11,262,512,27.876416880986206,0.05444612672067618,0.1068061949463073,3.327781058299656,0.24283770899994994,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L12,block_depth,True,12,262,512,1.5540701904421745,0.003035293340707372,0.005954291917402967,0.44087741852013745,0.9381459967259757,261,261.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,test,L12+RMS,head_input_diagnostic,False,13,262,512,4.36848252448112,0.008532192430627188,0.01673748093670927,1.4744157004003218,0.5998018756796039,261,261.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L1,block_depth,True,0,524,512,14.212440857063319,0.027758673548951795,0.027758673548951795,2.6541176977356,0.3926047169973216,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L2,block_depth,True,1,524,512,17.344429827073125,0.033875839506002196,0.033875839506002196,2.853271407415165,0.35265756894092876,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L3,block_depth,True,2,524,512,19.541759127122948,0.03816749829516201,0.03816749829516201,2.972553669539061,0.33179060744736844,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L4,block_depth,True,3,524,512,23.000018010959508,0.04492191017765529,0.04492191017765529,3.135494999014039,0.30490142172822654,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L5,block_depth,True,4,524,512,28.5981571373712,0.055855775658928124,0.055855775658928124,3.3533422799934827,0.2735605085208361,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L6,block_depth,True,5,524,512,34.187933823572386,0.06677330824916482,0.06677330824916482,3.5318727696394547,0.24124850422936892,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L7,block_depth,True,6,524,512,37.05636160793197,0.07237570626549213,0.07237570626549213,3.61244004032077,0.2135993986467615,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L8,block_depth,True,7,524,512,39.8983561473923,0.07792647685037558,0.07792647685037558,3.6863351237336266,0.19162667461687502,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L9,block_depth,True,8,524,512,39.74467634879749,0.0776263209937451,0.0776263209937451,3.6824759037990025,0.200396130759032,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L10,block_depth,True,9,524,512,38.005579856581775,0.07422964815738628,0.07422964815738628,3.6377329872777926,0.19424081773503826,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L11,block_depth,True,10,524,512,28.13647840081522,0.05495405937659223,0.05495405937659223,3.3370668981837692,0.20703242198104715,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L12,block_depth,True,11,524,512,1.6180865759859484,0.0031603253437225555,0.0031603253437225555,0.48124432523072264,0.932402788861981,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,all_positions_from_L1,test,L12+RMS,head_input_diagnostic,False,12,524,512,4.970598627088727,0.009708200443532669,0.009708200443532669,1.6035402809616301,0.5688491632227143,512,512.0,False
tirex,wiki_daily_100k,Wiki Daily,pos0,train,Emb,block_depth,True,0,1394,512,21.21398956996124,0.041433573378830545,0.041433573378830545,3.0546608494248773,0.2316568439021375,512,512.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,train,L1,block_depth,True,1,1394,512,26.903189115106933,0.05254529124044323,0.05254529124044323,3.29224483404571,0.21993446938970865,512,512.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,train,L2,block_depth,True,2,1394,512,30.713172291758,0.05998666463233984,0.05998666463233984,3.4246916274492487,0.21436955822480092,512,512.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,train,L3,block_depth,True,3,1394,512,34.58938441620839,0.06755739143790701,0.06755739143790701,3.5435468262081313,0.20268561828996498,512,512.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,train,L4,block_depth,True,4,1394,512,39.24011575951724,0.0766408510928071,0.0766408510928071,3.6696995847314766,0.1899889000671776,512,512.0,True
tirex,wiki_daily_100k,Wiki Daily,pos0,train,L5,block_depth,True,5,1394,512,46.60724449549532,0.0910297744052643,0.0910297744052643,3.841755990325472,0.17238333208486586,512,512.0,True
