model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,coastal_ts,Coastal T-S,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.4408656298884403,0.4469571594769756,0.4508483974883954,1.6691212785016203,1.7464195489431165,0.6691212785016203,0.7464195489431165,90.0,True,False,12304,False,False,False,False,False,False,False,False,0.4508483974883954,0.3926582454703748,0.5164187552096942,-0.19269256216163438,-0.27456855120447776,-0.12215019899886101,2.446855510709394,1.7361763878870933,3.248960723395958,-1.2414577271446816,-1.9096651025432123,-0.6675525551742749,0.5260836552918742,0.411733460191907,0.6621215141203699,-0.21677961146029917,-0.31790672299066985,-0.13447353349772018,0.018591732042950268,0.014432780648978936,0.023657344990003746,-0.007660964958906993,-0.011316727627528651,-0.004735830903332437,2.446855510709394,0.5260836552918742,0.018591732042950268
chronos2,coastal_ts,Coastal T-S,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,True,False,False,0.24945573423223483,0.2740427393776675,0.26826464260617894,1.0233879418094467,1.0391577717645728,0.0233879418094467,0.0391577717645728,45.0,False,False,12304,False,False,True,True,False,False,True,True,0.26826464260617894,0.2353639618571227,0.30006668287872645,-0.01010880727941793,-0.02799062666017563,0.008359629831587253,1.3098245164513844,1.1042924964605179,1.5470562890063537,-0.10442673288667192,-0.21326691725855534,-0.0108056701278868,0.33576327261346667,0.25784188256483487,0.42596907628600333,-0.026459228781891664,-0.04873035660901035,-0.005646318480943806,0.011865832993481434,0.009066417068234635,0.015167381057752536,-0.000935065909438159,-0.0017052602969544178,-0.00020265444743319366,1.3098245164513844,0.33576327261346667,0.011865832993481434
chronos2,coastal_ts,Coastal T-S,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.2447182858306674,0.2730846176855266,0.2654326615544657,1.0198099225970065,1.0281877270699462,0.019809922597006535,0.028939429117577742,45.0,False,False,12304,False,True,False,False,False,True,False,False,0.2654326615544657,0.2320439727899308,0.297225774176574,-0.0072768262277047024,-0.021392146230209637,0.007308564191528913,1.259695011480593,1.0692630240785117,1.483350979292456,-0.05429722791588043,-0.11593408274074699,0.007030538085453463,0.32935049558915397,0.2508138565951813,0.4219371648512553,-0.020046451757578965,-0.034722737499089974,-0.006137327677448931,0.011639206237664314,0.00883957544408506,0.0149660910438129,-0.0007084391536210394,-0.0012222208207158948,-0.00021497116623513888,1.259695011480593,0.32935049558915397,0.011639206237664314
chronos2,coastal_ts,Coastal T-S,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.21833654203675312,0.2695261697905759,0.2615574271573375,1.0065212192527042,1.0131765056802644,0.006521219252704213,0.028939429117577742,1.0,False,False,12304,True,False,False,False,True,False,False,False,0.2615574271573375,0.22622724003740585,0.29625989923564094,-0.003401591830576478,-0.020709402081168556,0.013505047670332697,1.2176048585919226,1.0352940191162905,1.439205145032234,-0.01220707502721008,-0.09927486130212909,0.06835618789155905,0.32735341475991736,0.24956430001860097,0.41746828073219344,-0.018049370928342356,-0.0346850652579331,-0.0018791258961247514,0.011568629645383225,0.008780073448135372,0.014827727578527579,-0.0006378625613399497,-0.0012121698914215834,-6.597758003947906e-05,1.2176048585919226,0.32735341475991736,0.011568629645383225
chronos2,coastal_ts,Coastal T-S,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.23627567222446116,0.265478050801903,0.26045295340009034,0.9914038832874249,1.0088981838060014,0.005364659181988918,0.028939429117577742,45.0,False,False,12304,False,False,False,False,False,False,False,False,0.26045295340009034,0.22499952676589602,0.2941285784880165,-0.0022971180733293295,-0.01408949102430293,0.01104922169470224,1.2310684787526762,1.032050011785716,1.4582684709750051,-0.02567069518796372,-0.09323605243718187,0.04341287691206796,0.322589974998567,0.2450278201027921,0.41787487538977425,-0.013285931166992004,-0.027959088386999172,0.000613922191680919,0.011400290266740817,0.008559138459221141,0.014795388074349727,-0.0004695231826975423,-0.000983629329913105,2.131298423481295e-05,1.2310684787526762,0.322589974998567,0.011400290266740817
chronos2,coastal_ts,Coastal T-S,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.22625261984987335,0.26105484234479565,0.2594883848602573,0.9748858094665567,1.0051618028769702,0.005364659181988918,0.028939429117577742,30.0,False,False,12304,False,False,False,False,False,False,False,False,0.2594883848602573,0.2218282624691104,0.2958551544269236,-0.0013325495334963189,-0.012133223252991817,0.01067380163585765,1.230977256552783,1.0170016327249836,1.488450858344761,-0.025579472988070506,-0.09635523047210083,0.040239205043496686,0.32053722725914824,0.2462048350313552,0.4078328857658034,-0.011233183427573235,-0.024493147845557655,0.0011902629171364541,0.011327746412661427,0.008628646718579353,0.01449537606499755,-0.0003969793286181522,-0.0008540578631435465,4.344161666698493e-05,1.230977256552783,0.32053722725914824,0.011327746412661427
chronos2,coastal_ts,Coastal T-S,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.22965445092557216,0.26400288427248597,0.2617690743257602,0.9858950066727966,1.013996348346826,0.005364659181988918,0.028939429117577742,45.0,False,False,12304,False,False,False,False,False,False,False,False,0.2617690743257602,0.22552576764331508,0.2969380676435927,-0.0036132389989991798,-0.015597443631850165,0.009959078102838227,1.265938237990327,1.0374554445271658,1.532814614738002,-0.06054045442561451,-0.1569818481833386,0.01963895286790084,0.32394499407800187,0.25026119735680885,0.40890561301892714,-0.014640950246426865,-0.03220884581422464,0.0012015226107772467,0.011448176475302003,0.008749539124501621,0.0145342365847854,-0.0005174093912587285,-0.001130527023434137,4.241460301022669e-05,1.265938237990327,0.32394499407800187,0.011448176475302003
chronos2,coastal_ts,Coastal T-S,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.23298085471307872,0.2651226813128839,0.2652311652588348,0.9900767879198372,1.0274072051213492,0.005364659181988918,0.028939429117577742,65.0,False,False,12304,False,False,False,False,False,False,False,False,0.2652311652588348,0.23196010756849622,0.2974678010640976,-0.007075329932073771,-0.020752384649434446,0.0077373241889290316,1.2936522821679681,1.0614104963321704,1.5684038801533502,-0.08825449860325563,-0.1820954814529991,-0.0070257125972103705,0.32561665872907114,0.2539426072350626,0.40810417225352086,-0.016312614897496136,-0.0348155796197006,0.0013459055344850557,0.011507252899641985,0.008872083657656415,0.014537185764305715,-0.0005764858155987099,-0.0012321283601213042,4.7095067139269854e-05,1.2936522821679681,0.32561665872907114,0.011507252899641985
chronos2,coastal_ts,Coastal T-S,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.222165375261152,0.2662574825808406,0.26388887548819184,0.9943146011040663,1.0222076721766689,0.005364659181988918,0.028939429117577742,30.0,False,False,12304,False,False,False,False,False,False,False,False,0.26388887548819184,0.2291460821405053,0.2971425264258869,-0.005733040161430836,-0.015371927122275017,0.00399740538947903,1.2678000708926287,1.0490926322508505,1.5162524715624248,-0.062402287327916195,-0.1317167230888444,-0.0032074094581932295,0.3232426531678499,0.24804955059497738,0.4098556027480191,-0.013938609336274888,-0.02689149424252524,-0.002345576389101041,0.011423355833426897,0.00870181021914813,0.014589570904656651,-0.0004925887493836215,-0.0009409831953510086,-8.322862254388481e-05,1.2678000708926287,0.3232426531678499,0.011423355833426897
chronos2,coastal_ts,Coastal T-S,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.2220513393074926,0.2682374562136829,0.2656267178244889,1.0017086344054156,1.0289394291175777,0.005364659181988918,0.028939429117577742,30.0,False,False,12304,False,False,False,False,False,False,False,False,0.2656267178244889,0.22898590781648334,0.3016872740195443,-0.007470882497727871,-0.014924936698904882,0.00021603060886263303,1.2545774061521886,1.041734638190302,1.5007845260685255,-0.0491796225874761,-0.10493355355979819,-0.005299051175924531,0.3227865244215617,0.2437561492655278,0.41872429490028507,-0.01348248058998669,-0.025515126978839425,-0.0029070375040615506,0.01140723629931331,0.008525335129056177,0.014863469040986246,-0.00047646921527003464,-0.0008878830707675985,-0.00010533459198334974,1.2545774061521886,0.3227865244215617,0.01140723629931331
