model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,coastal_ts,0,Emb,block_depth,True,0.0,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.44695717096328735,"{""1e-05"": 0.8944751024246216, ""0.0001"": 0.8945846557617188, ""0.001"": 0.8943079710006714, ""0.01"": 0.8946473002433777, ""0.1"": 0.8945550322532654, ""0.3"": 0.8946520686149597, ""1"": 0.8944263458251953, ""3"": 0.8945978879928589, ""10"": 0.894044816493988, ""30"": 0.9146987795829773, ""45"": 0.9075431227684021, ""65"": 0.9345364570617676, ""90"": 0.8939143419265747}","{""1e-05"": 0.4472375512123108, ""0.0001"": 0.4472923278808594, ""0.001"": 0.4471539855003357, ""0.01"": 0.44732365012168884, ""0.1"": 0.4472775161266327, ""0.3"": 0.44732603430747986, ""1"": 0.44721317291259766, ""3"": 0.44729894399642944, ""10"": 0.447022408246994, ""30"": 0.45734938979148865, ""45"": 0.45377156138420105, ""65"": 0.4672682285308838, ""90"": 0.44695717096328735}",0.4408656298884403,0.4469571594769756,0.4508483974883954,12304,0.4472404293095072,0.9993666274022478
chronos2,coastal_ts,1,L1,block_depth,True,0.08333333333333333,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2740427553653717,"{""1e-05"": 0.5572773814201355, ""0.0001"": 0.5542051196098328, ""0.001"": 0.556735634803772, ""0.01"": 0.5573508739471436, ""0.1"": 0.5599210858345032, ""0.3"": 0.5529533624649048, ""1"": 0.5501399040222168, ""3"": 0.5512363910675049, ""10"": 0.5492104887962341, ""30"": 0.548151969909668, ""45"": 0.5480855107307434, ""65"": 0.5507203340530396, ""90"": 0.5607653856277466}","{""1e-05"": 0.27863869071006775, ""0.0001"": 0.2771025598049164, ""0.001"": 0.278367817401886, ""0.01"": 0.2786754369735718, ""0.1"": 0.2799605429172516, ""0.3"": 0.2764766812324524, ""1"": 0.2750699520111084, ""3"": 0.27561819553375244, ""10"": 0.27460524439811707, ""30"": 0.274075984954834, ""45"": 0.2740427553653717, ""65"": 0.2753601670265198, ""90"": 0.2803826928138733}",0.24945573423223483,0.2740427393776675,0.26826464260617894,12304,0.4472404293095072,0.6127414281413713
chronos2,coastal_ts,2,L2,block_depth,True,0.16666666666666666,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2730846405029297,"{""1e-05"": 0.5503942370414734, ""0.0001"": 0.5558472275733948, ""0.001"": 0.5529588460922241, ""0.01"": 0.5519908666610718, ""0.1"": 0.5524071455001831, ""0.3"": 0.5501773357391357, ""1"": 0.5517795085906982, ""3"": 0.546516478061676, ""10"": 0.549912691116333, ""30"": 0.5467884540557861, ""45"": 0.5461692810058594, ""65"": 0.5485720038414001, ""90"": 0.5578286051750183}","{""1e-05"": 0.2751971185207367, ""0.0001"": 0.2779236137866974, ""0.001"": 0.27647942304611206, ""0.01"": 0.2759954333305359, ""0.1"": 0.27620357275009155, ""0.3"": 0.27508866786956787, ""1"": 0.2758897542953491, ""3"": 0.273258239030838, ""10"": 0.2749563455581665, ""30"": 0.27339422702789307, ""45"": 0.2730846405029297, ""65"": 0.2742860019207001, ""90"": 0.27891430258750916}",0.2447182858306674,0.2730846176855266,0.2654326615544657,12304,0.4472404293095072,0.6105991314495894
chronos2,coastal_ts,3,L3,block_depth,True,0.25,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2695261836051941,"{""1e-05"": 0.5450261235237122, ""0.0001"": 0.5406232476234436, ""0.001"": 0.54469895362854, ""0.01"": 0.5443695187568665, ""0.1"": 0.5414533019065857, ""0.3"": 0.5416203737258911, ""1"": 0.5390523672103882, ""3"": 0.5404977202415466, ""10"": 0.5410250425338745, ""30"": 0.5396794080734253, ""45"": 0.540057361125946, ""65"": 0.5430490970611572, ""90"": 0.5472145676612854}","{""1e-05"": 0.2725130617618561, ""0.0001"": 0.2703116238117218, ""0.001"": 0.27234947681427, ""0.01"": 0.2721847593784332, ""0.1"": 0.27072665095329285, ""0.3"": 0.27081018686294556, ""1"": 0.2695261836051941, ""3"": 0.2702488601207733, ""10"": 0.27051252126693726, ""30"": 0.26983970403671265, ""45"": 0.270028680562973, ""65"": 0.2715245485305786, ""90"": 0.2736072838306427}",0.21833654203675312,0.2695261697905759,0.2615574271573375,12304,0.4472404293095072,0.6026426774670088
chronos2,coastal_ts,4,L4,block_depth,True,0.3333333333333333,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.26547807455062866,"{""1e-05"": 0.5431780219078064, ""0.0001"": 0.5435044169425964, ""0.001"": 0.5445991158485413, ""0.01"": 0.5441019535064697, ""0.1"": 0.5431299209594727, ""0.3"": 0.5435391068458557, ""1"": 0.5412346124649048, ""3"": 0.538079023361206, ""10"": 0.5325033068656921, ""30"": 0.5326785445213318, ""45"": 0.5309561491012573, ""65"": 0.5345236659049988, ""90"": 0.5420889854431152}","{""1e-05"": 0.2715890109539032, ""0.0001"": 0.2717522084712982, ""0.001"": 0.27229955792427063, ""0.01"": 0.27205097675323486, ""0.1"": 0.27156496047973633, ""0.3"": 0.27176955342292786, ""1"": 0.2706173062324524, ""3"": 0.269039511680603, ""10"": 0.26625165343284607, ""30"": 0.2663392722606659, ""45"": 0.26547807455062866, ""65"": 0.2672618329524994, ""90"": 0.2710444927215576}",0.23627567222446116,0.265478050801903,0.26045295340009034,12304,0.4472404293095072,0.5935913513270112
chronos2,coastal_ts,5,L5,block_depth,True,0.4166666666666667,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2610548436641693,"{""1e-05"": 0.5403459668159485, ""0.0001"": 0.5424377918243408, ""0.001"": 0.5435965061187744, ""0.01"": 0.5408770442008972, ""0.1"": 0.5396684408187866, ""0.3"": 0.5373870134353638, ""1"": 0.5310859680175781, ""3"": 0.5293333530426025, ""10"": 0.5272501707077026, ""30"": 0.5221096873283386, ""45"": 0.5236594080924988, ""65"": 0.5247573256492615, ""90"": 0.5320701003074646}","{""1e-05"": 0.27017298340797424, ""0.0001"": 0.2712188959121704, ""0.001"": 0.2717982530593872, ""0.01"": 0.2704385221004486, ""0.1"": 0.2698342204093933, ""0.3"": 0.2686935067176819, ""1"": 0.26554298400878906, ""3"": 0.26466667652130127, ""10"": 0.2636250853538513, ""30"": 0.2610548436641693, ""45"": 0.2618297040462494, ""65"": 0.26237866282463074, ""90"": 0.2660350501537323}",0.22625261984987335,0.26105484234479565,0.2594883848602573,12304,0.4472404293095072,0.5837013499603272
chronos2,coastal_ts,6,L6,block_depth,True,0.5,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.26400288939476013,"{""1e-05"": 0.564932107925415, ""0.0001"": 0.5642545819282532, ""0.001"": 0.5629127621650696, ""0.01"": 0.5628536939620972, ""0.1"": 0.5617610216140747, ""0.3"": 0.5595890879631042, ""1"": 0.5534245371818542, ""3"": 0.5498782396316528, ""10"": 0.5420593619346619, ""30"": 0.5336498022079468, ""45"": 0.5280057787895203, ""65"": 0.5306023955345154, ""90"": 0.5355746150016785}","{""1e-05"": 0.2824660539627075, ""0.0001"": 0.2821272909641266, ""0.001"": 0.2814563810825348, ""0.01"": 0.2814268469810486, ""0.1"": 0.28088051080703735, ""0.3"": 0.2797945439815521, ""1"": 0.2767122685909271, ""3"": 0.2749391198158264, ""10"": 0.27102968096733093, ""30"": 0.2668249011039734, ""45"": 0.26400288939476013, ""65"": 0.2653011977672577, ""90"": 0.26778730750083923}",0.22965445092557216,0.26400288427248597,0.2617690743257602,12304,0.4472404293095072,0.5902929765989158
chronos2,coastal_ts,7,L7,block_depth,True,0.5833333333333334,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2651227116584778,"{""1e-05"": 0.5514948964118958, ""0.0001"": 0.5487977266311646, ""0.001"": 0.5489500761032104, ""0.01"": 0.5487498641014099, ""0.1"": 0.5464425086975098, ""0.3"": 0.5441267490386963, ""1"": 0.5372709035873413, ""3"": 0.533911943435669, ""10"": 0.5312405824661255, ""30"": 0.531277596950531, ""45"": 0.5306640267372131, ""65"": 0.5302454233169556, ""90"": 0.5376338362693787}","{""1e-05"": 0.2757474482059479, ""0.0001"": 0.2743988633155823, ""0.001"": 0.2744750380516052, ""0.01"": 0.27437493205070496, ""0.1"": 0.2732212543487549, ""0.3"": 0.27206337451934814, ""1"": 0.26863545179367065, ""3"": 0.2669559717178345, ""10"": 0.26562029123306274, ""30"": 0.2656387984752655, ""45"": 0.26533201336860657, ""65"": 0.2651227116584778, ""90"": 0.26881691813468933}",0.23298085471307872,0.2651226813128839,0.2652311652588348,12304,0.4472404293095072,0.5927967686691604
chronos2,coastal_ts,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.26625749468803406,"{""1e-05"": 0.561104953289032, ""0.0001"": 0.559850811958313, ""0.001"": 0.5585013628005981, ""0.01"": 0.5606710314750671, ""0.1"": 0.556594729423523, ""0.3"": 0.5521832704544067, ""1"": 0.5475810766220093, ""3"": 0.5385413765907288, ""10"": 0.5345401763916016, ""30"": 0.5325149893760681, ""45"": 0.5327423214912415, ""65"": 0.5340451598167419, ""90"": 0.5367250442504883}","{""1e-05"": 0.280552476644516, ""0.0001"": 0.2799254059791565, ""0.001"": 0.2792506814002991, ""0.01"": 0.28033551573753357, ""0.1"": 0.2782973647117615, ""0.3"": 0.27609163522720337, ""1"": 0.27379053831100464, ""3"": 0.2692706882953644, ""10"": 0.2672700881958008, ""30"": 0.26625749468803406, ""45"": 0.2663711607456207, ""65"": 0.26702257990837097, ""90"": 0.26836252212524414}",0.222165375261152,0.2662574825808406,0.26388887548819184,12304,0.4472404293095072,0.595334109199194
chronos2,coastal_ts,9,L9,block_depth,True,0.75,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.26823747158050537,"{""1e-05"": 0.5588301420211792, ""0.0001"": 0.5569984316825867, ""0.001"": 0.5565516352653503, ""0.01"": 0.5562329292297363, ""0.1"": 0.5566954016685486, ""0.3"": 0.5526661276817322, ""1"": 0.5482124090194702, ""3"": 0.5442496538162231, ""10"": 0.539985179901123, ""30"": 0.5364749431610107, ""45"": 0.5376454591751099, ""65"": 0.5374931693077087, ""90"": 0.5423221588134766}","{""1e-05"": 0.2794150710105896, ""0.0001"": 0.27849921584129333, ""0.001"": 0.27827581763267517, ""0.01"": 0.27811646461486816, ""0.1"": 0.2783477008342743, ""0.3"": 0.2763330638408661, ""1"": 0.2741062045097351, ""3"": 0.2721248269081116, ""10"": 0.2699925899505615, ""30"": 0.26823747158050537, ""45"": 0.26882272958755493, ""65"": 0.26874658465385437, ""90"": 0.2711610794067383}",0.2220513393074926,0.2682374562136829,0.2656267178244889,12304,0.4472404293095072,0.5997611992006485
