model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,monash_electricity_hourly,0,Emb,block_depth,True,0.0,1e-05,False,True,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,1.0000000000000001e-07,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.36154279112815857,"{""1e-05"": 0.7230855822563171, ""0.0001"": 0.7235358953475952, ""0.001"": 0.723784327507019, ""0.01"": 0.7232792973518372, ""0.1"": 0.7231010794639587, ""0.3"": 0.7231566905975342, ""1"": 0.7232096195220947, ""3"": 0.7241884469985962, ""10"": 0.725357711315155, ""30"": 0.7348697185516357, ""45"": 0.772027850151062, ""65"": 0.7476364374160767, ""90"": 0.7330852746963501}","{""1e-05"": 0.36154279112815857, ""0.0001"": 0.3617679476737976, ""0.001"": 0.3618921637535095, ""0.01"": 0.3616396486759186, ""0.1"": 0.36155053973197937, ""0.3"": 0.3615783452987671, ""1"": 0.36160480976104736, ""3"": 0.3620942234992981, ""10"": 0.3626788556575775, ""30"": 0.36743485927581787, ""45"": 0.386013925075531, ""65"": 0.37381821870803833, ""90"": 0.36654263734817505}",0.3652917395961849,0.3615428015930962,0.36183556180646403,12304,0.36157585617922644,0.9999085818768999
chronos2,monash_electricity_hourly,1,L1,block_depth,True,0.08333333333333333,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2715652585029602,"{""1e-05"": 0.5585757493972778, ""0.0001"": 0.5490188598632812, ""0.001"": 0.5459864735603333, ""0.01"": 0.5537397265434265, ""0.1"": 0.5484699606895447, ""0.3"": 0.5431305170059204, ""1"": 0.5465924143791199, ""3"": 0.5658228993415833, ""10"": 0.5813171863555908, ""30"": 0.5880712270736694, ""45"": 0.5974602103233337, ""65"": 0.5975744724273682, ""90"": 0.6141999363899231}","{""1e-05"": 0.2792878746986389, ""0.0001"": 0.2745094299316406, ""0.001"": 0.2729932367801666, ""0.01"": 0.27686986327171326, ""0.1"": 0.27423498034477234, ""0.3"": 0.2715652585029602, ""1"": 0.27329620718955994, ""3"": 0.2829114496707916, ""10"": 0.2906585931777954, ""30"": 0.2940356135368347, ""45"": 0.29873010516166687, ""65"": 0.2987872362136841, ""90"": 0.30709996819496155}",0.25691578266781406,0.27156529586961253,0.28119144503396887,12304,0.36157585617922644,0.7510603687404467
chronos2,monash_electricity_hourly,2,L2,block_depth,True,0.16666666666666666,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.0001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1656028777360916,"{""1e-05"": 0.3344442546367645, ""0.0001"": 0.3381536304950714, ""0.001"": 0.33477309346199036, ""0.01"": 0.3312057554721832, ""0.1"": 0.3354071080684662, ""0.3"": 0.3313106596469879, ""1"": 0.33630135655403137, ""3"": 0.3350541293621063, ""10"": 0.34163275361061096, ""30"": 0.349236398935318, ""45"": 0.3599388301372528, ""65"": 0.3801225423812866, ""90"": 0.4157208204269409}","{""1e-05"": 0.16722212731838226, ""0.0001"": 0.1690768152475357, ""0.001"": 0.16738654673099518, ""0.01"": 0.1656028777360916, ""0.1"": 0.1677035540342331, ""0.3"": 0.16565532982349396, ""1"": 0.16815067827701569, ""3"": 0.16752706468105316, ""10"": 0.17081637680530548, ""30"": 0.174618199467659, ""45"": 0.1799694150686264, ""65"": 0.1900612711906433, ""90"": 0.20786041021347046}",0.13500606651595623,0.16560287415298797,0.17713637263265275,12304,0.36157585617922644,0.45800313080335125
chronos2,monash_electricity_hourly,3,L3,block_depth,True,0.25,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1202922984957695,"{""1e-05"": 0.24173326790332794, ""0.0001"": 0.24433596432209015, ""0.001"": 0.2495657056570053, ""0.01"": 0.24117186665534973, ""0.1"": 0.24562609195709229, ""0.3"": 0.24605904519557953, ""1"": 0.240584596991539, ""3"": 0.2411321997642517, ""10"": 0.24581411480903625, ""30"": 0.2636004686355591, ""45"": 0.2760908305644989, ""65"": 0.28538092970848083, ""90"": 0.2993193566799164}","{""1e-05"": 0.12086663395166397, ""0.0001"": 0.12216798216104507, ""0.001"": 0.12478285282850266, ""0.01"": 0.12058593332767487, ""0.1"": 0.12281304597854614, ""0.3"": 0.12302952259778976, ""1"": 0.1202922984957695, ""3"": 0.12056609988212585, ""10"": 0.12290705740451813, ""30"": 0.13180023431777954, ""45"": 0.13804541528224945, ""65"": 0.14269046485424042, ""90"": 0.1496596783399582}",0.11753947868237707,0.12029229417329526,0.14550721658152024,12304,0.36157585617922644,0.33268895618314903
chronos2,monash_electricity_hourly,4,L4,block_depth,True,0.3333333333333333,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11182241141796112,"{""1e-05"": 0.23338305950164795, ""0.0001"": 0.2273724228143692, ""0.001"": 0.23223483562469482, ""0.01"": 0.2308698445558548, ""0.1"": 0.22894836962223053, ""0.3"": 0.23114275932312012, ""1"": 0.22364482283592224, ""3"": 0.22576311230659485, ""10"": 0.23533211648464203, ""30"": 0.24281030893325806, ""45"": 0.24574704468250275, ""65"": 0.2555639147758484, ""90"": 0.2865714728832245}","{""1e-05"": 0.11669152975082397, ""0.0001"": 0.1136862114071846, ""0.001"": 0.11611741781234741, ""0.01"": 0.1154349222779274, ""0.1"": 0.11447418481111526, ""0.3"": 0.11557137966156006, ""1"": 0.11182241141796112, ""3"": 0.11288155615329742, ""10"": 0.11766605824232101, ""30"": 0.12140515446662903, ""45"": 0.12287352234125137, ""65"": 0.1277819573879242, ""90"": 0.14328573644161224}",0.11134241409653228,0.11182240863110272,0.14864507397167556,12304,0.36157585617922644,0.3092640360800928
chronos2,monash_electricity_hourly,5,L5,block_depth,True,0.4166666666666667,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11035808175802231,"{""1e-05"": 0.22164997458457947, ""0.0001"": 0.22791633009910583, ""0.001"": 0.2292741984128952, ""0.01"": 0.22225473821163177, ""0.1"": 0.2248004674911499, ""0.3"": 0.22071616351604462, ""1"": 0.22073276340961456, ""3"": 0.2249256819486618, ""10"": 0.22148504853248596, ""30"": 0.22903206944465637, ""45"": 0.23499572277069092, ""65"": 0.24875995516777039, ""90"": 0.26588600873947144}","{""1e-05"": 0.11082498729228973, ""0.0001"": 0.11395816504955292, ""0.001"": 0.1146370992064476, ""0.01"": 0.11112736910581589, ""0.1"": 0.11240023374557495, ""0.3"": 0.11035808175802231, ""1"": 0.11036638170480728, ""3"": 0.1124628409743309, ""10"": 0.11074252426624298, ""30"": 0.11451603472232819, ""45"": 0.11749786138534546, ""65"": 0.12437997758388519, ""90"": 0.13294300436973572}",0.10671628464863153,0.11035807841663597,0.15170465054289076,12304,0.36157585617922644,0.30521417990346544
chronos2,monash_electricity_hourly,6,L6,block_depth,True,0.5,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11023260653018951,"{""1e-05"": 0.22593890130519867, ""0.0001"": 0.22700148820877075, ""0.001"": 0.2260449230670929, ""0.01"": 0.2268940657377243, ""0.1"": 0.22709375619888306, ""0.3"": 0.2239135503768921, ""1"": 0.22492635250091553, ""3"": 0.22046521306037903, ""10"": 0.22299012541770935, ""30"": 0.22442278265953064, ""45"": 0.23290859162807465, ""65"": 0.25024542212486267, ""90"": 0.27344608306884766}","{""1e-05"": 0.11296945065259933, ""0.0001"": 0.11350074410438538, ""0.001"": 0.11302246153354645, ""0.01"": 0.11344703286886215, ""0.1"": 0.11354687809944153, ""0.3"": 0.11195677518844604, ""1"": 0.11246317625045776, ""3"": 0.11023260653018951, ""10"": 0.11149506270885468, ""30"": 0.11221139132976532, ""45"": 0.11645429581403732, ""65"": 0.12512271106243134, ""90"": 0.13672304153442383}",0.10969366231556431,0.11023261548794863,0.1479109495821345,12304,0.36157585617922644,0.3048671906713494
chronos2,monash_electricity_hourly,7,L7,block_depth,True,0.5833333333333334,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.10788832604885101,"{""1e-05"": 0.22105340659618378, ""0.0001"": 0.2199721336364746, ""0.001"": 0.22420388460159302, ""0.01"": 0.22314152121543884, ""0.1"": 0.22383132576942444, ""0.3"": 0.2188500612974167, ""1"": 0.21577665209770203, ""3"": 0.21814368665218353, ""10"": 0.21746227145195007, ""30"": 0.23354165256023407, ""45"": 0.23291915655136108, ""65"": 0.24347442388534546, ""90"": 0.28299978375434875}","{""1e-05"": 0.11052670329809189, ""0.0001"": 0.1099860668182373, ""0.001"": 0.11210194230079651, ""0.01"": 0.11157076060771942, ""0.1"": 0.11191566288471222, ""0.3"": 0.10942503064870834, ""1"": 0.10788832604885101, ""3"": 0.10907184332609177, ""10"": 0.10873113572597504, ""30"": 0.11677082628011703, ""45"": 0.11645957827568054, ""65"": 0.12173721194267273, ""90"": 0.14149989187717438}",0.10588432619965486,0.10788832235199805,0.150738148942931,12304,0.36157585617922644,0.2983836462203378
chronos2,monash_electricity_hourly,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1071956604719162,"{""1e-05"": 0.22614794969558716, ""0.0001"": 0.2309201955795288, ""0.001"": 0.23378869891166687, ""0.01"": 0.2294660359621048, ""0.1"": 0.22784511744976044, ""0.3"": 0.21885228157043457, ""1"": 0.2170565277338028, ""3"": 0.22018654644489288, ""10"": 0.21476434171199799, ""30"": 0.2143913209438324, ""45"": 0.23051053285598755, ""65"": 0.23807570338249207, ""90"": 0.27544596791267395}","{""1e-05"": 0.11307397484779358, ""0.0001"": 0.1154600977897644, ""0.001"": 0.11689434945583344, ""0.01"": 0.1147330179810524, ""0.1"": 0.11392255872488022, ""0.3"": 0.10942614078521729, ""1"": 0.1085282638669014, ""3"": 0.11009327322244644, ""10"": 0.10738217085599899, ""30"": 0.1071956604719162, ""45"": 0.11525526642799377, ""65"": 0.11903785169124603, ""90"": 0.13772298395633698}",0.11620407060344558,0.10719566011644957,0.1490867677507282,12304,0.36157585617922644,0.296467970093984
chronos2,monash_electricity_hourly,9,L9,block_depth,True,0.75,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.10194399952888489,"{""1e-05"": 0.2159002423286438, ""0.0001"": 0.21861609816551208, ""0.001"": 0.21327410638332367, ""0.01"": 0.21875661611557007, ""0.1"": 0.22153517603874207, ""0.3"": 0.2140420526266098, ""1"": 0.20388799905776978, ""3"": 0.20997335016727448, ""10"": 0.20892974734306335, ""30"": 0.21938684582710266, ""45"": 0.22506052255630493, ""65"": 0.23956601321697235, ""90"": 0.2535311281681061}","{""1e-05"": 0.1079501211643219, ""0.0001"": 0.10930804908275604, ""0.001"": 0.10663705319166183, ""0.01"": 0.10937830805778503, ""0.1"": 0.11076758801937103, ""0.3"": 0.1070210263133049, ""1"": 0.10194399952888489, ""3"": 0.10498667508363724, ""10"": 0.10446487367153168, ""30"": 0.10969342291355133, ""45"": 0.11253026127815247, ""65"": 0.11978300660848618, ""90"": 0.12676556408405304}",0.10536773220356688,0.10194399759514641,0.14772726758916416,12304,0.36157585617922644,0.2819435973197687
