model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,monash_london_smart_meters,London Smart Meters,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.27089166329636466,0.26816982363585296,0.2617230603314993,1.3898391416703366,1.430109791499022,0.3898391416703366,0.43010979149902195,0.001,False,False,12304,False,False,False,False,False,False,False,False,0.2617230603314993,0.25173887736910516,0.27202533468149087,-0.07871399215557645,-0.08572535975480752,-0.07198766875578416,1.1360518743857801,1.0117703966910505,1.3126629097539249,-0.29199050102444446,-0.3364089027076114,-0.25647603254563783,0.12737359916694085,0.11339586080585516,0.14262910948366753,-0.033218852801358736,-0.03874994255683768,-0.02829838391688209,0.6196205714478868,0.5878677030931232,0.6524151203643618,-0.16159616035222601,-0.1824381847806765,-0.14156043104599964,1.1360518743857801,0.12737359916694085,0.6196205714478868
chronos2,monash_london_smart_meters,London Smart Meters,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.24480212844074456,0.24845661706369343,0.24168567362291213,1.2876718443571826,1.320621300528041,0.2876718443571826,0.32062130052804094,3.0,False,False,12304,False,False,False,False,False,False,False,False,0.24168567362291213,0.23178819713915008,0.2520960355163303,-0.0586766054469893,-0.0656601539748998,-0.052029032650837345,1.064803428224688,0.9423717143251473,1.2401886489465632,-0.2207420548633524,-0.26101986176222286,-0.18692265061089305,0.11837375182461585,0.10546165576108771,0.13226435900547923,-0.02421900545903373,-0.029031477365930446,-0.020039445844952673,0.575839987483337,0.5473072933147408,0.6053971425745384,-0.11781557638767615,-0.13706169501776894,-0.0996494181198026,1.064803428224688,0.11837375182461585,0.575839987483337
chronos2,monash_london_smart_meters,London Smart Meters,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.20821638398909328,0.21518249366119618,0.19799474803091005,1.1152226161682701,1.081884903323926,0.11522261616827012,0.08188490332392595,3.0,False,False,12304,False,False,False,False,False,False,False,False,0.19799474803091005,0.18980664972372296,0.20668837234861295,-0.014985679854987222,-0.018834799157725717,-0.011058269259839796,0.911133818206827,0.794741694816798,1.0845748012020948,-0.06707244484549135,-0.08926612789168456,-0.04821179523909296,0.10139843763534216,0.08962325830256815,0.11467414274686738,-0.007243691269760044,-0.009866420219813224,-0.004894118076476427,0.49326201255558494,0.46327583662843536,0.5261791237208453,-0.035237601459924106,-0.04641805205700551,-0.024318929807624328,0.911133818206827,0.10139843763534216,0.49326201255558494
chronos2,monash_london_smart_meters,London Smart Meters,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.1982747472814649,0.2042541831148831,0.1921513314636154,1.0585846486905452,1.0499552474574882,0.05858464869054525,0.04995524745748825,3.0,False,False,12304,False,False,False,True,False,False,False,True,0.1921513314636154,0.1839451083067435,0.20067205337082383,-0.009142263287692576,-0.012412636984097012,-0.005881018021662956,0.8867223049296381,0.7711890419815135,1.061849575780239,-0.04266093156830242,-0.059700113518203535,-0.0276528507906821,0.09849034058173071,0.08719858033106803,0.11138286818908212,-0.004335594216148597,-0.006241035525837624,-0.0026105319157371048,0.4791153073516048,0.44939825739187683,0.5112215132782805,-0.02109089625594396,-0.029618133615521992,-0.01290081994556557,0.8867223049296381,0.09849034058173071,0.4791153073516048
chronos2,monash_london_smart_meters,London Smart Meters,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,True,False,False,0.19728350849926385,0.20072273376845676,0.18921608244644778,1.0402822667821534,1.0339164301113115,0.04028226678215341,0.03391643011131151,10.0,False,False,12304,False,False,True,False,False,False,True,False,0.18921608244644778,0.18125815940594286,0.19760984081831826,-0.0062070142705249465,-0.009234867488808985,-0.003151522265064695,0.8745822735459547,0.7602000266735314,1.0486566554508843,-0.03052090018461906,-0.0457778884220963,-0.016819457970206644,0.09719245152734107,0.0861030642337068,0.10976507497551119,-0.003037705161758955,-0.005012702837502387,-0.0011991092287397967,0.4728016068452475,0.443569032604542,0.5039745924002214,-0.014777195749586691,-0.02392862313055257,-0.005823495181817878,0.8745822735459547,0.09719245152734107,0.4728016068452475
chronos2,monash_london_smart_meters,London Smart Meters,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.19478145489600118,0.1993845133821814,0.18713440522835909,1.0333466949575165,1.0225417084167143,0.03334669495751652,0.022541708416714323,10.0,False,False,12304,False,False,False,False,False,False,False,False,0.18713440522835909,0.17892314016157834,0.19568733029806884,-0.0041253370524362565,-0.006793457308414457,-0.0014850169565983685,0.8640161337067237,0.7494455328936895,1.0370375462719121,-0.019954760345388012,-0.032154931644616844,-0.008990922900028956,0.09641908333600821,0.08510855513874174,0.10920735163044622,-0.0022643369704260924,-0.003866314799838909,-0.0008223555790459258,0.46903948625049824,0.438463023944708,0.5021525904848742,-0.011015075154837406,-0.018401210059016196,-0.004048898350308126,0.8640161337067237,0.09641908333600821,0.46903948625049824
chronos2,monash_london_smart_meters,London Smart Meters,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.19251130486823823,0.19788425987344663,0.18640292624992724,1.0255713568504996,1.0185447535897072,0.027276367652100175,0.018686737641681717,10.0,False,False,12304,False,False,False,False,False,False,False,False,0.18640292624992724,0.17816410846084016,0.1949814831610513,-0.0033938580740044133,-0.006137535716087097,-0.0006888465056522965,0.8611000606632059,0.7463411509000752,1.0346859308261689,-0.017038687301870192,-0.029154519274225278,-0.005819377969462002,0.09596767689398016,0.08473250905438717,0.1086801859585892,-0.001812930528398038,-0.0033540705519031285,-0.00043358201493786167,0.4668435781549902,0.4362237619915616,0.500024936940216,-0.008819167059329391,-0.015990602894258372,-0.002125859063336628,0.8611000606632059,0.09596767689398016,0.4668435781549902
chronos2,monash_london_smart_meters,London Smart Meters,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.19182900748505569,0.19821324215078626,0.18642891061897496,1.0272763676521002,1.0186867376416817,0.027276367652100175,0.018686737641681717,10.0,False,False,12304,False,False,False,False,False,False,False,False,0.18642891061897496,0.17816122054399652,0.19500888073674708,-0.003419842443052129,-0.005907953169751393,-0.0009831510530429154,0.859323025517433,0.74504393874598,1.0314640816108818,-0.015261652156097316,-0.025668651229592613,-0.0054952188707905894,0.09608764855582758,0.08504615130723336,0.10860843854349213,-0.0019329021902454585,-0.0033102834055844686,-0.000707714539391798,0.46742719132253546,0.4372762484775241,0.5003889507839373,-0.00940278022687463,-0.015773332231874392,-0.003490551143160234,0.859323025517433,0.09608764855582758,0.46742719132253546
chronos2,monash_london_smart_meters,London Smart Meters,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.1918572110926981,0.1979159070107773,0.1857793766663957,1.025735373925902,1.015137547653157,0.025735373925902083,0.015137547653157002,10.0,False,False,12304,False,False,False,False,False,False,False,False,0.1857793766663957,0.17737269654251522,0.19451076324446168,-0.0027703084904728836,-0.005295861098659394,-0.000293140972161119,0.8572162339896684,0.7425233361604279,1.0293680189042027,-0.01315486062833271,-0.023798826762258148,-0.003157391276742902,0.09565612558094079,0.08460012262080466,0.10826834502095364,-0.0015013792153586725,-0.0028679946315594974,-0.0002920917522683717,0.46532800817908193,0.4352415415780619,0.4981222480081888,-0.007303597083421098,-0.013649843369125692,-0.0014569059056989107,0.8572162339896684,0.09565612558094079,0.46532800817908193
chronos2,monash_london_smart_meters,London Smart Meters,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.19165738515684133,0.19562210869897184,0.1848986052858238,1.0138473447896577,1.0103248277734773,0.013847344789657656,0.010324827773477319,10.0,False,False,12304,False,True,False,False,False,True,False,False,0.1848986052858238,0.17658242648751793,0.19349498390184558,-0.001889537109900974,-0.00401149229928569,0.00022998743811411038,0.8529921264354453,0.7394273689611882,1.0254917089084463,-0.00893075307410962,-0.017739672368945556,-0.00043641327165651426,0.09494558150342931,0.08400268832074946,0.10742543718212601,-0.0007908351378471956,-0.0020313324470103917,0.0003701349960659607,0.46187150125593585,0.43140018545906905,0.494204575839912,-0.003847090160275013,-0.009687072127714313,0.0017987333010767933,0.8529921264354453,0.09494558150342931,0.46187150125593585
