model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,monash_london_smart_meters,0,Emb,block_depth,True,0.0,0.001,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,1e-05,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2681698501110077,"{""1e-05"": 0.537605345249176, ""0.0001"": 0.5461573600769043, ""0.001"": 0.5363397002220154, ""0.01"": 0.5366618037223816, ""0.1"": 0.5376654267311096, ""0.3"": 0.5438268184661865, ""1"": 0.5435066819190979, ""3"": 0.5427438616752625, ""10"": 0.5515652894973755, ""30"": 0.5499086976051331, ""45"": 0.5580413937568665, ""65"": 0.6037636995315552, ""90"": 0.6038249731063843}","{""1e-05"": 0.268802672624588, ""0.0001"": 0.27307868003845215, ""0.001"": 0.2681698501110077, ""0.01"": 0.2683309018611908, ""0.1"": 0.2688327133655548, ""0.3"": 0.27191340923309326, ""1"": 0.27175334095954895, ""3"": 0.2713719308376312, ""10"": 0.27578264474868774, ""30"": 0.27495434880256653, ""45"": 0.2790206968784332, ""65"": 0.3018818497657776, ""90"": 0.30191248655319214}",0.27089166329636466,0.26816982363585296,0.2617230603314993,12304,0.2558497141847629,1.0481536963617362
chronos2,monash_london_smart_meters,1,L1,block_depth,True,0.08333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.24845659732818604,"{""1e-05"": 0.5000702142715454, ""0.0001"": 0.5000678896903992, ""0.001"": 0.4997935891151428, ""0.01"": 0.5013390779495239, ""0.1"": 0.49848857522010803, ""0.3"": 0.49996984004974365, ""1"": 0.49819305539131165, ""3"": 0.49691319465637207, ""10"": 0.5002939105033875, ""30"": 0.5026493072509766, ""45"": 0.5030277967453003, ""65"": 0.5074838995933533, ""90"": 0.5129539966583252}","{""1e-05"": 0.2500351071357727, ""0.0001"": 0.2500339448451996, ""0.001"": 0.2498967945575714, ""0.01"": 0.25066953897476196, ""0.1"": 0.24924428761005402, ""0.3"": 0.24998492002487183, ""1"": 0.24909652769565582, ""3"": 0.24845659732818604, ""10"": 0.2501469552516937, ""30"": 0.2513246536254883, ""45"": 0.25151389837265015, ""65"": 0.25374194979667664, ""90"": 0.2564769983291626}",0.24480212844074456,0.24845661706369343,0.24168567362291213,12304,0.2558497141847629,0.9711037507130827
chronos2,monash_london_smart_meters,2,L2,block_depth,True,0.16666666666666666,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.21518249809741974,"{""1e-05"": 0.4317767322063446, ""0.0001"": 0.4354742765426636, ""0.001"": 0.43351390957832336, ""0.01"": 0.43244674801826477, ""0.1"": 0.43298667669296265, ""0.3"": 0.4307047724723816, ""1"": 0.43076762557029724, ""3"": 0.4303649961948395, ""10"": 0.4321730136871338, ""30"": 0.43511515855789185, ""45"": 0.44007813930511475, ""65"": 0.4417531192302704, ""90"": 0.4526427090167999}","{""1e-05"": 0.2158883661031723, ""0.0001"": 0.2177371382713318, ""0.001"": 0.21675695478916168, ""0.01"": 0.21622337400913239, ""0.1"": 0.21649333834648132, ""0.3"": 0.2153523862361908, ""1"": 0.21538381278514862, ""3"": 0.21518249809741974, ""10"": 0.2160865068435669, ""30"": 0.21755757927894592, ""45"": 0.22003906965255737, ""65"": 0.2208765596151352, ""90"": 0.22632135450839996}",0.20821638398909328,0.21518249366119618,0.19799474803091005,12304,0.2558497141847629,0.8410503578120134
chronos2,monash_london_smart_meters,3,L3,block_depth,True,0.25,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2042541801929474,"{""1e-05"": 0.41707903146743774, ""0.0001"": 0.41664689779281616, ""0.001"": 0.41721153259277344, ""0.01"": 0.41743797063827515, ""0.1"": 0.41710165143013, ""0.3"": 0.4141652584075928, ""1"": 0.41082140803337097, ""3"": 0.4085083603858948, ""10"": 0.41057977080345154, ""30"": 0.4121560752391815, ""45"": 0.4167076051235199, ""65"": 0.42036405205726624, ""90"": 0.42630329728126526}","{""1e-05"": 0.20853951573371887, ""0.0001"": 0.20832344889640808, ""0.001"": 0.20860576629638672, ""0.01"": 0.20871898531913757, ""0.1"": 0.208550825715065, ""0.3"": 0.2070826292037964, ""1"": 0.20541070401668549, ""3"": 0.2042541801929474, ""10"": 0.20528988540172577, ""30"": 0.20607803761959076, ""45"": 0.20835380256175995, ""65"": 0.21018202602863312, ""90"": 0.21315164864063263}",0.1982747472814649,0.2042541831148831,0.1921513314636154,12304,0.2558497141847629,0.7983365694416221
chronos2,monash_london_smart_meters,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.20072272419929504,"{""1e-05"": 0.41437768936157227, ""0.0001"": 0.41323670744895935, ""0.001"": 0.4130030572414398, ""0.01"": 0.4134158492088318, ""0.1"": 0.4120132327079773, ""0.3"": 0.4098343849182129, ""1"": 0.4033426344394684, ""3"": 0.4035055935382843, ""10"": 0.4014454483985901, ""30"": 0.40417829155921936, ""45"": 0.40795162320137024, ""65"": 0.4144617021083832, ""90"": 0.4159175753593445}","{""1e-05"": 0.20718884468078613, ""0.0001"": 0.20661835372447968, ""0.001"": 0.2065015286207199, ""0.01"": 0.2067079246044159, ""0.1"": 0.20600661635398865, ""0.3"": 0.20491719245910645, ""1"": 0.2016713172197342, ""3"": 0.20175279676914215, ""10"": 0.20072272419929504, ""30"": 0.20208914577960968, ""45"": 0.20397581160068512, ""65"": 0.2072308510541916, ""90"": 0.20795878767967224}",0.19728350849926385,0.20072273376845676,0.18921608244644778,12304,0.2558497141847629,0.7845337424278068
chronos2,monash_london_smart_meters,5,L5,block_depth,True,0.4166666666666667,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.19938451051712036,"{""1e-05"": 0.4125593602657318, ""0.0001"": 0.41360563039779663, ""0.001"": 0.4157119393348694, ""0.01"": 0.4153255522251129, ""0.1"": 0.4098498523235321, ""0.3"": 0.406887024641037, ""1"": 0.403394490480423, ""3"": 0.4006955623626709, ""10"": 0.3987690210342407, ""30"": 0.39982104301452637, ""45"": 0.4040936231613159, ""65"": 0.40808314085006714, ""90"": 0.41417771577835083}","{""1e-05"": 0.2062796801328659, ""0.0001"": 0.20680281519889832, ""0.001"": 0.2078559696674347, ""0.01"": 0.20766277611255646, ""0.1"": 0.20492492616176605, ""0.3"": 0.2034435123205185, ""1"": 0.2016972452402115, ""3"": 0.20034778118133545, ""10"": 0.19938451051712036, ""30"": 0.19991052150726318, ""45"": 0.20204681158065796, ""65"": 0.20404157042503357, ""90"": 0.20708885788917542}",0.19478145489600118,0.1993845133821814,0.18713440522835909,12304,0.2558497141847629,0.7793032484616931
chronos2,monash_london_smart_meters,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.19788426160812378,"{""1e-05"": 0.41347429156303406, ""0.0001"": 0.413078248500824, ""0.001"": 0.41285276412963867, ""0.01"": 0.4145718812942505, ""0.1"": 0.410662442445755, ""0.3"": 0.4084727168083191, ""1"": 0.403828501701355, ""3"": 0.40205463767051697, ""10"": 0.39576852321624756, ""30"": 0.399833619594574, ""45"": 0.4016641080379486, ""65"": 0.4064750373363495, ""90"": 0.41189953684806824}","{""1e-05"": 0.20673714578151703, ""0.0001"": 0.206539124250412, ""0.001"": 0.20642638206481934, ""0.01"": 0.20728594064712524, ""0.1"": 0.2053312212228775, ""0.3"": 0.20423635840415955, ""1"": 0.2019142508506775, ""3"": 0.20102731883525848, ""10"": 0.19788426160812378, ""30"": 0.199916809797287, ""45"": 0.2008320540189743, ""65"": 0.20323751866817474, ""90"": 0.20594976842403412}",0.19251130486823823,0.19788425987344663,0.18640292624992724,12304,0.2558497141847629,0.7734394408216682
chronos2,monash_london_smart_meters,7,L7,block_depth,True,0.5833333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.19821324944496155,"{""1e-05"": 0.41551610827445984, ""0.0001"": 0.41536304354667664, ""0.001"": 0.41372475028038025, ""0.01"": 0.4157730042934418, ""0.1"": 0.4126877784729004, ""0.3"": 0.40978339314460754, ""1"": 0.4058716297149658, ""3"": 0.3966030180454254, ""10"": 0.3964264988899231, ""30"": 0.39717724919319153, ""45"": 0.40167924761772156, ""65"": 0.40583300590515137, ""90"": 0.4108465611934662}","{""1e-05"": 0.20775805413722992, ""0.0001"": 0.20768152177333832, ""0.001"": 0.20686237514019012, ""0.01"": 0.2078865021467209, ""0.1"": 0.2063438892364502, ""0.3"": 0.20489169657230377, ""1"": 0.2029358148574829, ""3"": 0.1983015090227127, ""10"": 0.19821324944496155, ""30"": 0.19858862459659576, ""45"": 0.20083962380886078, ""65"": 0.20291650295257568, ""90"": 0.2054232805967331}",0.19182900748505569,0.19821324215078626,0.18642891061897496,12304,0.2558497141847629,0.7747252827011007
chronos2,monash_london_smart_meters,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.19791589677333832,"{""1e-05"": 0.4142187833786011, ""0.0001"": 0.41499316692352295, ""0.001"": 0.41429516673088074, ""0.01"": 0.41128790378570557, ""0.1"": 0.4134616553783417, ""0.3"": 0.4093021750450134, ""1"": 0.402267187833786, ""3"": 0.3986545205116272, ""10"": 0.39583179354667664, ""30"": 0.3972306549549103, ""45"": 0.4000245928764343, ""65"": 0.403716504573822, ""90"": 0.4118727743625641}","{""1e-05"": 0.20710939168930054, ""0.0001"": 0.20749658346176147, ""0.001"": 0.20714758336544037, ""0.01"": 0.20564395189285278, ""0.1"": 0.20673082768917084, ""0.3"": 0.2046510875225067, ""1"": 0.201133593916893, ""3"": 0.1993272602558136, ""10"": 0.19791589677333832, ""30"": 0.19861532747745514, ""45"": 0.20001229643821716, ""65"": 0.201858252286911, ""90"": 0.20593638718128204}",0.1918572110926981,0.1979159070107773,0.1857793766663957,12304,0.2558497141847629,0.7735631350670634
chronos2,monash_london_smart_meters,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.19562211632728577,"{""1e-05"": 0.40826836228370667, ""0.0001"": 0.41163069009780884, ""0.001"": 0.4120785593986511, ""0.01"": 0.40958094596862793, ""0.1"": 0.40911272168159485, ""0.3"": 0.40819311141967773, ""1"": 0.40124815702438354, ""3"": 0.39593982696533203, ""10"": 0.39124423265457153, ""30"": 0.39487841725349426, ""45"": 0.39754635095596313, ""65"": 0.40283700823783875, ""90"": 0.41368913650512695}","{""1e-05"": 0.20413418114185333, ""0.0001"": 0.20581534504890442, ""0.001"": 0.20603927969932556, ""0.01"": 0.20479047298431396, ""0.1"": 0.20455636084079742, ""0.3"": 0.20409655570983887, ""1"": 0.20062407851219177, ""3"": 0.19796991348266602, ""10"": 0.19562211632728577, ""30"": 0.19743920862674713, ""45"": 0.19877317547798157, ""65"": 0.20141850411891937, ""90"": 0.20684456825256348}",0.19165738515684133,0.19562210869897184,0.1848986052858238,12304,0.2558497141847629,0.7645977222304129
