model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.30508351025613856,0.2909154853293004,0.3518317872729465,1.457385550604105,1.549988561121048,0.4573855506041049,0.549988561121048,0.3,False,False,12304,False,False,False,False,False,False,False,False,0.3518317872729465,0.3403694091428725,0.3630660775146013,-0.12484186225151286,-0.13594425083457964,-0.11379046236228856,1.3645338853961158,1.2879762118205853,1.4429999346528,-0.44608439866268534,-0.4940369659363445,-0.39952698966129874,9.94141570543072,8.005961349385338,12.022535397988511,-4.652155134800805,-5.693867518808012,-3.6836502033486562,0.5672728275120472,0.5495303534506357,0.5846937909997051,-0.2654592942835603,-0.27792705770853715,-0.25295350128290844,1.3645338853961158,9.94141570543072,0.5672728275120472
chronos2,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.2768796927735231,0.2732153901730785,0.3264787227825354,1.368714220867924,1.4382960950875132,0.36871422086792394,0.4382960950875132,0.01,False,False,12304,False,False,False,False,False,False,False,False,0.3264787227825354,0.3178653182788887,0.3350706981495023,-0.09948879776110178,-0.1073649452842829,-0.091749331162432,1.3188768022814314,1.2370538671067448,1.4120676095091342,-0.40042731554800104,-0.45099715621106057,-0.35581472733289066,8.890924091014101,7.13056602505267,10.802979363503546,-3.6016635203841867,-4.43967215704587,-2.822729897284219,0.5073301225648758,0.48705802062006126,0.5278243394357681,-0.20551658933638883,-0.21782413512196894,-0.192555905130669,1.3188768022814314,8.890924091014101,0.5073301225648758
chronos2,uber_tlc_hourly,Uber TLC,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.24745691925757585,0.24514383686180333,0.2961255761844511,1.2280854876378722,1.3045758579658957,0.22808548763787218,0.3045758579658957,1.0,False,False,12304,False,False,False,False,False,False,False,False,0.2961255761844511,0.28750403337749364,0.30492994160753967,-0.06913565116301748,-0.07563556739278422,-0.06296418734207636,1.2078440213138415,1.1312051778971828,1.294943961754546,-0.2893945345804111,-0.33440908983178713,-0.25042607138958095,7.886008167333128,6.303895273952659,9.643478951066339,-2.5967475967032136,-3.288772730982287,-1.985955947876081,0.44998803826525463,0.4311453100214646,0.46899265333620715,-0.1481745050367677,-0.16221526966816563,-0.13274369737254407,1.2078440213138415,7.886008167333128,0.44998803826525463
chronos2,uber_tlc_hourly,Uber TLC,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.21914014292926323,0.2155950945866017,0.25109910157345633,1.0800565507056992,1.1062125402691163,0.08005655070569917,0.1062125402691163,3.0,False,False,12304,False,False,False,True,False,False,False,True,0.25109910157345633,0.242762980910857,0.25942855826756767,-0.024109176552022688,-0.02695949014048769,-0.021255493700106178,1.0144114101942878,0.9624930917532303,1.0723965957718473,-0.09596192346085741,-0.10908544022208923,-0.08293459314863218,6.06536073765145,4.901176866471666,7.346132669130098,-0.7761001670215357,-1.0035773012464053,-0.5711556378346094,0.34609903030697414,0.33232834636127034,0.3605112235230498,-0.044285497078487224,-0.05115226868692188,-0.0370950021218963,1.0144114101942878,6.06536073765145,0.34609903030697414
chronos2,uber_tlc_hourly,Uber TLC,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.21603277414887503,0.21083172467601208,0.244948141845583,1.0561937217056627,1.0791145986873807,0.056193721705662725,0.07911459868738069,10.0,False,False,12304,False,False,False,False,False,False,False,False,0.244948141845583,0.23610127798871683,0.25388842549473617,-0.01795821682414936,-0.020678541492244205,-0.0153055740683873,0.979586635659115,0.9321572178578694,1.032406645093183,-0.06113714892568456,-0.07318653747326448,-0.04910517951836906,5.757265104028607,4.644111293815098,7.0024839535373555,-0.46800453339869286,-0.6606477251743763,-0.29907420147096325,0.32851860852319625,0.3136290740521528,0.3444424661571255,-0.026705075294709335,-0.03472177366777107,-0.018748811187182864,0.979586635659115,5.757265104028607,0.32851860852319625
chronos2,uber_tlc_hourly,Uber TLC,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,True,False,False,0.20863347576725347,0.20568158122078153,0.23645974610370535,1.0303932915680398,1.041719125117018,0.030393291568039826,0.04171912511701792,10.0,False,False,12304,False,False,True,False,False,False,True,False,0.23645974610370535,0.22738942562936598,0.24545220542087695,-0.009469821082271707,-0.011520428695708858,-0.0074131442760010545,0.9394584334912135,0.8970772987655506,0.9867207196581724,-0.021008946757783087,-0.033854274259804105,-0.00658201116477559,5.477094186800231,4.440715731114779,6.61466177539591,-0.1878336161703169,-0.3068791847065726,-0.07238694701376805,0.31253161500918764,0.30017851764766423,0.32537093129078587,-0.010718081780700717,-0.01681964516265208,-0.004355970243751574,0.9394584334912135,5.477094186800231,0.31253161500918764
chronos2,uber_tlc_hourly,Uber TLC,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.20539621485549545,0.20334632226927135,0.2332841968377128,1.0186944552238781,1.0277293003893666,0.018694455223878137,0.027729300389366607,10.0,False,False,12304,False,True,False,False,False,True,False,False,0.2332841968377128,0.22395170811947634,0.2426670799710795,-0.0062942718162791456,-0.008312022333737215,-0.004314372880128394,0.9202052377279059,0.8796540488894506,0.9654661641122089,-0.0017557509944754468,-0.01756121239716048,0.01627226577868412,5.3801748903900775,4.361088802843785,6.505600199291885,-0.09091431976016295,-0.2278058823012879,0.0585244842972038,0.30700124740922574,0.2942177245779339,0.3205005435423336,-0.005187714180738823,-0.012601299433635,0.003448189391643806,0.9202052377279059,5.3801748903900775,0.30700124740922574
chronos2,uber_tlc_hourly,Uber TLC,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.20077083876605015,0.20172109420745427,0.23311357886907252,1.0105526270532414,1.0269776460213407,0.012019027679902816,0.026977646021340673,3.0,False,False,12304,False,False,False,False,False,False,False,False,0.23311357886907252,0.22380867359399054,0.24218344302840872,-0.006123653847638882,-0.008046970214296628,-0.004194300702083423,0.914976820548438,0.8783918289864924,0.9562858434586364,0.0034726661849924234,-0.015554718343229126,0.02586365485734982,5.375487379437027,4.389942328004325,6.455671460418802,-0.08622680880711275,-0.2188648010670116,0.05023441226847533,0.3067337706563043,0.2961319348820876,0.31809644874997045,-0.004920237427817387,-0.01252524841665505,0.002753766925952162,0.914976820548438,5.375487379437027,0.3067337706563043
chronos2,uber_tlc_hourly,Uber TLC,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.20354584219679772,0.20114730693798027,0.23132757444418114,1.0076781521015028,1.0191094359026636,0.012019027679902816,0.019109435902663563,10.0,False,False,12304,False,False,False,False,True,False,False,False,0.23132757444418114,0.22203385151304192,0.2406211742640736,-0.004337649422747503,-0.006096171560334676,-0.002570364611820532,0.9122608769875674,0.874149731240384,0.955829207167078,0.006188609745862994,-0.009226494628536456,0.024015151780977087,5.293114817556068,4.317196029133299,6.379146844986458,-0.0038542469261537704,-0.10732389482133801,0.09807206364916933,0.3020334626245119,0.29054309135885115,0.31407075718520183,-0.00021992939602499817,-0.006130811119853239,0.005473928346360065,0.9122608769875674,5.293114817556068,0.3020334626245119
chronos2,uber_tlc_hourly,Uber TLC,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.20024431819146982,0.1988675110610842,0.2263854171028574,0.9962571664996046,0.9973368513227221,0.012019027679902816,0.0012359872173099973,10.0,False,False,12304,False,False,False,False,False,False,False,False,0.2263854171028574,0.2169133267610668,0.23572880464520676,0.000604507918576247,-0.001198163524781904,0.002466001124156772,0.884127001562264,0.8488243263324344,0.9244252502764968,0.03432248517116643,0.013749106676201944,0.05955534131937596,5.089739590301455,4.140525520144018,6.146542095288236,0.19952098032845988,0.11469720610706276,0.2931326982127796,0.2904285520535148,0.27861192307054045,0.30325769148363657,0.011384981174972109,0.006965789216146121,0.01582296946558642,0.884127001562264,5.089739590301455,0.2904285520535148
