model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,uber_tlc_hourly,0,Emb,block_depth,True,0.0,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.29091548919677734,"{""1e-05"": 0.5932199954986572, ""0.0001"": 0.5952419638633728, ""0.001"": 0.5886936187744141, ""0.01"": 0.5866112112998962, ""0.1"": 0.5948087573051453, ""0.3"": 0.5818309783935547, ""1"": 0.594063937664032, ""3"": 0.5842797756195068, ""10"": 0.5941135883331299, ""30"": 0.5879496335983276, ""45"": 0.6232375502586365, ""65"": 0.621394157409668, ""90"": 0.6366132497787476}","{""1e-05"": 0.2966099977493286, ""0.0001"": 0.2976209819316864, ""0.001"": 0.29434680938720703, ""0.01"": 0.2933056056499481, ""0.1"": 0.29740437865257263, ""0.3"": 0.29091548919677734, ""1"": 0.297031968832016, ""3"": 0.2921398878097534, ""10"": 0.29705679416656494, ""30"": 0.2939748167991638, ""45"": 0.31161877512931824, ""65"": 0.310697078704834, ""90"": 0.3183066248893738}",0.30508351025613856,0.2909154853293004,0.3518317872729465,12304,0.2855820835617776,1.0186755475028568
chronos2,uber_tlc_hourly,1,L1,block_depth,True,0.08333333333333333,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.0001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2732154130935669,"{""1e-05"": 0.5593777894973755, ""0.0001"": 0.5510434508323669, ""0.001"": 0.5557017922401428, ""0.01"": 0.5464308261871338, ""0.1"": 0.5551074147224426, ""0.3"": 0.5577214360237122, ""1"": 0.5613228678703308, ""3"": 0.5677241086959839, ""10"": 0.5626903772354126, ""30"": 0.5520784854888916, ""45"": 0.5556427240371704, ""65"": 0.556454598903656, ""90"": 0.5796677470207214}","{""1e-05"": 0.27968889474868774, ""0.0001"": 0.27552172541618347, ""0.001"": 0.2778508961200714, ""0.01"": 0.2732154130935669, ""0.1"": 0.2775537073612213, ""0.3"": 0.2788607180118561, ""1"": 0.2806614339351654, ""3"": 0.28386205434799194, ""10"": 0.2813451886177063, ""30"": 0.2760392427444458, ""45"": 0.2778213620185852, ""65"": 0.278227299451828, ""90"": 0.2898338735103607}",0.2768796927735231,0.2732153901730785,0.3264787227825354,12304,0.2855820835617776,0.9566965363006608
chronos2,uber_tlc_hourly,2,L2,block_depth,True,0.16666666666666666,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2451438307762146,"{""1e-05"": 0.4977952837944031, ""0.0001"": 0.5089263916015625, ""0.001"": 0.49474939703941345, ""0.01"": 0.5035760402679443, ""0.1"": 0.5045072436332703, ""0.3"": 0.5006938576698303, ""1"": 0.4902876615524292, ""3"": 0.4996569752693176, ""10"": 0.5082212090492249, ""30"": 0.5000810623168945, ""45"": 0.5071812868118286, ""65"": 0.5189419984817505, ""90"": 0.5410594344139099}","{""1e-05"": 0.24889764189720154, ""0.0001"": 0.25446319580078125, ""0.001"": 0.24737469851970673, ""0.01"": 0.25178802013397217, ""0.1"": 0.25225362181663513, ""0.3"": 0.25034692883491516, ""1"": 0.2451438307762146, ""3"": 0.2498284876346588, ""10"": 0.2541106045246124, ""30"": 0.25004053115844727, ""45"": 0.2535906434059143, ""65"": 0.25947099924087524, ""90"": 0.27052971720695496}",0.24745691925757585,0.24514383686180333,0.2961255761844511,12304,0.2855820835617776,0.8584006174490053
chronos2,uber_tlc_hourly,3,L3,block_depth,True,0.25,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2155950963497162,"{""1e-05"": 0.44129958748817444, ""0.0001"": 0.4448835849761963, ""0.001"": 0.43604692816734314, ""0.01"": 0.44371554255485535, ""0.1"": 0.43583619594573975, ""0.3"": 0.43683353066444397, ""1"": 0.434526264667511, ""3"": 0.4311901926994324, ""10"": 0.4331435561180115, ""30"": 0.4325440526008606, ""45"": 0.4387633800506592, ""65"": 0.4448297619819641, ""90"": 0.45401787757873535}","{""1e-05"": 0.22064979374408722, ""0.0001"": 0.22244179248809814, ""0.001"": 0.21802346408367157, ""0.01"": 0.22185777127742767, ""0.1"": 0.21791809797286987, ""0.3"": 0.21841676533222198, ""1"": 0.2172631323337555, ""3"": 0.2155950963497162, ""10"": 0.21657177805900574, ""30"": 0.2162720263004303, ""45"": 0.2193816900253296, ""65"": 0.22241488099098206, ""90"": 0.22700893878936768}",0.21914014292926323,0.2155950945866017,0.25109910157345633,12304,0.2855820835617776,0.7549321438435538
chronos2,uber_tlc_hourly,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.21083173155784607,"{""1e-05"": 0.4306330382823944, ""0.0001"": 0.4301013648509979, ""0.001"": 0.4335725009441376, ""0.01"": 0.4306498169898987, ""0.1"": 0.4321315884590149, ""0.3"": 0.42462220788002014, ""1"": 0.429832398891449, ""3"": 0.42444342374801636, ""10"": 0.42166346311569214, ""30"": 0.42516154050827026, ""45"": 0.4286436140537262, ""65"": 0.4316250681877136, ""90"": 0.4403163492679596}","{""1e-05"": 0.2153165191411972, ""0.0001"": 0.21505068242549896, ""0.001"": 0.2167862504720688, ""0.01"": 0.21532490849494934, ""0.1"": 0.21606579422950745, ""0.3"": 0.21231110394001007, ""1"": 0.2149161994457245, ""3"": 0.21222171187400818, ""10"": 0.21083173155784607, ""30"": 0.21258077025413513, ""45"": 0.2143218070268631, ""65"": 0.2158125340938568, ""90"": 0.2201581746339798}",0.21603277414887503,0.21083172467601208,0.244948141845583,12304,0.2855820835617776,0.7382526314204322
chronos2,uber_tlc_hourly,5,L5,block_depth,True,0.4166666666666667,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.20568157732486725,"{""1e-05"": 0.42559126019477844, ""0.0001"": 0.42403644323349, ""0.001"": 0.4196290373802185, ""0.01"": 0.4261547923088074, ""0.1"": 0.4216794967651367, ""0.3"": 0.42146795988082886, ""1"": 0.4222920835018158, ""3"": 0.41315844655036926, ""10"": 0.4113631546497345, ""30"": 0.411711722612381, ""45"": 0.41513878107070923, ""65"": 0.4196997582912445, ""90"": 0.4252283275127411}","{""1e-05"": 0.21279563009738922, ""0.0001"": 0.212018221616745, ""0.001"": 0.20981451869010925, ""0.01"": 0.2130773961544037, ""0.1"": 0.21083974838256836, ""0.3"": 0.21073397994041443, ""1"": 0.2111460417509079, ""3"": 0.20657922327518463, ""10"": 0.20568157732486725, ""30"": 0.2058558613061905, ""45"": 0.20756939053535461, ""65"": 0.20984987914562225, ""90"": 0.21261416375637054}",0.20863347576725347,0.20568158122078153,0.23645974610370535,12304,0.2855820835617776,0.7202187849304914
chronos2,uber_tlc_hourly,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.20334631204605103,"{""1e-05"": 0.42000338435173035, ""0.0001"": 0.42625370621681213, ""0.001"": 0.4207885265350342, ""0.01"": 0.420174241065979, ""0.1"": 0.41881102323532104, ""0.3"": 0.4154992699623108, ""1"": 0.4128778576850891, ""3"": 0.4088517129421234, ""10"": 0.40669262409210205, ""30"": 0.4089023768901825, ""45"": 0.41266340017318726, ""65"": 0.41723620891571045, ""90"": 0.42398712038993835}","{""1e-05"": 0.21000169217586517, ""0.0001"": 0.21312685310840607, ""0.001"": 0.2103942632675171, ""0.01"": 0.2100871205329895, ""0.1"": 0.20940551161766052, ""0.3"": 0.2077496349811554, ""1"": 0.20643892884254456, ""3"": 0.2044258564710617, ""10"": 0.20334631204605103, ""30"": 0.20445118844509125, ""45"": 0.20633170008659363, ""65"": 0.20861810445785522, ""90"": 0.21199356019496918}",0.20539621485549545,0.20334632226927135,0.2332841968377128,12304,0.2855820835617776,0.712041594952798
chronos2,uber_tlc_hourly,7,L7,block_depth,True,0.5833333333333334,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.20172110199928284,"{""1e-05"": 0.4141066372394562, ""0.0001"": 0.4133067727088928, ""0.001"": 0.41314971446990967, ""0.01"": 0.4142597019672394, ""0.1"": 0.41260701417922974, ""0.3"": 0.41094642877578735, ""1"": 0.41104528307914734, ""3"": 0.4034422039985657, ""10"": 0.40474867820739746, ""30"": 0.4083182215690613, ""45"": 0.4060958921909332, ""65"": 0.4127853810787201, ""90"": 0.4170551598072052}","{""1e-05"": 0.2070533186197281, ""0.0001"": 0.2066533863544464, ""0.001"": 0.20657485723495483, ""0.01"": 0.2071298509836197, ""0.1"": 0.20630350708961487, ""0.3"": 0.20547321438789368, ""1"": 0.20552264153957367, ""3"": 0.20172110199928284, ""10"": 0.20237433910369873, ""30"": 0.20415911078453064, ""45"": 0.2030479460954666, ""65"": 0.20639269053936005, ""90"": 0.2085275799036026}",0.20077083876605015,0.20172109420745427,0.23311357886907252,12304,0.2855820835617776,0.7063506634995805
chronos2,uber_tlc_hourly,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.20114730298519135,"{""1e-05"": 0.41471052169799805, ""0.0001"": 0.41551971435546875, ""0.001"": 0.41677141189575195, ""0.01"": 0.4159221053123474, ""0.1"": 0.41463518142700195, ""0.3"": 0.41083377599716187, ""1"": 0.4096207618713379, ""3"": 0.40407875180244446, ""10"": 0.4022946059703827, ""30"": 0.4028235971927643, ""45"": 0.40506628155708313, ""65"": 0.4099545180797577, ""90"": 0.41899701952934265}","{""1e-05"": 0.20735526084899902, ""0.0001"": 0.20775985717773438, ""0.001"": 0.20838570594787598, ""0.01"": 0.2079610526561737, ""0.1"": 0.20731759071350098, ""0.3"": 0.20541688799858093, ""1"": 0.20481038093566895, ""3"": 0.20203937590122223, ""10"": 0.20114730298519135, ""30"": 0.20141179859638214, ""45"": 0.20253314077854156, ""65"": 0.20497725903987885, ""90"": 0.20949850976467133}",0.20354584219679772,0.20114730693798027,0.23132757444418114,12304,0.2855820835617776,0.7043414783913352
chronos2,uber_tlc_hourly,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.19886751472949982,"{""1e-05"": 0.4125615358352661, ""0.0001"": 0.4090316891670227, ""0.001"": 0.4103359282016754, ""0.01"": 0.4122103750705719, ""0.1"": 0.40830668807029724, ""0.3"": 0.40662819147109985, ""1"": 0.4072437584400177, ""3"": 0.4003092646598816, ""10"": 0.39773502945899963, ""30"": 0.39786869287490845, ""45"": 0.401473730802536, ""65"": 0.4067659080028534, ""90"": 0.4138545095920563}","{""1e-05"": 0.20628076791763306, ""0.0001"": 0.20451584458351135, ""0.001"": 0.2051679641008377, ""0.01"": 0.20610518753528595, ""0.1"": 0.20415334403514862, ""0.3"": 0.20331409573554993, ""1"": 0.20362187922000885, ""3"": 0.2001546323299408, ""10"": 0.19886751472949982, ""30"": 0.19893434643745422, ""45"": 0.200736865401268, ""65"": 0.2033829540014267, ""90"": 0.20692725479602814}",0.20024431819146982,0.1988675110610842,0.2263854171028574,12304,0.2855820835617776,0.6963584990375099
