model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,first_crossing_layer,median_selected_wd,n_depth_points,n_layers_at_wd_grid_max,n_layers_at_wd_grid_min,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,test_ratio_at_tunnel,tunnel_definition,tunnel_index,tunnel_relative_position,val_ratio_at_tunnel,wd_grid_max
chronos2,m4_hourly,M4,complete,L5,0.4166666666666667,L12,0.1110363258688732,0.12111884534700226,2.6769288157723703,0.9289487357509286,66.05420064926147,2026-09-22T12:01:28+00:00,L5,30.0,13,1,1,14,262,262,1394,262,0.08285706156317343,L12+LN,True,chronos2/m4_hourly,exact_dataset,pretraining_exposed,24,1.0473789249594134,sustained_suffix_v1,5,0.4166666666666667,1.0423513865779788,90.0
chronos2,monash_electricity_hourly,Electricity,complete,L10,0.8333333333333334,L12,0.0967780283673574,0.14226085011570053,1.0014554195574956,0.836189238049318,88.90341401100159,2026-09-22T11:57:04+00:00,L10,1.0,13,0,1,14,262,262,1394,262,0.1230516768414314,L12+LN,True,chronos2/monash_electricity_hourly,exact_dataset,pretraining_exposed,24,1.0417529034114328,sustained_suffix_v1,10,0.8333333333333334,1.0220118681306194,90.0
chronos2,uber_tlc_hourly,Uber TLC,complete,L5,0.4166666666666667,L12,0.19961463540564967,0.22698992502143364,0.9184494867334304,0.8060061844402894,62.20409059524536,2026-09-22T12:05:12+00:00,L5,10.0,13,0,0,14,262,262,1394,262,0.21399006137914534,L12+LN,True,chronos2/uber_tlc_hourly,source_family,pretraining_exposed,24,1.041719125117018,sustained_suffix_v1,5,0.4166666666666667,1.0303932915680398,90.0
chronos2,wind_farms_hourly,Wind Farms,complete,L3,0.25,L12,0.1928142258499301,0.19688839728425023,4.705751001002395,4.3542799551847065,62.7016019821167,2026-09-22T12:08:43+00:00,L3,30.0,13,0,0,14,262,262,1394,262,0.17501673980925733,L12+LN,True,chronos2/wind_farms_hourly,exact_dataset,pretraining_exposed,24,1.0107958881264365,sustained_suffix_v1,3,0.25,1.0497431102939072,90.0
chronos2,sg_carpark,SG Carpark,complete,L12,1.0,L12,0.11013583602162741,0.1080815151838933,0.768071892205502,0.5977898889598999,63.6189866065979,2026-09-22T12:12:16+00:00,L12,1.0,13,0,1,14,354,354,1394,354,0.09009227425775539,L12+LN,True,chronos2/sg_carpark,exact_dataset,not_listed,24,1.0,sustained_suffix_v1,12,1.0,1.0,90.0
chronos2,coastal_ts,Coastal T-S,complete,L1,0.08333333333333333,L12,0.2677799182323118,0.258155835326761,1.2053977835647125,1.1274563050077802,58.20896005630493,2026-09-22T12:15:45+00:00,L1,30.0,13,1,0,14,48,24,1394,48,0.25213524194744724,L12+LN,True,chronos2/coastal_ts,exact_dataset,not_listed,24,1.0391577717645728,sustained_suffix_v1,1,0.08333333333333333,1.0233879418094467,90.0
chronos2,boom_hourly,BOOM,complete,L2,0.16666666666666666,L12,0.13729239758472406,0.15682334243977641,1.2831501425872676,0.9436372748392822,64.71220374107361,2026-09-22T12:19:54+00:00,L2,10.0,13,0,0,14,354,354,1394,354,0.1298636824308104,L12+LN,True,chronos2/boom_hourly,benchmark_exclusion,not_listed,24,1.040112650931404,sustained_suffix_v1,2,0.16666666666666666,1.0429840272998463,90.0
chronos2,LOOP_SEATTLE_5T,Loop Seattle,complete,L8,0.6666666666666666,L12,0.23061134737297778,0.21653931622059291,1.1626532630904043,1.2865068302940506,64.06182527542114,2026-09-22T12:25:06+00:00,L8,55.0,13,3,0,14,262,262,1394,262,0.23080488119473438,L12+LN,True,chronos2/LOOP_SEATTLE_5T,benchmark_exclusion,explicitly_held_out,288,0.9140228796620581,sustained_suffix_v1,8,0.6666666666666666,1.0220832626961145,90.0
chronos2,electricity_15min,Electricity 15min,complete,L10,0.8333333333333334,L12,0.12806056994404502,0.19306009847187358,1.4029397389937575,1.2667803585358441,63.80423283576965,2026-09-22T12:30:41+00:00,L10,2.0,13,0,1,14,262,262,1394,262,0.174861382379353,L12+LN,True,chronos2/electricity_15min,source_level,pretraining_exposed,96,1.0336921631843028,sustained_suffix_v1,10,0.8333333333333334,1.047201273485056,90.0
chronos2,SZ_TAXI_15T,SZ Taxi,complete,L2,0.16666666666666666,L12,0.287589554173442,0.30960983209885085,0.78968621034783,0.7733281950337813,62.01248908042908,2026-09-22T12:34:25+00:00,L2,55.0,13,0,1,14,156,156,1394,156,0.3054732130124019,L12+LN,True,chronos2/SZ_TAXI_15T,benchmark_exclusion,explicitly_held_out,96,1.0383070415954665,sustained_suffix_v1,2,0.16666666666666666,1.0381438019210507,90.0
chronos2,monash_london_smart_meters,London Smart Meters,complete,L4,0.3333333333333333,L12,0.19295025992256995,0.18300906817592283,0.8440613733613357,0.7762674154725767,63.37371635437012,2026-09-22T12:43:52+00:00,L4,10.0,13,0,0,14,262,262,1394,262,0.16750582732537492,L12+LN,True,chronos2/monash_london_smart_meters,exact_dataset,pretraining_exposed,48,1.0339164301113115,sustained_suffix_v1,4,0.3333333333333333,1.0402822667821534,90.0
chronos2,m5,M5,complete,Emb,0.0,L12,0.2647809085670773,0.27508438729773493,1.0924328668636494,0.9809678116775947,64.03922867774963,2026-09-22T12:49:20+00:00,Emb,30.0,13,0,0,14,262,262,1394,262,0.24791344009137192,L12+LN,True,chronos2/m5,benchmark_exclusion,explicitly_held_out,7,1.07037834759462,sustained_suffix_v1,0,0.0,1.0408684780344546,90.0
