model,dataset,display_name,definition,tolerance,is_headline_tolerance,tunnel_layer,tunnel_index,tunnel_depth_axis_index,normalized_tunnel,n_depth_points,reference_layer,val_ratio_at_tunnel,test_ratio_at_tunnel,suffix_excursion_at_tunnel,first_crossing_layer,first_crossing_depth_axis_index,sustained_minus_first_crossing,headline_val_ratio_at_tunnel,headline_test_ratio_at_tunnel
chronos2,m4_hourly,M4,sustained_suffix_v1,0.01,False,L8,8,8,0.6666666666666666,13,L12,0.9887749947341465,1.0040379343424404,0.0017680221165001786,L8,8,0,1.0423513865779788,1.0473789249594134
chronos2,m4_hourly,M4,sustained_suffix_v1,0.02,False,L7,7,7,0.5833333333333334,13,L12,1.0105191915182838,1.015371153849452,0.010519191518283844,L7,7,0,1.0423513865779788,1.0473789249594134
chronos2,m4_hourly,M4,sustained_suffix_v1,0.05,True,L5,5,5,0.4166666666666667,13,L12,1.0423513865779788,1.0473789249594134,0.04235138657797877,L5,5,0,1.0423513865779788,1.0473789249594134
chronos2,m4_hourly,M4,sustained_suffix_v1,0.1,False,L5,5,5,0.4166666666666667,13,L12,1.0423513865779788,1.0473789249594134,0.04235138657797877,L5,5,0,1.0423513865779788,1.0473789249594134
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,1.0066783689792165,1.0339658928204076,0.006678368979216476,L11,11,0,1.0220118681306194,1.0417529034114328
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,1.0066783689792165,1.0339658928204076,0.006678368979216476,L11,11,0,1.0220118681306194,1.0417529034114328
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.05,True,L10,10,10,0.8333333333333334,13,L12,1.0220118681306194,1.0417529034114328,0.022011868130619394,L10,10,0,1.0220118681306194,1.0417529034114328
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.1,False,L9,9,9,0.75,13,L12,1.0533795667770751,1.0384253114544009,0.053379566777075116,L9,9,0,1.0220118681306194,1.0417529034114328
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L8,8,4,1.0303932915680398,1.041719125117018
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.02,False,L6,6,6,0.5,13,L12,1.0186944552238781,1.0277293003893666,0.018694455223878137,L6,6,0,1.0303932915680398,1.041719125117018
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.05,True,L5,5,5,0.4166666666666667,13,L12,1.0303932915680398,1.041719125117018,0.030393291568039826,L5,5,0,1.0303932915680398,1.041719125117018
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.1,False,L3,3,3,0.25,13,L12,1.0800565507056992,1.1062125402691163,0.08005655070569917,L3,3,0,1.0303932915680398,1.041719125117018
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L5,5,7,1.0497431102939072,1.0107958881264365
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.02,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L5,5,7,1.0497431102939072,1.0107958881264365
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.05,True,L3,3,3,0.25,13,L12,1.0497431102939072,1.0107958881264365,0.04974311029390721,L3,3,0,1.0497431102939072,1.0107958881264365
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.1,False,L3,3,3,0.25,13,L12,1.0497431102939072,1.0107958881264365,0.04974311029390721,L3,3,0,1.0497431102939072,1.0107958881264365
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0,1.0
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.02,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0,1.0
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.05,True,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0,1.0
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.1,False,L11,11,11,0.9166666666666666,13,L12,1.072457013185025,1.057092618965097,0.07245701318502507,L11,11,0,1.0,1.0
