model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.3825533986091614,0.3895891606807709,0.33080267906188965,1.165122017261261,1.157516051561045,0.16512201726126108,0.15751605156104498,90.0,True,False,81984,False,False,False,False,False,False,False,False,0.3308027060915723,0.3104048986880123,0.351498711571268,-0.045016033546501466,-0.058250008855470055,-0.031446949510927545,1.314395874753104,1.2000733180097551,1.430813114761118,-0.132141436141046,-0.1883048418184294,-0.0717439902446089,5.913967947992929,5.393321817326948,6.467660957359819,-0.6611672108743809,-0.9146805707807555,-0.39772952193302824,0.0990744259595879,0.08983491401353771,0.10909257063767062,-0.011076279488953275,-0.01537462136101191,-0.0066771914470950865,1.314395874753104,5.913967947992929,0.0990744259595879
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,1,L1,block,block_depth,True,1,0.05,0.05,False,False,False,0.32331615686416626,0.35099104046821594,0.28166311979293823,1.0496888270617157,0.9855711665264077,0.05959327638998402,0.0,30.0,False,False,81984,False,False,False,True,False,False,True,True,0.2816631095839366,0.2608882608752385,0.30358934169101975,0.004123562961134253,-0.008421476224067682,0.01700840905550435,1.0960973069258584,0.9960680681350217,1.1982474882151448,0.08615713168619954,0.030442181244769058,0.14658018894629976,4.94162037244284,4.473086641437288,5.44635685619834,0.31118036467570853,0.04238212706076066,0.5862347181415397,0.08278506174118425,0.07435920038162862,0.09173113573824453,0.005213084729450382,0.0007053118077920251,0.009826640810215411,1.0960973069258584,4.94162037244284,0.08278506174118425
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.32326021790504456,0.3497035503387451,0.27379170060157776,1.045838403979534,0.9580281790016278,0.05959327638998402,0.0,65.0,False,False,81984,False,False,False,False,False,False,False,False,0.273791681306849,0.2539937763780583,0.2942536247627568,0.011994991238221842,0.0001223139162708639,0.024033931303655602,1.0806245022835603,0.9803672408413103,1.182870895636255,0.1016299363284976,0.04663441618115343,0.1597305420150329,4.850871621956798,4.392272978620373,5.332109999932442,0.40192911516175034,0.1365956510853221,0.6702971926849363,0.08126478289624972,0.07314927532048955,0.08994541869711294,0.006733363574384907,0.0022873242304910896,0.011232449081116798,1.0806245022835603,4.850871621956798,0.08126478289624972
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.3179446756839752,0.34989216923713684,0.2799336016178131,1.0464024957294271,0.9795193864898883,0.05959327638998402,0.0,65.0,False,False,81984,False,False,False,False,False,False,False,False,0.2799336160355397,0.26028721693846335,0.3004928452225814,0.005853056509531163,-0.0050126379277585465,0.016574915571010294,1.1169180997580836,1.0142190023835778,1.2195946209225477,0.06533633885397427,0.016508292579191182,0.11692319105932097,5.033142733105655,4.566507690007534,5.523969522744904,0.21965800401289304,-0.028030522333677442,0.46937781525576405,0.08431830057928315,0.07603915792940637,0.0930731045814514,0.0036798458913514798,-0.0004685378363228947,0.007853929139905104,1.1169180997580836,5.033142733105655,0.08431830057928315
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.3156517744064331,0.34525537490844727,0.2720126807689667,1.0325355001681846,0.9518031870573893,0.05959327638998402,0.0,65.0,False,False,81984,False,False,False,False,False,False,False,False,0.2720126647587496,0.2535709610507461,0.29154871273288174,0.013774007786321263,0.0035631130655644455,0.023884827293853734,1.0933154675148375,0.9960373088237262,1.1934879973402852,0.08893897109722038,0.04062918769953889,0.14013890817279603,4.897238676857185,4.455614390743656,5.3585499143052315,0.35556206026136294,0.11637402879667812,0.5969543719191983,0.08204155229846666,0.07423151792253362,0.0904418614095346,0.00595659417216797,0.0019508726502193933,0.0099927927492136,1.0933154675148375,4.897238676857185,0.08204155229846666
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.33161190152168274,0.34412118792533875,0.2599770426750183,1.0291435520364611,0.9096891258169167,0.05959327638998402,0.0,90.0,True,False,81984,False,False,False,False,False,False,False,False,0.2599770618986537,0.24371464300317733,0.27799023425220754,0.025809610646417125,0.015538044284517282,0.03661406498317042,1.0477577938225886,0.9579831035424857,1.1380513267143126,0.13449664478946932,0.0816129551961153,0.19138806511200263,4.679779045825577,4.273926250685917,5.101448411091813,0.5730216912929711,0.3259805457585617,0.8334766319938265,0.07839853490248092,0.07114009737962602,0.08607841171070242,0.009599611568153713,0.005481130873985436,0.013947995119394005,1.0477577938225886,4.679779045825577,0.07839853490248092
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.2937247157096863,0.3459693491458893,0.2730523943901062,1.0346707420787846,0.9554412628097037,0.05959327638998402,0.0,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.27305238540390975,0.2544214548031224,0.2925681162206101,0.012734287141161094,0.0031478066182204878,0.02261178867877213,1.0960663230178447,1.0004337523679874,1.1937318393722511,0.08618811559421324,0.039209476630252246,0.13621773014431252,4.886711144239178,4.449226725298627,5.339332432677712,0.36608959287937015,0.1497115772090591,0.5905695840547298,0.08186518860152545,0.0740814923962966,0.09011955385695035,0.006132957869109182,0.002488517536065206,0.009910074905621877,1.0960663230178447,4.886711144239178,0.08186518860152545
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.3249224126338959,0.346884161233902,0.253634512424469,1.037406618260601,0.8874958939079672,0.05959327638998402,0.0,90.0,True,False,81984,False,False,False,False,False,False,False,False,0.2536345131922769,0.23789832840126207,0.27121023847685966,0.03215215935279392,0.02232737951549409,0.042360545708335744,1.02384555090649,0.936111443170078,1.112991562605485,0.15840888770556782,0.10762552313727654,0.211875596787705,4.555117555529035,4.165410024817431,4.96553944400107,0.6976831815895128,0.46052646745201037,0.9506392649463709,0.07631012899649553,0.06931992519086605,0.08379998250497013,0.011688017474139098,0.0076963732432559296,0.015925643084051987,1.02384555090649,4.555117555529035,0.07631012899649553
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.3240036070346832,0.34894436597824097,0.2563433051109314,1.0435679547400374,0.8969742664042939,0.05959327638998402,0.0,90.0,True,False,81984,False,False,False,False,False,False,False,False,0.25634332018271655,0.24092241426901395,0.27335980232193613,0.02944335236235429,0.01934782737396826,0.03963575074946838,1.036452535940034,0.9502046685740335,1.1256131582078408,0.14580190267202386,0.09380742297989826,0.2004994616346649,4.615335033828868,4.223667408458736,5.026847367773179,0.6374657032896804,0.40169761556697814,0.8863658027940198,0.0773189292043686,0.07029854331104499,0.08492239125374339,0.010679217266266028,0.006722358760293023,0.01485413223738942,1.036452535940034,4.615335033828868,0.0773189292043686
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.3233059048652649,0.3533059060573578,0.2525596022605896,1.0566117631623935,0.8837346614650954,0.05959327638998402,0.0,90.0,True,False,81984,False,False,False,False,False,False,False,False,0.2525595844588207,0.23752444345674667,0.26924518011226,0.033227088086250134,0.022569991943945426,0.043932836629336565,1.0069761536353512,0.9279657659582127,1.0904176170068585,0.17527828497670672,0.1192901769715558,0.23435373692129238,4.48650296425931,4.122119235909288,4.881696275779468,0.7662977728592377,0.5115083041365478,1.026812706410005,0.07516065519104367,0.06868001459376158,0.08238575830929795,0.012837491279590954,0.008558494301660136,0.017219238981416272,1.0069761536353512,4.48650296425931,0.07516065519104367
