model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,LOOP_SEATTLE_5T,0,Emb,block_depth,True,0.0,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.3895891606807709,"{""1e-05"": 0.4065856337547302, ""0.0001"": 0.4081575870513916, ""0.001"": 0.40500426292419434, ""0.01"": 0.40465247631073, ""0.1"": 0.40458276867866516, ""0.3"": 0.40452882647514343, ""1"": 0.3989856243133545, ""3"": 0.3973565697669983, ""10"": 0.39493921399116516, ""30"": 0.3930343687534332, ""45"": 0.39216312766075134, ""65"": 0.39051756262779236, ""90"": 0.3895891606807709}","{""1e-05"": 0.4065856337547302, ""0.0001"": 0.4081575870513916, ""0.001"": 0.40500426292419434, ""0.01"": 0.40465247631073, ""0.1"": 0.40458276867866516, ""0.3"": 0.40452882647514343, ""1"": 0.3989856243133545, ""3"": 0.3973565697669983, ""10"": 0.39493921399116516, ""30"": 0.3930343687534332, ""45"": 0.39216312766075134, ""65"": 0.39051756262779236, ""90"": 0.3895891606807709}",0.3825533986091614,0.3895891606807709,0.33080267906188965,81984,0.3786400221288204,1.0289170132898031
timesfm3,LOOP_SEATTLE_5T,1,L1,block_depth,True,0.05,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.35099104046821594,"{""1e-05"": 0.3735286593437195, ""0.0001"": 0.3728788495063782, ""0.001"": 0.37399670481681824, ""0.01"": 0.37362831830978394, ""0.1"": 0.3711423873901367, ""0.3"": 0.3673169016838074, ""1"": 0.3595660924911499, ""3"": 0.3560751974582672, ""10"": 0.352253794670105, ""30"": 0.35099104046821594, ""45"": 0.3524402379989624, ""65"": 0.35378363728523254, ""90"": 0.35690709948539734}","{""1e-05"": 0.3735286593437195, ""0.0001"": 0.3728788495063782, ""0.001"": 0.37399670481681824, ""0.01"": 0.37362831830978394, ""0.1"": 0.3711423873901367, ""0.3"": 0.3673169016838074, ""1"": 0.3595660924911499, ""3"": 0.3560751974582672, ""10"": 0.352253794670105, ""30"": 0.35099104046821594, ""45"": 0.3524402379989624, ""65"": 0.35378363728523254, ""90"": 0.35690709948539734}",0.32331615686416626,0.35099104046821594,0.28166311979293823,81984,0.3786400221288204,0.9269781849653553
timesfm3,LOOP_SEATTLE_5T,2,L2,block_depth,True,0.1,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.3497035503387451,"{""1e-05"": 0.415632963180542, ""0.0001"": 0.41576725244522095, ""0.001"": 0.41506966948509216, ""0.01"": 0.4149791896343231, ""0.1"": 0.4079996347427368, ""0.3"": 0.39782100915908813, ""1"": 0.3794613778591156, ""3"": 0.36550289392471313, ""10"": 0.3555743992328644, ""30"": 0.35200193524360657, ""45"": 0.34984004497528076, ""65"": 0.3497035503387451, ""90"": 0.3511902391910553}","{""1e-05"": 0.415632963180542, ""0.0001"": 0.41576725244522095, ""0.001"": 0.41506966948509216, ""0.01"": 0.4149791896343231, ""0.1"": 0.4079996347427368, ""0.3"": 0.39782100915908813, ""1"": 0.3794613778591156, ""3"": 0.36550289392471313, ""10"": 0.3555743992328644, ""30"": 0.35200193524360657, ""45"": 0.34984004497528076, ""65"": 0.3497035503387451, ""90"": 0.3511902391910553}",0.32326021790504456,0.3497035503387451,0.27379170060157776,81984,0.3786400221288204,0.9235778837446017
timesfm3,LOOP_SEATTLE_5T,3,L3,block_depth,True,0.15,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.34989216923713684,"{""1e-05"": 0.4281281530857086, ""0.0001"": 0.4280230402946472, ""0.001"": 0.4287422001361847, ""0.01"": 0.4278010129928589, ""0.1"": 0.4206734001636505, ""0.3"": 0.4081921875476837, ""1"": 0.3872796297073364, ""3"": 0.3706922233104706, ""10"": 0.3601151704788208, ""30"": 0.354552298784256, ""45"": 0.3515457212924957, ""65"": 0.34989216923713684, ""90"": 0.3512435257434845}","{""1e-05"": 0.4281281530857086, ""0.0001"": 0.4280230402946472, ""0.001"": 0.4287422001361847, ""0.01"": 0.4278010129928589, ""0.1"": 0.4206734001636505, ""0.3"": 0.4081921875476837, ""1"": 0.3872796297073364, ""3"": 0.3706922233104706, ""10"": 0.3601151704788208, ""30"": 0.354552298784256, ""45"": 0.3515457212924957, ""65"": 0.34989216923713684, ""90"": 0.3512435257434845}",0.3179446756839752,0.34989216923713684,0.2799336016178131,81984,0.3786400221288204,0.9240760320843658
timesfm3,LOOP_SEATTLE_5T,4,L4,block_depth,True,0.2,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.34525537490844727,"{""1e-05"": 0.4354472756385803, ""0.0001"": 0.4354458451271057, ""0.001"": 0.4347463548183441, ""0.01"": 0.43373408913612366, ""0.1"": 0.42495307326316833, ""0.3"": 0.40871521830558777, ""1"": 0.38037073612213135, ""3"": 0.3587704598903656, ""10"": 0.3498867452144623, ""30"": 0.34660497307777405, ""45"": 0.3455905616283417, ""65"": 0.34525537490844727, ""90"": 0.34614071249961853}","{""1e-05"": 0.4354472756385803, ""0.0001"": 0.4354458451271057, ""0.001"": 0.4347463548183441, ""0.01"": 0.43373408913612366, ""0.1"": 0.42495307326316833, ""0.3"": 0.40871521830558777, ""1"": 0.38037073612213135, ""3"": 0.3587704598903656, ""10"": 0.3498867452144623, ""30"": 0.34660497307777405, ""45"": 0.3455905616283417, ""65"": 0.34525537490844727, ""90"": 0.34614071249961853}",0.3156517744064331,0.34525537490844727,0.2720126807689667,81984,0.3786400221288204,0.9118301149659899
timesfm3,LOOP_SEATTLE_5T,5,L5,block_depth,True,0.25,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.34412118792533875,"{""1e-05"": 0.43809348344802856, ""0.0001"": 0.43747490644454956, ""0.001"": 0.43713682889938354, ""0.01"": 0.4358338713645935, ""0.1"": 0.42701664566993713, ""0.3"": 0.41055309772491455, ""1"": 0.37823033332824707, ""3"": 0.3573630750179291, ""10"": 0.34486711025238037, ""30"": 0.34799596667289734, ""45"": 0.34826886653900146, ""65"": 0.3472340703010559, ""90"": 0.34412118792533875}","{""1e-05"": 0.43809348344802856, ""0.0001"": 0.43747490644454956, ""0.001"": 0.43713682889938354, ""0.01"": 0.4358338713645935, ""0.1"": 0.42701664566993713, ""0.3"": 0.41055309772491455, ""1"": 0.37823033332824707, ""3"": 0.3573630750179291, ""10"": 0.34486711025238037, ""30"": 0.34799596667289734, ""45"": 0.34826886653900146, ""65"": 0.3472340703010559, ""90"": 0.34412118792533875}",0.33161190152168274,0.34412118792533875,0.2599770426750183,81984,0.3786400221288204,0.9088346920924864
timesfm3,LOOP_SEATTLE_5T,6,L6,block_depth,True,0.3,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.3459693491458893,"{""1e-05"": 0.45378613471984863, ""0.0001"": 0.4543142020702362, ""0.001"": 0.45314013957977295, ""0.01"": 0.45172834396362305, ""0.1"": 0.44249507784843445, ""0.3"": 0.4210822284221649, ""1"": 0.3869095742702484, ""3"": 0.3615243434906006, ""10"": 0.3491569757461548, ""30"": 0.3459693491458893, ""45"": 0.3484615385532379, ""65"": 0.3477422297000885, ""90"": 0.34664636850357056}","{""1e-05"": 0.45378613471984863, ""0.0001"": 0.4543142020702362, ""0.001"": 0.45314013957977295, ""0.01"": 0.45172834396362305, ""0.1"": 0.44249507784843445, ""0.3"": 0.4210822284221649, ""1"": 0.3869095742702484, ""3"": 0.3615243434906006, ""10"": 0.3491569757461548, ""30"": 0.3459693491458893, ""45"": 0.3484615385532379, ""65"": 0.3477422297000885, ""90"": 0.34664636850357056}",0.2937247157096863,0.3459693491458893,0.2730523943901062,81984,0.3786400221288204,0.9137157429918595
timesfm3,LOOP_SEATTLE_5T,7,L7,block_depth,True,0.35,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.346884161233902,"{""1e-05"": 0.459343284368515, ""0.0001"": 0.4632139503955841, ""0.001"": 0.4621122479438782, ""0.01"": 0.45741111040115356, ""0.1"": 0.4477742314338684, ""0.3"": 0.4291768968105316, ""1"": 0.39335253834724426, ""3"": 0.37046217918395996, ""10"": 0.3544218838214874, ""30"": 0.35051587224006653, ""45"": 0.3496854901313782, ""65"": 0.3495315611362457, ""90"": 0.346884161233902}","{""1e-05"": 0.459343284368515, ""0.0001"": 0.4632139503955841, ""0.001"": 0.4621122479438782, ""0.01"": 0.45741111040115356, ""0.1"": 0.4477742314338684, ""0.3"": 0.4291768968105316, ""1"": 0.39335253834724426, ""3"": 0.37046217918395996, ""10"": 0.3544218838214874, ""30"": 0.35051587224006653, ""45"": 0.3496854901313782, ""65"": 0.3495315611362457, ""90"": 0.346884161233902}",0.3249224126338959,0.346884161233902,0.253634512424469,81984,0.3786400221288204,0.9161317899878146
timesfm3,LOOP_SEATTLE_5T,8,L8,block_depth,True,0.4,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.34894436597824097,"{""1e-05"": 0.4806661903858185, ""0.0001"": 0.4808156192302704, ""0.001"": 0.48161739110946655, ""0.01"": 0.47867780923843384, ""0.1"": 0.4697001576423645, ""0.3"": 0.44828999042510986, ""1"": 0.41136130690574646, ""3"": 0.3800140917301178, ""10"": 0.36544159054756165, ""30"": 0.35610443353652954, ""45"": 0.35478833317756653, ""65"": 0.3534315824508667, ""90"": 0.34894436597824097}","{""1e-05"": 0.4806661903858185, ""0.0001"": 0.4808156192302704, ""0.001"": 0.48161739110946655, ""0.01"": 0.47867780923843384, ""0.1"": 0.4697001576423645, ""0.3"": 0.44828999042510986, ""1"": 0.41136130690574646, ""3"": 0.3800140917301178, ""10"": 0.36544159054756165, ""30"": 0.35610443353652954, ""45"": 0.35478833317756653, ""65"": 0.3534315824508667, ""90"": 0.34894436597824097}",0.3240036070346832,0.34894436597824097,0.2563433051109314,81984,0.3786400221288204,0.9215728543865433
timesfm3,LOOP_SEATTLE_5T,9,L9,block_depth,True,0.45,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.3533059060573578,"{""1e-05"": 0.49111753702163696, ""0.0001"": 0.48992908000946045, ""0.001"": 0.4917377829551697, ""0.01"": 0.48958978056907654, ""0.1"": 0.4743936359882355, ""0.3"": 0.45595255494117737, ""1"": 0.4153303802013397, ""3"": 0.3876015245914459, ""10"": 0.3681337535381317, ""30"": 0.35872209072113037, ""45"": 0.3550051152706146, ""65"": 0.355229914188385, ""90"": 0.3533059060573578}","{""1e-05"": 0.49111753702163696, ""0.0001"": 0.48992908000946045, ""0.001"": 0.4917377829551697, ""0.01"": 0.48958978056907654, ""0.1"": 0.4743936359882355, ""0.3"": 0.45595255494117737, ""1"": 0.4153303802013397, ""3"": 0.3876015245914459, ""10"": 0.3681337535381317, ""30"": 0.35872209072113037, ""45"": 0.3550051152706146, ""65"": 0.355229914188385, ""90"": 0.3533059060573578}",0.3233059048652649,0.3533059060573578,0.2525596022605896,81984,0.3786400221288204,0.9330918165252919
