model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,m4_hourly,M4,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.17897747457027435,0.2074013650417328,0.22164678573608398,1.5201638811953078,1.4106864367782952,0.5201638811953078,0.4106864367782952,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.22164678235204166,0.20946954720518515,0.23400745393694128,-0.0645269721405197,-0.07209394070291393,-0.05705762351756445,3.4238206056016223,2.947724766296584,3.949921243894484,-1.4344316589576864,-1.717329912556284,-1.1739720808378606,440.3017074489798,281.9103110649041,625.5407713084477,-83.52319359071271,-121.14631753585904,-45.85568289566554,0.09007981884871374,0.08113319726751927,0.1010180679959807,-0.017087724215081007,-0.02551374563753295,-0.00921124742977827,3.4238206056016223,440.3017074489798,0.09007981884871374
timesfm3,m4_hourly,M4,1,L1,block,block_depth,True,1,0.05,0.05,False,False,False,0.1426803022623062,0.18449462950229645,0.18106962740421295,1.35226724273231,1.152430280652784,0.3522672427323099,0.15243028065278397,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.18106963087356728,0.1695827109817387,0.1930632471824989,-0.023949820662045318,-0.029668555030144223,-0.018086221252162846,2.7018294807376737,2.2975751583198516,3.1611887513774044,-0.7124405340937379,-0.9365669546594214,-0.521163136771174,343.75389290657085,218.0618790320184,493.57040212869566,13.02462095169625,-14.287857077189988,48.70740282063758,0.07032743202603221,0.062426040509742556,0.08011445467661506,0.0026646626076005236,-0.003956693460166491,0.008298802656309813,2.7018294807376737,343.75389290657085,0.07032743202603221
timesfm3,m4_hourly,M4,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.1328398436307907,0.17002533376216888,0.1778508573770523,1.2462134529414417,1.1319441941735935,0.2462134529414417,0.1319441941735935,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.17785084435275492,0.16694267834359,0.18917744991774776,-0.02073103414123295,-0.025102185310781684,-0.01619754822867859,2.711704759134998,2.331370259615659,3.137873538822496,-0.7223158124910622,-0.8929827251119924,-0.564277269685235,388.033367707468,238.60317433430527,563.4588423066468,-31.254853849200913,-50.798336436901856,-11.844009367588354,0.07938641817416835,0.07072771140894187,0.08863335530070925,-0.00639432354053561,-0.010560768903581652,-0.002419332123599026,2.711704759134998,388.033367707468,0.07938641817416835
timesfm3,m4_hourly,M4,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.12442699819803238,0.15904280543327332,0.17561683058738708,1.1657161867521284,1.1177255747557029,0.1657161867521284,0.11772557475570289,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.17561682352071045,0.16481465508073626,0.18707343637729987,-0.018497013309188487,-0.02261185193974667,-0.014191895176279763,2.7558326215553697,2.3569124162530577,3.2029481759202936,-0.7664436749114338,-0.9695502931010036,-0.5871289205486546,372.89804926960755,226.66180039295094,545.6900934452441,-16.11953541134045,-29.73958832676529,-2.1001216260190487,0.0762899351943515,0.0674438051270024,0.0856989447362874,-0.0032978405607187594,-0.006410190408094083,-0.00042636375006156095,2.7558326215553697,372.89804926960755,0.0762899351943515
timesfm3,m4_hourly,M4,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.11293946206569672,0.1525946706533432,0.1704736053943634,1.1184540986190217,1.0849911590636385,0.14073164399658755,0.08499115906363852,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.17047360289187832,0.1585011445675472,0.1830849716837966,-0.013353792680356358,-0.017425515527929418,-0.009288027833877072,2.3173672725480725,2.028935817455455,2.6407175913278995,-0.32797832590413667,-0.4253635760553391,-0.23972810547543194,415.25578430371365,248.5947305728602,611.9709094105158,-58.47727044544655,-90.71268457967689,-30.3093825620796,0.08495575918313589,0.07471835022491262,0.09457946813896322,-0.01196366454950315,-0.015215879104023007,-0.008130558452748647,2.3173672725480725,415.25578430371365,0.08495575918313589
timesfm3,m4_hourly,M4,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.10877078026533127,0.14670588076114655,0.16613100469112396,1.075291770848112,1.0573523738132262,0.14073164399658755,0.06394030347875002,30.0,False,False,81984,False,False,False,False,False,False,False,True,0.1661309914535466,0.15394266848416843,0.1788573244618579,-0.00901118124202463,-0.012634555921171787,-0.005386090039040982,2.1993528498921937,1.9307079089443275,2.5054167078872474,-0.20996390324825787,-0.29580816794042936,-0.13007007455962863,392.03414122114776,232.89181358730903,580.3410351348895,-35.25562736288066,-58.02991341821619,-15.945374901817253,0.08020492272972646,0.06932596473879228,0.09057125750722686,-0.007212828096093721,-0.01023963056218154,-0.0041291409909251665,2.1993528498921937,392.03414122114776,0.08020492272972646
timesfm3,m4_hourly,M4,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.103566013276577,0.14684179425239563,0.16238795220851898,1.0762879589895085,1.0335294550561394,0.14073164399658755,0.06394030347875002,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.16238793982406155,0.14993285138003584,0.17536251629482358,-0.005268129612539585,-0.009306957159290889,-0.0013198586472288759,2.036241720317016,1.7977818572291517,2.3044229160318257,-0.04685277367307994,-0.1065802843502421,0.018850946832097443,385.28045286570784,226.8743826467356,572.6170712785506,-28.50193900744074,-54.1641343432489,-8.757198359281201,0.07882320875195546,0.06769537776783167,0.08971766583713331,-0.005831114118322725,-0.009999989854276454,-0.002109024731234527,2.036241720317016,385.28045286570784,0.07882320875195546
timesfm3,m4_hourly,M4,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.10408151149749756,0.1467813104391098,0.165387824177742,1.0758446383376141,1.0526223495684615,0.14073164399658755,0.06394030347875002,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.16538783084629602,0.1526930408530961,0.17825002563114895,-0.008268020634774054,-0.012332956414698205,-0.004260864659063221,2.0286434376973213,1.7961050236779446,2.290606532346992,-0.03925449105338541,-0.10502592405155514,0.03171533524299256,409.51312483516836,242.56151742532592,605.8369757805418,-52.73461097690125,-83.24534184475154,-26.54922776982429,0.08378088814383529,0.07314667157764129,0.09382589915994252,-0.010788793510202552,-0.01426775325965151,-0.007270725555167445,2.0286434376973213,409.51312483516836,0.08378088814383529
timesfm3,m4_hourly,M4,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.10247161239385605,0.14601729810237885,0.1653175950050354,1.0702447525371888,1.052175371097403,0.14073164399658755,0.06394030347875002,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.16531759376801153,0.15243755072099333,0.17843478720507205,-0.008197783556489563,-0.012521910412905346,-0.003968442468157489,1.9934556807768617,1.7731898888600937,2.2407187263813233,-0.004066734132925909,-0.07280145529627541,0.07229571055421782,412.02882009186374,244.6351010200289,610.0594568002591,-55.25030623359663,-88.72973842425947,-27.468556600088128,0.0842955656233178,0.07332431469730179,0.09479797592906203,-0.011303470989685066,-0.015253790358862141,-0.007439222696906409,1.9934556807768617,412.02882009186374,0.0842955656233178
timesfm3,m4_hourly,M4,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.1014314517378807,0.15003015100955963,0.16685305535793304,1.0996572592910299,1.0619479156748037,0.14073164399658755,0.06394030347875002,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.16685305015390156,0.15356134401086916,0.18072351887360044,-0.009733239942379596,-0.014348430447067118,-0.005231315147074805,1.9567187259782417,1.7450364791484547,2.189951822233127,0.03267022066569414,-0.028567892085201163,0.10105891281481308,431.3555772688862,254.01077617984146,640.7648217624659,-74.57706341061908,-116.29923620658404,-39.38524793881214,0.08824956070438614,0.07616157151179113,0.09936978315943165,-0.0152574660707534,-0.0189735340260319,-0.011366277211876745,1.9567187259782417,431.3555772688862,0.08824956070438614
