model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,monash_london_smart_meters,0,Emb,block_depth,True,0.0,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.3289121389389038,"{""1e-05"": 0.33856937289237976, ""0.0001"": 0.3383477032184601, ""0.001"": 0.3388473093509674, ""0.01"": 0.3377826511859894, ""0.1"": 0.3379828631877899, ""0.3"": 0.3358173370361328, ""1"": 0.333839476108551, ""3"": 0.3312150835990906, ""10"": 0.3297843039035797, ""30"": 0.3289121389389038, ""45"": 0.33051595091819763, ""65"": 0.33192017674446106, ""90"": 0.33402514457702637}","{""1e-05"": 0.33856937289237976, ""0.0001"": 0.3383477032184601, ""0.001"": 0.3388473093509674, ""0.01"": 0.3377826511859894, ""0.1"": 0.3379828631877899, ""0.3"": 0.3358173370361328, ""1"": 0.333839476108551, ""3"": 0.3312150835990906, ""10"": 0.3297843039035797, ""30"": 0.3289121389389038, ""45"": 0.33051595091819763, ""65"": 0.33192017674446106, ""90"": 0.33402514457702637}",0.28751009702682495,0.3289121389389038,0.2888082265853882,81984,0.3561500686412777,0.9235212004695456
timesfm3,monash_london_smart_meters,1,L1,block_depth,True,0.05,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.30893561244010925,"{""1e-05"": 0.3397996127605438, ""0.0001"": 0.3391510546207428, ""0.001"": 0.34049418568611145, ""0.01"": 0.3397037386894226, ""0.1"": 0.3357960879802704, ""0.3"": 0.3314354419708252, ""1"": 0.32174351811408997, ""3"": 0.3154812455177307, ""10"": 0.31010186672210693, ""30"": 0.30893561244010925, ""45"": 0.3096454441547394, ""65"": 0.31220826506614685, ""90"": 0.31439879536628723}","{""1e-05"": 0.3397996127605438, ""0.0001"": 0.3391510546207428, ""0.001"": 0.34049418568611145, ""0.01"": 0.3397037386894226, ""0.1"": 0.3357960879802704, ""0.3"": 0.3314354419708252, ""1"": 0.32174351811408997, ""3"": 0.3154812455177307, ""10"": 0.31010186672210693, ""30"": 0.30893561244010925, ""45"": 0.3096454441547394, ""65"": 0.31220826506614685, ""90"": 0.31439879536628723}",0.2563174068927765,0.30893561244010925,0.26052361726760864,81984,0.3561500686412777,0.867431006313454
timesfm3,monash_london_smart_meters,2,L2,block_depth,True,0.1,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.3071920871734619,"{""1e-05"": 0.37251201272010803, ""0.0001"": 0.37234336137771606, ""0.001"": 0.372272789478302, ""0.01"": 0.37039029598236084, ""0.1"": 0.36543962359428406, ""0.3"": 0.35423099994659424, ""1"": 0.33578571677207947, ""3"": 0.32147449254989624, ""10"": 0.3107767105102539, ""30"": 0.3071920871734619, ""45"": 0.30720704793930054, ""65"": 0.30816319584846497, ""90"": 0.3117208182811737}","{""1e-05"": 0.37251201272010803, ""0.0001"": 0.37234336137771606, ""0.001"": 0.372272789478302, ""0.01"": 0.37039029598236084, ""0.1"": 0.36543962359428406, ""0.3"": 0.35423099994659424, ""1"": 0.33578571677207947, ""3"": 0.32147449254989624, ""10"": 0.3107767105102539, ""30"": 0.3071920871734619, ""45"": 0.30720704793930054, ""65"": 0.30816319584846497, ""90"": 0.3117208182811737}",0.24659425020217896,0.3071920871734619,0.26222479343414307,81984,0.3561500686412777,0.8625355270754493
timesfm3,monash_london_smart_meters,3,L3,block_depth,True,0.15,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.3074294328689575,"{""1e-05"": 0.4008881151676178, ""0.0001"": 0.4000113606452942, ""0.001"": 0.40094247460365295, ""0.01"": 0.39889177680015564, ""0.1"": 0.3908713161945343, ""0.3"": 0.3762238025665283, ""1"": 0.3501802980899811, ""3"": 0.3283316493034363, ""10"": 0.3153958320617676, ""30"": 0.3075233995914459, ""45"": 0.3074294328689575, ""65"": 0.3084772527217865, ""90"": 0.3111409544944763}","{""1e-05"": 0.4008881151676178, ""0.0001"": 0.4000113606452942, ""0.001"": 0.40094247460365295, ""0.01"": 0.39889177680015564, ""0.1"": 0.3908713161945343, ""0.3"": 0.3762238025665283, ""1"": 0.3501802980899811, ""3"": 0.3283316493034363, ""10"": 0.3153958320617676, ""30"": 0.3075233995914459, ""45"": 0.3074294328689575, ""65"": 0.3084772527217865, ""90"": 0.3111409544944763}",0.24436058104038239,0.3074294328689575,0.26087072491645813,81984,0.3561500686412777,0.8632019475436556
timesfm3,monash_london_smart_meters,4,L4,block_depth,True,0.2,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.3079105019569397,"{""1e-05"": 0.4216899871826172, ""0.0001"": 0.4218598008155823, ""0.001"": 0.4219207465648651, ""0.01"": 0.4206969439983368, ""0.1"": 0.40956082940101624, ""0.3"": 0.3920201063156128, ""1"": 0.35828015208244324, ""3"": 0.3320539593696594, ""10"": 0.3155280351638794, ""30"": 0.31017252802848816, ""45"": 0.3088238835334778, ""65"": 0.3079105019569397, ""90"": 0.31089866161346436}","{""1e-05"": 0.4216899871826172, ""0.0001"": 0.4218598008155823, ""0.001"": 0.4219207465648651, ""0.01"": 0.4206969439983368, ""0.1"": 0.40956082940101624, ""0.3"": 0.3920201063156128, ""1"": 0.35828015208244324, ""3"": 0.3320539593696594, ""10"": 0.3155280351638794, ""30"": 0.31017252802848816, ""45"": 0.3088238835334778, ""65"": 0.3079105019569397, ""90"": 0.31089866161346436}",0.24858573079109192,0.3079105019569397,0.2616025507450104,81984,0.3561500686412777,0.8645526958105799
timesfm3,monash_london_smart_meters,5,L5,block_depth,True,0.25,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.30832329392433167,"{""1e-05"": 0.44233790040016174, ""0.0001"": 0.4423520863056183, ""0.001"": 0.4420924484729767, ""0.01"": 0.44008007645606995, ""0.1"": 0.4286755919456482, ""0.3"": 0.4076983630657196, ""1"": 0.3684048056602478, ""3"": 0.3372625708580017, ""10"": 0.3183738887310028, ""30"": 0.30996906757354736, ""45"": 0.308709979057312, ""65"": 0.30832329392433167, ""90"": 0.3103182017803192}","{""1e-05"": 0.44233790040016174, ""0.0001"": 0.4423520863056183, ""0.001"": 0.4420924484729767, ""0.01"": 0.44008007645606995, ""0.1"": 0.4286755919456482, ""0.3"": 0.4076983630657196, ""1"": 0.3684048056602478, ""3"": 0.3372625708580017, ""10"": 0.3183738887310028, ""30"": 0.30996906757354736, ""45"": 0.308709979057312, ""65"": 0.30832329392433167, ""90"": 0.3103182017803192}",0.2466222494840622,0.30832329392433167,0.2615567743778229,81984,0.3561500686412777,0.8657117352260902
timesfm3,monash_london_smart_meters,6,L6,block_depth,True,0.3,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.3086501359939575,"{""1e-05"": 0.448049932718277, ""0.0001"": 0.44818243384361267, ""0.001"": 0.4484284520149231, ""0.01"": 0.446071058511734, ""0.1"": 0.4334801435470581, ""0.3"": 0.4101089537143707, ""1"": 0.3709060549736023, ""3"": 0.33977118134498596, ""10"": 0.3183800280094147, ""30"": 0.3089067041873932, ""45"": 0.3086501359939575, ""65"": 0.3098839819431305, ""90"": 0.3116350471973419}","{""1e-05"": 0.448049932718277, ""0.0001"": 0.44818243384361267, ""0.001"": 0.4484284520149231, ""0.01"": 0.446071058511734, ""0.1"": 0.4334801435470581, ""0.3"": 0.4101089537143707, ""1"": 0.3709060549736023, ""3"": 0.33977118134498596, ""10"": 0.3183800280094147, ""30"": 0.3089067041873932, ""45"": 0.3086501359939575, ""65"": 0.3098839819431305, ""90"": 0.3116350471973419}",0.2397763878107071,0.3086501359939575,0.2616075277328491,81984,0.3561500686412777,0.8666294440752638
timesfm3,monash_london_smart_meters,7,L7,block_depth,True,0.35,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.3081541657447815,"{""1e-05"": 0.46232038736343384, ""0.0001"": 0.46159353852272034, ""0.001"": 0.4618946611881256, ""0.01"": 0.46006888151168823, ""0.1"": 0.4460776448249817, ""0.3"": 0.42132025957107544, ""1"": 0.3770221471786499, ""3"": 0.34201306104660034, ""10"": 0.31975746154785156, ""30"": 0.30937156081199646, ""45"": 0.3081541657447815, ""65"": 0.3082597255706787, ""90"": 0.31110212206840515}","{""1e-05"": 0.46232038736343384, ""0.0001"": 0.46159353852272034, ""0.001"": 0.4618946611881256, ""0.01"": 0.46006888151168823, ""0.1"": 0.4460776448249817, ""0.3"": 0.42132025957107544, ""1"": 0.3770221471786499, ""3"": 0.34201306104660034, ""10"": 0.31975746154785156, ""30"": 0.30937156081199646, ""45"": 0.3081541657447815, ""65"": 0.3082597255706787, ""90"": 0.31110212206840515}",0.23772768676280975,0.3081541657447815,0.26068732142448425,81984,0.3561500686412777,0.8652368562510688
timesfm3,monash_london_smart_meters,8,L8,block_depth,True,0.4,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.3082660734653473,"{""1e-05"": 0.46521705389022827, ""0.0001"": 0.4648647904396057, ""0.001"": 0.46470245718955994, ""0.01"": 0.46338891983032227, ""0.1"": 0.447786808013916, ""0.3"": 0.423435777425766, ""1"": 0.37791985273361206, ""3"": 0.3418290317058563, ""10"": 0.3199867010116577, ""30"": 0.3082660734653473, ""45"": 0.30827221274375916, ""65"": 0.30843663215637207, ""90"": 0.3124285936355591}","{""1e-05"": 0.46521705389022827, ""0.0001"": 0.4648647904396057, ""0.001"": 0.46470245718955994, ""0.01"": 0.46338891983032227, ""0.1"": 0.447786808013916, ""0.3"": 0.423435777425766, ""1"": 0.37791985273361206, ""3"": 0.3418290317058563, ""10"": 0.3199867010116577, ""30"": 0.3082660734653473, ""45"": 0.30827221274375916, ""65"": 0.30843663215637207, ""90"": 0.3124285936355591}",0.23124949634075165,0.3082660734653473,0.2616731822490692,81984,0.3561500686412777,0.8655510713261712
timesfm3,monash_london_smart_meters,9,L9,block_depth,True,0.45,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.30811843276023865,"{""1e-05"": 0.46846845746040344, ""0.0001"": 0.4705063998699188, ""0.001"": 0.4687572717666626, ""0.01"": 0.46741244196891785, ""0.1"": 0.45320016145706177, ""0.3"": 0.4270680844783783, ""1"": 0.3796626627445221, ""3"": 0.34257665276527405, ""10"": 0.3198542594909668, ""30"": 0.3100665807723999, ""45"": 0.30811843276023865, ""65"": 0.30924928188323975, ""90"": 0.31249457597732544}","{""1e-05"": 0.46846845746040344, ""0.0001"": 0.4705063998699188, ""0.001"": 0.4687572717666626, ""0.01"": 0.46741244196891785, ""0.1"": 0.45320016145706177, ""0.3"": 0.4270680844783783, ""1"": 0.3796626627445221, ""3"": 0.34257665276527405, ""10"": 0.3198542594909668, ""30"": 0.3100665807723999, ""45"": 0.30811843276023865, ""65"": 0.30924928188323975, ""90"": 0.31249457597732544}",0.23739871382713318,0.30811843276023865,0.2600526511669159,81984,0.3561500686412777,0.865136524992734
