model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,monash_traffic,Traffic,headline,test,Emb,block_depth,True,0,262,1280,10.673639384922732,0.008338780769470883,0.04089517005717522,2.3677770929043525,0.36138255663625946,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L1,block_depth,True,1,262,1280,17.70607747255904,0.01383287302543675,0.06783937728949824,2.873907940676802,0.27528980314944657,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L2,block_depth,True,2,262,1280,22.236063300906647,0.01737192445383332,0.08519564483105994,3.101715443862969,0.2679132485238377,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L3,block_depth,True,3,262,1280,27.46216350137665,0.02145481523545051,0.10521901724665383,3.3128091846134167,0.23631060268546722,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L4,block_depth,True,4,262,1280,30.039567076733857,0.023468411778698326,0.11509412673078107,3.402515415231962,0.20438682661299623,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L5,block_depth,True,5,262,1280,30.28639665888883,0.023661247389756897,0.1160398339421028,3.410698656552601,0.21102400449274802,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L6,block_depth,True,6,262,1280,29.16970683379107,0.022788833463899275,0.11176132886509989,3.37313073356485,0.23096654249185167,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L7,block_depth,True,7,262,1280,28.560833295768077,0.02231315101231881,0.10942848006041409,3.3520363140684344,0.24056946823012954,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L8,block_depth,True,8,262,1280,26.351618638441398,0.020587202061282343,0.10096405608598237,3.2715297015045723,0.2316736737780468,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L9,block_depth,True,9,262,1280,24.167208924407007,0.018880631972192974,0.09259467020845596,3.18499671119211,0.25390955650959446,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L10,block_depth,True,10,262,1280,22.623433802237148,0.01767455765799777,0.0866798229970772,3.1189862629793708,0.2741706337916842,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L11,block_depth,True,11,262,1280,22.85008697322672,0.017851630447833375,0.08754822595106022,3.1289549236010976,0.2755244777000953,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L12,block_depth,True,12,262,1280,24.49090252428995,0.019133517597101524,0.09383487557199215,3.1983017230530963,0.2487478938198881,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L13,block_depth,True,13,262,1280,25.731011560735507,0.020102352781824616,0.0985862511905575,3.247696939968412,0.24643840359871602,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L14,block_depth,True,14,262,1280,25.429694552146668,0.019866948868864583,0.09743177989328225,3.235917568042453,0.28216110566994657,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L15,block_depth,True,15,262,1280,26.12077657631836,0.020406856700248718,0.10007960374068336,3.2627310350657477,0.24180459163193188,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L16,block_depth,True,16,262,1280,32.609103266652376,0.025475861927072168,0.1249390929756796,3.4845914907004194,0.21606211744230433,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L17,block_depth,True,17,262,1280,31.785422466269008,0.024832361301772663,0.12178322784011114,3.459007771672357,0.21179116966145134,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L18,block_depth,True,18,262,1280,28.412882568117737,0.02219756450634198,0.10886161903493385,3.3468426538699827,0.23265033731167725,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L19,block_depth,True,19,262,1280,18.527542263424493,0.014474642393300385,0.07098675196714366,2.919258395959355,0.29278675388630404,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,test,L20,block_depth,True,20,262,1280,14.703752276389064,0.011487306465928956,0.0563362156183489,2.688102718109407,0.36418750470719413,260,261.0,True
timesfm3,monash_traffic,Traffic,headline,train,Emb,block_depth,True,0,1394,1280,11.240618617547367,0.00878173329495888,0.00878173329495888,2.419533880099399,0.31523736388231677,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L1,block_depth,True,1,1394,1280,19.179010831462335,0.01498360221207995,0.01498360221207995,2.9538164952089057,0.2536129024632236,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L2,block_depth,True,2,1394,1280,24.542128348640343,0.01917353777237527,0.01917353777237527,3.200391165295401,0.24918922745607713,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L3,block_depth,True,3,1394,1280,36.39116321728605,0.028430596263504727,0.028430596263504727,3.5943259764137125,0.20979280581305587,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L4,block_depth,True,4,1394,1280,45.87361617722872,0.035838762638459934,0.035838762638459934,3.825890140845726,0.1724946072524139,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L5,block_depth,True,5,1394,1280,51.45615205276502,0.04020011879122267,0.04020011879122267,3.9407300285576743,0.15426260284475288,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L6,block_depth,True,6,1394,1280,46.13235842099157,0.036040905016399664,0.036040905016399664,3.831514621799208,0.22120863363052215,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L7,block_depth,True,7,1394,1280,47.62170936094343,0.03720446043823705,0.03720446043823705,3.8632887362763704,0.21013649628514822,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L8,block_depth,True,8,1394,1280,45.557082623150635,0.03559147079933643,0.03559147079933643,3.8189661027963075,0.22196558717103157,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L9,block_depth,True,9,1394,1280,44.78269041154824,0.03498647688402206,0.03498647688402206,3.8018216900167596,0.2132082710844939,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L10,block_depth,True,10,1394,1280,42.37230786855571,0.03310336552230915,0.03310336552230915,3.746495032556898,0.227850353584481,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L11,block_depth,True,11,1394,1280,41.64951035010639,0.03253867996102062,0.03253867996102062,3.7292896122437793,0.22449009046212004,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L12,block_depth,True,12,1394,1280,43.90063454996647,0.034297370742161305,0.034297370742161305,3.781928774417811,0.21271384611202324,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L13,block_depth,True,13,1394,1280,46.18894787655331,0.03608511552855727,0.03608511552855727,3.832740546017972,0.17237936633561934,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L14,block_depth,True,14,1394,1280,50.25336289590025,0.03926043976242207,0.03926043976242207,3.9170774680014184,0.14517342181401363,1280,1280.0,True
timesfm3,monash_traffic,Traffic,headline,train,L15,block_depth,True,15,1394,1280,53.049684641010586,0.04144506612578952,0.04144506612578952,3.9712289204807885,0.1442557264219286,1280,1280.0,True
