model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,sg_carpark,SG Carpark,headline,test,Emb,block_depth,True,0,354,1280,6.49422749999307,0.0050736152343695854,0.018397245042473285,1.8709137054035114,0.574891328265501,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L1,block_depth,True,1,354,1280,12.389771333302733,0.00967950885414276,0.03509850236063097,2.5168712397243924,0.47400353142169205,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L2,block_depth,True,2,354,1280,15.790689622837203,0.012336476267841564,0.04473283179273995,2.7594205019710416,0.4647867752229872,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L3,block_depth,True,3,354,1280,24.418959983090428,0.019077312486789396,0.06917552403141765,3.195359879040597,0.37516506534003624,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L4,block_depth,True,4,354,1280,31.8538866225119,0.024885848923837422,0.09023763915725751,3.461159403537511,0.2825773318852032,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L5,block_depth,True,5,354,1280,35.09925810969334,0.02742129539819792,0.09943132608978282,3.5581799937724683,0.24535384843388444,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L6,block_depth,True,6,354,1280,38.97607488453845,0.030450058503545662,0.11041380987121374,3.6629479933842943,0.20845301094346286,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L7,block_depth,True,7,354,1280,36.87548515595692,0.028808972778091347,0.10446313075341905,3.6075469713451476,0.21994649334628166,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L8,block_depth,True,8,354,1280,40.4947172540763,0.031636497854747106,0.114715912901066,3.70117152743374,0.17390518371074115,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L9,block_depth,True,9,354,1280,40.017731204285475,0.031263852503348025,0.11336467763253676,3.6893226360014713,0.16643037732230037,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L10,block_depth,True,10,354,1280,41.191136606912934,0.03218057547415073,0.11668877225754372,3.7182231023113377,0.16950554435392196,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L11,block_depth,True,11,354,1280,42.966271558236016,0.03356739965487189,0.12171748316780741,3.7604154255381497,0.16182654191437076,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L12,block_depth,True,12,354,1280,45.220713967313046,0.035328682786963314,0.12810400557312476,3.811555255476024,0.1483570308972047,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L13,block_depth,True,13,354,1280,47.07062452192187,0.036773925407751464,0.13334454538788065,3.8516491232647367,0.14673480142803796,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L14,block_depth,True,14,354,1280,47.63732047765068,0.0372166566231646,0.13494991636728237,3.8636164976838394,0.15901985899397392,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L15,block_depth,True,15,354,1280,44.426343972106025,0.03470808122820783,0.12585366564335984,3.7938326261910156,0.18386618806063038,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L16,block_depth,True,16,354,1280,53.890511140401664,0.0421019618284388,0.15266433750822,3.986954416784478,0.16932790212490176,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L17,block_depth,True,17,354,1280,48.361925157672104,0.037782754029431334,0.13700262084326376,3.878712833839105,0.2165233664709878,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L18,block_depth,True,18,354,1280,32.154780729781415,0.02512092244514173,0.09109003039598135,3.4705611403995706,0.29972439715233606,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L19,block_depth,True,19,354,1280,12.927497852055605,0.010099607696918441,0.03662180694633316,2.5593566591351107,0.46063695911622904,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,test,L20,block_depth,True,20,354,1280,6.511814149092805,0.005087354803978754,0.018447065578166586,1.8736180885344966,0.6636023836299262,353,353.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,Emb,block_depth,True,0,1394,1280,7.111759894955556,0.005556062417934028,0.005556062417934028,1.9617497370898973,0.3775195299351121,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L1,block_depth,True,1,1394,1280,14.198030820202254,0.011092211578283011,0.011092211578283011,2.653103280357355,0.30172433049704406,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L2,block_depth,True,2,1394,1280,17.61265140889989,0.013759883913203038,0.013759883913203038,2.8686174738606587,0.2957014011309284,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L3,block_depth,True,3,1394,1280,29.85630160617727,0.02332523562982599,0.02332523562982599,3.3963959266428896,0.23100399905156427,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L4,block_depth,True,4,1394,1280,43.16928849438114,0.03372600663623527,0.03372600663623527,3.765129327948617,0.17841418156108796,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L5,block_depth,True,5,1394,1280,51.708717435070554,0.04039743549614887,0.04039743549614887,3.945626383065731,0.1389708445887719,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L6,block_depth,True,6,1394,1280,53.777080810221726,0.04201334438298572,0.04201334438298572,3.984847369155924,0.15124236801029114,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L7,block_depth,True,7,1394,1280,57.560185818201454,0.04496889517046988,0.04496889517046988,4.05283111026624,0.12910869032611336,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L8,block_depth,True,8,1394,1280,59.685561587266115,0.046629344990051655,0.046629344990051655,4.089090141688731,0.12310373733510993,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L9,block_depth,True,9,1394,1280,60.184774714126696,0.04701935524541148,0.04701935524541148,4.097419408601741,0.13107821099117833,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L10,block_depth,True,10,1394,1280,59.59417733356142,0.04655795104184486,0.04655795104184486,4.08755787355315,0.15611767886249617,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L11,block_depth,True,11,1394,1280,61.68444655247426,0.04819097386912052,0.04819097386912052,4.122031817325834,0.164173060639933,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L12,block_depth,True,12,1394,1280,66.06693313713764,0.05161479151338878,0.05161479151338878,4.190668366576924,0.15438994015001906,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L13,block_depth,True,13,1394,1280,68.77625066469014,0.05373144583178917,0.05373144583178917,4.230858491519016,0.13173483476718567,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L14,block_depth,True,14,1394,1280,73.17062127335664,0.05716454786980988,0.05716454786980988,4.292793991680674,0.12632395391949292,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L15,block_depth,True,15,1394,1280,71.08012818826225,0.05553135014707988,0.05553135014707988,4.263807806721266,0.1351353276769926,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L16,block_depth,True,16,1394,1280,82.56862418941279,0.06450673764797873,0.06450673764797873,4.413629755936308,0.09474521648252875,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L17,block_depth,True,17,1394,1280,79.61943185475258,0.06220268113652545,0.06220268113652545,4.3772581818364955,0.11359703803252792,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L18,block_depth,True,18,1394,1280,53.1862635096221,0.04155176836689227,0.04155176836689227,3.973800158300673,0.18065572662877322,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L19,block_depth,True,19,1394,1280,20.480176089763646,0.01600013757012785,0.01600013757012785,3.019457398267334,0.2904979584742335,1280,1280.0,True
timesfm3,sg_carpark,SG Carpark,headline,train,L20,block_depth,True,20,1394,1280,9.502770396526333,0.007424039372286198,0.007424039372286198,2.25158337678043,0.4031812812634674,1280,1280.0,True
