model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.30660223960876465,0.29053133726119995,0.3949567973613739,1.1199830979138814,1.2135742322713077,0.1199830979138814,0.21357423227130767,10.0,False,False,81984,False,False,False,False,False,False,False,False,0.39495680384508525,0.37941600840382333,0.4107732433335187,-0.06950754459008912,-0.0779294614203786,-0.06138364071993312,1.1567586872522824,1.103535261806312,1.2134864000594516,-0.21568007205217155,-0.24301573110085936,-0.18907042714398925,7.5994257792858555,6.115542172156356,9.214653807248245,-2.051253391706994,-2.579392082435118,-1.5826100399378373,0.4336351961349408,0.41435300798120256,0.45347405596003637,-0.11704774711529764,-0.12932035708830222,-0.10412628588532406,1.1567586872522824,7.5994257792858555,0.4336351961349408
timesfm3,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.05,0.05,True,False,False,0.27324196696281433,0.26740166544914246,0.36623498797416687,1.030819423750533,1.1253214208008158,0.03219679671461684,0.12532142080081576,30.0,False,False,81984,False,False,True,True,False,False,True,True,0.3662349627929107,0.35194097935321617,0.38056767565795424,-0.04078570353791455,-0.046677992062088614,-0.03486267521493989,1.0559505152797142,1.0109677069240481,1.104152109458533,-0.11487190007960335,-0.13543810325119762,-0.09434355234532549,6.763397364548979,5.468125162467886,8.200971145313956,-1.2152249769701173,-1.5499592461460845,-0.9225951298750253,0.3859300989173353,0.3698612726602229,0.40296687717277907,-0.06934264989769218,-0.07827160825601351,-0.05970070927845527,1.0559505152797142,6.763397364548979,0.3859300989173353
timesfm3,uber_tlc_hourly,Uber TLC,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.2634802758693695,0.2632967233657837,0.36109837889671326,1.014995086883409,1.109538285887594,0.03219679671461684,0.10953828588759396,45.0,False,False,81984,False,False,False,False,False,True,False,False,0.36109838839478164,0.3476099400439847,0.37486124838567303,-0.03564912913978552,-0.04043449736697927,-0.030562274767270768,1.0495488311160237,1.0052443832702869,1.09642345008303,-0.10847021591591288,-0.12399146671364705,-0.09285198844846623,6.6221870542741215,5.360136035986025,8.016506421830437,-1.07401466669526,-1.3407337083376978,-0.830708775263337,0.37787241635410507,0.36420433121806023,0.3920538761840034,-0.061284967334461926,-0.06701236686134636,-0.054949738527232596,1.0495488311160237,6.6221870542741215,0.37787241635410507
timesfm3,uber_tlc_hourly,Uber TLC,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.25463786721229553,0.26421958208084106,0.3538774847984314,1.0185526589249323,1.0873508186248977,0.03219679671461684,0.0898170593677956,45.0,False,False,81984,False,False,False,False,False,False,False,False,0.3538775078895438,0.34055431090928046,0.3675175376492375,-0.02842824863454768,-0.032491136443950505,-0.024202390855448383,1.023588308508309,0.9811187086035448,1.0690926460187924,-0.08250969330819824,-0.09711417181628869,-0.06737449451643457,6.398797526986862,5.169850848212365,7.759826571957051,-0.8506251394080007,-1.0855632516187281,-0.6409858368115326,0.36512545832159893,0.3504735265217683,0.38040714073580095,-0.04853800930195579,-0.05487240079008196,-0.04207501853267811,1.023588308508309,6.398797526986862,0.36512545832159893
timesfm3,uber_tlc_hourly,Uber TLC,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.2621718943119049,0.2647334337234497,0.3546801209449768,1.020533530110747,1.0898170593677956,0.03219679671461684,0.0898170593677956,65.0,False,False,81984,False,False,False,False,False,False,False,False,0.3546800999866642,0.3413125791476741,0.3681912473936117,-0.029230840731668095,-0.03356548478322117,-0.024799231913665898,1.0401362866265305,0.9937709763507878,1.0897004261106773,-0.09905767142641964,-0.11495654581741474,-0.08307682579527093,6.489309334638948,5.226043936824054,7.904955012779651,-0.9411369470600865,-1.2294410640288418,-0.6886940199934382,0.3702902045279141,0.3536948886824785,0.38763226521585437,-0.05370275550827097,-0.062112425622869054,-0.044897178661025224,1.0401362866265305,6.489309334638948,0.3702902045279141
timesfm3,uber_tlc_hourly,Uber TLC,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.25184690952301025,0.26418381929397583,0.3439921736717224,1.0184147952534917,1.0569764613749264,0.03219679671461684,0.06003069156569851,45.0,False,False,81984,False,False,False,False,False,False,False,False,0.3439921739134397,0.33132771433167557,0.35691220293759957,-0.0185429146584436,-0.021705829096559937,-0.015276199131350924,1.0104033483897201,0.9656570764627214,1.0603916694473112,-0.0693247331896093,-0.0836325105380101,-0.05599475471735511,6.132693900990882,4.9440288377182435,7.46050170291173,-0.5845215134120201,-0.7861200417462971,-0.4121706238406733,0.3499411665866213,0.33419516076690037,0.3663855447163309,-0.033353717566978136,-0.03977293299885469,-0.026870669636161765,1.0104033483897201,6.132693900990882,0.3499411665866213
timesfm3,uber_tlc_hourly,Uber TLC,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.24708491563796997,0.264628529548645,0.34494248032569885,1.0201291300078548,1.059896445726953,0.03219679671461684,0.06003069156569851,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.3449424769985312,0.33203357758057367,0.35801072606198375,-0.019493217743535074,-0.022837952091109778,-0.016060593327194547,1.0088356727112628,0.9649937133325561,1.0565627977561547,-0.06775705751115202,-0.08078043751071388,-0.05501627209571736,6.17854514002666,4.980255900292992,7.524051794587742,-0.6303727524477987,-0.843342424210813,-0.4452505004070381,0.3525575104538784,0.3364854605619066,0.3693633278141071,-0.035970061434235256,-0.042963262475539714,-0.02881093239714841,1.0088356727112628,6.17854514002666,0.3525575104538784
timesfm3,uber_tlc_hourly,Uber TLC,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.24793972074985504,0.26332488656044006,0.344696044921875,1.0151036545246686,1.0591392296010427,0.03219679671461684,0.06003069156569851,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.3446960578182044,0.33208468247787987,0.3575522661212661,-0.019246798563208267,-0.02255047547296827,-0.01580678585859883,1.00904052670799,0.9651778597214398,1.0563866959105235,-0.06796191150787922,-0.08072497345075598,-0.05545568848487021,6.215606971666015,5.016691618775031,7.552715962286824,-0.6674345840871538,-0.8751680251948997,-0.485118094771835,0.35467231690094686,0.33877852400972175,0.3709084689642546,-0.03808486788130372,-0.0444765952560218,-0.03173300800090361,1.00904052670799,6.215606971666015,0.35467231690094686
timesfm3,uber_tlc_hourly,Uber TLC,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.24913296103477478,0.26325324177742004,0.34038859605789185,1.014827467636216,1.0459038352918941,0.03219679671461684,0.06003069156569851,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.34038859085386036,0.32775976059048345,0.3534000201228978,-0.014939331598864236,-0.018184122396277574,-0.011659220578362231,0.9951537702830082,0.95157582794061,1.0427839072192002,-0.0540751550828974,-0.06655562701127814,-0.041556908894103205,6.031371168445817,4.863063907146822,7.32987064215746,-0.4831987808669558,-0.6767452659984968,-0.3114839135589354,0.3441595319899826,0.32792347956943013,0.3613087649198939,-0.027572082970339473,-0.03543769296968774,-0.019648739383657635,0.9951537702830082,6.031371168445817,0.3441595319899826
timesfm3,uber_tlc_hourly,Uber TLC,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.25206995010375977,0.26775896549224854,0.34413936734199524,1.0321967967146168,1.0574287398180118,0.03219679671461684,0.06003069156569851,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.344139380096138,0.3312875232065651,0.35717671496530584,-0.018690120841141855,-0.02225528555737366,-0.014999076148196492,1.0065402374790513,0.9622091618034601,1.0542763038956717,-0.06546162227894048,-0.07866702443416237,-0.052081560924534816,6.139582677387805,4.943297229694511,7.474675220530925,-0.5914102898089437,-0.8229789273149952,-0.38844260108500034,0.35033425101046717,0.33364120694835175,0.36770660124730853,-0.03374680199082403,-0.042517808816404476,-0.024461300099070778,1.0065402374790513,6.139582677387805,0.35033425101046717
timesfm3,uber_tlc_hourly,Uber TLC,10,L10,block,block_depth,True,10,0.5,0.5,False,False,False,0.25168681144714355,0.26761823892593384,0.34386956691741943,1.0316543031674983,1.0565997305559647,0.03165430316749829,0.06003069156569851,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.34386956886537656,0.331110007615177,0.3569596729248421,-0.018420309610380436,-0.02198517785784397,-0.01476258734696126,1.0044975699411964,0.9606992287231518,1.051593858585964,-0.06341895474108561,-0.07569793885140688,-0.050638916623464376,6.154001203447458,4.961033167781566,7.480966689872696,-0.6058288158685965,-0.826704476661537,-0.4169303485827138,0.35115699480157,0.33538138725901084,0.3676963508205291,-0.034569545781926836,-0.04244941122689863,-0.026489749909495514,1.0044975699411964,6.154001203447458,0.35115699480157
timesfm3,uber_tlc_hourly,Uber TLC,11,L11,block,block_depth,True,11,0.55,0.55,False,False,False,0.25210991501808167,0.26559796929359436,0.3449861705303192,1.0238662694814293,1.0600306915656985,0.030292899412022845,0.06003069156569851,30.0,False,False,81984,False,False,False,False,False,False,False,False,0.34498617783871316,0.33229490737359657,0.35802434794355953,-0.019536918583717033,-0.02312631021068917,-0.01583115776737738,1.0113117221484322,0.9665662691570084,1.0602375255021528,-0.07023310694832141,-0.08400159687826178,-0.056596195825227555,6.234774333072757,5.015418342162801,7.584026629035151,-0.6866019454938952,-0.9228916045213542,-0.48603557933338876,0.3557660367114169,0.33952023726473407,0.3728399482793266,-0.039178587691773736,-0.0468994414082642,-0.031242972435530317,1.0113117221484322,6.234774333072757,0.3557660367114169
