model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,uber_tlc_hourly,0,Emb,block_depth,True,0.0,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.29053133726119995,"{""1e-05"": 0.29860126972198486, ""0.0001"": 0.30002325773239136, ""0.001"": 0.29930034279823303, ""0.01"": 0.2975381314754486, ""0.1"": 0.2979888916015625, ""0.3"": 0.2955028712749481, ""1"": 0.293540358543396, ""3"": 0.2908364236354828, ""10"": 0.29053133726119995, ""30"": 0.2911601960659027, ""45"": 0.29261088371276855, ""65"": 0.29215192794799805, ""90"": 0.2987649142742157}","{""1e-05"": 0.29860126972198486, ""0.0001"": 0.30002325773239136, ""0.001"": 0.29930034279823303, ""0.01"": 0.2975381314754486, ""0.1"": 0.2979888916015625, ""0.3"": 0.2955028712749481, ""1"": 0.293540358543396, ""3"": 0.2908364236354828, ""10"": 0.29053133726119995, ""30"": 0.2911601960659027, ""45"": 0.29261088371276855, ""65"": 0.29215192794799805, ""90"": 0.2987649142742157}",0.30660223960876465,0.29053133726119995,0.3949567973613739,81984,0.3401826450259972,0.8540451475383088
timesfm3,uber_tlc_hourly,1,L1,block_depth,True,0.05,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.26740166544914246,"{""1e-05"": 0.3005090355873108, ""0.0001"": 0.30238068103790283, ""0.001"": 0.30014753341674805, ""0.01"": 0.29956066608428955, ""0.1"": 0.29856225848197937, ""0.3"": 0.29277506470680237, ""1"": 0.2845167815685272, ""3"": 0.27513250708580017, ""10"": 0.26824384927749634, ""30"": 0.26740166544914246, ""45"": 0.269749253988266, ""65"": 0.2747966945171356, ""90"": 0.2805805802345276}","{""1e-05"": 0.3005090355873108, ""0.0001"": 0.30238068103790283, ""0.001"": 0.30014753341674805, ""0.01"": 0.29956066608428955, ""0.1"": 0.29856225848197937, ""0.3"": 0.29277506470680237, ""1"": 0.2845167815685272, ""3"": 0.27513250708580017, ""10"": 0.26824384927749634, ""30"": 0.26740166544914246, ""45"": 0.269749253988266, ""65"": 0.2747966945171356, ""90"": 0.2805805802345276}",0.27324196696281433,0.26740166544914246,0.36623498797416687,81984,0.3401826450259972,0.7860532256979402
timesfm3,uber_tlc_hourly,2,L2,block_depth,True,0.1,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.2632967233657837,"{""1e-05"": 0.33177000284194946, ""0.0001"": 0.33247748017311096, ""0.001"": 0.3326108753681183, ""0.01"": 0.33374062180519104, ""0.1"": 0.32486072182655334, ""0.3"": 0.3163112699985504, ""1"": 0.2997135519981384, ""3"": 0.28270936012268066, ""10"": 0.2696114480495453, ""30"": 0.2650146484375, ""45"": 0.2632967233657837, ""65"": 0.2660320997238159, ""90"": 0.2697373628616333}","{""1e-05"": 0.33177000284194946, ""0.0001"": 0.33247748017311096, ""0.001"": 0.3326108753681183, ""0.01"": 0.33374062180519104, ""0.1"": 0.32486072182655334, ""0.3"": 0.3163112699985504, ""1"": 0.2997135519981384, ""3"": 0.28270936012268066, ""10"": 0.2696114480495453, ""30"": 0.2650146484375, ""45"": 0.2632967233657837, ""65"": 0.2660320997238159, ""90"": 0.2697373628616333}",0.2634802758693695,0.2632967233657837,0.36109837889671326,81984,0.3401826450259972,0.7739863488499309
timesfm3,uber_tlc_hourly,3,L3,block_depth,True,0.15,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.26421958208084106,"{""1e-05"": 0.35578015446662903, ""0.0001"": 0.3560226261615753, ""0.001"": 0.35586103796958923, ""0.01"": 0.354373961687088, ""0.1"": 0.3472365140914917, ""0.3"": 0.33454176783561707, ""1"": 0.31001904606819153, ""3"": 0.2883065938949585, ""10"": 0.2732619345188141, ""30"": 0.26546454429626465, ""45"": 0.26421958208084106, ""65"": 0.26533105969429016, ""90"": 0.2688787877559662}","{""1e-05"": 0.35578015446662903, ""0.0001"": 0.3560226261615753, ""0.001"": 0.35586103796958923, ""0.01"": 0.354373961687088, ""0.1"": 0.3472365140914917, ""0.3"": 0.33454176783561707, ""1"": 0.31001904606819153, ""3"": 0.2883065938949585, ""10"": 0.2732619345188141, ""30"": 0.26546454429626465, ""45"": 0.26421958208084106, ""65"": 0.26533105969429016, ""90"": 0.2688787877559662}",0.25463786721229553,0.26421958208084106,0.3538774847984314,81984,0.3401826450259972,0.7766991818781616
timesfm3,uber_tlc_hourly,4,L4,block_depth,True,0.2,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2647334337234497,"{""1e-05"": 0.3756670653820038, ""0.0001"": 0.3747681975364685, ""0.001"": 0.37444713711738586, ""0.01"": 0.37312957644462585, ""0.1"": 0.36387011408805847, ""0.3"": 0.3482597768306732, ""1"": 0.31775498390197754, ""3"": 0.2919202446937561, ""10"": 0.2726821005344391, ""30"": 0.2656550407409668, ""45"": 0.26624807715415955, ""65"": 0.2647334337234497, ""90"": 0.27021312713623047}","{""1e-05"": 0.3756670653820038, ""0.0001"": 0.3747681975364685, ""0.001"": 0.37444713711738586, ""0.01"": 0.37312957644462585, ""0.1"": 0.36387011408805847, ""0.3"": 0.3482597768306732, ""1"": 0.31775498390197754, ""3"": 0.2919202446937561, ""10"": 0.2726821005344391, ""30"": 0.2656550407409668, ""45"": 0.26624807715415955, ""65"": 0.2647334337234497, ""90"": 0.27021312713623047}",0.2621718943119049,0.2647334337234497,0.3546801209449768,81984,0.3401826450259972,0.7782096988022961
timesfm3,uber_tlc_hourly,5,L5,block_depth,True,0.25,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.26418381929397583,"{""1e-05"": 0.3864292800426483, ""0.0001"": 0.38632702827453613, ""0.001"": 0.388155460357666, ""0.01"": 0.3857290744781494, ""0.1"": 0.37494000792503357, ""0.3"": 0.3550969362258911, ""1"": 0.32364916801452637, ""3"": 0.2948649823665619, ""10"": 0.2744998037815094, ""30"": 0.26568424701690674, ""45"": 0.26418381929397583, ""65"": 0.2654876708984375, ""90"": 0.2690237760543823}","{""1e-05"": 0.3864292800426483, ""0.0001"": 0.38632702827453613, ""0.001"": 0.388155460357666, ""0.01"": 0.3857290744781494, ""0.1"": 0.37494000792503357, ""0.3"": 0.3550969362258911, ""1"": 0.32364916801452637, ""3"": 0.2948649823665619, ""10"": 0.2744998037815094, ""30"": 0.26568424701690674, ""45"": 0.26418381929397583, ""65"": 0.2654876708984375, ""90"": 0.2690237760543823}",0.25184690952301025,0.26418381929397583,0.3439921736717224,81984,0.3401826450259972,0.7765940536848567
timesfm3,uber_tlc_hourly,6,L6,block_depth,True,0.3,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.264628529548645,"{""1e-05"": 0.380772203207016, ""0.0001"": 0.380911260843277, ""0.001"": 0.3794071078300476, ""0.01"": 0.3796171247959137, ""0.1"": 0.36924540996551514, ""0.3"": 0.3527650833129883, ""1"": 0.3169817626476288, ""3"": 0.2904631197452545, ""10"": 0.2725673317909241, ""30"": 0.264628529548645, ""45"": 0.2648274004459381, ""65"": 0.2677364647388458, ""90"": 0.27097004652023315}","{""1e-05"": 0.380772203207016, ""0.0001"": 0.380911260843277, ""0.001"": 0.3794071078300476, ""0.01"": 0.3796171247959137, ""0.1"": 0.36924540996551514, ""0.3"": 0.3527650833129883, ""1"": 0.3169817626476288, ""3"": 0.2904631197452545, ""10"": 0.2725673317909241, ""30"": 0.264628529548645, ""45"": 0.2648274004459381, ""65"": 0.2677364647388458, ""90"": 0.27097004652023315}",0.24708491563796997,0.264628529548645,0.34494248032569885,81984,0.3401826450259972,0.777901322768602
timesfm3,uber_tlc_hourly,7,L7,block_depth,True,0.35,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.26332488656044006,"{""1e-05"": 0.3824572265148163, ""0.0001"": 0.38138169050216675, ""0.001"": 0.38178861141204834, ""0.01"": 0.38040581345558167, ""0.1"": 0.3714657425880432, ""0.3"": 0.3510194718837738, ""1"": 0.31518542766571045, ""3"": 0.2871037721633911, ""10"": 0.27071431279182434, ""30"": 0.26332488656044006, ""45"": 0.2645714581012726, ""65"": 0.2677241265773773, ""90"": 0.27255505323410034}","{""1e-05"": 0.3824572265148163, ""0.0001"": 0.38138169050216675, ""0.001"": 0.38178861141204834, ""0.01"": 0.38040581345558167, ""0.1"": 0.3714657425880432, ""0.3"": 0.3510194718837738, ""1"": 0.31518542766571045, ""3"": 0.2871037721633911, ""10"": 0.27071431279182434, ""30"": 0.26332488656044006, ""45"": 0.2645714581012726, ""65"": 0.2677241265773773, ""90"": 0.27255505323410034}",0.24793972074985504,0.26332488656044006,0.344696044921875,81984,0.3401826450259972,0.7740691373021584
timesfm3,uber_tlc_hourly,8,L8,block_depth,True,0.4,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.26325324177742004,"{""1e-05"": 0.3771034777164459, ""0.0001"": 0.3768519163131714, ""0.001"": 0.3780399560928345, ""0.01"": 0.37659648060798645, ""0.1"": 0.36421671509742737, ""0.3"": 0.3468170166015625, ""1"": 0.31043702363967896, ""3"": 0.28398558497428894, ""10"": 0.2677738666534424, ""30"": 0.26325324177742004, ""45"": 0.26454058289527893, ""65"": 0.26800161600112915, ""90"": 0.27412351965904236}","{""1e-05"": 0.3771034777164459, ""0.0001"": 0.3768519163131714, ""0.001"": 0.3780399560928345, ""0.01"": 0.37659648060798645, ""0.1"": 0.36421671509742737, ""0.3"": 0.3468170166015625, ""1"": 0.31043702363967896, ""3"": 0.28398558497428894, ""10"": 0.2677738666534424, ""30"": 0.26325324177742004, ""45"": 0.26454058289527893, ""65"": 0.26800161600112915, ""90"": 0.27412351965904236}",0.24913296103477478,0.26325324177742004,0.34038859605789185,81984,0.3401826450259972,0.7738585304882378
timesfm3,uber_tlc_hourly,9,L9,block_depth,True,0.45,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.26775896549224854,"{""1e-05"": 0.3750067949295044, ""0.0001"": 0.3764992356300354, ""0.001"": 0.37546342611312866, ""0.01"": 0.3741548955440521, ""0.1"": 0.3658889830112457, ""0.3"": 0.34731629490852356, ""1"": 0.3136861026287079, ""3"": 0.2895974814891815, ""10"": 0.27129364013671875, ""30"": 0.26775896549224854, ""45"": 0.26853683590888977, ""65"": 0.2714988887310028, ""90"": 0.27801623940467834}","{""1e-05"": 0.3750067949295044, ""0.0001"": 0.3764992356300354, ""0.001"": 0.37546342611312866, ""0.01"": 0.3741548955440521, ""0.1"": 0.3658889830112457, ""0.3"": 0.34731629490852356, ""1"": 0.3136861026287079, ""3"": 0.2895974814891815, ""10"": 0.27129364013671875, ""30"": 0.26775896549224854, ""45"": 0.26853683590888977, ""65"": 0.2714988887310028, ""90"": 0.27801623940467834}",0.25206995010375977,0.26775896549224854,0.34413936734199524,81984,0.3401826450259972,0.787103543955883
