model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,wiki_daily_100k,0,Emb,block_depth,True,0.0,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.3208412826061249,"{""1e-05"": 0.3284936845302582, ""0.0001"": 0.3306502103805542, ""0.001"": 0.32858651876449585, ""0.01"": 0.3278622329235077, ""0.1"": 0.327053964138031, ""0.3"": 0.32557612657546997, ""1"": 0.32287517189979553, ""3"": 0.32171568274497986, ""10"": 0.3208412826061249, ""30"": 0.321006715297699, ""45"": 0.32165735960006714, ""65"": 0.3241780400276184, ""90"": 0.3277994394302368}","{""1e-05"": 0.3284936845302582, ""0.0001"": 0.3306502103805542, ""0.001"": 0.32858651876449585, ""0.01"": 0.3278622329235077, ""0.1"": 0.327053964138031, ""0.3"": 0.32557612657546997, ""1"": 0.32287517189979553, ""3"": 0.32171568274497986, ""10"": 0.3208412826061249, ""30"": 0.321006715297699, ""45"": 0.32165735960006714, ""65"": 0.3241780400276184, ""90"": 0.3277994394302368}",0.3358088731765747,0.3208412826061249,0.32518064975738525,81984,0.3490332642371077,0.9192283815910702
timesfm3,wiki_daily_100k,1,L1,block_depth,True,0.05,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.31978753209114075,"{""1e-05"": 0.35500410199165344, ""0.0001"": 0.3549152910709381, ""0.001"": 0.35427436232566833, ""0.01"": 0.35414963960647583, ""0.1"": 0.35191795229911804, ""0.3"": 0.3465087115764618, ""1"": 0.3363732397556305, ""3"": 0.3295019567012787, ""10"": 0.3223520517349243, ""30"": 0.31978753209114075, ""45"": 0.3201037049293518, ""65"": 0.3214680254459381, ""90"": 0.3242306709289551}","{""1e-05"": 0.35500410199165344, ""0.0001"": 0.3549152910709381, ""0.001"": 0.35427436232566833, ""0.01"": 0.35414963960647583, ""0.1"": 0.35191795229911804, ""0.3"": 0.3465087115764618, ""1"": 0.3363732397556305, ""3"": 0.3295019567012787, ""10"": 0.3223520517349243, ""30"": 0.31978753209114075, ""45"": 0.3201037049293518, ""65"": 0.3214680254459381, ""90"": 0.3242306709289551}",0.3208107054233551,0.31978753209114075,0.3156079351902008,81984,0.3490332642371077,0.9162093268964201
timesfm3,wiki_daily_100k,2,L2,block_depth,True,0.1,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.319959431886673,"{""1e-05"": 0.39236998558044434, ""0.0001"": 0.392720103263855, ""0.001"": 0.3924090564250946, ""0.01"": 0.39232373237609863, ""0.1"": 0.385566383600235, ""0.3"": 0.37427109479904175, ""1"": 0.3556833267211914, ""3"": 0.3400690257549286, ""10"": 0.32746607065200806, ""30"": 0.32088935375213623, ""45"": 0.319959431886673, ""65"": 0.3206653296947479, ""90"": 0.3220463991165161}","{""1e-05"": 0.39236998558044434, ""0.0001"": 0.392720103263855, ""0.001"": 0.3924090564250946, ""0.01"": 0.39232373237609863, ""0.1"": 0.385566383600235, ""0.3"": 0.37427109479904175, ""1"": 0.3556833267211914, ""3"": 0.3400690257549286, ""10"": 0.32746607065200806, ""30"": 0.32088935375213623, ""45"": 0.319959431886673, ""65"": 0.3206653296947479, ""90"": 0.3220463991165161}",0.31326109170913696,0.319959431886673,0.3142814338207245,81984,0.3490332642371077,0.916701829511917
timesfm3,wiki_daily_100k,3,L3,block_depth,True,0.15,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.32006463408470154,"{""1e-05"": 0.4161979556083679, ""0.0001"": 0.4154968559741974, ""0.001"": 0.4161694347858429, ""0.01"": 0.4150850474834442, ""0.1"": 0.4074472486972809, ""0.3"": 0.3952029347419739, ""1"": 0.37013280391693115, ""3"": 0.34913456439971924, ""10"": 0.33330488204956055, ""30"": 0.32356202602386475, ""45"": 0.32105663418769836, ""65"": 0.32006463408470154, ""90"": 0.3210512101650238}","{""1e-05"": 0.4161979556083679, ""0.0001"": 0.4154968559741974, ""0.001"": 0.4161694347858429, ""0.01"": 0.4150850474834442, ""0.1"": 0.4074472486972809, ""0.3"": 0.3952029347419739, ""1"": 0.37013280391693115, ""3"": 0.34913456439971924, ""10"": 0.33330488204956055, ""30"": 0.32356202602386475, ""45"": 0.32105663418769836, ""65"": 0.32006463408470154, ""90"": 0.3210512101650238}",0.3139706552028656,0.32006463408470154,0.31562340259552,81984,0.3490332642371077,0.9170032397464358
timesfm3,wiki_daily_100k,4,L4,block_depth,True,0.2,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.32046452164649963,"{""1e-05"": 0.4341982901096344, ""0.0001"": 0.4338942766189575, ""0.001"": 0.4345267117023468, ""0.01"": 0.4329506456851959, ""0.1"": 0.42350515723228455, ""0.3"": 0.4073258936405182, ""1"": 0.377962201833725, ""3"": 0.35161519050598145, ""10"": 0.3343616724014282, ""30"": 0.32389482855796814, ""45"": 0.3210771679878235, ""65"": 0.3205093443393707, ""90"": 0.32046452164649963}","{""1e-05"": 0.4341982901096344, ""0.0001"": 0.4338942766189575, ""0.001"": 0.4345267117023468, ""0.01"": 0.4329506456851959, ""0.1"": 0.42350515723228455, ""0.3"": 0.4073258936405182, ""1"": 0.377962201833725, ""3"": 0.35161519050598145, ""10"": 0.3343616724014282, ""30"": 0.32389482855796814, ""45"": 0.3210771679878235, ""65"": 0.3205093443393707, ""90"": 0.32046452164649963}",0.3198901116847992,0.32046452164649963,0.3168230652809143,81984,0.3490332642371077,0.9181489401789494
timesfm3,wiki_daily_100k,5,L5,block_depth,True,0.25,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.31824010610580444,"{""1e-05"": 0.4516525864601135, ""0.0001"": 0.4524407386779785, ""0.001"": 0.451961487531662, ""0.01"": 0.4508463144302368, ""0.1"": 0.43984392285346985, ""0.3"": 0.4201500415802002, ""1"": 0.3848237693309784, ""3"": 0.3546774685382843, ""10"": 0.3344790041446686, ""30"": 0.3214709460735321, ""45"": 0.3199329078197479, ""65"": 0.31824010610580444, ""90"": 0.31881070137023926}","{""1e-05"": 0.4516525864601135, ""0.0001"": 0.4524407386779785, ""0.001"": 0.451961487531662, ""0.01"": 0.4508463144302368, ""0.1"": 0.43984392285346985, ""0.3"": 0.4201500415802002, ""1"": 0.3848237693309784, ""3"": 0.3546774685382843, ""10"": 0.3344790041446686, ""30"": 0.3214709460735321, ""45"": 0.3199329078197479, ""65"": 0.31824010610580444, ""90"": 0.31881070137023926}",0.3093251585960388,0.31824010610580444,0.3123496174812317,81984,0.3490332642371077,0.9117758641182561
timesfm3,wiki_daily_100k,6,L6,block_depth,True,0.3,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.31724637746810913,"{""1e-05"": 0.4630090594291687, ""0.0001"": 0.4634391963481903, ""0.001"": 0.46398425102233887, ""0.01"": 0.4626423418521881, ""0.1"": 0.4493725895881653, ""0.3"": 0.42771875858306885, ""1"": 0.38793841004371643, ""3"": 0.3547199070453644, ""10"": 0.33282801508903503, ""30"": 0.3204135596752167, ""45"": 0.31809937953948975, ""65"": 0.31724637746810913, ""90"": 0.3184226155281067}","{""1e-05"": 0.4630090594291687, ""0.0001"": 0.4634391963481903, ""0.001"": 0.46398425102233887, ""0.01"": 0.4626423418521881, ""0.1"": 0.4493725895881653, ""0.3"": 0.42771875858306885, ""1"": 0.38793841004371643, ""3"": 0.3547199070453644, ""10"": 0.33282801508903503, ""30"": 0.3204135596752167, ""45"": 0.31809937953948975, ""65"": 0.31724637746810913, ""90"": 0.3184226155281067}",0.30878350138664246,0.31724637746810913,0.3127252757549286,81984,0.3490332642371077,0.9089287754894191
timesfm3,wiki_daily_100k,7,L7,block_depth,True,0.35,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.31648412346839905,"{""1e-05"": 0.4796611964702606, ""0.0001"": 0.48000702261924744, ""0.001"": 0.48003923892974854, ""0.01"": 0.4777738153934479, ""0.1"": 0.4647672772407532, ""0.3"": 0.4395103454589844, ""1"": 0.39400407671928406, ""3"": 0.3567255735397339, ""10"": 0.3320709764957428, ""30"": 0.3188796639442444, ""45"": 0.31717753410339355, ""65"": 0.31688201427459717, ""90"": 0.31648412346839905}","{""1e-05"": 0.4796611964702606, ""0.0001"": 0.48000702261924744, ""0.001"": 0.48003923892974854, ""0.01"": 0.4777738153934479, ""0.1"": 0.4647672772407532, ""0.3"": 0.4395103454589844, ""1"": 0.39400407671928406, ""3"": 0.3567255735397339, ""10"": 0.3320709764957428, ""30"": 0.3188796639442444, ""45"": 0.31717753410339355, ""65"": 0.31688201427459717, ""90"": 0.31648412346839905}",0.31473618745803833,0.31648412346839905,0.3106394112110138,81984,0.3490332642371077,0.906744874761859
timesfm3,wiki_daily_100k,8,L8,block_depth,True,0.4,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.31496119499206543,"{""1e-05"": 0.47905877232551575, ""0.0001"": 0.47854530811309814, ""0.001"": 0.4779933989048004, ""0.01"": 0.47586318850517273, ""0.1"": 0.46251392364501953, ""0.3"": 0.43834394216537476, ""1"": 0.39264988899230957, ""3"": 0.35457366704940796, ""10"": 0.329071581363678, ""30"": 0.3177473843097687, ""45"": 0.3156827986240387, ""65"": 0.31496119499206543, ""90"": 0.3162286579608917}","{""1e-05"": 0.47905877232551575, ""0.0001"": 0.47854530811309814, ""0.001"": 0.4779933989048004, ""0.01"": 0.47586318850517273, ""0.1"": 0.46251392364501953, ""0.3"": 0.43834394216537476, ""1"": 0.39264988899230957, ""3"": 0.35457366704940796, ""10"": 0.329071581363678, ""30"": 0.3177473843097687, ""45"": 0.3156827986240387, ""65"": 0.31496119499206543, ""90"": 0.3162286579608917}",0.3063124716281891,0.31496119499206543,0.30883264541625977,81984,0.3490332642371077,0.9023815987295235
timesfm3,wiki_daily_100k,9,L9,block_depth,True,0.45,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.3153333067893982,"{""1e-05"": 0.4821050465106964, ""0.0001"": 0.48201555013656616, ""0.001"": 0.48169317841529846, ""0.01"": 0.48038986325263977, ""0.1"": 0.4671652317047119, ""0.3"": 0.4401175081729889, ""1"": 0.3945388197898865, ""3"": 0.35566434264183044, ""10"": 0.3295796513557434, ""30"": 0.3176134526729584, ""45"": 0.31552794575691223, ""65"": 0.3153333067893982, ""90"": 0.3165092170238495}","{""1e-05"": 0.4821050465106964, ""0.0001"": 0.48201555013656616, ""0.001"": 0.48169317841529846, ""0.01"": 0.48038986325263977, ""0.1"": 0.4671652317047119, ""0.3"": 0.4401175081729889, ""1"": 0.3945388197898865, ""3"": 0.35566434264183044, ""10"": 0.3295796513557434, ""30"": 0.3176134526729584, ""45"": 0.31552794575691223, ""65"": 0.3153333067893982, ""90"": 0.3165092170238495}",0.3049287497997284,0.3153333067893982,0.30783501267433167,81984,0.3490332642371077,0.9034477200292973
