model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,SZ_TAXI_15T,SZ Taxi,0,Emb,embedding,block_depth,True,0,0.0,0.0,True,False,False,0.3638719320297241,0.3723507313869702,0.41306218571769887,1.047939047671853,1.051449710741707,0.047939047671853086,0.0514497107417069,30.0,False,False,16416,False,False,True,True,False,False,True,True,0.41306218571769887,0.38436354050556054,0.4483406848178651,-0.020212027029349267,-0.028811752132307265,-0.012093170044513834,0.8451613204418991,0.7871978218367259,0.914192671337451,-0.04352919208681394,-0.061674918052316424,-0.0261611405702422,2.9453533681151574,2.7091289048565104,3.1846180438426437,-0.17134051632116742,-0.22505738921396884,-0.11954897457871247,0.27247208259281724,0.24510548911163824,0.30387539645398887,-0.01585056238750493,-0.020605989328756492,-0.011224408128233408,0.8451613204418991,2.9453533681151574,0.27247208259281724
tirex,SZ_TAXI_15T,SZ Taxi,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.3408972918987274,0.36899878648229134,0.4043046543613458,1.0385053775990873,1.0291574164338906,0.03850537759908734,0.03365569763733656,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.4043046543613458,0.3770610565080857,0.4377638527550376,-0.011454495672996223,-0.0177618385101549,-0.005054081584780612,0.8263973275890711,0.7713600768051817,0.8921926935131468,-0.024765199233986013,-0.038144364297467856,-0.011238525348359145,2.871266743188478,2.647231434560373,3.0981453743387948,-0.09725389139448826,-0.14121582889590692,-0.05605157098961265,0.2656183932513026,0.23893240870698404,0.29637429849261504,-0.008996873045990283,-0.012979216530407307,-0.005157938666330209,0.8263973275890711,2.871266743188478,0.2656183932513026
tirex,SZ_TAXI_15T,SZ Taxi,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.3468804955482483,0.36853192589030814,0.4060718048459444,1.0371914512309666,1.0336556976373366,0.037191451230966566,0.03365569763733656,65.0,False,False,16416,False,False,False,False,False,False,False,False,0.4060718048459444,0.3766832281739857,0.4417360886740379,-0.013221646157594802,-0.020774640126201623,-0.006405107058489175,0.8300077085993476,0.771283059235895,0.9008016754307921,-0.028375580244262455,-0.04350596061805888,-0.014274659925737712,2.8623367503735833,2.642837603045233,3.0849075489520885,-0.08832389857959333,-0.13123240061543454,-0.04731340447282542,0.2647922873700343,0.23799452535334864,0.2952970292303349,-0.008170767164721982,-0.012086376296690347,-0.004382715899003434,0.8300077085993476,2.8623367503735833,0.2647922873700343
tirex,SZ_TAXI_15T,SZ Taxi,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.3373902142047882,0.36684501610505277,0.40405716479588777,1.0324438343073095,1.0285274317947488,0.03244383430730946,0.028527431794748814,45.0,False,False,16416,False,False,False,False,False,False,False,False,0.40405716479588777,0.37541347927151203,0.43940094841930727,-0.011207006107538164,-0.01753664386625855,-0.005383064951270045,0.8252895424855391,0.7674699749375476,0.8951007684260807,-0.02365741413045397,-0.03595855596326678,-0.012033164835484066,2.8408693991626923,2.626167021378945,3.0601214632151366,-0.06685654736870239,-0.10263375688739582,-0.030599048715974485,0.26280636134991603,0.23617177112203072,0.2933766154472801,-0.006184841144603714,-0.00958728906018268,-0.002805416479096651,0.8252895424855391,2.8408693991626923,0.26280636134991603
tirex,SZ_TAXI_15T,SZ Taxi,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.32930228114128113,0.36317940548253363,0.40396085314643687,1.0221273875244876,1.0282822705104249,0.02212738752448762,0.028282270510424867,45.0,False,False,16416,False,False,False,False,False,False,False,False,0.40396085314643687,0.3759106400040671,0.43893198648419895,-0.011110694458087267,-0.016016821219370956,-0.006323062666715703,0.8251962748873134,0.7686451349300829,0.8927972244691927,-0.02356414653222827,-0.03350891110557431,-0.013635529592558072,2.84581625019601,2.6324572962768564,3.06592832909688,-0.07180339840201988,-0.10224414474541231,-0.041409180760491486,0.2632639902435883,0.236582205676627,0.29353176518292057,-0.006642470038276005,-0.009519846308223775,-0.0038580310093554956,0.8251962748873134,2.84581625019601,0.2632639902435883
tirex,SZ_TAXI_15T,SZ Taxi,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.33083102107048035,0.36289363789061707,0.4022311209104,1.0213231269365923,1.0238792374511736,0.02132312693659233,0.023879237451173596,65.0,False,False,16416,False,False,False,False,False,False,False,False,0.4022311209104,0.3736209775822667,0.4376214190505636,-0.00938096222205037,-0.015093274175738683,-0.004087346474616207,0.8213992837963631,0.7637021080057321,0.8901288325854539,-0.01976715544127794,-0.03075061548388482,-0.009152763926841707,2.82668434022353,2.6160255266285666,3.0435213812563537,-0.05267148842954006,-0.08507438147463217,-0.01995879397137639,0.26149411386453913,0.23493715235392623,0.29163428310452943,-0.00487259365922682,-0.00792574608651757,-0.0018502324854821276,0.8213992837963631,2.82668434022353,0.26149411386453913
tirex,SZ_TAXI_15T,SZ Taxi,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.3271580636501312,0.361840701303803,0.39780845216069466,1.0183597559236373,1.012621335037511,0.018359755923637255,0.013559677492284816,65.0,False,False,16416,False,True,False,False,False,True,False,False,0.39780845216069466,0.36983686554221773,0.43256679233879997,-0.0049582934723450545,-0.009739873536790799,-0.00014230464465727645,0.8118962872351891,0.7558085955639715,0.8789266570399963,-0.010264158880104013,-0.019675653528294305,-0.000792962633646736,2.8055428934536395,2.5915141455990907,3.026290280627788,-0.031530041659649566,-0.058398777838006,-0.004432247350477297,0.25953833698127043,0.23293640000377674,0.2894603081432419,-0.00291681677595812,-0.005452919304097649,-0.0004177270083780895,0.8118962872351891,2.8055428934536395,0.25953833698127043
tirex,SZ_TAXI_15T,SZ Taxi,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.3277198374271393,0.36083059614667523,0.3981770801429565,1.015516929128411,1.0135596774922848,0.015516929128410961,0.013559677492284816,65.0,False,False,16416,False,False,False,False,False,False,False,False,0.3981770801429565,0.3707622892366579,0.4321991038843034,-0.005326921454606892,-0.010328439797441939,-0.0006216290072561655,0.8126142865836339,0.7567199261217021,0.8798006126913044,-0.010982158228548755,-0.020589617974461846,-0.0019955096462962413,2.8124966218304204,2.5974362468603363,3.036560460870955,-0.03848377003643044,-0.06549356910909783,-0.01162594615173841,0.26018162035538683,0.23347220346421144,0.2903106190722004,-0.003560100150074519,-0.0061500524272464175,-0.0010848549894220605,0.8126142865836339,2.8124966218304204,0.26018162035538683
tirex,SZ_TAXI_15T,SZ Taxi,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.322252094745636,0.3582356675313069,0.39540514732018495,1.0082137958383641,1.006503723048925,0.008213795838364124,0.009396757016932877,45.0,False,False,16416,True,False,False,False,True,False,False,False,0.39540514732018495,0.3686527062350741,0.4283137125034745,-0.002554988631835342,-0.006444294110704646,0.001304484817844131,0.8073276148079623,0.7531537404378772,0.8714208289771018,-0.0056954864528772076,-0.013380034362161855,0.0019274891345409171,2.7957273480629237,2.5827273528637402,3.017492099067594,-0.021714496268933736,-0.04213098344254322,-0.0015945826201553218,0.25863030940015064,0.23194434181483667,0.2888667768360719,-0.002008789194838323,-0.00390201225408821,-0.00014169309795893437,0.8073276148079623,2.7957273480629237,0.25863030940015064
tirex,SZ_TAXI_15T,SZ Taxi,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.3259281814098358,0.35757147463468403,0.3957408285484864,1.0063445000027826,1.0073581995481131,0.006344500002782638,0.009396757016932877,65.0,False,False,16416,False,False,False,False,False,False,False,False,0.3957408285484864,0.3687946001067758,0.4289731353569107,-0.0028906698601368075,-0.006350958958650231,0.00045220519010071676,0.8081958651063665,0.7532659060045015,0.8729144072238234,-0.006563736751281413,-0.013455063613452667,0.00010867119941493815,2.791498886526913,2.5801278271343637,3.012240227051193,-0.017486034732923095,-0.03737713403971601,0.002296679931801967,0.2582391380950866,0.23183243122374927,0.28862901374220323,-0.00161761788977427,-0.0035015897910658537,0.00021914735154582557,0.8081958651063665,2.791498886526913,0.2582391380950866
