model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,boom_hourly,0,Emb,block_depth,True,0.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.22967585921287537,"{""1e-05"": 0.2321910709142685, ""0.0001"": 0.23288002610206604, ""0.001"": 0.23189234733581543, ""0.01"": 0.23174382746219635, ""0.1"": 0.2320864349603653, ""0.3"": 0.23149290680885315, ""1"": 0.2313014268875122, ""3"": 0.22967585921287537, ""10"": 0.2297673225402832, ""30"": 0.22968952357769012, ""45"": 0.23123449087142944, ""65"": 0.2336021065711975, ""90"": 0.24037227034568787}","{""1e-05"": 0.2321910709142685, ""0.0001"": 0.23288002610206604, ""0.001"": 0.23189234733581543, ""0.01"": 0.23174382746219635, ""0.1"": 0.2320864349603653, ""0.3"": 0.23149290680885315, ""1"": 0.2313014268875122, ""3"": 0.22967585921287537, ""10"": 0.2297673225402832, ""30"": 0.22968952357769012, ""45"": 0.23123449087142944, ""65"": 0.2336021065711975, ""90"": 0.24037227034568787}",10.873405456542969,0.2296758735668188,0.28275022286353474,16416,0.2989267163178594,0.7683350501284612
tirex,boom_hourly,1,L1,block_depth,True,0.08333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.19196318089962006,"{""1e-05"": 0.1972554475069046, ""0.0001"": 0.19848810136318207, ""0.001"": 0.19713404774665833, ""0.01"": 0.20034630596637726, ""0.1"": 0.19763903319835663, ""0.3"": 0.19569849967956543, ""1"": 0.19310297071933746, ""3"": 0.19260548055171967, ""10"": 0.19196318089962006, ""30"": 0.20039933919906616, ""45"": 0.21020115911960602, ""65"": 0.22410380840301514, ""90"": 0.2369319498538971}","{""1e-05"": 0.1972554475069046, ""0.0001"": 0.19848810136318207, ""0.001"": 0.19713404774665833, ""0.01"": 0.20034630596637726, ""0.1"": 0.19763903319835663, ""0.3"": 0.19569849967956543, ""1"": 0.19310297071933746, ""3"": 0.19260548055171967, ""10"": 0.19196318089962006, ""30"": 0.20039933919906616, ""45"": 0.21020115911960602, ""65"": 0.22410380840301514, ""90"": 0.2369319498538971}",10.840283393859863,0.19196318001565288,0.24575191479449893,16416,0.2989267163178594,0.6421747188750155
tirex,boom_hourly,2,L2,block_depth,True,0.16666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.19456429779529572,"{""1e-05"": 0.20475122332572937, ""0.0001"": 0.20336446166038513, ""0.001"": 0.2030293494462967, ""0.01"": 0.20376358926296234, ""0.1"": 0.20195266604423523, ""0.3"": 0.20006440579891205, ""1"": 0.19977430999279022, ""3"": 0.19670835137367249, ""10"": 0.19456429779529572, ""30"": 0.2022915631532669, ""45"": 0.20935536921024323, ""65"": 0.2197238951921463, ""90"": 0.2324308454990387}","{""1e-05"": 0.20475122332572937, ""0.0001"": 0.20336446166038513, ""0.001"": 0.2030293494462967, ""0.01"": 0.20376358926296234, ""0.1"": 0.20195266604423523, ""0.3"": 0.20006440579891205, ""1"": 0.19977430999279022, ""3"": 0.19670835137367249, ""10"": 0.19456429779529572, ""30"": 0.2022915631532669, ""45"": 0.20935536921024323, ""65"": 0.2197238951921463, ""90"": 0.2324308454990387}",10.836142539978027,0.1945643031780245,0.24470760624350632,16416,0.2989267163178594,0.6508762601571463
tirex,boom_hourly,3,L3,block_depth,True,0.25,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.19591742753982544,"{""1e-05"": 0.20888812839984894, ""0.0001"": 0.2090597003698349, ""0.001"": 0.21021334826946259, ""0.01"": 0.20896579325199127, ""0.1"": 0.2078235000371933, ""0.3"": 0.2062508761882782, ""1"": 0.20136182010173798, ""3"": 0.19652190804481506, ""10"": 0.19591742753982544, ""30"": 0.2048509269952774, ""45"": 0.21474096179008484, ""65"": 0.22180277109146118, ""90"": 0.2324201464653015}","{""1e-05"": 0.20888812839984894, ""0.0001"": 0.2090597003698349, ""0.001"": 0.21021334826946259, ""0.01"": 0.20896579325199127, ""0.1"": 0.2078235000371933, ""0.3"": 0.2062508761882782, ""1"": 0.20136182010173798, ""3"": 0.19652190804481506, ""10"": 0.19591742753982544, ""30"": 0.2048509269952774, ""45"": 0.21474096179008484, ""65"": 0.22180277109146118, ""90"": 0.2324201464653015}",10.834330558776855,0.19591741070761687,0.24766174328150387,16416,0.2989267163178594,0.6554028128395554
tirex,boom_hourly,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20261339843273163,"{""1e-05"": 0.2151646614074707, ""0.0001"": 0.21572580933570862, ""0.001"": 0.21621859073638916, ""0.01"": 0.21602337062358856, ""0.1"": 0.21437841653823853, ""0.3"": 0.21185728907585144, ""1"": 0.20706316828727722, ""3"": 0.2029912918806076, ""10"": 0.20261339843273163, ""30"": 0.20932790637016296, ""45"": 0.21492788195610046, ""65"": 0.2220926731824875, ""90"": 0.2280256450176239}","{""1e-05"": 0.2151646614074707, ""0.0001"": 0.21572580933570862, ""0.001"": 0.21621859073638916, ""0.01"": 0.21602337062358856, ""0.1"": 0.21437841653823853, ""0.3"": 0.21185728907585144, ""1"": 0.20706316828727722, ""3"": 0.2029912918806076, ""10"": 0.20261339843273163, ""30"": 0.20932790637016296, ""45"": 0.21492788195610046, ""65"": 0.2220926731824875, ""90"": 0.2280256450176239}",10.831568717956543,0.20261339493895655,0.24907630664627936,16416,0.2989267163178594,0.6778028991008972
tirex,boom_hourly,5,L5,block_depth,True,0.4166666666666667,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20289668440818787,"{""1e-05"": 0.2203834056854248, ""0.0001"": 0.22011907398700714, ""0.001"": 0.21989363431930542, ""0.01"": 0.22064130008220673, ""0.1"": 0.21925106644630432, ""0.3"": 0.2162543684244156, ""1"": 0.21147416532039642, ""3"": 0.20638202130794525, ""10"": 0.20289668440818787, ""30"": 0.20970645546913147, ""45"": 0.21499313414096832, ""65"": 0.2212582230567932, ""90"": 0.23037250339984894}","{""1e-05"": 0.2203834056854248, ""0.0001"": 0.22011907398700714, ""0.001"": 0.21989363431930542, ""0.01"": 0.22064130008220673, ""0.1"": 0.21925106644630432, ""0.3"": 0.2162543684244156, ""1"": 0.21147416532039642, ""3"": 0.20638202130794525, ""10"": 0.20289668440818787, ""30"": 0.20970645546913147, ""45"": 0.21499313414096832, ""65"": 0.2212582230567932, ""90"": 0.23037250339984894}",10.829227447509766,0.2028966763209404,0.24961493106948285,16416,0.2989267163178594,0.6787505607400884
tirex,boom_hourly,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20622998476028442,"{""1e-05"": 0.21924807131290436, ""0.0001"": 0.21904504299163818, ""0.001"": 0.21968744695186615, ""0.01"": 0.2195928394794464, ""0.1"": 0.21841473877429962, ""0.3"": 0.21682199835777283, ""1"": 0.212567999958992, ""3"": 0.20884260535240173, ""10"": 0.20622998476028442, ""30"": 0.21286144852638245, ""45"": 0.2182500809431076, ""65"": 0.22349940240383148, ""90"": 0.22999490797519684}","{""1e-05"": 0.21924807131290436, ""0.0001"": 0.21904504299163818, ""0.001"": 0.21968744695186615, ""0.01"": 0.2195928394794464, ""0.1"": 0.21841473877429962, ""0.3"": 0.21682199835777283, ""1"": 0.212567999958992, ""3"": 0.20884260535240173, ""10"": 0.20622998476028442, ""30"": 0.21286144852638245, ""45"": 0.2182500809431076, ""65"": 0.22349940240383148, ""90"": 0.22999490797519684}",10.828633308410645,0.20623000290265864,0.2507860773942817,16416,0.2989267163178594,0.6899015432376642
tirex,boom_hourly,7,L7,block_depth,True,0.5833333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20881187915802002,"{""1e-05"": 0.22355619072914124, ""0.0001"": 0.22333960235118866, ""0.001"": 0.22363874316215515, ""0.01"": 0.22305457293987274, ""0.1"": 0.22274400293827057, ""0.3"": 0.2206534445285797, ""1"": 0.21717506647109985, ""3"": 0.21183468401432037, ""10"": 0.20881187915802002, ""30"": 0.21202699840068817, ""45"": 0.21604397892951965, ""65"": 0.22197742760181427, ""90"": 0.22738054394721985}","{""1e-05"": 0.22355619072914124, ""0.0001"": 0.22333960235118866, ""0.001"": 0.22363874316215515, ""0.01"": 0.22305457293987274, ""0.1"": 0.22274400293827057, ""0.3"": 0.2206534445285797, ""1"": 0.21717506647109985, ""3"": 0.21183468401432037, ""10"": 0.20881187915802002, ""30"": 0.21202699840068817, ""45"": 0.21604397892951965, ""65"": 0.22197742760181427, ""90"": 0.22738054394721985}",10.827848434448242,0.20881187961052702,0.2550101637219389,16416,0.2989267163178594,0.6985386993261918
tirex,boom_hourly,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20386677980422974,"{""1e-05"": 0.22094494104385376, ""0.0001"": 0.22100163996219635, ""0.001"": 0.22074300050735474, ""0.01"": 0.22065728902816772, ""0.1"": 0.21980802714824677, ""0.3"": 0.21792279183864594, ""1"": 0.21415288746356964, ""3"": 0.20839926600456238, ""10"": 0.20386677980422974, ""30"": 0.2063283920288086, ""45"": 0.20914320647716522, ""65"": 0.2131701111793518, ""90"": 0.2194659560918808}","{""1e-05"": 0.22094494104385376, ""0.0001"": 0.22100163996219635, ""0.001"": 0.22074300050735474, ""0.01"": 0.22065728902816772, ""0.1"": 0.21980802714824677, ""0.3"": 0.21792279183864594, ""1"": 0.21415288746356964, ""3"": 0.20839926600456238, ""10"": 0.20386677980422974, ""30"": 0.2063283920288086, ""45"": 0.20914320647716522, ""65"": 0.2131701111793518, ""90"": 0.2194659560918808}",10.826865196228027,0.20386676879147184,0.25259351779280576,16416,0.2989267163178594,0.6819958125612736
tirex,boom_hourly,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20251686871051788,"{""1e-05"": 0.2227054387331009, ""0.0001"": 0.2230016440153122, ""0.001"": 0.2232159823179245, ""0.01"": 0.22289185225963593, ""0.1"": 0.22196274995803833, ""0.3"": 0.21942448616027832, ""1"": 0.2140776664018631, ""3"": 0.2071784883737564, ""10"": 0.20251686871051788, ""30"": 0.20285861194133759, ""45"": 0.2055034041404724, ""65"": 0.20922498404979706, ""90"": 0.2159012407064438}","{""1e-05"": 0.2227054387331009, ""0.0001"": 0.2230016440153122, ""0.001"": 0.2232159823179245, ""0.01"": 0.22289185225963593, ""0.1"": 0.22196274995803833, ""0.3"": 0.21942448616027832, ""1"": 0.2140776664018631, ""3"": 0.2071784883737564, ""10"": 0.20251686871051788, ""30"": 0.20285861194133759, ""45"": 0.2055034041404724, ""65"": 0.20922498404979706, ""90"": 0.2159012407064438}",10.825642585754395,0.20251686546930486,0.25032896751611583,16416,0.2989267163178594,0.6774799789188515
