model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,monash_electricity_hourly,Electricity,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.2980256974697113,0.3616302529819139,0.33440811533964315,2.7324740896499584,1.7867916087755225,1.7324740896499584,0.7867916087755225,1e-05,False,True,16416,False,False,False,False,False,False,False,False,0.33440811533964315,0.3233558911460502,0.34598223980203385,-0.14725248191420356,-0.15631785282068922,-0.13817542753118367,1.839467327402021,1.7689516509789465,1.9134696902224868,-0.8371920045446921,-0.8876938112805509,-0.7873434032070493,459.4870159370441,280.1235341653927,712.8281309564267,-211.55457596219904,-330.0219157043216,-129.18367715364653,0.1885290901762763,0.17547761328301742,0.20302804886341608,-0.0868015642345071,-0.0971462552978215,-0.07769731006831707,1.839467327402021,459.4870159370441,0.1885290901762763
tirex,monash_electricity_hourly,Electricity,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.19967426359653473,0.2630292364886699,0.24798672706002498,1.9874459274336402,1.325029455545722,0.9874459274336402,0.32502945554572205,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.24798672706002498,0.2355261668648201,0.26143195329959157,-0.06083109363458539,-0.07010640498136972,-0.052416154130127374,1.3027012807041414,1.2505970177263266,1.3612014117291769,-0.3004259578468125,-0.3351190566631815,-0.26632210964423675,302.82396182085256,192.6941717207668,451.2004093768985,-54.89152184600752,-71.78079705269926,-39.753213156530606,0.12424970461729656,0.11501652171300121,0.1379539336292299,-0.02252217867552736,-0.03254464971970091,-0.016103392124737905,1.3027012807041414,302.82396182085256,0.12424970461729656
tirex,monash_electricity_hourly,Electricity,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.15366999804973602,0.21478057254589242,0.21821306608901678,1.6228795699545242,1.1659444179966405,0.6389766003766857,0.23670108051805294,0.1,False,False,16416,False,False,False,False,False,False,False,False,0.21821306608901678,0.20763182174840955,0.2302366222880553,-0.03105743266357719,-0.038587507085860444,-0.024324238394166676,1.1589166111450737,1.109198916350642,1.216232296165589,-0.15664128828774482,-0.19057524381894192,-0.12534207467528707,274.83222716613784,175.62330195076217,403.9136033189049,-26.899787191292802,-47.66249142184467,-3.84860214704392,0.11276460039482564,0.10142364126837713,0.12681734092786714,-0.011037074453056434,-0.022477939120381783,-0.0012957954935561317,1.1589166111450737,274.83222716613784,0.11276460039482564
tirex,monash_electricity_hourly,Electricity,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.15809662640094757,0.19559095231176332,0.21289370038354669,1.4778830171285007,1.137522266826987,0.6389766003766857,0.23670108051805294,3.0,False,False,16416,False,False,False,False,False,False,False,False,0.21289370038354669,0.20192963479527534,0.22499098409294285,-0.025738066958107098,-0.03268661344395454,-0.019533110183187347,1.1210150024538674,1.0735350640029004,1.175308097069384,-0.11873967959653853,-0.14603342762836116,-0.09277216473975168,268.8077301224413,167.1774439058443,406.972278857605,-20.875290147596246,-33.348355419100635,-9.987693647995666,0.11029272870525998,0.10196544939714453,0.12145125887231072,-0.008565202763490778,-0.01508903598053079,-0.003525892197030785,1.1210150024538674,268.8077301224413,0.11029272870525998
tirex,monash_electricity_hourly,Electricity,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.15147170424461365,0.18657876562526207,0.20366582496248128,1.4097870367482737,1.0882163749755316,0.6389766003766857,0.23670108051805294,3.0,False,False,16416,False,False,False,False,False,False,False,False,0.20366582496248128,0.19374286408201996,0.2148173307587627,-0.016510191537041696,-0.021827443947887604,-0.011281465025945698,1.0842633740561631,1.0373557319980946,1.1386485156793467,-0.08198805119883423,-0.10572539306685996,-0.05926361388899719,263.44919119134966,164.94144293086595,394.7952663386556,-15.516751216504616,-28.766091388530857,-0.9953007205781542,0.10809410190120841,0.09978059607605379,0.11935708411878765,-0.006366575959439208,-0.013964933847747336,-0.00030394809819753535,1.0842633740561631,263.44919119134966,0.10809410190120841
tirex,monash_electricity_hourly,Electricity,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.15547610819339752,0.19653545416720952,0.21378138559010193,1.4850196624350043,1.1422652990847304,0.6389766003766857,0.23670108051805294,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.21378138559010193,0.20355147093122128,0.22530917109395485,-0.026625752164662342,-0.032105030002826045,-0.021317856795801476,1.1414484472906798,1.0922773950765496,1.1977449058753444,-0.13917312443335095,-0.16299957156329217,-0.1156187117463814,280.7060038860134,172.91090845892603,431.19256596772067,-32.77356391116834,-47.793714942992786,-19.787838200538097,0.11517463102134601,0.10706826899084143,0.12493594614865275,-0.013447105079576804,-0.01891326239767492,-0.009709145509167166,1.1414484472906798,280.7060038860134,0.11517463102134601
tirex,monash_electricity_hourly,Electricity,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.14283791184425354,0.20393119331534582,0.22517786809165058,1.5409017835503052,1.2031583766424994,0.6389766003766857,0.23670108051805294,3.0,False,False,16416,False,False,False,False,False,False,False,False,0.22517786809165058,0.21452928058774642,0.23758526292437587,-0.03802223466621099,-0.0439211480298172,-0.032527382475615436,1.2094343053297507,1.1560967559522755,1.2695245267615596,-0.20715898247242182,-0.23568154972571462,-0.18041965564986237,292.9463578394396,184.6945583522014,435.1008449145497,-45.01391786459456,-64.7334993994916,-28.025985973398676,0.12019689000633377,0.11022948911662148,0.13326366217930874,-0.018469364064564564,-0.027859147211897944,-0.010242601781704223,1.2094343053297507,292.9463578394396,0.12019689000633377
tirex,monash_electricity_hourly,Electricity,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.13896845281124115,0.21691093974896059,0.22182687889528638,1.6389766003766857,1.1852535498679466,0.6389766003766857,0.23670108051805294,3.0,False,False,16416,False,False,False,False,False,False,False,False,0.22182687889528638,0.21165740950360099,0.2332910277532371,-0.03467124546984679,-0.03991523290280509,-0.02961277702382504,1.1874469688577882,1.1372349920776925,1.2430816444689572,-0.18517164600045932,-0.21082532981868415,-0.16097724898152335,284.06246658408605,182.72319157518817,413.34131240979787,-36.130026609241014,-65.37613618360541,-5.119926845411622,0.11655179911691836,0.10173714457995557,0.13333940065315594,-0.014824273175149158,-0.027175008767428187,-0.001632641741837505,1.1874469688577882,284.06246658408605,0.11655179911691836
tirex,monash_electricity_hourly,Electricity,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.14306804537773132,0.18655069434005794,0.23145557408228176,1.4095749304356768,1.236701080518053,0.40957493043567683,0.23670108051805294,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.23145557408228176,0.2214784239411695,0.24241541464322508,-0.044299940656842174,-0.04872876473325697,-0.03975357522064721,1.2637333270462927,1.2071817424955131,1.3236431509224516,-0.2614580041889638,-0.28846932878090087,-0.233966830863073,298.40327678221763,193.90106626326033,434.08934382126785,-50.47083680737259,-73.59371605441,-28.05836066764344,0.12243588246480312,0.1092900947891462,0.13946211372760342,-0.02070835652303392,-0.033869574122658605,-0.008973309419820174,1.2637333270462927,298.40327678221763,0.12243588246480312
tirex,monash_electricity_hourly,Electricity,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.13774877786636353,0.16667397866267283,0.21377648128808,1.2593866922339623,1.1422390946797005,0.25938669223396227,0.14223909467970053,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.21377648128808,0.20319653351130038,0.22559351611896666,-0.026620847862640407,-0.03057443305124877,-0.022585592334308017,1.148696304687141,1.097302627453295,1.2062781451640745,-0.1464209818298121,-0.1680135575669823,-0.12493728051104551,271.98552570907754,173.12367521949798,400.46590050751723,-24.053085734232496,-46.62301249076801,0.9760701396574727,0.11159658907548817,0.09957769603908953,0.12623521227969942,-0.009869063133718964,-0.01972538246026966,0.0002905412310912954,1.148696304687141,271.98552570907754,0.11159658907548817
