model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,monash_electricity_hourly,0,Emb,block_depth,True,0.0,1e-05,False,True,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,1.0000000000000001e-07,"mean pinball over (batch, quantiles, horizon)",0.36163023114204407,"{""1e-05"": 0.36163023114204407, ""0.0001"": 0.3620021939277649, ""0.001"": 0.36335429549217224, ""0.01"": 0.36666935682296753, ""0.1"": 0.3642755150794983, ""0.3"": 0.36223646998405457, ""1"": 0.36496701836586, ""3"": 0.3651997148990631, ""10"": 0.3661680221557617, ""30"": 0.37005993723869324, ""45"": 0.37063536047935486, ""65"": 0.37693244218826294, ""90"": 0.37555497884750366}","{""1e-05"": 0.36163023114204407, ""0.0001"": 0.3620021939277649, ""0.001"": 0.36335429549217224, ""0.01"": 0.36666935682296753, ""0.1"": 0.3642755150794983, ""0.3"": 0.36223646998405457, ""1"": 0.36496701836586, ""3"": 0.3651997148990631, ""10"": 0.3661680221557617, ""30"": 0.37005993723869324, ""45"": 0.37063536047935486, ""65"": 0.37693244218826294, ""90"": 0.37555497884750366}",0.2980256974697113,0.3616302529819139,0.33440811533964315,16416,0.42223949810020794,0.8564576611354584
tirex,monash_electricity_hourly,1,L1,block_depth,True,0.08333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.26302921772003174,"{""1e-05"": 0.2768765985965729, ""0.0001"": 0.2761273682117462, ""0.001"": 0.27571815252304077, ""0.01"": 0.2712404131889343, ""0.1"": 0.27303841710090637, ""0.3"": 0.2651323080062866, ""1"": 0.2720087170600891, ""3"": 0.2672712802886963, ""10"": 0.26302921772003174, ""30"": 0.2721315324306488, ""45"": 0.28571203351020813, ""65"": 0.3018795847892761, ""90"": 0.32173603773117065}","{""1e-05"": 0.2768765985965729, ""0.0001"": 0.2761273682117462, ""0.001"": 0.27571815252304077, ""0.01"": 0.2712404131889343, ""0.1"": 0.27303841710090637, ""0.3"": 0.2651323080062866, ""1"": 0.2720087170600891, ""3"": 0.2672712802886963, ""10"": 0.26302921772003174, ""30"": 0.2721315324306488, ""45"": 0.28571203351020813, ""65"": 0.3018795847892761, ""90"": 0.32173603773117065}",0.19967426359653473,0.2630292364886699,0.24798672706002498,16416,0.42223949810020794,0.6229384926614481
tirex,monash_electricity_hourly,2,L2,block_depth,True,0.16666666666666666,0.1,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.001,"mean pinball over (batch, quantiles, horizon)",0.21478056907653809,"{""1e-05"": 0.22012297809123993, ""0.0001"": 0.21773000061511993, ""0.001"": 0.21581707894802094, ""0.01"": 0.21874335408210754, ""0.1"": 0.21478056907653809, ""0.3"": 0.21686159074306488, ""1"": 0.2190791815519333, ""3"": 0.22145085036754608, ""10"": 0.23349562287330627, ""30"": 0.24464987218379974, ""45"": 0.2513826787471771, ""65"": 0.26342540979385376, ""90"": 0.2769334614276886}","{""1e-05"": 0.22012297809123993, ""0.0001"": 0.21773000061511993, ""0.001"": 0.21581707894802094, ""0.01"": 0.21874335408210754, ""0.1"": 0.21478056907653809, ""0.3"": 0.21686159074306488, ""1"": 0.2190791815519333, ""3"": 0.22145085036754608, ""10"": 0.23349562287330627, ""30"": 0.24464987218379974, ""45"": 0.2513826787471771, ""65"": 0.26342540979385376, ""90"": 0.2769334614276886}",0.15366999804973602,0.21478057254589242,0.21821306608901678,16416,0.42223949810020794,0.5086700166901952
tirex,monash_electricity_hourly,3,L3,block_depth,True,0.25,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.19559094309806824,"{""1e-05"": 0.20714320242404938, ""0.0001"": 0.20671802759170532, ""0.001"": 0.21283231675624847, ""0.01"": 0.21172520518302917, ""0.1"": 0.209249809384346, ""0.3"": 0.20359767973423004, ""1"": 0.19846005737781525, ""3"": 0.19559094309806824, ""10"": 0.19847886264324188, ""30"": 0.21683143079280853, ""45"": 0.2256033569574356, ""65"": 0.24094057083129883, ""90"": 0.26009246706962585}","{""1e-05"": 0.20714320242404938, ""0.0001"": 0.20671802759170532, ""0.001"": 0.21283231675624847, ""0.01"": 0.21172520518302917, ""0.1"": 0.209249809384346, ""0.3"": 0.20359767973423004, ""1"": 0.19846005737781525, ""3"": 0.19559094309806824, ""10"": 0.19847886264324188, ""30"": 0.21683143079280853, ""45"": 0.2256033569574356, ""65"": 0.24094057083129883, ""90"": 0.26009246706962585}",0.15809662640094757,0.19559095231176332,0.21289370038354669,16416,0.42223949810020794,0.46322277568013004
tirex,monash_electricity_hourly,4,L4,block_depth,True,0.3333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.18657876551151276,"{""1e-05"": 0.198977991938591, ""0.0001"": 0.1968650221824646, ""0.001"": 0.19579456746578217, ""0.01"": 0.19812871515750885, ""0.1"": 0.1975371390581131, ""0.3"": 0.1927565336227417, ""1"": 0.18882907927036285, ""3"": 0.18657876551151276, ""10"": 0.1950264275074005, ""30"": 0.2220044881105423, ""45"": 0.23971349000930786, ""65"": 0.261540949344635, ""90"": 0.28497079014778137}","{""1e-05"": 0.198977991938591, ""0.0001"": 0.1968650221824646, ""0.001"": 0.19579456746578217, ""0.01"": 0.19812871515750885, ""0.1"": 0.1975371390581131, ""0.3"": 0.1927565336227417, ""1"": 0.18882907927036285, ""3"": 0.18657876551151276, ""10"": 0.1950264275074005, ""30"": 0.2220044881105423, ""45"": 0.23971349000930786, ""65"": 0.261540949344635, ""90"": 0.28497079014778137}",0.15147170424461365,0.18657876562526207,0.20366582496248128,16416,0.42223949810020794,0.4418789963154567
tirex,monash_electricity_hourly,5,L5,block_depth,True,0.4166666666666667,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.19653545320034027,"{""1e-05"": 0.21334148943424225, ""0.0001"": 0.21456807851791382, ""0.001"": 0.21137790381908417, ""0.01"": 0.21391011774539948, ""0.1"": 0.2118716537952423, ""0.3"": 0.2065441906452179, ""1"": 0.20079049468040466, ""3"": 0.19783690571784973, ""10"": 0.19653545320034027, ""30"": 0.21137844026088715, ""45"": 0.22914430499076843, ""65"": 0.25758644938468933, ""90"": 0.29289910197257996}","{""1e-05"": 0.21334148943424225, ""0.0001"": 0.21456807851791382, ""0.001"": 0.21137790381908417, ""0.01"": 0.21391011774539948, ""0.1"": 0.2118716537952423, ""0.3"": 0.2065441906452179, ""1"": 0.20079049468040466, ""3"": 0.19783690571784973, ""10"": 0.19653545320034027, ""30"": 0.21137844026088715, ""45"": 0.22914430499076843, ""65"": 0.25758644938468933, ""90"": 0.29289910197257996}",0.15547610819339752,0.19653545416720952,0.21378138559010193,16416,0.42223949810020794,0.46545966223313096
tirex,monash_electricity_hourly,6,L6,block_depth,True,0.5,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.20393118262290955,"{""1e-05"": 0.2246001958847046, ""0.0001"": 0.2237832397222519, ""0.001"": 0.22282031178474426, ""0.01"": 0.22323153913021088, ""0.1"": 0.22121091187000275, ""0.3"": 0.21753638982772827, ""1"": 0.21028847992420197, ""3"": 0.20393118262290955, ""10"": 0.20545779168605804, ""30"": 0.2246483862400055, ""45"": 0.24391955137252808, ""65"": 0.27129143476486206, ""90"": 0.30091309547424316}","{""1e-05"": 0.2246001958847046, ""0.0001"": 0.2237832397222519, ""0.001"": 0.22282031178474426, ""0.01"": 0.22323153913021088, ""0.1"": 0.22121091187000275, ""0.3"": 0.21753638982772827, ""1"": 0.21028847992420197, ""3"": 0.20393118262290955, ""10"": 0.20545779168605804, ""30"": 0.2246483862400055, ""45"": 0.24391955137252808, ""65"": 0.27129143476486206, ""90"": 0.30091309547424316}",0.14283791184425354,0.20393119331534582,0.22517786809165058,16416,0.42223949810020794,0.4829751698571503
tirex,monash_electricity_hourly,7,L7,block_depth,True,0.5833333333333334,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.2169109433889389,"{""1e-05"": 0.23748865723609924, ""0.0001"": 0.23516437411308289, ""0.001"": 0.23872900009155273, ""0.01"": 0.237548828125, ""0.1"": 0.2361789047718048, ""0.3"": 0.23016083240509033, ""1"": 0.22228975594043732, ""3"": 0.2169109433889389, ""10"": 0.21927042305469513, ""30"": 0.24083426594734192, ""45"": 0.25590893626213074, ""65"": 0.28249281644821167, ""90"": 0.30977579951286316}","{""1e-05"": 0.23748865723609924, ""0.0001"": 0.23516437411308289, ""0.001"": 0.23872900009155273, ""0.01"": 0.237548828125, ""0.1"": 0.2361789047718048, ""0.3"": 0.23016083240509033, ""1"": 0.22228975594043732, ""3"": 0.2169109433889389, ""10"": 0.21927042305469513, ""30"": 0.24083426594734192, ""45"": 0.25590893626213074, ""65"": 0.28249281644821167, ""90"": 0.30977579951286316}",0.13896845281124115,0.21691093974896059,0.22182687889528638,16416,0.42223949810020794,0.5137154167833967
tirex,monash_electricity_hourly,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.18655069172382355,"{""1e-05"": 0.2191701978445053, ""0.0001"": 0.22049494087696075, ""0.001"": 0.21947820484638214, ""0.01"": 0.21721474826335907, ""0.1"": 0.21648438274860382, ""0.3"": 0.21067145466804504, ""1"": 0.19911883771419525, ""3"": 0.18799516558647156, ""10"": 0.18655069172382355, ""30"": 0.20096518099308014, ""45"": 0.2202024608850479, ""65"": 0.2437502145767212, ""90"": 0.2708733081817627}","{""1e-05"": 0.2191701978445053, ""0.0001"": 0.22049494087696075, ""0.001"": 0.21947820484638214, ""0.01"": 0.21721474826335907, ""0.1"": 0.21648438274860382, ""0.3"": 0.21067145466804504, ""1"": 0.19911883771419525, ""3"": 0.18799516558647156, ""10"": 0.18655069172382355, ""30"": 0.20096518099308014, ""45"": 0.2202024608850479, ""65"": 0.2437502145767212, ""90"": 0.2708733081817627}",0.14306804537773132,0.18655069434005794,0.23145557408228176,16416,0.42223949810020794,0.4418125144128151
tirex,monash_electricity_hourly,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.16667398810386658,"{""1e-05"": 0.18977217376232147, ""0.0001"": 0.18954332172870636, ""0.001"": 0.18957799673080444, ""0.01"": 0.18927109241485596, ""0.1"": 0.18765121698379517, ""0.3"": 0.1824059933423996, ""1"": 0.17489935457706451, ""3"": 0.1687994748353958, ""10"": 0.16667398810386658, ""30"": 0.1812758445739746, ""45"": 0.19577772915363312, ""65"": 0.21463769674301147, ""90"": 0.24676373600959778}","{""1e-05"": 0.18977217376232147, ""0.0001"": 0.18954332172870636, ""0.001"": 0.18957799673080444, ""0.01"": 0.18927109241485596, ""0.1"": 0.18765121698379517, ""0.3"": 0.1824059933423996, ""1"": 0.17489935457706451, ""3"": 0.1687994748353958, ""10"": 0.16667398810386658, ""30"": 0.1812758445739746, ""45"": 0.19577772915363312, ""65"": 0.21463769674301147, ""90"": 0.24676373600959778}",0.13774877786636353,0.16667397866267283,0.21377648128808,16416,0.42223949810020794,0.394738008671839
