model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,monash_traffic,0,Emb,block_depth,True,0.0,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.0001,"mean pinball over (batch, quantiles, horizon)",0.22511692345142365,"{""1e-05"": 0.22684331238269806, ""0.0001"": 0.22642840445041656, ""0.001"": 0.22701826691627502, ""0.01"": 0.22511692345142365, ""0.1"": 0.22689469158649445, ""0.3"": 0.22954241931438446, ""1"": 0.22584772109985352, ""3"": 0.22621969878673553, ""10"": 0.2253987342119217, ""30"": 0.22687247395515442, ""45"": 0.2285652607679367, ""65"": 0.22982360422611237, ""90"": 0.23528526723384857}","{""1e-05"": 0.22684331238269806, ""0.0001"": 0.22642840445041656, ""0.001"": 0.22701826691627502, ""0.01"": 0.22511692345142365, ""0.1"": 0.22689469158649445, ""0.3"": 0.22954241931438446, ""1"": 0.22584772109985352, ""3"": 0.22621969878673553, ""10"": 0.2253987342119217, ""30"": 0.22687247395515442, ""45"": 0.2285652607679367, ""65"": 0.22982360422611237, ""90"": 0.23528526723384857}",0.27191245555877686,0.22511692660796734,0.20356298838066691,16416,0.28795049726280547,0.7817903728171324
tirex,monash_traffic,1,L1,block_depth,True,0.08333333333333333,0.0001,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,1.0000000000000002e-06,"mean pinball over (batch, quantiles, horizon)",0.16541534662246704,"{""1e-05"": 0.17224401235580444, ""0.0001"": 0.16541534662246704, ""0.001"": 0.16734579205513, ""0.01"": 0.1735762655735016, ""0.1"": 0.169004425406456, ""0.3"": 0.16707852482795715, ""1"": 0.1779676228761673, ""3"": 0.17588576674461365, ""10"": 0.19177651405334473, ""30"": 0.19804996252059937, ""45"": 0.21170929074287415, ""65"": 0.21835820376873016, ""90"": 0.22316724061965942}","{""1e-05"": 0.17224401235580444, ""0.0001"": 0.16541534662246704, ""0.001"": 0.16734579205513, ""0.01"": 0.1735762655735016, ""0.1"": 0.169004425406456, ""0.3"": 0.16707852482795715, ""1"": 0.1779676228761673, ""3"": 0.17588576674461365, ""10"": 0.19177651405334473, ""30"": 0.19804996252059937, ""45"": 0.21170929074287415, ""65"": 0.21835820376873016, ""90"": 0.22316724061965942}",0.17362067103385925,0.16541535191181053,0.16448511430666646,16416,0.28795049726280547,0.5744576011648278
tirex,monash_traffic,2,L2,block_depth,True,0.16666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.15376350283622742,"{""1e-05"": 0.15731924772262573, ""0.0001"": 0.1573694795370102, ""0.001"": 0.158500075340271, ""0.01"": 0.15739651024341583, ""0.1"": 0.15530730783939362, ""0.3"": 0.15540722012519836, ""1"": 0.1547744870185852, ""3"": 0.15386834740638733, ""10"": 0.15376350283622742, ""30"": 0.16996170580387115, ""45"": 0.17218759655952454, ""65"": 0.1861618310213089, ""90"": 0.20135530829429626}","{""1e-05"": 0.15731924772262573, ""0.0001"": 0.1573694795370102, ""0.001"": 0.158500075340271, ""0.01"": 0.15739651024341583, ""0.1"": 0.15530730783939362, ""0.3"": 0.15540722012519836, ""1"": 0.1547744870185852, ""3"": 0.15386834740638733, ""10"": 0.15376350283622742, ""30"": 0.16996170580387115, ""45"": 0.17218759655952454, ""65"": 0.1861618310213089, ""90"": 0.20135530829429626}",0.17512419819831848,0.1537634941628416,0.16136352885656685,16416,0.28795049726280547,0.5339928064875171
tirex,monash_traffic,3,L3,block_depth,True,0.25,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.15733565390110016,"{""1e-05"": 0.16854478418827057, ""0.0001"": 0.16826802492141724, ""0.001"": 0.16870717704296112, ""0.01"": 0.16815657913684845, ""0.1"": 0.16625994443893433, ""0.3"": 0.16197018325328827, ""1"": 0.15855704247951508, ""3"": 0.15858182311058044, ""10"": 0.15733565390110016, ""30"": 0.16311456263065338, ""45"": 0.17234371602535248, ""65"": 0.17795181274414062, ""90"": 0.1930156797170639}","{""1e-05"": 0.16854478418827057, ""0.0001"": 0.16826802492141724, ""0.001"": 0.16870717704296112, ""0.01"": 0.16815657913684845, ""0.1"": 0.16625994443893433, ""0.3"": 0.16197018325328827, ""1"": 0.15855704247951508, ""3"": 0.15858182311058044, ""10"": 0.15733565390110016, ""30"": 0.16311456263065338, ""45"": 0.17234371602535248, ""65"": 0.17795181274414062, ""90"": 0.1930156797170639}",0.16858597099781036,0.15733566342760588,0.1589983484160354,16416,0.28795049726280547,0.5463983043030116
tirex,monash_traffic,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.15890727937221527,"{""1e-05"": 0.1808260828256607, ""0.0001"": 0.17890053987503052, ""0.001"": 0.17914782464504242, ""0.01"": 0.180959090590477, ""0.1"": 0.1757802963256836, ""0.3"": 0.1732626110315323, ""1"": 0.16461458802223206, ""3"": 0.1599004715681076, ""10"": 0.15890727937221527, ""30"": 0.1647525280714035, ""45"": 0.17192578315734863, ""65"": 0.17541348934173584, ""90"": 0.1822296380996704}","{""1e-05"": 0.1808260828256607, ""0.0001"": 0.17890053987503052, ""0.001"": 0.17914782464504242, ""0.01"": 0.180959090590477, ""0.1"": 0.1757802963256836, ""0.3"": 0.1732626110315323, ""1"": 0.16461458802223206, ""3"": 0.1599004715681076, ""10"": 0.15890727937221527, ""30"": 0.1647525280714035, ""45"": 0.17192578315734863, ""65"": 0.17541348934173584, ""90"": 0.1822296380996704}",0.15971650183200836,0.15890728547202268,0.1520024133376948,16416,0.28795049726280547,0.5518562634291679
tirex,monash_traffic,5,L5,block_depth,True,0.4166666666666667,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.160511776804924,"{""1e-05"": 0.1791505366563797, ""0.0001"": 0.18336790800094604, ""0.001"": 0.18280555307865143, ""0.01"": 0.1812983751296997, ""0.1"": 0.1808137148618698, ""0.3"": 0.17602312564849854, ""1"": 0.16916729509830475, ""3"": 0.1647140234708786, ""10"": 0.160511776804924, ""30"": 0.16225050389766693, ""45"": 0.16797097027301788, ""65"": 0.17385968565940857, ""90"": 0.1890900880098343}","{""1e-05"": 0.1791505366563797, ""0.0001"": 0.18336790800094604, ""0.001"": 0.18280555307865143, ""0.01"": 0.1812983751296997, ""0.1"": 0.1808137148618698, ""0.3"": 0.17602312564849854, ""1"": 0.16916729509830475, ""3"": 0.1647140234708786, ""10"": 0.160511776804924, ""30"": 0.16225050389766693, ""45"": 0.16797097027301788, ""65"": 0.17385968565940857, ""90"": 0.1890900880098343}",0.1510390192270279,0.16051176577123977,0.14792489212091642,16416,0.28795049726280547,0.5574283333316995
tirex,monash_traffic,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.16922622919082642,"{""1e-05"": 0.18727514147758484, ""0.0001"": 0.1866995096206665, ""0.001"": 0.18834444880485535, ""0.01"": 0.18717363476753235, ""0.1"": 0.18530139327049255, ""0.3"": 0.1822742074728012, ""1"": 0.17634674906730652, ""3"": 0.17040252685546875, ""10"": 0.16922622919082642, ""30"": 0.17719876766204834, ""45"": 0.1797792911529541, ""65"": 0.18174560368061066, ""90"": 0.19136111438274384}","{""1e-05"": 0.18727514147758484, ""0.0001"": 0.1866995096206665, ""0.001"": 0.18834444880485535, ""0.01"": 0.18717363476753235, ""0.1"": 0.18530139327049255, ""0.3"": 0.1822742074728012, ""1"": 0.17634674906730652, ""3"": 0.17040252685546875, ""10"": 0.16922622919082642, ""30"": 0.17719876766204834, ""45"": 0.1797792911529541, ""65"": 0.18174560368061066, ""90"": 0.19136111438274384}",0.1471208930015564,0.16922622100087523,0.1501704907144299,16416,0.28795049726280547,0.5876920603003041
tirex,monash_traffic,7,L7,block_depth,True,0.5833333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.17131079733371735,"{""1e-05"": 0.1928919553756714, ""0.0001"": 0.19332213699817657, ""0.001"": 0.19495365023612976, ""0.01"": 0.1934567540884018, ""0.1"": 0.19046014547348022, ""0.3"": 0.1869429647922516, ""1"": 0.17976614832878113, ""3"": 0.17243966460227966, ""10"": 0.17131079733371735, ""30"": 0.17603018879890442, ""45"": 0.1775263100862503, ""65"": 0.1866646558046341, ""90"": 0.19720947742462158}","{""1e-05"": 0.1928919553756714, ""0.0001"": 0.19332213699817657, ""0.001"": 0.19495365023612976, ""0.01"": 0.1934567540884018, ""0.1"": 0.19046014547348022, ""0.3"": 0.1869429647922516, ""1"": 0.17976614832878113, ""3"": 0.17243966460227966, ""10"": 0.17131079733371735, ""30"": 0.17603018879890442, ""45"": 0.1775263100862503, ""65"": 0.1866646558046341, ""90"": 0.19720947742462158}",0.1431608498096466,0.17131079653747208,0.1399195131113511,16416,0.28795049726280547,0.5949314141351207
tirex,monash_traffic,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.16837334632873535,"{""1e-05"": 0.19302697479724884, ""0.0001"": 0.19458571076393127, ""0.001"": 0.19400277733802795, ""0.01"": 0.19213537871837616, ""0.1"": 0.1924613118171692, ""0.3"": 0.1886545717716217, ""1"": 0.17896339297294617, ""3"": 0.1724763959646225, ""10"": 0.16837334632873535, ""30"": 0.17138662934303284, ""45"": 0.1721203774213791, ""65"": 0.17598392069339752, ""90"": 0.1842624992132187}","{""1e-05"": 0.19302697479724884, ""0.0001"": 0.19458571076393127, ""0.001"": 0.19400277733802795, ""0.01"": 0.19213537871837616, ""0.1"": 0.1924613118171692, ""0.3"": 0.1886545717716217, ""1"": 0.17896339297294617, ""3"": 0.1724763959646225, ""10"": 0.16837334632873535, ""30"": 0.17138662934303284, ""45"": 0.1721203774213791, ""65"": 0.17598392069339752, ""90"": 0.1842624992132187}",0.13916896283626556,0.16837334706810594,0.14439354974861818,16416,0.28795049726280547,0.5847301833774423
tirex,monash_traffic,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.1598075032234192,"{""1e-05"": 0.17952118813991547, ""0.0001"": 0.17860211431980133, ""0.001"": 0.17876937985420227, ""0.01"": 0.17903907597064972, ""0.1"": 0.17781859636306763, ""0.3"": 0.17585903406143188, ""1"": 0.16797862946987152, ""3"": 0.16302137076854706, ""10"": 0.1598075032234192, ""30"": 0.16163210570812225, ""45"": 0.16567037999629974, ""65"": 0.17156416177749634, ""90"": 0.18253140151500702}","{""1e-05"": 0.17952118813991547, ""0.0001"": 0.17860211431980133, ""0.001"": 0.17876937985420227, ""0.01"": 0.17903907597064972, ""0.1"": 0.17781859636306763, ""0.3"": 0.17585903406143188, ""1"": 0.16797862946987152, ""3"": 0.16302137076854706, ""10"": 0.1598075032234192, ""30"": 0.16163210570812225, ""45"": 0.16567037999629974, ""65"": 0.17156416177749634, ""90"": 0.18253140151500702}",0.12961752712726593,0.15980749059724444,0.13674356312071548,16416,0.28795049726280547,0.5549825130233826
