model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,sg_carpark,0,Emb,block_depth,True,0.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.3463093042373657,"{""1e-05"": 0.3470000922679901, ""0.0001"": 0.34920474886894226, ""0.001"": 0.35110965371131897, ""0.01"": 0.35036712884902954, ""0.1"": 0.34763193130493164, ""0.3"": 0.34703099727630615, ""1"": 0.34927237033843994, ""3"": 0.3463093042373657, ""10"": 0.34870651364326477, ""30"": 0.34747856855392456, ""45"": 0.3498871326446533, ""65"": 0.3525843024253845, ""90"": 0.3594222068786621}","{""1e-05"": 0.3470000922679901, ""0.0001"": 0.34920474886894226, ""0.001"": 0.35110965371131897, ""0.01"": 0.35036712884902954, ""0.1"": 0.34763193130493164, ""0.3"": 0.34703099727630615, ""1"": 0.34927237033843994, ""3"": 0.3463093042373657, ""10"": 0.34870651364326477, ""30"": 0.34747856855392456, ""45"": 0.3498871326446533, ""65"": 0.3525843024253845, ""90"": 0.3594222068786621}",0.3060142397880554,0.3463093096884967,0.3067346266391924,16416,0.4479201628621352,0.773149633353493
tirex,sg_carpark,1,L1,block_depth,True,0.08333333333333333,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,"mean pinball over (batch, quantiles, horizon)",0.23635989427566528,"{""1e-05"": 0.2416936606168747, ""0.0001"": 0.23854795098304749, ""0.001"": 0.24077515304088593, ""0.01"": 0.23957553505897522, ""0.1"": 0.23752254247665405, ""0.3"": 0.23635989427566528, ""1"": 0.24083469808101654, ""3"": 0.2520650327205658, ""10"": 0.26042577624320984, ""30"": 0.28071656823158264, ""45"": 0.2976264953613281, ""65"": 0.31072574853897095, ""90"": 0.32865482568740845}","{""1e-05"": 0.2416936606168747, ""0.0001"": 0.23854795098304749, ""0.001"": 0.24077515304088593, ""0.01"": 0.23957553505897522, ""0.1"": 0.23752254247665405, ""0.3"": 0.23635989427566528, ""1"": 0.24083469808101654, ""3"": 0.2520650327205658, ""10"": 0.26042577624320984, ""30"": 0.28071656823158264, ""45"": 0.2976264953613281, ""65"": 0.31072574853897095, ""90"": 0.32865482568740845}",0.1865922212600708,0.23635990669329962,0.16879129719178557,16416,0.4479201628621352,0.5276831147385712
tirex,sg_carpark,2,L2,block_depth,True,0.16666666666666666,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,"mean pinball over (batch, quantiles, horizon)",0.21406641602516174,"{""1e-05"": 0.22146949172019958, ""0.0001"": 0.22221721708774567, ""0.001"": 0.2176416516304016, ""0.01"": 0.22230438888072968, ""0.1"": 0.21674130856990814, ""0.3"": 0.21473610401153564, ""1"": 0.21406641602516174, ""3"": 0.2204500436782837, ""10"": 0.2255377471446991, ""30"": 0.2509876489639282, ""45"": 0.257569819688797, ""65"": 0.26806291937828064, ""90"": 0.2822241485118866}","{""1e-05"": 0.22146949172019958, ""0.0001"": 0.22221721708774567, ""0.001"": 0.2176416516304016, ""0.01"": 0.22230438888072968, ""0.1"": 0.21674130856990814, ""0.3"": 0.21473610401153564, ""1"": 0.21406641602516174, ""3"": 0.2204500436782837, ""10"": 0.2255377471446991, ""30"": 0.2509876489639282, ""45"": 0.257569819688797, ""65"": 0.26806291937828064, ""90"": 0.2822241485118866}",0.16858874261379242,0.21406641970835838,0.16522312974609898,16416,0.4479201628621352,0.47791199739817386
tirex,sg_carpark,3,L3,block_depth,True,0.25,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20901471376419067,"{""1e-05"": 0.21892277896404266, ""0.0001"": 0.2205650359392166, ""0.001"": 0.21809926629066467, ""0.01"": 0.22071392834186554, ""0.1"": 0.21782231330871582, ""0.3"": 0.21403750777244568, ""1"": 0.21143008768558502, ""3"": 0.20945101976394653, ""10"": 0.20901471376419067, ""30"": 0.2240685224533081, ""45"": 0.22901806235313416, ""65"": 0.24420981109142303, ""90"": 0.26444876194000244}","{""1e-05"": 0.21892277896404266, ""0.0001"": 0.2205650359392166, ""0.001"": 0.21809926629066467, ""0.01"": 0.22071392834186554, ""0.1"": 0.21782231330871582, ""0.3"": 0.21403750777244568, ""1"": 0.21143008768558502, ""3"": 0.20945101976394653, ""10"": 0.20901471376419067, ""30"": 0.2240685224533081, ""45"": 0.22901806235313416, ""65"": 0.24420981109142303, ""90"": 0.26444876194000244}",0.17760160565376282,0.20901472094116239,0.1636908324277502,16416,0.4479201628621352,0.46663387422792746
tirex,sg_carpark,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.2083130031824112,"{""1e-05"": 0.22055593132972717, ""0.0001"": 0.22265759110450745, ""0.001"": 0.22316250205039978, ""0.01"": 0.2208142876625061, ""0.1"": 0.22071321308612823, ""0.3"": 0.218496635556221, ""1"": 0.21542181074619293, ""3"": 0.21341080963611603, ""10"": 0.2083130031824112, ""30"": 0.21652516722679138, ""45"": 0.21949966251850128, ""65"": 0.2345246523618698, ""90"": 0.2552878260612488}","{""1e-05"": 0.22055593132972717, ""0.0001"": 0.22265759110450745, ""0.001"": 0.22316250205039978, ""0.01"": 0.2208142876625061, ""0.1"": 0.22071321308612823, ""0.3"": 0.218496635556221, ""1"": 0.21542181074619293, ""3"": 0.21341080963611603, ""10"": 0.2083130031824112, ""30"": 0.21652516722679138, ""45"": 0.21949966251850128, ""65"": 0.2345246523618698, ""90"": 0.2552878260612488}",0.1663491129875183,0.2083130096858841,0.16342643667328155,16416,0.4479201628621352,0.46506727528137753
tirex,sg_carpark,5,L5,block_depth,True,0.4166666666666667,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.2088942676782608,"{""1e-05"": 0.22552378475666046, ""0.0001"": 0.2249729186296463, ""0.001"": 0.2224694788455963, ""0.01"": 0.22428837418556213, ""0.1"": 0.2209867537021637, ""0.3"": 0.2168356478214264, ""1"": 0.21387095749378204, ""3"": 0.2088942676782608, ""10"": 0.21179750561714172, ""30"": 0.2221122831106186, ""45"": 0.23229989409446716, ""65"": 0.24878352880477905, ""90"": 0.2703169882297516}","{""1e-05"": 0.22552378475666046, ""0.0001"": 0.2249729186296463, ""0.001"": 0.2224694788455963, ""0.01"": 0.22428837418556213, ""0.1"": 0.2209867537021637, ""0.3"": 0.2168356478214264, ""1"": 0.21387095749378204, ""3"": 0.2088942676782608, ""10"": 0.21179750561714172, ""30"": 0.2221122831106186, ""45"": 0.23229989409446716, ""65"": 0.24878352880477905, ""90"": 0.2703169882297516}",0.14791375398635864,0.20889428306349928,0.1619993829626148,16416,0.4479201628621352,0.4663649917625936
tirex,sg_carpark,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.206313356757164,"{""1e-05"": 0.22229009866714478, ""0.0001"": 0.22293108701705933, ""0.001"": 0.22649012506008148, ""0.01"": 0.22094464302062988, ""0.1"": 0.222268745303154, ""0.3"": 0.21821977198123932, ""1"": 0.21291540563106537, ""3"": 0.20646555721759796, ""10"": 0.206313356757164, ""30"": 0.2237887680530548, ""45"": 0.2367980182170868, ""65"": 0.2568123936653137, ""90"": 0.28555935621261597}","{""1e-05"": 0.22229009866714478, ""0.0001"": 0.22293108701705933, ""0.001"": 0.22649012506008148, ""0.01"": 0.22094464302062988, ""0.1"": 0.222268745303154, ""0.3"": 0.21821977198123932, ""1"": 0.21291540563106537, ""3"": 0.20646555721759796, ""10"": 0.206313356757164, ""30"": 0.2237887680530548, ""45"": 0.2367980182170868, ""65"": 0.2568123936653137, ""90"": 0.28555935621261597}",0.15048980712890625,0.206313352863499,0.1579663327837226,16416,0.4479201628621352,0.46060296001231793
tirex,sg_carpark,7,L7,block_depth,True,0.5833333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.20434899628162384,"{""1e-05"": 0.2172480821609497, ""0.0001"": 0.2173147201538086, ""0.001"": 0.21767884492874146, ""0.01"": 0.2171424776315689, ""0.1"": 0.2161758840084076, ""0.3"": 0.21303577721118927, ""1"": 0.20836736261844635, ""3"": 0.20578519999980927, ""10"": 0.20434899628162384, ""30"": 0.22459864616394043, ""45"": 0.2435469776391983, ""65"": 0.2697989344596863, ""90"": 0.2960902154445648}","{""1e-05"": 0.2172480821609497, ""0.0001"": 0.2173147201538086, ""0.001"": 0.21767884492874146, ""0.01"": 0.2171424776315689, ""0.1"": 0.2161758840084076, ""0.3"": 0.21303577721118927, ""1"": 0.20836736261844635, ""3"": 0.20578519999980927, ""10"": 0.20434899628162384, ""30"": 0.22459864616394043, ""45"": 0.2435469776391983, ""65"": 0.2697989344596863, ""90"": 0.2960902154445648}",0.14593598246574402,0.20434899727082523,0.15809392643892495,16416,0.4479201628621352,0.4562174561758265
tirex,sg_carpark,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.19830727577209473,"{""1e-05"": 0.21916434168815613, ""0.0001"": 0.21878288686275482, ""0.001"": 0.22091428935527802, ""0.01"": 0.22026695311069489, ""0.1"": 0.21806059777736664, ""0.3"": 0.21420669555664062, ""1"": 0.20903243124485016, ""3"": 0.20304614305496216, ""10"": 0.19830727577209473, ""30"": 0.20646871626377106, ""45"": 0.2216801643371582, ""65"": 0.2493213713169098, ""90"": 0.27759191393852234}","{""1e-05"": 0.21916434168815613, ""0.0001"": 0.21878288686275482, ""0.001"": 0.22091428935527802, ""0.01"": 0.22026695311069489, ""0.1"": 0.21806059777736664, ""0.3"": 0.21420669555664062, ""1"": 0.20903243124485016, ""3"": 0.20304614305496216, ""10"": 0.19830727577209473, ""30"": 0.20646871626377106, ""45"": 0.2216801643371582, ""65"": 0.2493213713169098, ""90"": 0.27759191393852234}",0.14368383586406708,0.19830726139710447,0.15498530294346272,16416,0.4479201628621352,0.44272903485735965
tirex,sg_carpark,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.18095117807388306,"{""1e-05"": 0.19984807074069977, ""0.0001"": 0.20029425621032715, ""0.001"": 0.1997900754213333, ""0.01"": 0.20090486109256744, ""0.1"": 0.1973644345998764, ""0.3"": 0.19360573589801788, ""1"": 0.18695400655269623, ""3"": 0.1836758702993393, ""10"": 0.18095117807388306, ""30"": 0.19314734637737274, ""45"": 0.2077713906764984, ""65"": 0.23013587296009064, ""90"": 0.27222076058387756}","{""1e-05"": 0.19984807074069977, ""0.0001"": 0.20029425621032715, ""0.001"": 0.1997900754213333, ""0.01"": 0.20090486109256744, ""0.1"": 0.1973644345998764, ""0.3"": 0.19360573589801788, ""1"": 0.18695400655269623, ""3"": 0.1836758702993393, ""10"": 0.18095117807388306, ""30"": 0.19314734637737274, ""45"": 0.2077713906764984, ""65"": 0.23013587296009064, ""90"": 0.27222076058387756}",0.1412079632282257,0.18095117590605875,0.15096721604550625,16416,0.4479201628621352,0.4039808673711201
