model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,wiki_daily_100k,0,Emb,block_depth,True,0.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.32767510414123535,"{""1e-05"": 0.3296346664428711, ""0.0001"": 0.3297327756881714, ""0.001"": 0.3298700153827667, ""0.01"": 0.32926878333091736, ""0.1"": 0.32927852869033813, ""0.3"": 0.32941362261772156, ""1"": 0.3284425139427185, ""3"": 0.32767510414123535, ""10"": 0.32792845368385315, ""30"": 0.32808709144592285, ""45"": 0.3279601037502289, ""65"": 0.3289559483528137, ""90"": 0.32934606075286865}","{""1e-05"": 0.3296346664428711, ""0.0001"": 0.3297327756881714, ""0.001"": 0.3298700153827667, ""0.01"": 0.32926878333091736, ""0.1"": 0.32927852869033813, ""0.3"": 0.32941362261772156, ""1"": 0.3284425139427185, ""3"": 0.32767510414123535, ""10"": 0.32792845368385315, ""30"": 0.32808709144592285, ""45"": 0.3279601037502289, ""65"": 0.3289559483528137, ""90"": 0.32934606075286865}",0.3454311490058899,0.3276751254194679,0.32200243498220016,16416,0.34903326975394977,0.938807712085618
tirex,wiki_daily_100k,1,L1,block_depth,True,0.08333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.31931352615356445,"{""1e-05"": 0.32517021894454956, ""0.0001"": 0.32515546679496765, ""0.001"": 0.3247285783290863, ""0.01"": 0.32568222284317017, ""0.1"": 0.3241351544857025, ""0.3"": 0.32380688190460205, ""1"": 0.32098954916000366, ""3"": 0.31931352615356445, ""10"": 0.319542795419693, ""30"": 0.3196188509464264, ""45"": 0.32167938351631165, ""65"": 0.32320523262023926, ""90"": 0.326980322599411}","{""1e-05"": 0.32517021894454956, ""0.0001"": 0.32515546679496765, ""0.001"": 0.3247285783290863, ""0.01"": 0.32568222284317017, ""0.1"": 0.3241351544857025, ""0.3"": 0.32380688190460205, ""1"": 0.32098954916000366, ""3"": 0.31931352615356445, ""10"": 0.319542795419693, ""30"": 0.3196188509464264, ""45"": 0.32167938351631165, ""65"": 0.32320523262023926, ""90"": 0.326980322599411}",0.3280600607395172,0.3193135151554269,0.3175882261587691,16416,0.34903326975394977,0.9148512271638926
tirex,wiki_daily_100k,2,L2,block_depth,True,0.16666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.31948503851890564,"{""1e-05"": 0.3312022089958191, ""0.0001"": 0.3311547636985779, ""0.001"": 0.33161965012550354, ""0.01"": 0.33134105801582336, ""0.1"": 0.32996630668640137, ""0.3"": 0.32816219329833984, ""1"": 0.3242253363132477, ""3"": 0.32163381576538086, ""10"": 0.3195919990539551, ""30"": 0.31948503851890564, ""45"": 0.3208761513233185, ""65"": 0.32166916131973267, ""90"": 0.32488152384757996}","{""1e-05"": 0.3312022089958191, ""0.0001"": 0.3311547636985779, ""0.001"": 0.33161965012550354, ""0.01"": 0.33134105801582336, ""0.1"": 0.32996630668640137, ""0.3"": 0.32816219329833984, ""1"": 0.3242253363132477, ""3"": 0.32163381576538086, ""10"": 0.3195919990539551, ""30"": 0.31948503851890564, ""45"": 0.3208761513233185, ""65"": 0.32166916131973267, ""90"": 0.32488152384757996}",0.33461302518844604,0.31948503309448484,0.3141545237376148,16416,0.34903326975394977,0.9153426357312732
tirex,wiki_daily_100k,3,L3,block_depth,True,0.25,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.3192673921585083,"{""1e-05"": 0.3359445333480835, ""0.0001"": 0.33606988191604614, ""0.001"": 0.3358103632926941, ""0.01"": 0.33581438660621643, ""0.1"": 0.3337689936161041, ""0.3"": 0.33211565017700195, ""1"": 0.32730773091316223, ""3"": 0.3235846161842346, ""10"": 0.32072436809539795, ""30"": 0.3192673921585083, ""45"": 0.31991857290267944, ""65"": 0.3220989406108856, ""90"": 0.3246563673019409}","{""1e-05"": 0.3359445333480835, ""0.0001"": 0.33606988191604614, ""0.001"": 0.3358103632926941, ""0.01"": 0.33581438660621643, ""0.1"": 0.3337689936161041, ""0.3"": 0.33211565017700195, ""1"": 0.32730773091316223, ""3"": 0.3235846161842346, ""10"": 0.32072436809539795, ""30"": 0.3192673921585083, ""45"": 0.31991857290267944, ""65"": 0.3220989406108856, ""90"": 0.3246563673019409}",0.3327920436859131,0.3192673706741051,0.31271360517401275,16416,0.34903326975394977,0.914719020622796
tirex,wiki_daily_100k,4,L4,block_depth,True,0.3333333333333333,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.31850263476371765,"{""1e-05"": 0.34072422981262207, ""0.0001"": 0.3409164547920227, ""0.001"": 0.34112459421157837, ""0.01"": 0.3413602411746979, ""0.1"": 0.3391077220439911, ""0.3"": 0.33624839782714844, ""1"": 0.3312447965145111, ""3"": 0.32579949498176575, ""10"": 0.32079315185546875, ""30"": 0.31850263476371765, ""45"": 0.3195018768310547, ""65"": 0.32014280557632446, ""90"": 0.3226577341556549}","{""1e-05"": 0.34072422981262207, ""0.0001"": 0.3409164547920227, ""0.001"": 0.34112459421157837, ""0.01"": 0.3413602411746979, ""0.1"": 0.3391077220439911, ""0.3"": 0.33624839782714844, ""1"": 0.3312447965145111, ""3"": 0.32579949498176575, ""10"": 0.32079315185546875, ""30"": 0.31850263476371765, ""45"": 0.3195018768310547, ""65"": 0.32014280557632446, ""90"": 0.3226577341556549}",0.3304208815097809,0.3185026271425131,0.3134646295704914,16416,0.34903326975394977,0.9125279872805272
tirex,wiki_daily_100k,5,L5,block_depth,True,0.4166666666666667,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.31804248690605164,"{""1e-05"": 0.3399445414543152, ""0.0001"": 0.33998656272888184, ""0.001"": 0.3400101959705353, ""0.01"": 0.3397153317928314, ""0.1"": 0.33862149715423584, ""0.3"": 0.33633098006248474, ""1"": 0.33101600408554077, ""3"": 0.32501184940338135, ""10"": 0.31983813643455505, ""30"": 0.31804248690605164, ""45"": 0.31845515966415405, ""65"": 0.31945207715034485, ""90"": 0.32070112228393555}","{""1e-05"": 0.3399445414543152, ""0.0001"": 0.33998656272888184, ""0.001"": 0.3400101959705353, ""0.01"": 0.3397153317928314, ""0.1"": 0.33862149715423584, ""0.3"": 0.33633098006248474, ""1"": 0.33101600408554077, ""3"": 0.32501184940338135, ""10"": 0.31983813643455505, ""30"": 0.31804248690605164, ""45"": 0.31845515966415405, ""65"": 0.31945207715034485, ""90"": 0.32070112228393555}",0.32680651545524597,0.3180425010536236,0.31112315738929136,16416,0.34903326975394977,0.911209700089126
tirex,wiki_daily_100k,6,L6,block_depth,True,0.5,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.3167189955711365,"{""1e-05"": 0.3410477340221405, ""0.0001"": 0.3411988914012909, ""0.001"": 0.34080228209495544, ""0.01"": 0.3408731520175934, ""0.1"": 0.33920735120773315, ""0.3"": 0.33703479170799255, ""1"": 0.33152440190315247, ""3"": 0.32554754614830017, ""10"": 0.31947529315948486, ""30"": 0.3167189955711365, ""45"": 0.3173653483390808, ""65"": 0.31811028718948364, ""90"": 0.32010504603385925}","{""1e-05"": 0.3410477340221405, ""0.0001"": 0.3411988914012909, ""0.001"": 0.34080228209495544, ""0.01"": 0.3408731520175934, ""0.1"": 0.33920735120773315, ""0.3"": 0.33703479170799255, ""1"": 0.33152440190315247, ""3"": 0.32554754614830017, ""10"": 0.31947529315948486, ""30"": 0.3167189955711365, ""45"": 0.3173653483390808, ""65"": 0.31811028718948364, ""90"": 0.32010504603385925}",0.3259526789188385,0.3167189696931657,0.31006362112878844,16416,0.34903326975394977,0.9074177081068405
tirex,wiki_daily_100k,7,L7,block_depth,True,0.5833333333333334,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.31570544838905334,"{""1e-05"": 0.34208008646965027, ""0.0001"": 0.34233787655830383, ""0.001"": 0.34240099787712097, ""0.01"": 0.3414800465106964, ""0.1"": 0.3405025005340576, ""0.3"": 0.33760157227516174, ""1"": 0.3314485549926758, ""3"": 0.3250432014465332, ""10"": 0.3184269070625305, ""30"": 0.31632304191589355, ""45"": 0.31570544838905334, ""65"": 0.317456990480423, ""90"": 0.31952306628227234}","{""1e-05"": 0.34208008646965027, ""0.0001"": 0.34233787655830383, ""0.001"": 0.34240099787712097, ""0.01"": 0.3414800465106964, ""0.1"": 0.3405025005340576, ""0.3"": 0.33760157227516174, ""1"": 0.3314485549926758, ""3"": 0.3250432014465332, ""10"": 0.3184269070625305, ""30"": 0.31632304191589355, ""45"": 0.31570544838905334, ""65"": 0.317456990480423, ""90"": 0.31952306628227234}",0.328769326210022,0.31570546377364916,0.3080126631805915,16416,0.34903326975394977,0.9045139564953365
tirex,wiki_daily_100k,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.31244128942489624,"{""1e-05"": 0.339650422334671, ""0.0001"": 0.3395041227340698, ""0.001"": 0.3391512632369995, ""0.01"": 0.339323490858078, ""0.1"": 0.33729228377342224, ""0.3"": 0.3340986371040344, ""1"": 0.32780560851097107, ""3"": 0.32014524936676025, ""10"": 0.3150131404399872, ""30"": 0.31244128942489624, ""45"": 0.3124818801879883, ""65"": 0.3129446506500244, ""90"": 0.31542253494262695}","{""1e-05"": 0.339650422334671, ""0.0001"": 0.3395041227340698, ""0.001"": 0.3391512632369995, ""0.01"": 0.339323490858078, ""0.1"": 0.33729228377342224, ""0.3"": 0.3340986371040344, ""1"": 0.32780560851097107, ""3"": 0.32014524936676025, ""10"": 0.3150131404399872, ""30"": 0.31244128942489624, ""45"": 0.3124818801879883, ""65"": 0.3129446506500244, ""90"": 0.31542253494262695}",0.32225266098976135,0.31244128857177633,0.30631444128301305,16416,0.34903326975394977,0.8951619104735521
tirex,wiki_daily_100k,9,L9,block_depth,True,0.75,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.31151944398880005,"{""1e-05"": 0.3370906710624695, ""0.0001"": 0.33777180314064026, ""0.001"": 0.337311327457428, ""0.01"": 0.3368028700351715, ""0.1"": 0.3356829881668091, ""0.3"": 0.3326900601387024, ""1"": 0.32547304034233093, ""3"": 0.31932470202445984, ""10"": 0.3137463629245758, ""30"": 0.31151944398880005, ""45"": 0.3118061125278473, ""65"": 0.3130582273006439, ""90"": 0.31527653336524963}","{""1e-05"": 0.3370906710624695, ""0.0001"": 0.33777180314064026, ""0.001"": 0.337311327457428, ""0.01"": 0.3368028700351715, ""0.1"": 0.3356829881668091, ""0.3"": 0.3326900601387024, ""1"": 0.32547304034233093, ""3"": 0.31932470202445984, ""10"": 0.3137463629245758, ""30"": 0.31151944398880005, ""45"": 0.3118061125278473, ""65"": 0.3130582273006439, ""90"": 0.31527653336524963}",0.32130447030067444,0.31151946142088366,0.3033703316486519,16416,0.34903326975394977,0.8925208237039656
