model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,wind_farms_hourly,Wind Farms,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,12.12675666809082,0.27440713289129826,0.7064455997355226,1.1581755205442426,1.1216656472602762,0.15817552054424255,0.12166564726027618,30.0,False,False,16416,False,False,False,False,False,False,False,False,0.7064455997355226,0.28199899287713076,1.530537613305505,-0.07662725639849444,-0.08966440731190327,-0.06308507696416173,5.0347968006551564,1.4766471153616927,12.01517685701959,-0.5153456268961127,-0.6182075986451041,-0.41409531594403737,21.244551901874864,17.458600214036178,25.194525939788022,-6.7062279383471655,-8.663286882590572,-4.94680328535266,0.29151859643382916,0.23814010073241795,0.36301024787027486,-0.0920231297408427,-0.12157025221298204,-0.06765906304378132,5.0347968006551564,21.244551901874864,0.29151859643382916
tirex,wind_farms_hourly,Wind Farms,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,12.087235450744629,0.25008746009064087,0.6629069071860259,1.0555307772804998,1.0525366785503283,0.1027799244957921,0.052536678550328286,3.0,False,False,16416,False,False,False,False,False,False,False,True,0.6629069071860259,0.23911444490228048,1.484736647657723,-0.03308856384899772,-0.044923294764118736,-0.019810709025700157,4.732927262415558,1.1961762114157635,11.696191007640945,-0.21347608865651413,-0.2770754284419158,-0.14518136324623532,17.69447761218931,14.350962228147113,21.484806241655633,-3.1561536486616113,-4.1733561343983006,-2.1875681549577517,0.24280433411636307,0.19551570564791582,0.3066734557972482,-0.04330886742337661,-0.05794838836331994,-0.030784845471189988,4.732927262415558,17.69447761218931,0.24280433411636307
tirex,wind_farms_hourly,Wind Farms,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,12.078252792358398,0.23853186136893645,0.6526711485952935,1.0067586793262824,1.0362847565492965,0.1027799244957921,0.04882284062544939,10.0,False,False,16416,False,False,False,False,True,True,True,False,0.6526711485952935,0.22916927766801348,1.4737783885097044,-0.022852805258265385,-0.033467250917807126,-0.010998000342484195,4.664362594360149,1.134142843340334,11.619920879951694,-0.1449114206011055,-0.20587269385929058,-0.07818431175495846,16.805282305206134,13.59407495246207,20.368701852315276,-2.2669583416784356,-3.1812176868170066,-1.400416199271981,0.2306027603178398,0.18469335140552828,0.29281815176861137,-0.031107293624853344,-0.044574528877373856,-0.019890614955122957,4.664362594360149,16.805282305206134,0.2306027603178398
tirex,wind_farms_hourly,Wind Farms,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,12.074997901916504,0.23845540949690888,0.6480717768835771,1.0064360029958634,1.0289820608428695,0.1027799244957921,0.04882284062544939,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.6480717768835771,0.22444452713421398,1.4696930576410883,-0.01825343354654896,-0.027933115498624865,-0.007617241829519894,4.64575808647197,1.1143908868594854,11.605661179763883,-0.12630691271292616,-0.1819097799858451,-0.06568090294113021,16.292247243680254,13.205901600067923,19.741653829285877,-1.7539232801525557,-2.5955533953528627,-0.9584439905080032,0.22356287255046506,0.1791498357157943,0.2835498281287025,-0.024067405857478602,-0.03615087376838843,-0.013491895757027056,4.64575808647197,16.292247243680254,0.22356287255046506
tirex,wind_farms_hourly,Wind Farms,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,12.069878578186035,0.24065442870989556,0.64529010512731,1.0157172858650538,1.024565435341731,0.1027799244957921,0.04882284062544939,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.64529010512731,0.22209459805562523,1.4665975666512516,-0.015471761790281868,-0.025372630511837087,-0.004478161155516351,4.638324093643031,1.1110782801621422,11.589476780452896,-0.1188729198839873,-0.1752139963552074,-0.05590551355528095,16.382284046138786,13.229049614968009,19.884757130920235,-1.843960082611087,-2.7340700265801936,-1.0064563528390147,0.22479836117838872,0.18073334532542337,0.2848708706907944,-0.025302894485402266,-0.038065599609353906,-0.014404620665933893,4.638324093643031,16.382284046138786,0.22479836117838872
tirex,wind_farms_hourly,Wind Farms,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,12.060234069824219,0.24378766811218197,0.6493795365379512,1.0289415819593186,1.0310584685375788,0.1027799244957921,0.04882284062544939,3.0,False,False,16416,False,False,False,False,False,False,False,False,0.6493795365379512,0.22577985048290514,1.4708606365282542,-0.019561193200923088,-0.029861944664770917,-0.008400779623779985,4.669381511858005,1.1357000326234528,11.626553836156486,-0.1499303380989616,-0.20655808080744598,-0.0893713349594708,16.635242479069973,13.459693200226091,20.136944116312648,-2.0969185155422743,-3.0824594722163217,-1.2423639882756001,0.22826946697835113,0.18362610673787977,0.28982302708555946,-0.02877400028536467,-0.04305685828269186,-0.01734354925592603,4.669381511858005,16.635242479069973,0.22826946697835113
tirex,wind_farms_hourly,Wind Farms,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,12.069684982299805,0.25380465279525244,0.6549893692846744,1.071219733869439,1.0399655332588127,0.1027799244957921,0.04882284062544939,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.6549893692846744,0.231504397815847,1.477493410237055,-0.02517102594764631,-0.033992658904664734,-0.01581543675039089,4.6983089451783755,1.1639132488083097,11.660010174705135,-0.1788577714193318,-0.23101007409960012,-0.12296636668235349,17.0297042154106,13.782394006402441,20.6612442285742,-2.4913802518829016,-3.6849258170164125,-1.4295422054667355,0.2336822868041589,0.18767544409453973,0.29521041126397857,-0.03418682011117244,-0.05130232563846802,-0.019956319871146516,4.6983089451783755,17.0297042154106,0.2336822868041589
tirex,wind_farms_hourly,Wind Farms,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,12.067669868469238,0.26128222529584444,0.658663063551804,1.102779924495792,1.0457984758937713,0.1027799244957921,0.04882284062544939,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.658663063551804,0.23554469354962576,1.480602021843465,-0.02884472021477591,-0.03730170275688964,-0.019921598292332778,4.72861720326265,1.1944205020794931,11.693614195839242,-0.2091660295036064,-0.26293087471817317,-0.154283970942449,16.91477758710543,13.773978017126295,20.384798486489483,-2.3764536235777314,-3.3259745333047164,-1.485852563628446,0.23210525898398454,0.1866765568906269,0.2932125394788286,-0.032609792290998085,-0.04661952481489884,-0.020928033956045564,4.72861720326265,16.91477758710543,0.23210525898398454
tirex,wind_farms_hourly,Wind Farms,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,12.056900978088379,0.25394549835046737,0.6605678639367564,1.0718141931770693,1.0488228406254494,0.07352614195390439,0.04882284062544939,10.0,False,False,16416,False,False,False,True,False,False,False,False,0.6605678639367564,0.2372740075607137,1.4825434517822733,-0.03074952059972824,-0.038151109082986884,-0.022963174612915412,4.730213113623193,1.196147249743165,11.68832224134778,-0.21076193986414893,-0.2553512368514007,-0.16491140795791417,16.979807406460726,13.936626620688516,20.409826930459186,-2.441483442933027,-3.3011395424995857,-1.6513354894871235,0.23299760078306614,0.18783487950500483,0.29475725476513903,-0.03350213409007968,-0.04689660082326338,-0.02273860605805429,4.730213113623193,16.979807406460726,0.23299760078306614
tirex,wind_farms_hourly,Wind Farms,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,12.040178298950195,0.25435111127111293,0.6498257470537574,1.0735261419539044,1.0317669434820238,0.07352614195390439,0.0317669434820238,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.6498257470537574,0.22647843646749372,1.471583162252578,-0.020007403716729266,-0.026296105429988607,-0.013266675396847304,4.666043379885228,1.134567152988544,11.62339958126964,-0.14659220612618462,-0.1886320315763969,-0.10327925647095368,16.65410060757957,13.533276192604687,20.14322202193352,-2.11577664405187,-3.0020971449942637,-1.3585697639592524,0.22852823897692653,0.18391947562746164,0.288456580073683,-0.029032772283940078,-0.041240790973020816,-0.019026434736774813,4.666043379885228,16.65410060757957,0.22852823897692653
tirex,wind_farms_hourly,Wind Farms,10,L10,block,block_depth,True,10,0.8333333333333334,0.8333333333333334,False,False,False,12.022782325744629,0.2514718093034875,0.6433935724554285,1.0613736260188336,1.0215541977492644,0.06137362601883356,0.02155419774926437,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.6433935724554285,0.21965091050627378,1.4647693983590202,-0.013575229118400367,-0.018885181744526074,-0.007708670431214832,4.6212175260796755,1.086910794473496,11.577241332838653,-0.1017663523206318,-0.1371354522109105,-0.06449327761554555,16.044685149469355,12.998087388999268,19.45076602806512,-1.5063611859416568,-2.17312610156185,-0.9154085049558476,0.2201658155276614,0.17528257707215117,0.27945892294256863,-0.020670348834674945,-0.030469358972914258,-0.01267374720478421,4.6212175260796755,16.044685149469355,0.2201658155276614
tirex,wind_farms_hourly,Wind Farms,11,L11,block,block_depth,True,11,0.9166666666666666,0.9166666666666666,True,False,False,12.007448196411133,0.23852534241661544,0.6331813914544937,1.006731165132616,1.0053397112882532,0.006731165132616068,0.005339711288253168,10.0,False,False,16416,True,True,True,False,False,False,False,False,0.6331813914544937,0.20909516407383025,1.4545442851761512,-0.0033630481174655724,-0.007190486267902207,0.0009066140106772389,4.545649327878858,1.01188956562139,11.498263335199947,-0.02619815411981463,-0.05061559414767557,0.0009509717805978853,14.89407347705103,12.075542045640667,18.047727563146253,-0.35574951352333173,-0.7866636677296799,0.046479317270498005,0.2043770758388676,0.16188118734984075,0.2606634645462916,-0.0048816091458811495,-0.011193745747742168,0.000620958964967797,4.545649327878858,14.89407347705103,0.2043770758388676
tirex,wind_farms_hourly,Wind Farms,12,L12,block,block_depth,True,12,1.0,1.0,False,True,False,12.008424758911133,0.23693052393505137,0.6298183433370281,1.0,1.0,0.0,0.0,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.6298183433370281,0.20463181275959688,1.4521275570854286,0.0,0.0,0.0,4.519451173759044,0.9795888049411084,11.486338922496904,0.0,0.0,0.0,14.538323963527699,11.71976001986315,17.713030451344498,0.0,0.0,0.0,0.19949546669298646,0.15721380436167917,0.2548563215226765,0.0,0.0,0.0,4.519451173759044,14.538323963527699,0.19949546669298646
tirex,wind_farms_hourly,Wind Farms,13,L12+RMS,final_norm,head_input_diagnostic,False,12,,,False,False,True,11.987899780273438,0.22960098923845146,0.6207731328584709,,,,,10.0,False,False,16416,False,False,False,False,False,False,False,False,0.6207731328584709,0.19482242264696006,1.443383534394208,0.00904521047855722,0.006635044280880395,0.011440443153002551,4.449152925354436,0.9044607031587174,11.415203929464868,0.0702982484046073,0.05247170675758312,0.08805174053306022,13.938057891763567,11.13470738399147,17.127793694504888,0.6002660717641319,0.344906308636285,0.8865710065049807,0.19125859149148666,0.14950880291705881,0.2461491195249457,0.008236875201499794,0.004703408139773811,0.012642294324994415,4.449152925354436,13.938057891763567,0.19125859149148666
