model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,wind_farms_hourly,0,Emb,block_depth,True,0.0,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.27440711855888367,"{""1e-05"": 0.2785559594631195, ""0.0001"": 0.2789607048034668, ""0.001"": 0.2782435417175293, ""0.01"": 0.2780021131038666, ""0.1"": 0.2779441475868225, ""0.3"": 0.27814728021621704, ""1"": 0.27768877148628235, ""3"": 0.27854350209236145, ""10"": 0.27748411893844604, ""30"": 0.27440711855888367, ""45"": 0.2752270996570587, ""65"": 0.276888906955719, ""90"": 0.28171923756599426}","{""1e-05"": 0.2785559594631195, ""0.0001"": 0.2789607048034668, ""0.001"": 0.2782435417175293, ""0.01"": 0.2780021131038666, ""0.1"": 0.2779441475868225, ""0.3"": 0.27814728021621704, ""1"": 0.27768877148628235, ""3"": 0.27854350209236145, ""10"": 0.27748411893844604, ""30"": 0.27440711855888367, ""45"": 0.2752270996570587, ""65"": 0.276888906955719, ""90"": 0.28171923756599426}",12.12675666809082,0.27440713289129826,0.7064455997355226,16416,0.3376895533661351,0.8126017821871327
tirex,wind_farms_hourly,1,L1,block_depth,True,0.08333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.2500874698162079,"{""1e-05"": 0.2524522840976715, ""0.0001"": 0.251883864402771, ""0.001"": 0.2542704939842224, ""0.01"": 0.2527574896812439, ""0.1"": 0.2522720992565155, ""0.3"": 0.25097694993019104, ""1"": 0.25134074687957764, ""3"": 0.2500874698162079, ""10"": 0.255586177110672, ""30"": 0.260009229183197, ""45"": 0.26686176657676697, ""65"": 0.2759501338005066, ""90"": 0.286448210477829}","{""1e-05"": 0.2524522840976715, ""0.0001"": 0.251883864402771, ""0.001"": 0.2542704939842224, ""0.01"": 0.2527574896812439, ""0.1"": 0.2522720992565155, ""0.3"": 0.25097694993019104, ""1"": 0.25134074687957764, ""3"": 0.2500874698162079, ""10"": 0.255586177110672, ""30"": 0.260009229183197, ""45"": 0.26686176657676697, ""65"": 0.2759501338005066, ""90"": 0.286448210477829}",12.087235450744629,0.25008746009064087,0.6629069071860259,16416,0.3376895533661351,0.740583940479459
tirex,wind_farms_hourly,2,L2,block_depth,True,0.16666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.23853185772895813,"{""1e-05"": 0.2439148873090744, ""0.0001"": 0.24382548034191132, ""0.001"": 0.24628320336341858, ""0.01"": 0.24499401450157166, ""0.1"": 0.244007408618927, ""0.3"": 0.24238036572933197, ""1"": 0.24318622052669525, ""3"": 0.2398923635482788, ""10"": 0.23853185772895813, ""30"": 0.2456657737493515, ""45"": 0.25605931878089905, ""65"": 0.2648620903491974, ""90"": 0.2763691246509552}","{""1e-05"": 0.2439148873090744, ""0.0001"": 0.24382548034191132, ""0.001"": 0.24628320336341858, ""0.01"": 0.24499401450157166, ""0.1"": 0.244007408618927, ""0.3"": 0.24238036572933197, ""1"": 0.24318622052669525, ""3"": 0.2398923635482788, ""10"": 0.23853185772895813, ""30"": 0.2456657737493515, ""45"": 0.25605931878089905, ""65"": 0.2648620903491974, ""90"": 0.2763691246509552}",12.078252792358398,0.23853186136893645,0.6526711485952935,16416,0.3376895533661351,0.7063643485302362
tirex,wind_farms_hourly,3,L3,block_depth,True,0.25,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.2384554147720337,"{""1e-05"": 0.24713417887687683, ""0.0001"": 0.24652200937271118, ""0.001"": 0.2468099296092987, ""0.01"": 0.2466346174478531, ""0.1"": 0.24676525592803955, ""0.3"": 0.24381807446479797, ""1"": 0.24223290383815765, ""3"": 0.23930346965789795, ""10"": 0.2384554147720337, ""30"": 0.2466619908809662, ""45"": 0.25574368238449097, ""65"": 0.26469355821609497, ""90"": 0.27750152349472046}","{""1e-05"": 0.24713417887687683, ""0.0001"": 0.24652200937271118, ""0.001"": 0.2468099296092987, ""0.01"": 0.2466346174478531, ""0.1"": 0.24676525592803955, ""0.3"": 0.24381807446479797, ""1"": 0.24223290383815765, ""3"": 0.23930346965789795, ""10"": 0.2384554147720337, ""30"": 0.2466619908809662, ""45"": 0.25574368238449097, ""65"": 0.26469355821609497, ""90"": 0.27750152349472046}",12.074997901916504,0.23845540949690888,0.6480717768835771,16416,0.3376895533661351,0.7061379516184411
tirex,wind_farms_hourly,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.24065442383289337,"{""1e-05"": 0.2537999749183655, ""0.0001"": 0.2537439465522766, ""0.001"": 0.25382593274116516, ""0.01"": 0.25378715991973877, ""0.1"": 0.25169751048088074, ""0.3"": 0.24950522184371948, ""1"": 0.24621139466762543, ""3"": 0.24155376851558685, ""10"": 0.24065442383289337, ""30"": 0.24680712819099426, ""45"": 0.25409257411956787, ""65"": 0.2626778185367584, ""90"": 0.2725512981414795}","{""1e-05"": 0.2537999749183655, ""0.0001"": 0.2537439465522766, ""0.001"": 0.25382593274116516, ""0.01"": 0.25378715991973877, ""0.1"": 0.25169751048088074, ""0.3"": 0.24950522184371948, ""1"": 0.24621139466762543, ""3"": 0.24155376851558685, ""10"": 0.24065442383289337, ""30"": 0.24680712819099426, ""45"": 0.25409257411956787, ""65"": 0.2626778185367584, ""90"": 0.2725512981414795}",12.069878578186035,0.24065442870989556,0.64529010512731,16416,0.3376895533661351,0.7126499067294789
tirex,wind_farms_hourly,5,L5,block_depth,True,0.4166666666666667,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.24378766119480133,"{""1e-05"": 0.25584176182746887, ""0.0001"": 0.2563619017601013, ""0.001"": 0.2564021348953247, ""0.01"": 0.2560046315193176, ""0.1"": 0.2545585632324219, ""0.3"": 0.25204703211784363, ""1"": 0.24777691066265106, ""3"": 0.24378766119480133, ""10"": 0.24451854825019836, ""30"": 0.25281059741973877, ""45"": 0.2604596018791199, ""65"": 0.27069079875946045, ""90"": 0.2799992561340332}","{""1e-05"": 0.25584176182746887, ""0.0001"": 0.2563619017601013, ""0.001"": 0.2564021348953247, ""0.01"": 0.2560046315193176, ""0.1"": 0.2545585632324219, ""0.3"": 0.25204703211784363, ""1"": 0.24777691066265106, ""3"": 0.24378766119480133, ""10"": 0.24451854825019836, ""30"": 0.25281059741973877, ""45"": 0.2604596018791199, ""65"": 0.27069079875946045, ""90"": 0.2799992561340332}",12.060234069824219,0.24378766811218197,0.6493795365379512,16416,0.3376895533661351,0.7219283678813087
tirex,wind_farms_hourly,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.25380465388298035,"{""1e-05"": 0.26600292325019836, ""0.0001"": 0.26613205671310425, ""0.001"": 0.2655782401561737, ""0.01"": 0.2655850946903229, ""0.1"": 0.2650286853313446, ""0.3"": 0.26354822516441345, ""1"": 0.26012077927589417, ""3"": 0.25578147172927856, ""10"": 0.25380465388298035, ""30"": 0.2616855502128601, ""45"": 0.2689022123813629, ""65"": 0.27724915742874146, ""90"": 0.2872275412082672}","{""1e-05"": 0.26600292325019836, ""0.0001"": 0.26613205671310425, ""0.001"": 0.2655782401561737, ""0.01"": 0.2655850946903229, ""0.1"": 0.2650286853313446, ""0.3"": 0.26354822516441345, ""1"": 0.26012077927589417, ""3"": 0.25578147172927856, ""10"": 0.25380465388298035, ""30"": 0.2616855502128601, ""45"": 0.2689022123813629, ""65"": 0.27724915742874146, ""90"": 0.2872275412082672}",12.069684982299805,0.25380465279525244,0.6549893692846744,16416,0.3376895533661351,0.7515916624168363
tirex,wind_farms_hourly,7,L7,block_depth,True,0.5833333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.26128220558166504,"{""1e-05"": 0.2725832462310791, ""0.0001"": 0.2719598412513733, ""0.001"": 0.27217230200767517, ""0.01"": 0.27229997515678406, ""0.1"": 0.2716030180454254, ""0.3"": 0.26987433433532715, ""1"": 0.2664235234260559, ""3"": 0.26177385449409485, ""10"": 0.26128220558166504, ""30"": 0.267887681722641, ""45"": 0.2731952965259552, ""65"": 0.28108543157577515, ""90"": 0.28875303268432617}","{""1e-05"": 0.2725832462310791, ""0.0001"": 0.2719598412513733, ""0.001"": 0.27217230200767517, ""0.01"": 0.27229997515678406, ""0.1"": 0.2716030180454254, ""0.3"": 0.26987433433532715, ""1"": 0.2664235234260559, ""3"": 0.26177385449409485, ""10"": 0.26128220558166504, ""30"": 0.267887681722641, ""45"": 0.2731952965259552, ""65"": 0.28108543157577515, ""90"": 0.28875303268432617}",12.067669868469238,0.26128222529584444,0.658663063551804,16416,0.3376895533661351,0.7737349962157488
tirex,wind_farms_hourly,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.2539454996585846,"{""1e-05"": 0.2676534354686737, ""0.0001"": 0.26831120252609253, ""0.001"": 0.2677827775478363, ""0.01"": 0.26817914843559265, ""0.1"": 0.2671872675418854, ""0.3"": 0.26604199409484863, ""1"": 0.2621835470199585, ""3"": 0.25725260376930237, ""10"": 0.2539454996585846, ""30"": 0.25942888855934143, ""45"": 0.2656034529209137, ""65"": 0.27349627017974854, ""90"": 0.28296351432800293}","{""1e-05"": 0.2676534354686737, ""0.0001"": 0.26831120252609253, ""0.001"": 0.2677827775478363, ""0.01"": 0.26817914843559265, ""0.1"": 0.2671872675418854, ""0.3"": 0.26604199409484863, ""1"": 0.2621835470199585, ""3"": 0.25725260376930237, ""10"": 0.2539454996585846, ""30"": 0.25942888855934143, ""45"": 0.2656034529209137, ""65"": 0.27349627017974854, ""90"": 0.28296351432800293}",12.056900978088379,0.25394549835046737,0.6605678639367564,16416,0.3376895533661351,0.7520087483284701
tirex,wind_farms_hourly,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.25435110926628113,"{""1e-05"": 0.2672884464263916, ""0.0001"": 0.2673015892505646, ""0.001"": 0.2675301134586334, ""0.01"": 0.2675754427909851, ""0.1"": 0.26595616340637207, ""0.3"": 0.2653237283229828, ""1"": 0.2617442011833191, ""3"": 0.25718119740486145, ""10"": 0.25435110926628113, ""30"": 0.2580322325229645, ""45"": 0.26300373673439026, ""65"": 0.26979535818099976, ""90"": 0.2783336043357849}","{""1e-05"": 0.2672884464263916, ""0.0001"": 0.2673015892505646, ""0.001"": 0.2675301134586334, ""0.01"": 0.2675754427909851, ""0.1"": 0.26595616340637207, ""0.3"": 0.2653237283229828, ""1"": 0.2617442011833191, ""3"": 0.25718119740486145, ""10"": 0.25435110926628113, ""30"": 0.2580322325229645, ""45"": 0.26300373673439026, ""65"": 0.26979535818099976, ""90"": 0.2783336043357849}",12.040178298950195,0.25435111127111293,0.6498257470537574,16416,0.3376895533661351,0.7532098897810332
