model,dataset,display_name,geometry_variant,split,estimator,n_rows,feature_dim,null_floor_mean,null_floor_std,is_headline_estimator,is_headline_variant,axis,path,n_layers,labels,mean_offdiagonal_cka,mean_offdiagonal_above_null_floor,is_main_depth_axis
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,block_depth,chronos2/LOOP_SEATTLE_5T/cka/cka_unbiased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.7672634825092884,0.7678386211532799,True
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,with_head_input,chronos2/LOOP_SEATTLE_5T/cka/cka_unbiased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,block_depth,chronos2/LOOP_SEATTLE_5T/cka/cka_biased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.7678517356848977,0.3454009055286267,True
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,with_head_input,chronos2/LOOP_SEATTLE_5T/cka/cka_biased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,block_depth,chronos2/LOOP_SEATTLE_5T/cka/cka_unbiased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.701021004404916,0.7009422223521877,True
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,with_head_input,chronos2/LOOP_SEATTLE_5T/cka/cka_unbiased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,block_depth,chronos2/LOOP_SEATTLE_5T/cka/cka_biased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.7012021845111613,0.5800715500947066,True
chronos2,LOOP_SEATTLE_5T,Loop Seattle,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,with_head_input,chronos2/LOOP_SEATTLE_5T/cka/cka_biased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,headline,test,unbiased,262,1280,0.0033159827594816064,0.003989965507240931,True,True,block_depth,timesfm3/LOOP_SEATTLE_5T/cka/cka_unbiased_headline_test.npy,21,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L13|L14|L15|L16|L17|L18|L19|L20,0.7717065190005753,0.7683905362410937,True
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,headline,test,biased,262,1280,0.8304606782265673,0.0006649903837003008,False,True,block_depth,timesfm3/LOOP_SEATTLE_5T/cka/cka_biased_headline_test.npy,21,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L13|L14|L15|L16|L17|L18|L19|L20,0.7805506867970794,-0.04990999142948793,True
