model,dataset,display_name,definition,tolerance,is_headline_tolerance,tunnel_layer,tunnel_index,tunnel_depth_axis_index,normalized_tunnel,n_depth_points,reference_layer,val_ratio_at_tunnel,test_ratio_at_tunnel,suffix_excursion_at_tunnel,first_crossing_layer,first_crossing_depth_axis_index,sustained_minus_first_crossing,headline_val_ratio_at_tunnel,headline_test_ratio_at_tunnel
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0380190869022456,0.9411339033537747
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0380190869022456,0.9411339033537747
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L9,9,9,0.75,13,L12,1.0380190869022456,0.9411339033537747,0.03801908690224565,L9,9,0,1.0380190869022456,0.9411339033537747
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L8,8,8,0.6666666666666666,13,L12,1.0677781027480122,0.9206224278633974,0.06777810274801221,L8,8,0,1.0380190869022456,0.9411339033537747
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L17,17,17,0.85,21,L20,1.0069391608302627,0.9632307529383947,0.006939160830262692,L17,17,0,1.0373248593762732,0.8686673137852695
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L17,17,17,0.85,21,L20,1.0069391608302627,0.9632307529383947,0.006939160830262692,L17,17,0,1.0373248593762732,0.8686673137852695
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L10,10,10,0.5,21,L20,1.0373248593762732,0.8686673137852695,0.043077592820323085,L4,4,6,1.0373248593762732,0.8686673137852695
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L1,1,1,0.05,21,L20,1.0613022978536466,1.075481447567645,0.0613022978536466,L1,1,0,1.0373248593762732,0.8686673137852695
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,0.989292470394474,0.9735533971157831,0.0,L11,11,0,1.0452684773126983,0.990482159724406
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L10,10,10,0.8333333333333334,13,L12,1.0178110101060094,0.9432535968765962,0.017811010106009384,L10,10,0,1.0452684773126983,0.990482159724406
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L9,9,9,0.75,13,L12,1.0452684773126983,0.990482159724406,0.04526847731269834,L9,9,0,1.0452684773126983,0.990482159724406
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L6,6,6,0.5,13,L12,1.0862485604397105,0.9169707701884012,0.08624856043971052,L6,6,0,1.0452684773126983,0.990482159724406
