model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,coastal_ts,Coastal T-S,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.3240008478078302,0.3270370727404952,0.32671686882774037,1.5988196840485005,1.6400767085689163,0.5988196840485005,0.6400767085689163,1e-05,False,True,110736,False,False,False,False,False,False,False,False,0.32671686882774037,0.2888656203945478,0.3704610351395483,-0.1275085835562398,-0.1807169777826251,-0.08222150550379109,2.4473422509822353,1.736431970712826,3.2487704757153004,-1.231185015414858,-1.8789657031921856,-0.6665847599463087,0.5259480182874796,0.4115227741881828,0.6623966303118952,-0.21291489324225216,-0.3110751304450433,-0.13361258681642565,0.12992987429111863,0.10078838429258637,0.16577468371087914,-0.0510114475661588,-0.07328501901783878,-0.03272997850580359,2.4473422509822353,0.5259480182874796,0.12992987429111863
chronos2,coastal_ts,Coastal T-S,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,True,False,False,0.19382310442230966,0.21075844888885817,0.2042442476376891,1.0303564480911884,1.0252798841138813,0.030356448091188426,0.025279884113881268,30.0,False,False,110736,False,False,True,True,False,False,True,True,0.2042442476376891,0.1805913420782114,0.2271970714908093,-0.005035962366188557,-0.018756702278430265,0.0091849697889605,1.2868174468273865,1.0901432156507498,1.5128423762430676,-0.07066021126000921,-0.1853654706882654,0.032542668899816336,0.33444198666593056,0.25572955730288344,0.42470029080676575,-0.0214088616207031,-0.04447076099296589,0.00011938750574540453,0.08356359502839723,0.06378169744552303,0.10690624891400792,-0.004645168303437405,-0.009450495480100829,0.00022028815928148927,1.2868174468273865,0.33444198666593056,0.08356359502839723
chronos2,coastal_ts,Coastal T-S,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.19039036616298186,0.20983863373597464,0.20208714219431081,1.0258596534012383,1.014451491909017,0.025859653401238303,0.02006597208644756,45.0,False,False,110736,False,False,False,False,False,False,False,False,0.20208714219431081,0.17830752489777904,0.2247355092316866,-0.002878856922810258,-0.014149608206935218,0.0084759146188541,1.266781107967721,1.0717701009655598,1.493527754039106,-0.050623872400343606,-0.1278114857380733,0.025147119638035807,0.329435652830247,0.2520347530800734,0.4211060885426512,-0.01640252778501955,-0.03351960379487867,-0.00030034631791069966,0.0818158496283713,0.06248228369495179,0.10514634800533088,-0.0028974229034114674,-0.006877287434596307,0.0013130156762151002,1.266781107967721,0.329435652830247,0.0818158496283713
chronos2,coastal_ts,Coastal T-S,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.18986879878141616,0.20778240667035183,0.2026865166456749,1.0158071652235456,1.0174602746539074,0.01580716522354564,0.02006597208644756,65.0,False,False,110736,False,True,False,False,False,True,False,False,0.2026865166456749,0.17893790086964145,0.2249263046425767,-0.0034782313741743565,-0.014110942623422792,0.007460955965022224,1.27638721184924,1.077451234864456,1.5086488101044422,-0.060229976281862774,-0.13303981502717052,0.013020365686907547,0.33017051184035767,0.25331591960256145,0.42124009562634124,-0.017137386795130216,-0.03461011310044512,-8.518793832502148e-05,0.08088988035084453,0.06188321636858429,0.1036678228619111,-0.001971453625884703,-0.005874869118096434,0.002470543871005933,1.27638721184924,0.33017051184035767,0.08088988035084453
chronos2,coastal_ts,Coastal T-S,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.18068061868554594,0.2042278852313757,0.19819959967086712,0.9984298116520227,0.9949365278695176,0.008741860988544348,0.02006597208644756,30.0,False,False,110736,True,False,False,False,True,False,False,False,0.19819959967086712,0.1716251787613146,0.22316783101608353,0.001008685600633441,-0.008981826272793123,0.011989126759969285,1.217133693968533,1.025654242990382,1.4332552688479467,-0.0009764584011557886,-0.07499094991969985,0.0731224074348114,0.32150715931494417,0.24330217572442156,0.4149422981239767,-0.008474034269716713,-0.024599928496087855,0.006748660236016846,0.08015317618707378,0.06017055866470064,0.10375347728901217,-0.0012347494621139515,-0.00528378186227301,0.0031327116412962117,1.217133693968533,0.32150715931494417,0.08015317618707378
chronos2,coastal_ts,Coastal T-S,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.1784893929840759,0.20196371455676854,0.19850253321540853,0.9873607282228185,0.9964572153455858,0.008741860988544348,0.02006597208644756,45.0,False,False,110736,False,False,False,False,False,False,False,False,0.19850253321540853,0.17178614092602706,0.22431802600622178,0.0007057520560920238,-0.007879819798593729,0.010438486619386822,1.24176233319675,1.0267317513051215,1.501644228856934,-0.025605097629372686,-0.09212128629201874,0.037677482114788906,0.32143509676744625,0.2463685283312655,0.41045238144815843,-0.008401971722218793,-0.022040125836574366,0.004888471920216711,0.07941122361931653,0.06060896671043062,0.10138372352525067,-0.0004927968943567035,-0.00371938483134025,0.002929030679151656,1.24176233319675,0.32143509676744625,0.07941122361931653
chronos2,coastal_ts,Coastal T-S,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.17782571877872672,0.20449764048680663,0.20006900109971562,0.9997485918399825,1.0043206828824514,0.008741860988544348,0.02006597208644756,45.0,False,False,110736,False,False,False,False,False,False,False,False,0.20006900109971562,0.17388768324162812,0.22572872997261584,-0.000860715828215064,-0.009945913555566203,0.00956559761737781,1.2651364458019647,1.040677920008158,1.5272986994302062,-0.0489792102345874,-0.13843833476816864,0.024240150529680118,0.32413518938513025,0.25051206501680584,0.4085738622992944,-0.011102064339902795,-0.028227567463126803,0.004541052573325307,0.07969772105319164,0.06127787749870264,0.10056782153399596,-0.0007792943282318165,-0.004066972924156472,0.0028943213513292214,1.2651364458019647,0.32413518938513025,0.07969772105319164
chronos2,coastal_ts,Coastal T-S,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.17354373963899813,0.20402823792149624,0.1992524736560881,0.9974537753689562,1.0002218200137978,0.008741860988544348,0.02006597208644756,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.1992524736560881,0.17306557894141103,0.2240626181437013,-4.4188384587556806e-05,-0.009522746553799775,0.01033928728817651,1.2612788930723842,1.0494577464208388,1.5091137630089553,-0.04512165750500685,-0.13492810027533655,0.03170010178973806,0.3213099903880096,0.2515195260562616,0.39934792879938763,-0.008276865342782158,-0.02857448632408162,0.01295215354076832,0.07898886180578372,0.061156747251746475,0.09873623995519322,-7.043508082389682e-05,-0.004099634826665477,0.004470698256451528,1.2612788930723842,0.3213099903880096,0.07898886180578372
chronos2,coastal_ts,Coastal T-S,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.17201926135905674,0.20488322006228069,0.20130545110441744,1.0016336142622697,1.010527503060722,0.008741860988544348,0.02006597208644756,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.20130545110441744,0.17582168139633722,0.22578831523812065,-0.0020971658329168863,-0.00943325415137224,0.005430315774477378,1.2757056467077617,1.052513106345566,1.5332768210786734,-0.05954841114038434,-0.12325907431043823,-0.00782426000649767,0.32391475151157706,0.24914630955121367,0.41101770242420266,-0.010881626466349603,-0.023262288810418575,0.0006845366556276104,0.07951097546299463,0.0610372671580709,0.10085323350596374,-0.0005925487380347982,-0.0032780622192074877,0.0020855685063872627,1.2757056467077617,0.32391475151157706,0.07951097546299463
chronos2,coastal_ts,Coastal T-S,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.17199465266724184,0.2056123187455038,0.20320559316314757,1.0051980337838324,1.0200659720864476,0.008741860988544348,0.02006597208644756,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.20320559316314757,0.1757949682942126,0.23008420619104675,-0.003997307891647012,-0.010169692845859866,0.0023669238590324757,1.2572762941566917,1.0403391023746709,1.5105495093443617,-0.04111905858931442,-0.10335595007474299,0.01818079569718145,0.3226399444783597,0.2441969533290065,0.41809328669450185,-0.009606819433132241,-0.023442728334302967,0.003160852806714559,0.08022680590328789,0.060140532144684365,0.10455250886458793,-0.001308379178328059,-0.004754260885243616,0.0025681458842497385,1.2572762941566917,0.3226399444783597,0.08022680590328789
