model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,electricity_15min,0,Emb,block_depth,True,0.0,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.0001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.28593169318305117,"{""1e-05"": 5.150057792663574, ""0.0001"": 5.164464950561523, ""0.001"": 5.156740665435791, ""0.01"": 5.146770477294922, ""0.1"": 5.157248020172119, ""0.3"": 5.176008701324463, ""1"": 5.180887699127197, ""3"": 5.178527355194092, ""10"": 5.226382732391357, ""30"": 5.408897399902344, ""45"": 5.360654354095459, ""65"": 5.6239142417907715, ""90"": 5.522255897521973}","{""1e-05"": 0.28611432181464297, ""0.0001"": 0.2869147194756402, ""0.001"": 0.2864855925242106, ""0.01"": 0.28593169318305117, ""0.1"": 0.28651377889845103, ""0.3"": 0.2875560389624701, ""1"": 0.2878270943959554, ""3"": 0.2876959641774495, ""10"": 0.29035459624396426, ""30"": 0.3004942999945746, ""45"": 0.29781413078308105, ""65"": 0.3124396800994873, ""90"": 0.30679199430677623}",0.26882651500628363,0.2859317094428849,0.27308198331876565,110736,0.28551934460419737,1.0014442623467743
chronos2,electricity_15min,1,L1,block_depth,True,0.08333333333333333,0.1,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1702739530139499,"{""1e-05"": 3.101978302001953, ""0.0001"": 3.1024677753448486, ""0.001"": 3.0930991172790527, ""0.01"": 3.090057134628296, ""0.1"": 3.0649311542510986, ""0.3"": 3.082859754562378, ""1"": 3.1161229610443115, ""3"": 3.144150972366333, ""10"": 3.239832878112793, ""30"": 3.500540018081665, ""45"": 3.6248462200164795, ""65"": 3.746811628341675, ""90"": 3.937065839767456}","{""1e-05"": 0.17233212788899738, ""0.0001"": 0.1723593208524916, ""0.001"": 0.17183883984883624, ""0.01"": 0.1716698408126831, ""0.1"": 0.1702739530139499, ""0.3"": 0.17126998636457655, ""1"": 0.17311794228023952, ""3"": 0.17467505402035183, ""10"": 0.17999071545071071, ""30"": 0.19447444544898138, ""45"": 0.20138034555647108, ""65"": 0.20815620157453749, ""90"": 0.21872587998708087}",0.1571803846512754,0.17027396262260794,0.18456167559928566,110736,0.28551934460419737,0.5963657658946054
chronos2,electricity_15min,2,L2,block_depth,True,0.16666666666666666,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11919928921593559,"{""1e-05"": 2.1768798828125, ""0.0001"": 2.1935458183288574, ""0.001"": 2.1954381465911865, ""0.01"": 2.1961796283721924, ""0.1"": 2.187664031982422, ""0.3"": 2.168208599090576, ""1"": 2.145587205886841, ""3"": 2.171147346496582, ""10"": 2.1921746730804443, ""30"": 2.2981326580047607, ""45"": 2.3634579181671143, ""65"": 2.4603381156921387, ""90"": 2.6550562381744385}","{""1e-05"": 0.1209377712673611, ""0.0001"": 0.1218636565738254, ""0.001"": 0.12196878592173258, ""0.01"": 0.12200997935401069, ""0.1"": 0.1215368906656901, ""0.3"": 0.12045603328280978, ""1"": 0.11919928921593559, ""3"": 0.12061929702758789, ""10"": 0.12178748183780246, ""30"": 0.12767403655582005, ""45"": 0.1313032176759508, ""65"": 0.13668545087178546, ""90"": 0.14750312434302434}",0.11968529744707102,0.11919929189536407,0.15860741818679197,110736,0.28551934460419737,0.4174823673002076
chronos2,electricity_15min,3,L3,block_depth,True,0.25,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11390478081173366,"{""1e-05"": 2.082202196121216, ""0.0001"": 2.109625816345215, ""0.001"": 2.1040971279144287, ""0.01"": 2.0938785076141357, ""0.1"": 2.081681728363037, ""0.3"": 2.061704635620117, ""1"": 2.0697011947631836, ""3"": 2.050286054611206, ""10"": 2.0766448974609375, ""30"": 2.152777910232544, ""45"": 2.1822190284729004, ""65"": 2.255279779434204, ""90"": 2.331108808517456}","{""1e-05"": 0.11567789978451198, ""0.0001"": 0.11720143424140082, ""0.001"": 0.11689428488413492, ""0.01"": 0.11632658375634086, ""0.1"": 0.11564898490905762, ""0.3"": 0.11453914642333984, ""1"": 0.11498339970906575, ""3"": 0.11390478081173366, ""10"": 0.11536916097005208, ""30"": 0.11959877279069688, ""45"": 0.12123439047071669, ""65"": 0.125293321079678, ""90"": 0.12950604491763645}",0.11286890435124744,0.11390477733132039,0.1521906481899378,110736,0.28551934460419737,0.3989389142414202
chronos2,electricity_15min,4,L4,block_depth,True,0.3333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1167851554022895,"{""1e-05"": 2.1462855339050293, ""0.0001"": 2.148646593093872, ""0.001"": 2.1509857177734375, ""0.01"": 2.1486806869506836, ""0.1"": 2.139417886734009, ""0.3"": 2.119729995727539, ""1"": 2.1205880641937256, ""3"": 2.102132797241211, ""10"": 2.1322710514068604, ""30"": 2.2031984329223633, ""45"": 2.2486865520477295, ""65"": 2.2569284439086914, ""90"": 2.517763137817383}","{""1e-05"": 0.11923808521694607, ""0.0001"": 0.11936925517188178, ""0.001"": 0.11949920654296875, ""0.01"": 0.11937114927503797, ""0.1"": 0.11885654926300049, ""0.3"": 0.11776277754041883, ""1"": 0.11781044801076253, ""3"": 0.1167851554022895, ""10"": 0.11845950285593668, ""30"": 0.12239991294013129, ""45"": 0.1249270306693183, ""65"": 0.12538491355048284, ""90"": 0.13987572987874347}",0.11205218734227687,0.11678514532915509,0.1504146782894626,110736,0.28551934460419737,0.4090270853312902
chronos2,electricity_15min,5,L5,block_depth,True,0.4166666666666667,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11548195944892035,"{""1e-05"": 2.0858123302459717, ""0.0001"": 2.1098692417144775, ""0.001"": 2.095125913619995, ""0.01"": 2.0967140197753906, ""0.1"": 2.0886754989624023, ""0.3"": 2.0895330905914307, ""1"": 2.0822219848632812, ""3"": 2.0786752700805664, ""10"": 2.116511821746826, ""30"": 2.1762771606445312, ""45"": 2.2238762378692627, ""65"": 2.2440202236175537, ""90"": 2.466972589492798}","{""1e-05"": 0.11587846279144287, ""0.0001"": 0.11721495787302652, ""0.001"": 0.11639588408999972, ""0.01"": 0.11648411220974392, ""0.1"": 0.11603752772013345, ""0.3"": 0.11608517169952393, ""1"": 0.11567899915907118, ""3"": 0.11548195944892035, ""10"": 0.1175839900970459, ""30"": 0.12090428670247395, ""45"": 0.1235486798816257, ""65"": 0.1246677902009752, ""90"": 0.13705403274959987}",0.10847630689837241,0.11548195861791836,0.14879764717441935,110736,0.28551934460419737,0.4044628176700455
chronos2,electricity_15min,6,L6,block_depth,True,0.5,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11493872271643744,"{""1e-05"": 2.0872833728790283, ""0.0001"": 2.1188607215881348, ""0.001"": 2.0966663360595703, ""0.01"": 2.1175732612609863, ""0.1"": 2.1048648357391357, ""0.3"": 2.0939817428588867, ""1"": 2.068897008895874, ""3"": 2.0842392444610596, ""10"": 2.0910656452178955, ""30"": 2.1574759483337402, ""45"": 2.2107391357421875, ""65"": 2.244623899459839, ""90"": 2.492178440093994}","{""1e-05"": 0.11596018738216823, ""0.0001"": 0.11771448453267415, ""0.001"": 0.11648146311442056, ""0.01"": 0.11764295895894368, ""0.1"": 0.11693693531884086, ""0.3"": 0.11633231904771592, ""1"": 0.11493872271643744, ""3"": 0.11579106913672553, ""10"": 0.1161703136232164, ""30"": 0.11985977490743001, ""45"": 0.12281884087456596, ""65"": 0.12470132774776882, ""90"": 0.13845435778299967}",0.10466539081041748,0.1149387267766563,0.1509359432028905,110736,0.28551934460419737,0.4025602080867434
chronos2,electricity_15min,7,L7,block_depth,True,0.5833333333333334,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11662415663401285,"{""1e-05"": 2.1447877883911133, ""0.0001"": 2.1271231174468994, ""0.001"": 2.135141134262085, ""0.01"": 2.1269824504852295, ""0.1"": 2.1371712684631348, ""0.3"": 2.0992348194122314, ""1"": 2.1229403018951416, ""3"": 2.1030492782592773, ""10"": 2.14408802986145, ""30"": 2.212609052658081, ""45"": 2.273045301437378, ""65"": 2.298182487487793, ""90"": 2.544435977935791}","{""1e-05"": 0.11915487713283962, ""0.0001"": 0.11817350652482773, ""0.001"": 0.11861895190344916, ""0.01"": 0.11816569169362386, ""0.1"": 0.11873173713684082, ""0.3"": 0.11662415663401285, ""1"": 0.11794112788306342, ""3"": 0.1168360710144043, ""10"": 0.11911600165896945, ""30"": 0.12292272514767116, ""45"": 0.12628029452429876, ""65"": 0.12767680486043292, ""90"": 0.14135755432976616}",0.10324959168972253,0.11662415133519027,0.15988376809156124,110736,0.28551934460419737,0.40846322163165893
chronos2,electricity_15min,8,L8,block_depth,True,0.6666666666666666,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11615508132510714,"{""1e-05"": 2.191274881362915, ""0.0001"": 2.1986477375030518, ""0.001"": 2.2021942138671875, ""0.01"": 2.1926417350769043, ""0.1"": 2.181367874145508, ""0.3"": 2.1607255935668945, ""1"": 2.140390157699585, ""3"": 2.0907914638519287, ""10"": 2.1620898246765137, ""30"": 2.157909870147705, ""45"": 2.2169902324676514, ""65"": 2.237727403640747, ""90"": 2.4275474548339844}","{""1e-05"": 0.12173749340905082, ""0.0001"": 0.12214709652794731, ""0.001"": 0.12234412299262153, ""0.01"": 0.12181342972649467, ""0.1"": 0.12118710411919487, ""0.3"": 0.12004031075371635, ""1"": 0.1189105643166436, ""3"": 0.11615508132510714, ""10"": 0.12011610137091742, ""30"": 0.1198838816748725, ""45"": 0.12316612402598062, ""65"": 0.12431818909115261, ""90"": 0.1348637474907769}",0.10408268725149429,0.11615509050720521,0.1604076392294569,110736,0.28551934460419737,0.4068203878382594
chronos2,electricity_15min,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11250166098276773,"{""1e-05"": 2.118572473526001, ""0.0001"": 2.132275104522705, ""0.001"": 2.1080493927001953, ""0.01"": 2.1339657306671143, ""0.1"": 2.1077566146850586, ""0.3"": 2.1013271808624268, ""1"": 2.0728538036346436, ""3"": 2.0427911281585693, ""10"": 2.0250298976898193, ""30"": 2.059682607650757, ""45"": 2.079711437225342, ""65"": 2.131321668624878, ""90"": 2.305480480194092}","{""1e-05"": 0.11769847075144449, ""0.0001"": 0.11845972802903916, ""0.001"": 0.11711385515001084, ""0.01"": 0.11855365170372856, ""0.1"": 0.11709758970472547, ""0.3"": 0.11674039893680148, ""1"": 0.11515854464636908, ""3"": 0.1134883960088094, ""10"": 0.11250166098276773, ""30"": 0.11442681153615315, ""45"": 0.11553952429029676, ""65"": 0.11840675936804877, ""90"": 0.12808224889967176}",0.10501767725415175,0.11250167150931958,0.1637011545760031,110736,0.28551934460419737,0.39402469091989406
chronos2,electricity_15min,10,L10,block_depth,True,0.8333333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.10787079731623331,"{""1e-05"": 2.049596071243286, ""0.0001"": 2.061678171157837, ""0.001"": 2.04972243309021, ""0.01"": 2.0851082801818848, ""0.1"": 2.0388998985290527, ""0.3"": 2.022519111633301, ""1"": 2.003324270248413, ""3"": 1.9716957807540894, ""10"": 1.9416743516921997, ""30"": 1.9852575063705444, ""45"": 1.9939807653427124, ""65"": 2.0385303497314453, ""90"": 2.219085216522217}","{""1e-05"": 0.11386644840240479, ""0.0001"": 0.11453767617543538, ""0.001"": 0.11387346850501166, ""0.01"": 0.1158393488989936, ""0.1"": 0.11327221658494736, ""0.3"": 0.1123621728685167, ""1"": 0.1112957927915785, ""3"": 0.10953865448633829, ""10"": 0.10787079731623331, ""30"": 0.11029208368725246, ""45"": 0.11077670918570624, ""65"": 0.1132516860961914, ""90"": 0.12328251202901204}",0.10288298659432824,0.10787079314068529,0.16336293676370428,110736,0.28551934460419737,0.37780555040927866
chronos2,electricity_15min,11,L11,block_depth,True,0.9166666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.10646812783347236,"{""1e-05"": 2.046797275543213, ""0.0001"": 2.0417842864990234, ""0.001"": 2.0261518955230713, ""0.01"": 2.0405678749084473, ""0.1"": 2.0464415550231934, ""0.3"": 1.9982428550720215, ""1"": 1.9750338792800903, ""3"": 1.9394115209579468, ""10"": 1.9164263010025024, ""30"": 1.9315866231918335, ""45"": 1.9394762516021729, ""65"": 1.9623690843582153, ""90"": 2.2052760124206543}","{""1e-05"": 0.11371095975240071, ""0.0001"": 0.11343246036105685, ""0.001"": 0.11256399419572617, ""0.01"": 0.11336488193935818, ""0.1"": 0.11369119750128852, ""0.3"": 0.11101349194844563, ""1"": 0.10972410440444946, ""3"": 0.1077450844976637, ""10"": 0.10646812783347236, ""30"": 0.10731036795510185, ""45"": 0.10774868064456515, ""65"": 0.10902050468656752, ""90"": 0.12251533402336967}",0.10554165057196593,0.10646812491232657,0.16629459332134433,110736,0.28551934460419737,0.3728928597111994
chronos2,electricity_15min,12,L12,block_depth,True,1.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.10523015260696411,"{""1e-05"": 1.9967126846313477, ""0.0001"": 2.006732225418091, ""0.001"": 1.9814255237579346, ""0.01"": 1.9646352529525757, ""0.1"": 1.9586567878723145, ""0.3"": 2.000359058380127, ""1"": 1.944686770439148, ""3"": 1.894142746925354, ""10"": 1.8963751792907715, ""30"": 1.9057389497756958, ""45"": 1.9736137390136719, ""65"": 1.9728882312774658, ""90"": 2.1476240158081055}","{""1e-05"": 0.11092848247951931, ""0.0001"": 0.11148512363433838, ""0.001"": 0.11007919576432969, ""0.01"": 0.10914640294180976, ""0.1"": 0.10881426599290635, ""0.3"": 0.11113105879889594, ""1"": 0.10803815391328599, ""3"": 0.10523015260696411, ""10"": 0.10535417662726508, ""30"": 0.10587438609864976, ""45"": 0.10964520772298177, ""65"": 0.10960490173763698, ""90"": 0.11931244532267252}",0.10412893707528603,0.10523015394351865,0.16506420983044245,110736,0.28551934460419737,0.36855700299184446
chronos2,electricity_15min,13,L12+LN,head_input_diagnostic,False,,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.09841133488549125,"{""1e-05"": 1.9316868782043457, ""0.0001"": 1.932544231414795, ""0.001"": 1.949002742767334, ""0.01"": 1.9194799661636353, ""0.1"": 1.9372905492782593, ""0.3"": 1.8841160535812378, ""1"": 1.8511539697647095, ""3"": 1.8059443235397339, ""10"": 1.8244507312774658, ""30"": 1.7714040279388428, ""45"": 1.8479318618774414, ""65"": 1.8233110904693604, ""90"": 1.9838026762008667}","{""1e-05"": 0.1073159376780192, ""0.0001"": 0.10736356841193305, ""0.001"": 0.10827793015374076, ""0.01"": 0.10663777589797974, ""0.1"": 0.10762725273768106, ""0.3"": 0.10467311408784653, ""1"": 0.10284188720915052, ""3"": 0.10033024019665188, ""10"": 0.10135837395985921, ""30"": 0.09841133488549125, ""45"": 0.1026628812154134, ""65"": 0.10129506058163112, ""90"": 0.11021125978893703}",0.10244934663171192,0.09841133322822683,0.1599371440296296,110736,0.28551934460419737,0.34467483583170183
