model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,monash_london_smart_meters,London Smart Meters,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.21300940561927373,0.21226921785651273,0.2067720571262691,1.356104717660309,1.3973385195918568,0.35610471766030893,0.39733851959185684,3.0,False,False,110736,False,False,False,False,False,False,False,False,0.2067720571262691,0.19963089682104934,0.21420700727243913,-0.05879642042324287,-0.06365054619057772,-0.054192577891464096,1.151111012585685,1.0271329255194874,1.328559464975391,-0.3043691351970327,-0.35037308496263575,-0.26716779793803647,0.12898433433165363,0.11490195837737001,0.14420072502448036,-0.034430064380220365,-0.040142601678526804,-0.029462544899025032,4.589585163736072,4.335940982993495,4.858444458586345,-1.158668801137063,-1.2950757602797738,-1.0238665427116693,1.151111012585685,0.12898433433165363,4.589585163736072
chronos2,monash_london_smart_meters,London Smart Meters,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.19239655984204845,0.19499634529058715,0.1891443885237206,1.2457551144030399,1.278213040592056,0.24575511440303988,0.278213040592056,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.1891443885237206,0.181850790743581,0.19670623243210536,-0.04116875182069438,-0.045789225252330985,-0.0367003132315452,1.0691356079661727,0.9472609339937443,1.244029896300541,-0.22239373057752043,-0.26321714099585364,-0.18850104225643835,0.11924115422335599,0.10624926701307143,0.1333557294210608,-0.024686884271922727,-0.02974873385193247,-0.020229074091478352,4.208065049700372,3.989819379273468,4.435426601451327,-0.7771486871013629,-0.8967063054082667,-0.6584432153684293,1.0691356079661727,0.11924115422335599,4.208065049700372
chronos2,monash_london_smart_meters,London Smart Meters,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.16479534908348809,0.171000411008833,0.15863988696391346,1.0924545086310327,1.072067608550247,0.09245450863103266,0.07206760855024696,3.0,False,False,110736,False,False,False,True,False,False,False,True,0.15863988696391346,0.15224442382179598,0.1653730124704369,-0.010664250260887242,-0.013490611181829053,-0.007789857120373996,0.913613640497813,0.7969204258867625,1.0870341888594157,-0.06687176310916076,-0.09105338382198193,-0.04643439455778642,0.10157411744229132,0.08979936041669051,0.11488094757901268,-0.007019847490858058,-0.009732104865596313,-0.00460701666048975,3.6565131226246836,3.434428701992929,3.901521065563307,-0.2255967600256743,-0.2993429801983884,-0.15442036243600504,0.913613640497813,0.10157411744229132,3.6565131226246836
chronos2,monash_london_smart_meters,London Smart Meters,3,L3,block,block_depth,True,3,0.25,0.25,True,False,False,0.15820384649439598,0.16229007988883795,0.15288088777820572,1.0368076218921685,1.033149045237926,0.03680762189216846,0.033149045237925945,10.0,False,False,110736,False,False,True,False,False,False,True,False,0.15288088777820572,0.14659668134013545,0.15938896049588974,-0.004905251075179501,-0.007203162502042425,-0.0025582201096392737,0.8846150191365153,0.7697737328563928,1.0579771794502875,-0.03787314174786305,-0.05528326122059481,-0.02261942915426972,0.09839320216695145,0.08704937760871309,0.11122067696932808,-0.00383893221551819,-0.005953558992237257,-0.0019161252029791052,3.534058783405235,3.3176569555623163,3.7689196046838473,-0.10314242080622549,-0.16375450651543894,-0.0433742623593813,0.8846150191365153,0.09839320216695145,3.534058783405235
chronos2,monash_london_smart_meters,London Smart Meters,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.15544001616596362,0.16007306193577425,0.15108318892769687,1.0226439643649634,1.0210004315163532,0.02264396436496341,0.021000431516353224,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.15108318892769687,0.14487531764027556,0.15761770341289408,-0.0031075522246706566,-0.0051782379804875866,-0.0009591500893348752,0.8769212643430642,0.762261985006952,1.0510985329997213,-0.030179386954411913,-0.046627118635327786,-0.015595974542329812,0.0973986857593182,0.08625563603317238,0.11000821287959323,-0.0028444158078849424,-0.004920771139362276,-0.00093522636021152,3.495518568629317,3.2818234465017952,3.7254982934481387,-0.06460220603030775,-0.1201032493844131,-0.008282638036842217,0.8769212643430642,0.0973986857593182,3.495518568629317
chronos2,monash_london_smart_meters,London Smart Meters,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.15632029591660032,0.15920261925669343,0.14997001865324172,1.0170830477352508,1.0134777723863966,0.017083047735250823,0.01347777238639658,30.0,False,False,110736,False,True,False,False,False,True,False,False,0.14997001865324172,0.1437703626646255,0.15643953088180426,-0.001994381950215507,-0.0038240670187412867,-0.00011118084924538275,0.8693524933519989,0.7549138260330306,1.0425175797751678,-0.02261061596334668,-0.03691678713171364,-0.009345956788461968,0.09719018692683251,0.08591202486076878,0.11006269317841262,-0.0026359169753992495,-0.004535684994254342,-0.0009192168857520157,3.486005059257754,3.2603555914681808,3.7365388358547946,-0.055088696658744496,-0.10467933107544164,-0.005310900311724993,0.8693524933519989,0.09719018692683251,3.486005059257754
chronos2,monash_london_smart_meters,London Smart Meters,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.15232219458844945,0.15879680114648953,0.14967386583790523,1.0144904351119193,1.0114764103923892,0.014598051490779973,0.011476410392389225,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.14967386583790523,0.1433269867229183,0.1562512974468067,-0.0016982291348790202,-0.003468935737272598,0.00014274365353957773,0.8639095730382395,0.7490252646745483,1.0373112041853325,-0.0171676956495872,-0.02927277044756351,-0.005601212925013432,0.09637611924124968,0.08520123321690709,0.10906513694882436,-0.0018218492898164212,-0.003470861602803567,-0.0002883101210115812,3.475798360939762,3.2494717187122104,3.726397865378701,-0.04488199834075246,-0.09151702293243949,0.00020145815606740226,0.8639095730382395,0.09637611924124968,3.475798360939762
chronos2,monash_london_smart_meters,London Smart Meters,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.15522250879176464,0.15881364619117658,0.14964085254277892,1.01459805149078,1.011253310861535,0.014598051490779973,0.011253310861534915,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.14964085254277892,0.1432892019323692,0.1562718199455812,-0.0016652158397527095,-0.00329943139546813,2.9286954068496936e-05,0.8614330528047578,0.747721593534566,1.0343066619654682,-0.01469117541610554,-0.026433813676438773,-0.003769618351562894,0.09630468537842089,0.08512501033086242,0.10889109308397202,-0.001750415426987631,-0.003362637746201521,-0.00024198173923179088,3.47475871658094,3.247633683201808,3.728661261290145,-0.04384235398193059,-0.08551982161013268,-0.0005342505904139645,0.8614330528047578,0.09630468537842089,3.47475871658094
chronos2,monash_london_smart_meters,London Smart Meters,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.1544529880748439,0.15813522422615126,0.149036358330996,1.0102638798354384,1.0071682180364498,0.010263879835438416,0.007168218036449847,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.149036358330996,0.14272999601751452,0.15561074253584023,-0.001060721627969774,-0.002693117300105346,0.0005093117368954817,0.8579959285125213,0.7436571285279936,1.0302282163219665,-0.011254051123869013,-0.022609189508716925,-0.00046553213420808535,0.09588236755345175,0.08470341810258261,0.10854885685127844,-0.001328097602018491,-0.002908569800567744,0.00017759194533899356,3.4596098004086984,3.2362243623746787,3.7069625016334817,-0.028693437809689026,-0.07147553426990641,0.014563624773839,0.8579959285125213,0.09588236755345175,3.4596098004086984
chronos2,monash_london_smart_meters,London Smart Meters,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.1523023886990919,0.15794581805448268,0.14888042955168787,1.009053838146175,1.006114471738868,0.009053838146175108,0.0061144717388679215,10.0,False,False,110736,True,False,False,False,True,False,False,False,0.14888042955168787,0.14252365260662242,0.15537943867077866,-0.0009047928486616563,-0.002136682464833594,0.0003646443203404334,0.8511461569340701,0.7372349540995752,1.0238131975263938,-0.0044042795454178885,-0.012838970357916257,0.0036655975925556634,0.09484372154348156,0.08381838080056297,0.10742359158645451,-0.0002894515920482954,-0.0015928338709960673,0.0009594603136951615,3.4438463658300664,3.2204330648822426,3.6846200242131792,-0.012930003231057086,-0.0450682369456026,0.019942388599082306,0.8511461569340701,0.09484372154348156,3.4438463658300664
