model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,monash_london_smart_meters,0,Emb,block_depth,True,0.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.212269213464525,"{""1e-05"": 3.8750879764556885, ""0.0001"": 3.873217821121216, ""0.001"": 3.8600330352783203, ""0.01"": 3.8573949337005615, ""0.1"": 3.8407909870147705, ""0.3"": 3.848827838897705, ""1"": 3.857121229171753, ""3"": 3.82084584236145, ""10"": 3.87239408493042, ""30"": 3.9077396392822266, ""45"": 3.982809066772461, ""65"": 3.980221748352051, ""90"": 4.325233459472656}","{""1e-05"": 0.21528266535864934, ""0.0001"": 0.21517876784006754, ""0.001"": 0.21444627973768446, ""0.01"": 0.21429971853892008, ""0.1"": 0.21337727705637613, ""0.3"": 0.21382376882765028, ""1"": 0.21428451273176405, ""3"": 0.212269213464525, ""10"": 0.21513300471835664, ""30"": 0.21709664662679035, ""45"": 0.22126717037624782, ""65"": 0.22112343046400282, ""90"": 0.2402907477484809}",0.21300940561927373,0.21226921785651273,0.2067720571262691,110736,0.202930832779362,1.0460175762808008
chronos2,monash_london_smart_meters,1,L1,block_depth,True,0.08333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1949963304731581,"{""1e-05"": 3.530808210372925, ""0.0001"": 3.5321054458618164, ""0.001"": 3.5192878246307373, ""0.01"": 3.5242464542388916, ""0.1"": 3.520773410797119, ""0.3"": 3.5214695930480957, ""1"": 3.5224013328552246, ""3"": 3.5127553939819336, ""10"": 3.5099339485168457, ""30"": 3.517751455307007, ""45"": 3.532518148422241, ""65"": 3.54543399810791, ""90"": 3.583127021789551}","{""1e-05"": 0.1961560116873847, ""0.0001"": 0.19622808032565645, ""0.001"": 0.19551599025726318, ""0.01"": 0.1957914696799384, ""0.1"": 0.19559852282206217, ""0.3"": 0.1956371996137831, ""1"": 0.19568896293640137, ""3"": 0.19515307744344074, ""10"": 0.1949963304731581, ""30"": 0.19543063640594482, ""45"": 0.19625100824568006, ""65"": 0.19696855545043945, ""90"": 0.19906261232164169}",0.19239655984204845,0.19499634529058715,0.1891443885237206,110736,0.202930832779362,0.9609005325602656
chronos2,monash_london_smart_meters,2,L2,block_depth,True,0.16666666666666666,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.17100041442447236,"{""1e-05"": 3.1148324012756348, ""0.0001"": 3.1145050525665283, ""0.001"": 3.1135995388031006, ""0.01"": 3.112147569656372, ""0.1"": 3.0952510833740234, ""0.3"": 3.102097749710083, ""1"": 3.0782241821289062, ""3"": 3.078007459640503, ""10"": 3.0816538333892822, ""30"": 3.091121196746826, ""45"": 3.105598211288452, ""65"": 3.137679100036621, ""90"": 3.1913795471191406}","{""1e-05"": 0.17304624451531303, ""0.0001"": 0.17302805847591823, ""0.001"": 0.1729777521557278, ""0.01"": 0.17289708720313177, ""0.1"": 0.17195839352077907, ""0.3"": 0.17233876387278238, ""1"": 0.171012454562717, ""3"": 0.17100041442447236, ""10"": 0.171202990743849, ""30"": 0.17172895537482366, ""45"": 0.17253323396046955, ""65"": 0.17431550555759004, ""90"": 0.17729886372884113}",0.16479534908348809,0.171000411008833,0.15863988696391346,110736,0.202930832779362,0.8426536700549316
chronos2,monash_london_smart_meters,3,L3,block_depth,True,0.25,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.16229008303748235,"{""1e-05"": 3.0116569995880127, ""0.0001"": 3.0069706439971924, ""0.001"": 3.004178762435913, ""0.01"": 3.0125763416290283, ""0.1"": 2.9901413917541504, ""0.3"": 2.97544527053833, ""1"": 2.9457778930664062, ""3"": 2.9238016605377197, ""10"": 2.9212214946746826, ""30"": 2.934792995452881, ""45"": 2.951890230178833, ""65"": 2.9769535064697266, ""90"": 3.0219082832336426}","{""1e-05"": 0.16731427775488958, ""0.0001"": 0.16705392466651067, ""0.001"": 0.1668988201353285, ""0.01"": 0.1673653523127238, ""0.1"": 0.1661189662085639, ""0.3"": 0.16530251502990723, ""1"": 0.16365432739257812, ""3"": 0.16243342558542886, ""10"": 0.16229008303748235, ""30"": 0.1630440553029378, ""45"": 0.16399390167660183, ""65"": 0.1653863059149848, ""90"": 0.16788379351298013}",0.15820384649439598,0.16229007988883795,0.15288088777820572,110736,0.202930832779362,0.7997310101481179
chronos2,monash_london_smart_meters,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.16007305516137016,"{""1e-05"": 2.9843809604644775, ""0.0001"": 2.9822232723236084, ""0.001"": 2.9787251949310303, ""0.01"": 2.99051570892334, ""0.1"": 2.9721457958221436, ""0.3"": 2.9489071369171143, ""1"": 2.9122002124786377, ""3"": 2.8893377780914307, ""10"": 2.881314992904663, ""30"": 2.8860678672790527, ""45"": 2.8950464725494385, ""65"": 2.919309139251709, ""90"": 2.9597320556640625}","{""1e-05"": 0.16579894224802652, ""0.0001"": 0.1656790706846449, ""0.001"": 0.1654847330517239, ""0.01"": 0.1661397616068522, ""0.1"": 0.16511921087900797, ""0.3"": 0.163828174273173, ""1"": 0.16178890069325763, ""3"": 0.16051876544952393, ""10"": 0.16007305516137016, ""30"": 0.16033710373772514, ""45"": 0.16083591514163545, ""65"": 0.16218384106953937, ""90"": 0.16442955864800346}",0.15544001616596362,0.16007306193577425,0.15108318892769687,110736,0.202930832779362,0.7888060170226318
chronos2,monash_london_smart_meters,5,L5,block_depth,True,0.4166666666666667,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1592026154200236,"{""1e-05"": 2.985607862472534, ""0.0001"": 2.992638349533081, ""0.001"": 2.984438180923462, ""0.01"": 2.9843201637268066, ""0.1"": 2.9690403938293457, ""0.3"": 2.9561305046081543, ""1"": 2.9119720458984375, ""3"": 2.8861513137817383, ""10"": 2.870713472366333, ""30"": 2.865647077560425, ""45"": 2.8690414428710938, ""65"": 2.893921375274658, ""90"": 2.9301400184631348}","{""1e-05"": 0.16586710347069633, ""0.0001"": 0.16625768608517116, ""0.001"": 0.16580212116241455, ""0.01"": 0.16579556465148926, ""0.1"": 0.16494668854607475, ""0.3"": 0.16422947247823078, ""1"": 0.1617762247721354, ""3"": 0.16034173965454102, ""10"": 0.1594840817981296, ""30"": 0.1592026154200236, ""45"": 0.15939119127061632, ""65"": 0.160773409737481, ""90"": 0.16278555658128527}",0.15632029591660032,0.15920261925669343,0.14997001865324172,110736,0.202930832779362,0.7845166605598451
chronos2,monash_london_smart_meters,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.15879681375291613,"{""1e-05"": 2.984309196472168, ""0.0001"": 2.9848642349243164, ""0.001"": 2.984766960144043, ""0.01"": 2.990172863006592, ""0.1"": 2.971670389175415, ""0.3"": 2.947018623352051, ""1"": 2.9150307178497314, ""3"": 2.881434202194214, ""10"": 2.8583426475524902, ""30"": 2.866885185241699, ""45"": 2.8642024993896484, ""65"": 2.881767749786377, ""90"": 2.9158847332000732}","{""1e-05"": 0.16579495535956487, ""0.0001"": 0.16582579082912868, ""0.001"": 0.16582038667466906, ""0.01"": 0.16612071461147732, ""0.1"": 0.16509279939863417, ""0.3"": 0.1637232568528917, ""1"": 0.16194615099165174, ""3"": 0.16007967789967853, ""10"": 0.15879681375291613, ""30"": 0.1592713991800944, ""45"": 0.15912236107720268, ""65"": 0.16009820832146537, ""90"": 0.16199359628889295}",0.15232219458844945,0.15879680114648953,0.14967386583790523,110736,0.202930832779362,0.7825168751913737
chronos2,monash_london_smart_meters,7,L7,block_depth,True,0.5833333333333334,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.158813648753696,"{""1e-05"": 3.005892753601074, ""0.0001"": 3.0127406120300293, ""0.001"": 3.0065529346466064, ""0.01"": 3.0125536918640137, ""0.1"": 2.9995169639587402, ""0.3"": 2.977370023727417, ""1"": 2.9356541633605957, ""3"": 2.901766061782837, ""10"": 2.863901376724243, ""30"": 2.8586456775665283, ""45"": 2.8608925342559814, ""65"": 2.8762028217315674, ""90"": 2.9163315296173096}","{""1e-05"": 0.16699404186672634, ""0.0001"": 0.16737447844611272, ""0.001"": 0.16703071859147814, ""0.01"": 0.1673640939924452, ""0.1"": 0.16663983133104113, ""0.3"": 0.16540944576263428, ""1"": 0.16309189796447754, ""3"": 0.16120922565460205, ""10"": 0.15910563204023573, ""30"": 0.158813648753696, ""45"": 0.1589384741253323, ""65"": 0.15978904565175372, ""90"": 0.16201841831207275}",0.15522250879176464,0.15881364619117658,0.14964085254277892,110736,0.202930832779362,0.782599883990265
chronos2,monash_london_smart_meters,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1581352154413859,"{""1e-05"": 3.0116562843322754, ""0.0001"": 3.009413480758667, ""0.001"": 3.0129756927490234, ""0.01"": 3.0060739517211914, ""0.1"": 3.0017240047454834, ""0.3"": 2.9671525955200195, ""1"": 2.9205567836761475, ""3"": 2.8998515605926514, ""10"": 2.857727527618408, ""30"": 2.8464338779449463, ""45"": 2.8605306148529053, ""65"": 2.8721561431884766, ""90"": 2.9132285118103027}","{""1e-05"": 0.16731423801845974, ""0.0001"": 0.16718963781992593, ""0.001"": 0.16738753848605684, ""0.01"": 0.16700410842895508, ""0.1"": 0.1667624447080824, ""0.3"": 0.1648418108622233, ""1"": 0.16225315464867485, ""3"": 0.16110286447736952, ""10"": 0.1587626404232449, ""30"": 0.1581352154413859, ""45"": 0.15891836749182806, ""65"": 0.15956423017713758, ""90"": 0.1618460284339057}",0.1544529880748439,0.15813522422615126,0.149036358330996,110736,0.202930832779362,0.7792567647819437
chronos2,monash_london_smart_meters,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1579458051257663,"{""1e-05"": 3.0188217163085938, ""0.0001"": 2.998100996017456, ""0.001"": 2.989314079284668, ""0.01"": 2.991130828857422, ""0.1"": 2.9944136142730713, ""0.3"": 2.9710638523101807, ""1"": 2.9167847633361816, ""3"": 2.8969838619232178, ""10"": 2.843024492263794, ""30"": 2.843383312225342, ""45"": 2.843144416809082, ""65"": 2.8613946437835693, ""90"": 2.919365167617798}","{""1e-05"": 0.16771231757269964, ""0.0001"": 0.16656116644541422, ""0.001"": 0.16607300440470377, ""0.01"": 0.16617393493652344, ""0.1"": 0.1663563119040595, ""0.3"": 0.16505910290612114, ""1"": 0.1620435979631212, ""3"": 0.1609435478846232, ""10"": 0.1579458051257663, ""30"": 0.15796573956807453, ""45"": 0.15795246760050455, ""65"": 0.15896636909908718, ""90"": 0.16218695375654432}",0.1523023886990919,0.15794581805448268,0.14888042955168787,110736,0.202930832779362,0.7783234114364987
