model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
chronos2,monash_traffic,Traffic,headline,test,Emb,block_depth,True,0,1048,768,1.0006743688560034,0.0013029614177812543,0.0013029614177812543,0.0006741415715030138,0.9999377112273178,7,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L1,block_depth,True,1,1048,768,5.552773973941544,0.007230174445236385,0.007230174445236385,1.7142976180169711,0.5263642021609926,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L2,block_depth,True,2,1048,768,7.356980158382173,0.009579401247893455,0.009579401247893455,1.9956495439751942,0.4244886369222222,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L3,block_depth,True,3,1048,768,10.51057288304477,0.013685641774797877,0.013685641774797877,2.35238169178057,0.36929440366907573,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L4,block_depth,True,4,1048,768,14.45562136046276,0.018822423646435885,0.018822423646435885,2.671083360394514,0.3052305368381729,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L5,block_depth,True,5,1048,768,16.129636369499444,0.021002130689452402,0.021002130689452402,2.7806583481445935,0.29059996571372465,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L6,block_depth,True,6,1048,768,19.353096433654816,0.025199344314654707,0.025199344314654707,2.962852429084672,0.27617889517744354,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L7,block_depth,True,7,1048,768,16.1215526842002,0.020991605057552345,0.020991605057552345,2.780157052799788,0.27718977176822157,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L8,block_depth,True,8,1048,768,16.696526716928084,0.021740269162666775,0.021740269162666775,2.815200716769387,0.27997770750978407,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L9,block_depth,True,9,1048,768,13.676767772042695,0.017808291369847257,0.017808291369847257,2.6156986103038244,0.3116245109289646,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L10,block_depth,True,10,1048,768,12.500580793310101,0.016276797907955862,0.016276797907955862,2.5257751066936702,0.3325964883573361,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L11,block_depth,True,11,1048,768,10.558215001447463,0.013747675783134718,0.013747675783134718,2.356904230036428,0.33154424204680577,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L12,block_depth,True,12,1048,768,6.9869815815402765,0.009097632267630568,0.009097632267630568,1.9440486434626851,0.3159998044875102,768,768.0,True
chronos2,monash_traffic,Traffic,headline,test,L12+LN,head_input_diagnostic,False,13,1048,768,6.281707003939794,0.008179305994713273,0.008179305994713273,1.8376417594588346,0.4842657811961528,768,768.0,False
chronos2,monash_traffic,Traffic,headline,train,Emb,block_depth,True,0,5576,768,1.0006743686280868,0.001302961417484488,0.001302961417484488,0.0006741413437400113,0.9999377112495059,3,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L1,block_depth,True,1,5576,768,8.123275211789899,0.010577181265351432,0.010577181265351432,2.094733424055009,0.37115658147209185,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L2,block_depth,True,2,5576,768,11.226184321863341,0.014617427502426226,0.014617427502426226,2.4182489355784567,0.2831028295759626,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L3,block_depth,True,3,5576,768,17.991496003711475,0.023426427088165985,0.023426427088165985,2.8898992020209713,0.21773842991750408,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L4,block_depth,True,4,5576,768,24.817812927703763,0.03231486058294761,0.03231486058294761,3.211561658557227,0.1918311187952577,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L5,block_depth,True,5,5576,768,26.459598383339973,0.03445260206164059,0.03445260206164059,3.275618980315382,0.22504796034919944,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L6,block_depth,True,6,5576,768,32.06412910101737,0.041750168100283036,0.041750168100283036,3.4677379318083785,0.21283483876168863,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L7,block_depth,True,7,5576,768,25.7679698767319,0.03355204411032799,0.03355204411032799,3.249132243009738,0.22889630747684245,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L8,block_depth,True,8,5576,768,27.43295443511972,0.03571999275406213,0.03571999275406213,3.311745007320009,0.22150072067079757,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L9,block_depth,True,9,5576,768,20.596340186465365,0.02681815128446011,0.02681815128446011,3.025113399160781,0.2578219555609836,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L10,block_depth,True,10,5576,768,17.661051066151334,0.022996160242384548,0.022996160242384548,2.8713617101743725,0.2816214084269104,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L11,block_depth,True,11,5576,768,13.070696526129657,0.017019136101731325,0.017019136101731325,2.570372818192419,0.32953934814291586,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L12,block_depth,True,12,5576,768,7.865560323822921,0.010241615004977762,0.010241615004977762,2.062493776671001,0.3409597376280095,768,768.0,True
chronos2,monash_traffic,Traffic,headline,train,L12+LN,head_input_diagnostic,False,13,5576,768,6.7479354661172035,0.00878637430484011,0.00878637430484011,1.9092366012291604,0.43595132168077155,768,768.0,False
