model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,monash_traffic,Traffic,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.2352411701174258,0.19786798601387112,0.2063782860645811,2.261370627679859,2.447356908021814,1.261370627679859,1.4473569080218138,1e-05,False,True,110736,False,False,False,False,False,False,False,False,0.2063782860645811,0.20127985753289615,0.21157602459647273,-0.12205127785906537,-0.12806233863865257,-0.11626332168972105,1.8171895919887535,1.731943378250947,1.90543579133785,-1.102104972471754,-1.180725272527183,-1.027005058537473,0.027727679085383195,0.02617825986258085,0.029415145085610883,-0.01559381154490549,-0.016538638808302097,-0.014674060650831659,4.355033487521789,4.121340788136094,4.61576279140929,-2.3390244666647266,-2.4684447849289404,-2.2124978002005453,1.8171895919887535,0.027727679085383195,4.355033487521789
chronos2,monash_traffic,Traffic,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.17483901162464785,0.1637674947162621,0.16622112822214155,1.8716468984230212,1.9711493596101421,0.8716468984230212,0.9711493596101421,0.001,False,False,110736,False,False,False,False,False,False,False,False,0.16622112822214155,0.15920479125449905,0.17367055650501875,-0.08189412001662581,-0.08781882221135134,-0.07671812321521511,1.6106684887125797,1.4241817982519913,1.8824363743575252,-0.8955838691955802,-1.1610860342706393,-0.7300502750136123,0.0242983098617202,0.022096127304248217,0.02688875030500486,-0.012164442321242494,-0.013989755362652989,-0.010671935172547662,3.838561557811503,3.4983279471452993,4.227825290132794,-1.8225525369544409,-2.0538010618995024,-1.631034639092033,1.6106684887125797,0.0242983098617202,3.838561557811503
chronos2,monash_traffic,Traffic,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.12264244145095092,0.10738049928127354,0.11617331448515864,1.2272177624694038,1.3776525096447079,0.24801545701813432,0.37765250964470787,3.0,False,False,110736,False,False,False,False,False,False,False,False,0.11617331448515864,0.11257556014914662,0.11987626126164015,-0.0318463062796429,-0.033968942558023206,-0.029671627462962435,0.9581875959465664,0.9202002400779209,0.9966316226896387,-0.2431029764295669,-0.26398883452556104,-0.22212076415760512,0.01572643301111316,0.014580266559193155,0.016956190365448504,-0.003592565470635455,-0.003964089820545589,-0.0032354593938767424,2.701191017521926,2.5108236307024425,2.9087276640543394,-0.6851819966648636,-0.7359226115341354,-0.6356582463902691,0.9581875959465664,0.01572643301111316,2.701191017521926
chronos2,monash_traffic,Traffic,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.09364463870481747,0.10654639356008923,0.09153524302799283,1.2176850320046904,1.0854795512833766,0.24801545701813432,0.10131408342890036,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.09153524302799283,0.0874116407138587,0.09566148027941186,-0.007208234822477094,-0.008637070822892064,-0.005763517553697668,0.7640792856621151,0.7276739458454591,0.8019326661445862,-0.048994666145115606,-0.06280831936860631,-0.03503723425501513,0.012988494644507001,0.01190617764578869,0.014170398176200295,-0.0008546271040292958,-0.00112767971548351,-0.0005747146410425634,2.181084573665948,1.9981133048644102,2.3814769022375635,-0.16507555280888564,-0.20709917800165076,-0.11982285476931294,0.7640792856621151,0.012988494644507001,2.181084573665948
chronos2,monash_traffic,Traffic,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.09302646129083428,0.10910516990106979,0.09124074644544197,1.2469284774799476,1.0819872350158157,0.24801545701813432,0.10131408342890036,65.0,False,False,110736,False,False,False,False,False,False,False,False,0.09124074644544197,0.0871991417740422,0.09531125427181086,-0.006913738239926234,-0.008304637122031966,-0.005445924846327496,0.771076395257695,0.7346174267907809,0.8092407401857585,-0.05599177574069547,-0.07000921000416101,-0.04140111297679255,0.012907419438470851,0.011870734560776083,0.014024063459515578,-0.0007735518979931459,-0.001044823890462829,-0.0004891768885785358,2.1706260607729444,1.9939111136882885,2.3647169029557906,-0.15461703991588216,-0.20014155341142817,-0.10593050614332636,0.771076395257695,0.012907419438470851,2.1706260607729444
chronos2,monash_traffic,Traffic,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.08180123484203086,0.10920027967627721,0.09241131966123144,1.2480154570181343,1.0958685909502823,0.24801545701813432,0.10131408342890036,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.09241131966123144,0.08798648427233442,0.09682314885453186,-0.008084311455715698,-0.00954504583585466,-0.006565318382096313,0.7751475913651055,0.7363651991563258,0.8149252492034953,-0.06006297184810594,-0.07582403477863468,-0.04411318484771846,0.013335217341808318,0.012223636866478404,0.014517700367628637,-0.001201349801330612,-0.0015024979691551784,-0.0008864532235278036,2.2225099909268873,2.034375721967661,2.427063006396846,-0.20650097006982504,-0.25442271707559583,-0.15725915612347394,0.7751475913651055,0.013335217341808318,2.2225099909268873
chronos2,monash_traffic,Traffic,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.08275036716638627,0.10621846337866692,0.09287052175015893,1.21393722168359,1.1013140834289004,0.21393722168358997,0.10131408342890036,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.09287052175015893,0.08830635346834839,0.09748279327768405,-0.008543513544643194,-0.010080502535934554,-0.0069566121886534,0.8119964332216038,0.7713305533494379,0.8544195586325548,-0.09691181370460422,-0.11277467015704153,-0.08034279612349261,0.013930735836705168,0.012798838025317965,0.015153117686431062,-0.0017968682962274628,-0.002119405282922564,-0.0014702624308340028,2.2266652894150836,2.035432704205751,2.4354092227894726,-0.21065626855802133,-0.26046559503030886,-0.15957688663928699,0.8119964332216038,0.013930735836705168,2.2266652894150836
chronos2,monash_traffic,Traffic,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.07601793995728366,0.10063444978010108,0.09164751187421893,1.150119296456027,1.08681090227774,0.1531867094976982,0.08681090227773991,1.0,False,False,110736,False,False,False,False,False,False,False,False,0.09164751187421893,0.08720075338545703,0.09597988678604534,-0.007320503668703196,-0.008670464529165327,-0.005861794289542757,0.792002638767764,0.7551115630940808,0.8308906960213577,-0.07691801925076447,-0.0917021665135292,-0.06113336431322872,0.013649653232420067,0.01250529726311587,0.014882019970382224,-0.0015157856919423614,-0.0018240232385483201,-0.0011971470356416244,2.220445921718689,2.030215849749044,2.427385447910016,-0.2044369008616269,-0.2470648976704423,-0.15957192503728454,0.792002638767764,0.013649653232420067,2.220445921718689
chronos2,monash_traffic,Traffic,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.07470831836452187,0.10090284578445304,0.09159875629853656,1.1531867094976982,1.086232729557992,0.1531867094976982,0.0862327295579921,1.0,False,False,110736,False,False,False,False,False,False,False,False,0.09159875629853656,0.0871587443975945,0.09597637562564652,-0.007271748093020822,-0.00865935759604659,-0.005775974822792284,0.7936630540184075,0.7577533414479155,0.8314661514295846,-0.078578434501408,-0.0917088101237984,-0.06465165103489318,0.013624168644704716,0.012484584305378351,0.014844236178745827,-0.0014903011042270101,-0.001769576033251138,-0.001193232151328582,2.2226494231722285,2.0310828439663196,2.428148545223088,-0.20664040231516623,-0.2488794852225767,-0.1615892094629199,0.7936630540184075,0.013624168644704716,2.2226494231722285
chronos2,monash_traffic,Traffic,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.07662111756470659,0.0984187183887449,0.08989918032902798,1.12479640320694,1.0660781431962123,0.12479640320693997,0.0660781431962123,3.0,False,False,110736,False,False,False,False,False,False,False,False,0.08989918032902798,0.0855113964616712,0.09419670974522944,-0.005572172123512242,-0.006943732965026652,-0.004140531268852359,0.7245313269568674,0.689473938402243,0.7603684789637015,-0.009446707439867863,-0.022180022073237944,0.003920587848374931,0.01261230372782077,0.011515913046734202,0.01380791919109487,-0.00047843618734306516,-0.0007141622096211678,-0.00024248104387044155,2.17599552899465,1.991932582784403,2.3772108435930632,-0.15998650813758797,-0.2018985996157573,-0.1153447805356015,0.7245313269568674,0.01261230372782077,2.17599552899465
