model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.23085239362319027,0.22301977161915248,0.26682192451171294,1.404466674966884,1.491765328214998,0.40446667496688393,0.4917653282149981,0.01,False,False,110736,False,False,False,False,False,False,False,False,0.26682192451171294,0.2592162787274436,0.27444997733558407,-0.08795872165729071,-0.09634811160375031,-0.07937837244644193,1.3354787155001604,1.263064227995953,1.4095261213620884,-0.3846228687188302,-0.44708416659045125,-0.3226188079261928,9.851613467346107,7.936302525110619,11.914795672066226,-4.759115018856628,-5.826185621243266,-3.7666828884806347,4.0673009885320734,3.930026607320202,4.19827490171709,-1.8881376931113945,-1.9775188774932786,-1.7981379417369763,1.3354787155001604,9.851613467346107,4.0673009885320734
chronos2,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.21944880628239477,0.213639312430875,0.2568302331705585,1.3453932473950874,1.4359031319571867,0.34539324739508737,0.43590313195718666,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.2568302331705585,0.24997407276226025,0.26387202942047183,-0.07796703031613625,-0.08540714952725037,-0.07035053681141436,1.3135194117090736,1.2375951560073393,1.3946227209925954,-0.36266356492774343,-0.4117502116426674,-0.31440083650980966,9.27535864609323,7.46276716727988,11.253756432269721,-4.18286019760375,-5.143914640157252,-3.291757982772085,3.8723510541402435,3.7314763760573575,4.010964305825497,-1.6931877587195645,-1.781699190214705,-1.601045058842699,1.3135194117090736,9.27535864609323,3.8723510541402435
chronos2,uber_tlc_hourly,Uber TLC,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.19450137605476414,0.1929059770839815,0.23220665121578987,1.2148250993595335,1.2982360122712562,0.21482509935953353,0.2982360122712562,1.0,False,False,110736,False,False,False,False,False,False,False,False,0.23220665121578987,0.22608931210062658,0.23842991939497016,-0.053343448361367646,-0.058414742159337285,-0.048553662547372464,1.2704207644751366,1.1691788245688288,1.3885277152328492,-0.31956491769380646,-0.3686053687667879,-0.27666952558984653,7.877952483863086,6.313895388687422,9.601385041366546,-2.785454035373607,-3.493287305368865,-2.1504830649651416,3.2784722873917898,3.1144528602150072,3.4456441915349516,-1.0993089919711108,-1.212604489336679,-0.9842053490392566,1.2704207644751366,7.877952483863086,3.2784722873917898
chronos2,uber_tlc_hourly,Uber TLC,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.17384739666428936,0.1687783017356432,0.19766753573567813,1.0628811002910177,1.1051324843856276,0.06288110029101768,0.10513248438562761,10.0,False,False,110736,False,False,False,True,False,False,False,True,0.19766753573567813,0.1920566052688954,0.2033363930681962,-0.01880433288125591,-0.02110825469646291,-0.016613204182900552,1.0186134661716346,0.965321551765036,1.0788455125381704,-0.06775761939030445,-0.09284056754121742,-0.038459541135836606,6.046960610566301,4.885141327734425,7.3381286464077755,-0.9544621620768217,-1.2304514904541262,-0.7113929478521229,2.6204930297524873,2.500526136285459,2.7445374075253453,-0.44132973433180833,-0.4989648421734249,-0.3811020525056813,1.0186134661716346,6.046960610566301,2.6204930297524873
chronos2,uber_tlc_hourly,Uber TLC,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,True,False,False,0.16409657357348773,0.16496507180783584,0.19025960267443237,1.0388672905793954,1.0637157315654564,0.03886729057939542,0.0637157315654564,3.0,False,False,110736,False,False,True,False,False,False,True,False,0.19025960267443237,0.1839690757901159,0.1966405945424815,-0.011396399820010145,-0.013341173430805224,-0.009494267309169866,0.9709126337119356,0.9242107207060687,1.0225060776484127,-0.02005678693060542,-0.05557610624205059,0.022700420914671282,5.743396484328577,4.636577876730769,7.00150172777414,-0.6508980358390977,-0.889924450567382,-0.43744663487788515,2.4511533325252466,2.3298607926701767,2.578659902431987,-0.2719900371045676,-0.32740037303797154,-0.21469599497539066,0.9709126337119356,5.743396484328577,2.4511533325252466
chronos2,uber_tlc_hourly,Uber TLC,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.16189436095270998,0.16088499626471797,0.18446727060065923,1.0131730210083456,1.0313315855737986,0.013173021008345609,0.03133158557379856,10.0,False,False,110736,False,True,False,False,False,True,False,False,0.18446727060065923,0.1780755482287011,0.1908326026834263,-0.005604067746237007,-0.007227304215962412,-0.004060129885995435,0.9222240698999246,0.883834069125626,0.9647463735629269,0.028631776881405613,-0.017131685542632828,0.0848432223615217,5.460254784672759,4.426281029584275,6.600965278210361,-0.3677563361832794,-0.5261999188566496,-0.21610433885329017,2.3153988490940156,2.210040126517612,2.421599983037402,-0.13623555367333662,-0.17540208848559213,-0.09250780303956306,0.9222240698999246,5.460254784672759,2.3153988490940156
chronos2,uber_tlc_hourly,Uber TLC,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.1591804563021087,0.1593555578293691,0.18235772228195468,1.0035413847714958,1.0195373859562196,0.0035413847714957924,0.019537385956219566,10.0,False,False,110736,True,False,False,False,True,False,False,False,0.18235772228195468,0.1757639728923762,0.18895554061275233,-0.0034945194275324554,-0.005241716390774222,-0.0017420120409312894,0.9184055769134104,0.8800508394997627,0.9612799113110382,0.03245026986791977,-0.011944420035352997,0.08735844645539993,5.401050286658544,4.380938085757593,6.520118618912053,-0.3085518381690644,-0.45573190135436514,-0.1592631809735544,2.2837568409978464,2.1821435755875545,2.388746956697792,-0.10459354557716738,-0.1493105557324741,-0.05163427706135988,0.9184055769134104,5.401050286658544,2.2837568409978464
chronos2,uber_tlc_hourly,Uber TLC,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.1613907318460719,0.15793882722731764,0.18122826998641017,0.994619525944625,1.0132227707781398,0.00324530117836197,0.013222770778139825,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.18122826998641017,0.17467866578452176,0.1876809932977558,-0.002365067131987947,-0.004134158801841922,-0.0006074034367183265,0.9093434297372521,0.872173099930525,0.9522108207586065,0.04151241704407804,-0.00014357973181980952,0.09187855270708838,5.245742498585882,4.2757921561708665,6.3104573760409135,-0.15324405009640252,-0.26859551608791754,-0.028151514519537863,2.246115910660608,2.15462861591487,2.343129041342854,-0.0669526152399289,-0.11240000725123604,-0.01609380578569248,0.9093434297372521,5.245742498585882,2.246115910660608
chronos2,uber_tlc_hourly,Uber TLC,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.1604726919490133,0.15689859587613864,0.18011277339613166,0.9880686705815338,1.0069861800625726,0.00324530117836197,0.006986180062572567,30.0,False,False,110736,False,False,False,False,False,False,False,False,0.18011277339613166,0.1735178537716563,0.1866020847851311,-0.0012495705417094327,-0.0028836205025836426,0.0004005147122870602,0.9042563195702398,0.8657881775034778,0.9474828262959158,0.0465995272110904,0.003537277541599146,0.09915493390099345,5.260159282469827,4.284181256746511,6.346530101763501,-0.1676608339803476,-0.29828490687241155,-0.03983712920541019,2.2379779568629408,2.1430423207973948,2.337266137921882,-0.05881466144226177,-0.09907841923667156,-0.015859856677936407,0.9042563195702398,5.260159282469827,2.2379779568629408
chronos2,uber_tlc_hourly,Uber TLC,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.15643754665882806,0.1557870433729796,0.17788867302637063,0.9810686703715578,0.9945515354052741,0.00324530117836197,0.005845434257281568,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.17788867302637063,0.17134847555572577,0.18431422809131784,0.0009745298280516013,-0.00048503794117282713,0.0024247110682674624,0.9000928650024079,0.8609019419662293,0.9442398772180941,0.050762981778922245,0.012026679669186477,0.09809576100547931,5.171399115213877,4.204588403175221,6.249465395878277,-0.07890066672439744,-0.16046622895878504,0.0020408966729361286,2.201006323082262,2.0960736364014054,2.3104299920182085,-0.02184302766158286,-0.05085840637215548,0.008198815014006506,0.9000928650024079,5.171399115213877,2.201006323082262
