model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,uber_tlc_hourly,0,Emb,block_depth,True,0.0,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.0001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.22301975886027017,"{""1e-05"": 4.03216028213501, ""0.0001"": 4.025348663330078, ""0.001"": 4.047289848327637, ""0.01"": 4.014355659484863, ""0.1"": 4.03529691696167, ""0.3"": 4.032866954803467, ""1"": 4.053033351898193, ""3"": 4.086980819702148, ""10"": 4.10358190536499, ""30"": 4.2174296379089355, ""45"": 4.332137107849121, ""65"": 4.39310359954834, ""90"": 4.441208362579346}","{""1e-05"": 0.22400890456305608, ""0.0001"": 0.22363048129611543, ""0.001"": 0.22484943601820204, ""0.01"": 0.22301975886027017, ""0.1"": 0.2241831620534261, ""0.3"": 0.22404816415574813, ""1"": 0.2251685195498996, ""3"": 0.22705448998345268, ""10"": 0.22797677252027723, ""30"": 0.2343016465504964, ""45"": 0.2406742837693956, ""65"": 0.24406131108601886, ""90"": 0.24673379792107475}",0.23085239362319027,0.22301977161915248,0.26682192451171294,110736,0.22185816021479723,1.0052358290685843
chronos2,uber_tlc_hourly,1,L1,block_depth,True,0.08333333333333333,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.21363929907480875,"{""1e-05"": 3.869934558868408, ""0.0001"": 3.8519105911254883, ""0.001"": 3.8657045364379883, ""0.01"": 3.874112606048584, ""0.1"": 3.8810360431671143, ""0.3"": 3.8652796745300293, ""1"": 3.8636958599090576, ""3"": 3.860687017440796, ""10"": 3.8822028636932373, ""30"": 3.8455073833465576, ""45"": 3.876913070678711, ""65"": 3.891123056411743, ""90"": 3.9180097579956055}","{""1e-05"": 0.2149963643815782, ""0.0001"": 0.21399503284030488, ""0.001"": 0.21476136313544378, ""0.01"": 0.2152284781138102, ""0.1"": 0.2156131135092841, ""0.3"": 0.21473775969611272, ""1"": 0.21464976999494764, ""3"": 0.2144826120800442, ""10"": 0.2156779368718465, ""30"": 0.21363929907480875, ""45"": 0.21538405948215059, ""65"": 0.21617350313398573, ""90"": 0.21766720877753362}",0.21944880628239477,0.213639312430875,0.2568302331705585,110736,0.22185816021479723,0.9629544940967465
chronos2,uber_tlc_hourly,2,L2,block_depth,True,0.16666666666666666,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1929059823354085,"{""1e-05"": 3.4928925037384033, ""0.0001"": 3.5068345069885254, ""0.001"": 3.489623785018921, ""0.01"": 3.5094921588897705, ""0.1"": 3.4934041500091553, ""0.3"": 3.4892196655273438, ""1"": 3.4723076820373535, ""3"": 3.5428006649017334, ""10"": 3.494847536087036, ""30"": 3.534587860107422, ""45"": 3.5584981441497803, ""65"": 3.624514579772949, ""90"": 3.682124614715576}","{""1e-05"": 0.1940495835410224, ""0.0001"": 0.1948241392771403, ""0.001"": 0.1938679880566067, ""0.01"": 0.19497178660498724, ""0.1"": 0.19407800833384195, ""0.3"": 0.19384553697374132, ""1"": 0.1929059823354085, ""3"": 0.1968222591612074, ""10"": 0.19415819644927979, ""30"": 0.1963659922281901, ""45"": 0.19769434134165445, ""65"": 0.20136192109849715, ""90"": 0.20456247859530977}",0.19450137605476414,0.1929059770839815,0.23220665121578987,110736,0.22185816021479723,0.8695013827628202
chronos2,uber_tlc_hourly,3,L3,block_depth,True,0.25,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.16877831353081596,"{""1e-05"": 3.1021575927734375, ""0.0001"": 3.0918262004852295, ""0.001"": 3.070878028869629, ""0.01"": 3.110374689102173, ""0.1"": 3.0961530208587646, ""0.3"": 3.0632598400115967, ""1"": 3.060065984725952, ""3"": 3.0569770336151123, ""10"": 3.0380096435546875, ""30"": 3.054614305496216, ""45"": 3.0689921379089355, ""65"": 3.086961269378662, ""90"": 3.15799617767334}","{""1e-05"": 0.1723420884874132, ""0.0001"": 0.1717681222491794, ""0.001"": 0.1706043349372016, ""0.01"": 0.17279859383900958, ""0.1"": 0.17200850115882024, ""0.3"": 0.17018110222286648, ""1"": 0.17000366581810844, ""3"": 0.1698320574230618, ""10"": 0.16877831353081596, ""30"": 0.16970079474978975, ""45"": 0.17049956321716309, ""65"": 0.17149784829881456, ""90"": 0.1754442320929633}",0.17384739666428936,0.1687783017356432,0.19766753573567813,110736,0.22185816021479723,0.7607486764166641
chronos2,uber_tlc_hourly,4,L4,block_depth,True,0.3333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1649650600221422,"{""1e-05"": 3.04721736907959, ""0.0001"": 3.031759023666382, ""0.001"": 3.0351474285125732, ""0.01"": 3.0354082584381104, ""0.1"": 3.038017749786377, ""0.3"": 3.020524501800537, ""1"": 2.9899775981903076, ""3"": 2.9693710803985596, ""10"": 2.9814517498016357, ""30"": 2.9747304916381836, ""45"": 2.987736701965332, ""65"": 3.013087272644043, ""90"": 3.049129009246826}","{""1e-05"": 0.169289853837755, ""0.0001"": 0.16843105687035453, ""0.001"": 0.16861930158403185, ""0.01"": 0.16863379213545057, ""0.1"": 0.16877876387702093, ""0.3"": 0.16780691676669648, ""1"": 0.1661098665661282, ""3"": 0.1649650600221422, ""10"": 0.1656362083223131, ""30"": 0.16526280509101018, ""45"": 0.16598537233140734, ""65"": 0.16739373736911348, ""90"": 0.1693960560692681}",0.16409657357348773,0.16496507180783584,0.19025960267443237,110736,0.22185816021479723,0.7435609835046004
chronos2,uber_tlc_hourly,5,L5,block_depth,True,0.4166666666666667,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.16088500287797716,"{""1e-05"": 3.00298810005188, ""0.0001"": 2.9948344230651855, ""0.001"": 2.9926958084106445, ""0.01"": 2.9882445335388184, ""0.1"": 2.982776403427124, ""0.3"": 2.9571945667266846, ""1"": 2.945263147354126, ""3"": 2.9090142250061035, ""10"": 2.895930051803589, ""30"": 2.897569417953491, ""45"": 2.913630962371826, ""65"": 2.9168150424957275, ""90"": 2.9588587284088135}","{""1e-05"": 0.16683267222510442, ""0.0001"": 0.16637969017028809, ""0.001"": 0.1662608782450358, ""0.01"": 0.166013585196601, ""0.1"": 0.16570980019039577, ""0.3"": 0.16428858704037136, ""1"": 0.16362573040856254, ""3"": 0.16161190138922796, ""10"": 0.16088500287797716, ""30"": 0.16097607877519396, ""45"": 0.16186838679843477, ""65"": 0.16204528013865152, ""90"": 0.1643810404671563}",0.16189436095270998,0.16088499626471797,0.18446727060065923,110736,0.22185816021479723,0.7251705148413443
chronos2,uber_tlc_hourly,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.15935556093851724,"{""1e-05"": 2.9604036808013916, ""0.0001"": 2.9667601585388184, ""0.001"": 2.9746036529541016, ""0.01"": 2.969899892807007, ""0.1"": 2.9624834060668945, ""0.3"": 2.9242653846740723, ""1"": 2.9146854877471924, ""3"": 2.8929762840270996, ""10"": 2.8684000968933105, ""30"": 2.8781814575195312, ""45"": 2.895556688308716, ""65"": 2.902696371078491, ""90"": 2.9352118968963623}","{""1e-05"": 0.16446687115563285, ""0.0001"": 0.1648200088077121, ""0.001"": 0.16525575849745008, ""0.01"": 0.16499443848927814, ""0.1"": 0.1645824114481608, ""0.3"": 0.16245918803744844, ""1"": 0.16192697154151067, ""3"": 0.16072090466817218, ""10"": 0.15935556093851724, ""30"": 0.15989896986219618, ""45"": 0.16086426046159533, ""65"": 0.16126090950436062, ""90"": 0.16306732760535345}",0.1591804563021087,0.1593555578293691,0.18235772228195468,110736,0.22185816021479723,0.7182767479685456
chronos2,uber_tlc_hourly,7,L7,block_depth,True,0.5833333333333334,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.15793883800506592,"{""1e-05"": 2.930008888244629, ""0.0001"": 2.9350521564483643, ""0.001"": 2.927860736846924, ""0.01"": 2.925266742706299, ""0.1"": 2.9318501949310303, ""0.3"": 2.909425973892212, ""1"": 2.8759384155273438, ""3"": 2.8639492988586426, ""10"": 2.845385789871216, ""30"": 2.8428990840911865, ""45"": 2.8532397747039795, ""65"": 2.8754072189331055, ""90"": 2.9072186946868896}","{""1e-05"": 0.16277827156914604, ""0.0001"": 0.16305845313602021, ""0.001"": 0.1626589298248291, ""0.01"": 0.1625148190392388, ""0.1"": 0.16288056638505724, ""0.3"": 0.1616347763273451, ""1"": 0.15977435641818574, ""3"": 0.1591082943810357, ""10"": 0.15807698832617864, ""30"": 0.15793883800506592, ""45"": 0.15851332081688774, ""65"": 0.15974484549628362, ""90"": 0.1615121497048272}",0.1613907318460719,0.15793882722731764,0.18122826998641017,110736,0.22185816021479723,0.7118909986200437
chronos2,uber_tlc_hourly,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.15689859125349256,"{""1e-05"": 2.9369125366210938, ""0.0001"": 2.9388883113861084, ""0.001"": 2.929563283920288, ""0.01"": 2.9386818408966064, ""0.1"": 2.916949510574341, ""0.3"": 2.9041826725006104, ""1"": 2.8577704429626465, ""3"": 2.8398935794830322, ""10"": 2.8302857875823975, ""30"": 2.824174642562866, ""45"": 2.8442461490631104, ""65"": 2.871398448944092, ""90"": 2.895378589630127}","{""1e-05"": 0.16316180759006074, ""0.0001"": 0.1632715728547838, ""0.001"": 0.16275351577334932, ""0.01"": 0.1632601022720337, ""0.1"": 0.16205275058746338, ""0.3"": 0.16134348180558947, ""1"": 0.1587650246090359, ""3"": 0.15777186552683511, ""10"": 0.1572380993101332, ""30"": 0.15689859125349256, ""45"": 0.15801367494795057, ""65"": 0.15952213605244953, ""90"": 0.1608543660905626}",0.1604726919490133,0.15689859587613864,0.18011277339613166,110736,0.22185816021479723,0.7072022761039465
chronos2,uber_tlc_hourly,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1557870441012912,"{""1e-05"": 2.904750108718872, ""0.0001"": 2.903787612915039, ""0.001"": 2.902357578277588, ""0.01"": 2.913670778274536, ""0.1"": 2.8977043628692627, ""0.3"": 2.8766796588897705, ""1"": 2.8397750854492188, ""3"": 2.819749116897583, ""10"": 2.804166793823242, ""30"": 2.80625319480896, ""45"": 2.823164939880371, ""65"": 2.831205368041992, ""90"": 2.8681869506835938}","{""1e-05"": 0.16137500603993732, ""0.0001"": 0.1613215340508355, ""0.001"": 0.1612420876820882, ""0.01"": 0.16187059879302979, ""0.1"": 0.16098357571495903, ""0.3"": 0.15981553660498724, ""1"": 0.15776528252495658, ""3"": 0.15665272871653238, ""10"": 0.1557870441012912, ""30"": 0.15590295526716444, ""45"": 0.15684249666002062, ""65"": 0.157289187113444, ""90"": 0.15934371948242188}",0.15643754665882806,0.1557870433729796,0.17788867302637063,110736,0.22185816021479723,0.7021920817433566
