model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
chronos2,wind_farms_hourly,Wind Farms,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.24286886089758003,0.22553020670213772,0.21938864565418878,1.454203526583726,1.3822699487437966,0.4542035265837261,0.3822699487437966,0.0001,False,False,110736,False,False,False,False,False,False,False,False,0.21938864565418878,0.2081085450954394,0.23077832701125445,-0.06067243696169089,-0.07387514903977911,-0.04724227857690675,5.573185169901168,1.993997766760247,12.563128813336835,-0.8426821255524688,-0.999976993613251,-0.6956795255074788,25.57340270197903,20.723087092658133,30.926414398756982,-9.349780845306473,-12.66892308133552,-6.4075465951464405,2.402613427009281,1.9618631071982635,2.9927476612884503,-0.7783323521691226,-1.050035716387839,-0.5567117387404334,5.573185169901168,25.57340270197903,2.402613427009281
chronos2,wind_farms_hourly,Wind Farms,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.1969912561642773,0.1794571552766871,0.18636455470767185,1.1571276056103046,1.1741998894942154,0.1571276056103046,0.1741998894942154,45.0,False,False,110736,False,False,False,False,False,False,False,False,0.18636455470767185,0.17517402918213082,0.1975306647961234,-0.027648346015173964,-0.03853458876522498,-0.016490712032816907,5.149517614109883,1.6028020697207082,12.110946681844007,-0.4190145697611838,-0.5242163122106753,-0.31524432826259885,20.805390811045726,16.8110477637045,25.16122813833209,-4.5817689543731674,-6.616185141547149,-2.6913758583483443,2.0135929171111933,1.643801021897836,2.5137473936317307,-0.3893118422710349,-0.5351671193329312,-0.2546651993071752,5.149517614109883,20.805390811045726,2.0135929171111933
chronos2,wind_farms_hourly,Wind Farms,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.18514326521044483,0.17030415253159198,0.1732026639586414,1.098109662668732,1.091272689698694,0.09810966266873189,0.09127268969869395,30.0,False,False,110736,False,False,False,True,False,False,False,True,0.1732026639586414,0.1623169904933773,0.1842214017281778,-0.014486455266143505,-0.023823701853700363,-0.004763126528629955,5.00714428686469,1.464163002584193,11.963646765296577,-0.2766412425159901,-0.3633287903872014,-0.19169950608007627,18.698597377227998,15.17307602978314,22.55963186462979,-2.4749755205554393,-3.997254962620928,-1.076391972027567,1.8501438393006122,1.5062720025175833,2.3135483652311115,-0.22586276446045384,-0.3386858847325137,-0.11946308595370468,5.00714428686469,18.698597377227998,1.8501438393006122
chronos2,wind_farms_hourly,Wind Farms,3,L3,block,block_depth,True,3,0.25,0.25,True,False,False,0.17415012521575735,0.16115081950112153,0.16033140759033557,1.039089590069387,1.0101766474334517,0.03908959006938706,0.010176647433451702,30.0,False,False,110736,False,False,True,False,False,False,True,False,0.16033140759033557,0.1496231405402157,0.17171175689329854,-0.0016151988978376774,-0.00937039894442862,0.006521998689232669,4.957975044505279,1.4204773584134203,11.918061566173574,-0.2274720001565793,-0.2975068521412071,-0.1584641300003226,17.40232818819753,14.248536956307083,20.89179432857226,-1.178706331524971,-2.296782631233973,-0.16658033165241126,1.7098631269944176,1.389268992279168,2.1453759044011167,-0.08558205215425918,-0.17459299843209342,0.003175422446852408,4.957975044505279,17.40232818819753,1.7098631269944176
chronos2,wind_farms_hourly,Wind Farms,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.16906918633937665,0.15713152936339833,0.1554130808030831,1.013173478972306,0.9791884652700193,0.023256990688620416,0.0,30.0,False,False,110736,False,False,False,False,False,True,False,False,0.1554130808030831,0.14441555134582382,0.1671672840911952,0.003303127889414781,-0.004213025155015119,0.011250827120588594,4.783118818777491,1.249659276028617,11.739637941636044,-0.05261577442879162,-0.11304705855744991,0.005577493719380419,16.971555864047172,13.784654991382535,20.519641549140164,-0.7479340073746137,-1.8823642822586057,0.32613773281836284,1.682766384716004,1.3658445583141317,2.1108839223520546,-0.05848530987584555,-0.14277489379145417,0.029519644673740436,4.783118818777491,16.971555864047172,1.682766384716004
chronos2,wind_farms_hourly,Wind Farms,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.16026233828798941,0.15222450500738074,0.14965022289912208,0.9815333176480296,0.9428792694327739,0.023256990688620416,0.0,10.0,False,False,110736,False,False,False,False,True,False,False,False,0.14965022289912208,0.13813442857687197,0.16175155711665978,0.009065985793375808,0.0017766777038545865,0.01661841371274402,4.702922586126289,1.1721775877507477,11.656074442340524,0.02758045822241062,-0.024466395822576273,0.08051332357540654,16.431804675780274,13.282198431884723,19.933217449917628,-0.20818281910771574,-1.1539936920812512,0.7343928893999261,1.6382382483376194,1.3187591014299003,2.069278638296497,-0.013957173497461062,-0.08882613432596936,0.07032705939945448,4.702922586126289,16.431804675780274,1.6382382483376194
chronos2,wind_farms_hourly,Wind Farms,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.15584714653790852,0.15284033297411814,0.14978539574009772,0.9855041347465178,0.9437309331795909,0.023256990688620416,0.0,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.14978539574009772,0.13766885067919227,0.16245040648318254,0.008930812952400169,0.0019016208226671604,0.016312558394821194,4.664300105855442,1.1324786359641656,11.62351971595072,0.06620293849325787,0.00837070422587183,0.12358508108515037,16.738832313743877,13.618655885926836,20.1579955572584,-0.5152104570713192,-1.4563209025997919,0.37079158328726364,1.653508475869706,1.3305832005890132,2.097328178657758,-0.029227401029547684,-0.10217362367957435,0.04580664793259104,4.664300105855442,16.738832313743877,1.653508475869706
chronos2,wind_farms_hourly,Wind Farms,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.15235878722515048,0.155088524405226,0.1520374287772952,1.000000321112676,0.9579199883224128,0.023256990688620416,0.0,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.1520374287772952,0.1397150434564287,0.165182131937641,0.006678779915202687,-0.00012035371188275701,0.013764162195974391,4.67432180579338,1.1458110701948587,11.629275859090093,0.05618123855531909,0.00042195225755122,0.11317276845038177,17.114018691229134,13.937440243493821,20.571492239619637,-0.8903968345565758,-1.8823989998427373,0.01209944453901112,1.6803891622807883,1.3488825162145164,2.1346077521054294,-0.056108087440629895,-0.13152074325374638,0.01729644813317659,4.67432180579338,17.114018691229134,1.6803891622807883
chronos2,wind_farms_hourly,Wind Farms,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.1493815719878229,0.15498280262162212,0.1550275947656909,0.9993186341989734,0.9767596897809382,0.023256990688620416,0.0,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.1550275947656909,0.14204192743512253,0.16876026234422448,0.0036886139268069995,-0.0026972861274479946,0.010439462509567893,4.691202137986501,1.160279621367501,11.64859285652633,0.03930090636219852,-0.013929755297630785,0.09404670855209207,17.485647928083534,14.259708022807155,20.989238940479545,-1.2620260714109754,-2.2525799608487547,-0.40677477506139365,1.7122974517797591,1.3706520257418127,2.177789863185573,-0.08801637693960074,-0.1650697519750867,-0.022242521998076577,4.691202137986501,17.485647928083534,1.7122974517797591
chronos2,wind_farms_hourly,Wind Farms,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.14586810471150635,0.15412396343979445,0.15212047269269255,0.9937808972135612,0.9584432109729628,0.023256990688620416,0.0,10.0,False,False,110736,False,False,False,False,False,False,False,False,0.15212047269269255,0.13924521384227537,0.16560316549415008,0.006595735999805341,0.0012600055010633757,0.012383906761155904,4.641927171294307,1.112020084148058,11.597658486363377,0.08857587305439285,0.03439367785462558,0.1437206138618097,17.059454157309542,13.872324804772523,20.475611331233225,-0.8358323006369837,-1.8699861545957528,-0.04682674275070584,1.6716806062190492,1.3435281262356131,2.1206135439874623,-0.04739953137889086,-0.1124574547621306,0.012283426658755377,4.641927171294307,17.059454157309542,1.6716806062190492
