model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,first_crossing_layer,median_selected_wd,n_depth_points,n_layers_at_wd_grid_max,n_layers_at_wd_grid_min,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,test_ratio_at_tunnel,tunnel_definition,tunnel_index,tunnel_relative_position,val_ratio_at_tunnel,wd_grid_max
chronos2,m4_hourly,M4,complete,L8,0.6666666666666666,L12,0.09203550582111791,0.09928486517538096,2.678764592327392,0.9289487357509286,65.54593658447266,2026-09-22T12:01:29+00:00,L8,30.0,13,1,0,14,262,262,1394,262,0.06638680642847512,L12+LN,True,chronos2/m4_hourly,exact_dataset,pretraining_exposed,24,1.0708977400367337,sustained_suffix_v1,8,0.6666666666666666,1.0477843588342126,90.0
chronos2,monash_electricity_hourly,Electricity,complete,L9,0.75,L12,0.08396132324488108,0.11821175060938788,1.0174644156675179,0.836189238049318,92.38203835487366,2026-09-22T11:57:09+00:00,L9,3.0,13,0,0,14,262,262,1394,262,0.09895731385362705,L12+LN,True,chronos2/monash_electricity_hourly,exact_dataset,pretraining_exposed,24,1.0297258111668908,sustained_suffix_v1,9,0.75,1.0241592128368582,90.0
chronos2,uber_tlc_hourly,Uber TLC,complete,L4,0.3333333333333333,L12,0.15879320997375113,0.17886320285442223,0.9508558467813302,0.8060061844402894,65.80940055847168,2026-09-22T12:03:50+00:00,L4,20.0,13,0,0,14,262,262,1394,262,0.16527190507244752,L12+LN,True,chronos2/uber_tlc_hourly,source_family,pretraining_exposed,24,1.0637157315654564,sustained_suffix_v1,4,0.3333333333333333,1.0388672905793954,90.0
chronos2,wind_farms_hourly,Wind Farms,complete,L3,0.25,L12,0.1550884746043509,0.1587162086924979,4.7305030443486995,4.3542799551847065,65.71888494491577,2026-09-22T12:07:51+00:00,L3,30.0,13,0,0,14,262,262,1394,262,0.13527465271037017,L12+LN,True,chronos2/wind_farms_hourly,exact_dataset,pretraining_exposed,24,1.0101766474334517,sustained_suffix_v1,3,0.25,1.039089590069387,90.0
chronos2,sg_carpark,SG Carpark,complete,L10,0.8333333333333334,L12,0.09885971726965433,0.1011124361558991,0.8227273546692212,0.5977898889598999,67.73684477806091,2026-09-22T12:11:49+00:00,L10,3.0,13,0,1,14,354,354,1394,354,0.07320929818923486,L12+LN,True,chronos2/sg_carpark,exact_dataset,not_listed,24,0.9556595695569985,sustained_suffix_v1,10,0.8333333333333334,1.0464494757855163,90.0
chronos2,coastal_ts,Coastal T-S,complete,L1,0.08333333333333333,L12,0.20454906579107046,0.19920828527150056,1.2161572355673773,1.1274563050077802,62.31826138496399,2026-09-22T12:15:42+00:00,L1,30.0,13,0,1,14,48,24,1394,48,0.19243897823616862,L12+LN,True,chronos2/coastal_ts,exact_dataset,not_listed,24,1.0252798841138813,sustained_suffix_v1,1,0.08333333333333333,1.0303564480911884,90.0
chronos2,boom_hourly,BOOM,complete,L3,0.25,L12,0.11555921351589725,0.13113293341113685,1.285440280461702,0.9436372748392822,67.08202171325684,2026-09-22T12:19:57+00:00,L3,30.0,13,0,0,14,354,354,1394,354,0.1062024807498105,L12+LN,True,chronos2/boom_hourly,benchmark_exclusion,not_listed,24,1.012644839038899,sustained_suffix_v1,3,0.25,1.0236698605690557,90.0
chronos2,LOOP_SEATTLE_5T,Loop Seattle,complete,L8,0.6666666666666666,L12,0.18025966321352785,0.1736602913730472,1.1719201473266552,1.2865068302940506,64.30400371551514,2026-09-22T12:25:11+00:00,L8,55.0,13,4,1,14,262,262,1394,262,0.18841547164923816,L12+LN,True,chronos2/LOOP_SEATTLE_5T,benchmark_exclusion,explicitly_held_out,288,0.8867807189913691,sustained_suffix_v1,8,0.6666666666666666,1.0199429096695638,90.0
chronos2,electricity_15min,Electricity 15min,complete,L10,0.8333333333333334,L12,0.10523015394351865,0.16506420983044245,1.5260235347126803,1.2667803585358441,64.13246011734009,2026-09-22T12:30:44+00:00,L10,3.0,13,0,0,14,262,262,1394,262,0.1460116737404881,L12+LN,True,chronos2/electricity_15min,source_level,pretraining_exposed,96,0.9896932650119262,sustained_suffix_v1,10,0.8333333333333334,1.0250939402652968,90.0
chronos2,SZ_TAXI_15T,SZ Taxi,complete,L2,0.16666666666666666,L12,0.21963059773238805,0.23657254182184353,0.7852525427054986,0.7733281950337813,63.07291340827942,2026-09-22T12:34:28+00:00,L2,55.0,13,0,0,14,156,156,1394,156,0.23294557592807671,L12+LN,True,chronos2/SZ_TAXI_15T,benchmark_exclusion,explicitly_held_out,96,1.0374365933749652,sustained_suffix_v1,2,0.16666666666666666,1.036848671262281,90.0
